rtcDate,rtcTime,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,imu_degC,output_Hz,
01/01/2000,00:00:01.34,38.57,-107.42,-1008.30,-10.66,-10.85,1.05,-7.05,-22.20,-111.60,26.83,333.33,
01/01/2000,00:00:01.39,31.74,-86.91,-979.49,-6.86,-8.95,6.05,-6.75,-20.55,-109.80,26.93,37.74,
01/01/2000,00:00:01.40,37.60,-90.82,-967.29,-8.93,-10.33,7.98,-6.90,-22.35,-111.15,26.83,45.45,
01/01/2000,00:00:01.41,24.90,-98.14,-990.23,-10.00,-7.82,3.58,-8.70,-24.30,-110.40,26.83,52.63,
01/01/2000,00:00:01.42,32.71,-112.30,-1000.49,-9.18,-9.67,4.78,-5.55,-23.25,-111.30,26.64,58.82,
01/01/2000,00:00:01.43,29.79,-101.07,-1003.42,-7.77,-14.79,2.38,-8.70,-22.65,-109.95,26.83,60.61,
01/01/2000,00:00:01.44,34.18,-65.92,-1003.91,-4.29,-17.36,4.66,-6.30,-22.20,-110.55,27.12,64.22,
01/01/2000,00:00:01.45,18.07,-69.82,-997.07,-3.69,-15.19,5.12,-6.45,-22.35,-111.45,26.93,67.80,
01/01/2000,00:00:01.46,19.04,-75.20,-986.82,-4.59,-14.71,6.19,-7.80,-22.20,-110.55,26.59,70.31,
01/01/2000,00:00:01.47,20.02,-81.54,-965.33,-3.53,-13.89,6.15,-6.00,-24.00,-110.55,26.93,72.99,
01/01/2000,00:00:01.49,29.79,-76.66,-967.29,-1.56,-9.85,7.56,-6.00,-24.00,-110.55,26.93,72.85,
01/01/2000,00:00:01.50,9.28,-83.01,-957.03,-3.47,-10.57,8.14,-5.40,-22.65,-108.15,26.78,75.00,
01/01/2000,00:00:01.51,14.65,-91.80,-979.00,-1.23,-8.60,6.33,-5.85,-22.65,-109.35,26.93,76.47,
01/01/2000,00:00:01.52,21.48,-54.69,-983.89,1.39,-7.34,7.27,-6.15,-23.85,-109.35,26.98,78.21,
01/01/2000,00:00:01.53,29.30,-63.96,-976.07,0.29,-6.82,8.39,-5.25,-21.75,-111.30,26.98,79.37,
01/01/2000,00:00:01.54,13.18,-65.43,-973.14,-1.47,-3.85,8.34,-5.25,-21.75,-111.30,26.74,80.81,
01/01/2000,00:00:01.55,26.86,-74.71,-987.79,1.24,-8.95,6.77,-5.85,-23.10,-110.40,26.98,80.19,
01/01/2000,00:00:01.56,28.81,-73.73,-1022.46,1.31,-4.01,6.56,-6.00,-23.25,-109.05,26.93,81.45,
01/01/2000,00:00:01.57,18.07,-99.12,-1021.97,-1.02,-4.71,5.54,-5.25,-23.70,-109.80,27.12,82.25,
01/01/2000,00:00:01.58,5.37,-109.86,-991.21,-3.18,0.23,8.36,-5.55,-23.70,-109.50,26.78,83.33,
01/01/2000,00:00:01.59,-19.53,-165.04,-1012.70,-8.67,-0.82,12.89,-5.55,-23.70,-109.50,26.83,84.00,
01/01/2000,00:00:01.61,5.37,-94.24,-967.29,0.36,-1.95,8.91,-7.20,-22.65,-109.95,26.93,83.65,
01/01/2000,00:00:01.61,27.34,-60.06,-953.61,-2.71,-0.45,7.89,-6.00,-22.20,-110.55,26.74,84.25,
01/01/2000,00:00:01.63,28.81,-71.78,-974.61,-3.87,-0.52,5.92,-6.30,-22.50,-110.55,27.12,84.81,
01/01/2000,00:00:01.63,33.20,-49.32,-989.75,-4.31,-2.63,5.74,-6.30,-22.50,-110.55,26.93,85.62,
01/01/2000,00:00:01.65,23.44,-40.04,-979.98,-5.07,0.98,8.31,-6.30,-22.50,-110.55,26.98,86.38,
01/01/2000,00:00:01.66,32.23,-57.13,-990.72,-8.59,2.10,2.84,-6.90,-21.90,-108.90,26.83,85.71,
01/01/2000,00:00:01.67,24.41,-50.29,-980.47,-7.98,2.85,3.36,-5.55,-22.50,-109.80,26.93,86.15,
01/01/2000,00:00:01.68,35.16,-67.38,-984.86,-7.98,0.63,1.30,-5.55,-21.75,-109.80,27.12,86.83,
01/01/2000,00:00:01.69,36.13,-91.80,-1004.39,-5.56,-0.83,-1.77,-5.85,-20.85,-110.40,26.83,87.21,
01/01/2000,00:00:01.70,41.99,-75.68,-1027.83,-6.20,-5.97,-6.74,-5.85,-20.85,-110.40,26.74,87.82,
01/01/2000,00:00:01.71,17.09,-106.45,-1023.44,-4.88,-5.82,-10.82,-7.20,-20.10,-109.95,27.12,88.15,
