rtcDate,rtcTime,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,imu_degC,output_Hz,
01/01/2000,00:00:01.47,196.78,743.16,-648.44,13.14,-8.68,-0.99,-53.10,-7.65,-109.05,21.75,333.33,
01/01/2000,00:00:01.52,180.18,687.01,-660.64,10.18,-7.78,3.12,-53.10,-8.40,-108.75,22.09,36.36,
01/01/2000,00:00:01.54,183.11,714.84,-655.76,3.90,-5.27,2.96,-52.35,-8.85,-110.25,21.90,43.48,
01/01/2000,00:00:01.55,198.24,719.24,-669.43,7.60,-5.41,4.97,-54.00,-8.70,-110.40,21.66,51.28,
01/01/2000,00:00:01.56,201.17,722.66,-690.43,12.37,-5.64,4.76,-54.00,-8.70,-110.40,21.90,56.82,
01/01/2000,00:00:01.57,200.68,744.14,-700.68,19.15,-10.05,2.75,-53.85,-8.10,-110.25,21.66,58.25,
01/01/2000,00:00:01.59,186.52,742.19,-681.64,28.69,-12.79,6.37,-52.20,-8.70,-110.70,21.70,61.95,
01/01/2000,00:00:01.59,187.01,727.54,-688.48,32.39,-12.40,4.56,-53.10,-10.80,-110.85,21.99,65.57,
01/01/2000,00:00:01.61,184.08,723.63,-656.74,30.01,-13.40,2.44,-53.10,-10.80,-110.85,21.75,68.70,
01/01/2000,00:00:01.61,183.59,680.18,-689.94,26.81,-11.20,5.06,-53.10,-10.80,-110.85,21.66,70.92,
01/01/2000,00:00:01.63,190.92,655.27,-690.92,18.36,-8.07,6.70,-53.10,-11.55,-110.85,21.90,70.97,
01/01/2000,00:00:01.64,169.43,651.86,-671.88,16.21,-6.22,6.63,-52.20,-9.75,-111.15,21.66,72.73,
01/01/2000,00:00:01.65,172.36,667.97,-687.99,11.05,-2.63,7.09,-52.35,-9.60,-112.65,21.75,74.71,
01/01/2000,00:00:01.66,176.27,650.88,-711.43,5.39,-3.50,7.80,-52.35,-10.35,-111.60,22.04,76.50,
01/01/2000,00:00:01.67,187.01,689.94,-698.24,0.07,-2.09,5.73,-52.35,-10.35,-111.60,21.70,77.72,
01/01/2000,00:00:01.67,180.18,681.64,-698.24,-6.02,-0.34,8.63,-51.30,-10.05,-110.85,21.56,79.21,
01/01/2000,00:00:01.69,186.04,684.08,-708.50,-5.85,-0.50,3.77,-52.35,-9.60,-112.35,21.99,78.70,
01/01/2000,00:00:01.70,190.43,696.29,-689.45,-6.18,-1.27,4.12,-52.65,-10.50,-111.45,21.85,79.65,
01/01/2000,00:00:01.71,187.01,712.40,-670.90,-9.85,-2.80,-1.03,-52.35,-10.35,-111.30,21.75,80.85,
01/01/2000,00:00:01.72,182.13,684.57,-687.50,-6.99,-2.19,1.94,-52.65,-10.95,-109.35,21.99,81.63,
01/01/2000,00:00:01.73,173.34,679.20,-668.95,-9.63,-0.62,2.02,-52.65,-10.95,-109.35,21.70,82.68,
01/01/2000,00:00:01.74,181.15,685.55,-664.06,-8.49,-1.66,0.98,-52.65,-11.25,-110.40,22.04,82.09,
01/01/2000,00:00:01.76,171.88,696.29,-663.57,-7.46,1.05,2.75,-52.95,-10.50,-111.75,22.04,82.73,
01/01/2000,00:00:01.76,172.85,704.59,-662.60,-11.40,2.05,4.53,-52.95,-9.75,-111.75,21.70,83.62,
01/01/2000,00:00:01.78,186.04,709.96,-677.73,-9.79,0.64,2.91,-52.05,-11.10,-112.65,21.70,84.18,
