rtcDate;rtcTime;aX;aY;aZ;gX;gY;gZ;mX;mY;mZ;imu_degC;output_Hz;
01/01/2000;00:00:01,53;394,04;1025,39;113,28;-30,12;5,92;46,63;-54,00;-1,50;-93,00;30,14;333,33;
01/01/2000;00:00:01,59;432,62;807,62;-100,10;-32,40;15,70;58,69;-55,65;-2,40;-91,35;30,33;37,04;
01/01/2000;00:00:01,60;373,05;779,79;-6,35;-28,12;36,15;61,97;-55,20;-3,00;-92,40;30,28;44,78;
01/01/2000;00:00:01,61;333,01;793,46;-45,90;-27,81;34,63;64,95;-56,40;-2,70;-91,80;29,80;51,95;
01/01/2000;00:00:01,62;304,69;761,72;-109,38;-34,85;33,07;67,92;-56,40;-3,60;-92,10;30,19;58,14;
01/01/2000;00:00:01,64;336,43;725,59;-124,02;-47,10;35,60;76,39;-57,45;-3,90;-91,35;30,33;60,00;
01/01/2000;00:00:01,65;470,21;753,42;6,84;-53,17;28,96;80,00;-58,65;-5,10;-91,80;30,09;63,64;
01/01/2000;00:00:01,66;586,43;875,49;-216,80;-55,77;27,94;81,66;-58,50;-3,00;-90,90;30,09;67,23;
01/01/2000;00:00:01,66;490,23;811,52;-206,05;-45,05;53,51;75,95;-58,80;-6,00;-89,40;30,33;69,77;
01/01/2000;00:00:01,67;259,28;656,25;32,71;-41,79;27,21;75,05;-58,80;-6,00;-89,40;30,47;72,46;
01/01/2000;00:00:01,69;-25,39;604,98;-25,39;-54,60;-9,59;65,15;-61,05;-6,00;-88,65;30,52;72,37;
01/01/2000;00:00:01,70;-152,83;787,11;-107,91;-70,06;-17,19;49,20;-58,50;-7,95;-89,40;29,99;74,07;
01/01/2000;00:00:01,71;-161,13;1031,74;-277,34;-54,51;-27,53;37,19;-59,70;-7,65;-88,50;30,33;76,02;
01/01/2000;00:00:01,72;-1,46;1076,17;-518,55;-13,85;-27,38;42,15;-61,20;-7,35;-89,25;30,33;77,35;
01/01/2000;00:00:01,72;204,59;858,89;-630,37;16,92;-15,65;50,34;-61,20;-7,35;-89,25;30,43;78,95;
01/01/2000;00:00:01,74;296,88;590,33;-536,62;19,21;-7,36;56,79;-59,85;-7,20;-89,40;30,09;80,00;
01/01/2000;00:00:01,75;185,06;371,58;-274,90;15,89;-35,61;48,11;-62,25;-8,85;-88,95;30,09;79,44;
01/01/2000;00:00:01,76;90,82;375,98;-155,76;8,80;-58,08;45,70;-62,85;-9,00;-88,35;30,43;80,72;
01/01/2000;00:00:01,77;-7,81;390,62;-52,25;4,32;-68,10;35,43;-62,10;-7,20;-90,90;30,33;81,55;
01/01/2000;00:00:01,78;-145,02;419,92;23,93;2,02;-67,45;23,15;-62,10;-7,20;-90,90;30,09;82,64;
01/01/2000;00:00:01,79;-259,28;467,29;32,23;7,12;-57,31;14,79;-62,85;-8,25;-92,40;30,43;83,33;
01/01/2000;00:00:01,80;-311,52;428,22;-30,76;18,82;-17,21;0,64;-62,85;-8,25;-90,90;30,47;82,71;
01/01/2000;00:00:01,82;-294,92;380,86;-57,13;18,49;20,69;-6,91;-62,25;-8,85;-93,90;30,47;83,64;
01/01/2000;00:00:01,82;-237,30;345,70;-36,13;16,21;54,82;-14,83;-62,25;-8,85;-93,90;30,09;84,21;
01/01/2000;00:00:01,84;-177,25;315,43;-26,37;17,04;84,20;-21,26;-62,25;-8,85;-93,90;30,62;85,03;
01/01/2000;00:00:01,84;-112,79;324,71;-11,23;19,61;114,36;-21,59;-61,95;-8,10;-92,85;30,33;85,53;
01/01/2000;00:00:01,86;19,04;360,84;120,61;24,54;152,70;-29,01;-62,85;-9,00;-89,10;30,43;84,11;
01/01/2000;00:00:01,88;65,92;403,81;167,48;26,95;168,11;-31,15;-63,00;-7,65;-88,95;30,28;84,59;
01/01/2000;00:00:01,88;147,95;435,06;199,22;35,37;173,08;-33,67;-63,00;-7,65;-88,95;30,52;85,29;
01/01/2000;00:00:01,90;205,57;455,08;230,47;46,59;174,88;-35,72;-62,25;-9,30;-88,20;30,52;85,71;
01/01/2000;00:00:01,90;268,55;458,01;255,86;50,08;167,34;-35,26;-60,30;-9,75;-88,05;30,47;86,35;
01/01/2000;00:00:01,92;324,71;457,03;279,30;47,47;140,50;-35,39;-61,05;-8,70;-86,85;30,52;85,79;
01/01/2000;00:00:01,92;346,68;491,70;267,09;44,63;111,05;-32,51;-61,05;-8,70;-84,75;30,28;86,16;
01/01/2000;00:00:01,94;375,49;573,24;252,44;41,76;85,31;-34,27;-61,05;-8,70;-84,75;30,28;86,73;
01/01/2000;00:00:01,94;413,57;686,52;291,02;45,37;59,97;-38,02;-60,45;-6,60;-84,60;30,52;87,06;
01/01/2000;00:00:01,96;433,11;797,36;277,83;51,66;25,52;-46,22;-60,00;-7,65;-84,15;30,43;87,59;
01/01/2000;00:00:01,96;417,97;951,66;273,93;56,40;-4,43;-52,71;-59,70;-7,35;-85,65;30,33;87,89;
01/01/2000;00:00:01,98;367,19;1173,34;287,11;63,08;-40,82;-63,22;-59,85;-6,75;-85,50;30,28;87,56;
01/01/2000;00:00:01,99;349,61;1231,93;309,08;64,96;-62,27;-69,60;-59,10;-5,55;-85,50;30,62;87,84;
01/01/2000;00:00:02,00;364,75;1157,71;301,76;62,75;-73,50;-69,48;-57,75;-4,80;-87,30;30,33;88,11;
01/01/2000;00:00:02,00;386,72;1000,49;269,53;60,07;-71,69;-72,03;-58,50;-3,30;-88,35;30,33;88,55;
