Format Version,1.23,Take Name,sub01_gyors_nyomas,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2021-10-20 02.38.46.846 DU.,Capture Start Frame,10069111,Total Frames in Take,4746,Total Exported Frames,4746,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,felso,felso,felso,felso,felso,felso,felso,felso,"felso:Marker1","felso:Marker1","felso:Marker1","felso:Marker1","felso:Marker2","felso:Marker2","felso:Marker2","felso:Marker2","felso:Marker3","felso:Marker3","felso:Marker3","felso:Marker3",also,also,also,also,also,also,also,also,"also:Marker1","also:Marker1","also:Marker1","also:Marker1","also:Marker2","also:Marker2","also:Marker2","also:Marker2","also:Marker3","also:Marker3","also:Marker3","also:Marker3",also:Marker1,also:Marker1,also:Marker1,also:Marker2,also:Marker2,also:Marker2,also:Marker3,also:Marker3,also:Marker3,felso:Marker1,felso:Marker1,felso:Marker1,felso:Marker2,felso:Marker2,felso:Marker2,felso:Marker3,felso:Marker3,felso:Marker3
,ID,"67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","CF1E0","CF1E0","CF1E0","CF1B0","CF1B0","CF1B0","CF1C0","CF1C0","CF1C0","CF1D0","CF1D0","CF1D0","CF200","CF200","CF200","CF1F0","CF1F0","CF1F0"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.017423,-0.076747,-0.046356,-0.995820,0.299764,1.346079,1.142199,0.000538,0.342332,1.300430,1.169162,0.930968,0.246144,1.351950,1.080984,0.866324,0.310816,1.385856,1.176449,0.933871,-0.015401,-0.152742,-0.018654,-0.987970,0.299830,1.094040,1.084049,0.000491,0.250721,1.081504,1.048354,0.919803,0.344076,1.137322,1.124522,0.927429,0.304695,1.063296,1.079270,0.875425,0.250459,1.081623,1.048212,0.343940,1.137110,1.124377,0.305092,1.063388,1.079556,0.342519,1.300374,1.169357,0.245793,1.351986,1.080582,0.310980,1.385876,1.176656
1,0.010000,-0.017053,-0.077492,-0.046063,-0.995782,0.299856,1.346169,1.141815,0.000555,0.342441,1.300522,1.168754,0.927731,0.246149,1.352015,1.080674,0.862360,0.310979,1.385970,1.176015,0.933059,-0.015160,-0.153819,-0.018639,-0.987807,0.299764,1.094076,1.083903,0.000479,0.250578,1.081516,1.048321,0.922252,0.344094,1.137382,1.124258,0.929102,0.304621,1.063329,1.079129,0.878954,0.250325,1.081635,1.048186,0.343959,1.137176,1.124116,0.305008,1.063415,1.079406,0.342637,1.300463,1.168958,0.245787,1.352055,1.080262,0.311145,1.385989,1.176224
2,0.020000,-0.017799,-0.079067,-0.049789,-0.995466,0.300379,1.346233,1.141531,0.001121,0.343384,1.300851,1.168249,0.927731,0.246439,1.351799,1.080570,0.862360,0.311314,1.386049,1.175774,0.933059,-0.014838,-0.154553,-0.018381,-0.987702,0.299722,1.094111,1.083743,0.000500,0.250479,1.081545,1.048244,0.922252,0.344128,1.137430,1.124001,0.929102,0.304560,1.063359,1.078985,0.878954,0.250208,1.081676,1.048100,0.343987,1.137222,1.123855,0.304972,1.063436,1.079275,0.344041,1.300443,1.168810,0.245782,1.352114,1.079960,0.311314,1.386136,1.175821
3,0.030000,-0.017206,-0.079833,-0.049764,-0.995417,0.300480,1.346308,1.141143,0.001170,0.343528,1.300962,1.167854,0.751774,0.246450,1.351793,1.080254,0.751240,0.311463,1.386168,1.175319,0.974878,-0.014439,-0.155638,-0.018187,-0.987541,0.299697,1.094143,1.083568,0.000483,0.250374,1.081556,1.048188,0.918699,0.344200,1.137487,1.123690,0.929712,0.304518,1.063385,1.078827,0.875951,0.250106,1.081670,1.048043,0.344071,1.137279,1.123552,0.304915,1.063479,1.079109,0.344212,1.300541,1.168438,0.245761,1.352121,1.079615,0.311466,1.386255,1.175369
4,0.040000,-0.016609,-0.080635,-0.049885,-0.995356,0.300559,1.346378,1.140737,0.001162,0.343665,1.301082,1.167439,0.751774,0.246432,1.351767,1.079925,0.751240,0.311579,1.386285,1.174847,0.974878,-0.013972,-0.156621,-0.018272,-0.987391,0.299657,1.094160,1.083382,0.000503,0.250268,1.081522,1.048110,0.918699,0.344224,1.137557,1.123376,0.929712,0.304479,1.063399,1.078660,0.875951,0.250016,1.081661,1.047982,0.344071,1.137346,1.123223,0.304883,1.063472,1.078941,0.344363,1.300677,1.168046,0.245730,1.352113,1.079282,0.311581,1.386339,1.174878
5,0.050000,-0.015878,-0.081638,-0.049926,-0.995284,0.300631,1.346459,1.140320,0.001167,0.343799,1.301214,1.167009,0.738168,0.246385,1.351741,1.079605,0.752836,0.311707,1.386421,1.174347,0.981919,-0.013635,-0.157746,-0.018333,-0.987215,0.299648,1.094171,1.083188,0.000487,0.250183,1.081497,1.048037,0.922287,0.344294,1.137607,1.123052,0.927381,0.304467,1.063409,1.078476,0.878005,0.249931,1.081623,1.047906,0.344151,1.137400,1.122907,0.304862,1.063491,1.078751,0.344524,1.300782,1.167629,0.245699,1.352088,1.078984,0.311689,1.386489,1.174362
