Format Version,1.23,Take Name,sub01_karemeles,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2021-10-20 02.42.19.501 DU.,Capture Start Frame,10090377,Total Frames in Take,3881,Total Exported Frames,3881,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,felso,felso,felso,felso,felso,felso,felso,felso,"felso:Marker1","felso:Marker1","felso:Marker1","felso:Marker1","felso:Marker2","felso:Marker2","felso:Marker2","felso:Marker2","felso:Marker3","felso:Marker3","felso:Marker3","felso:Marker3",also,also,also,also,also,also,also,also,"also:Marker1","also:Marker1","also:Marker1","also:Marker1","also:Marker2","also:Marker2","also:Marker2","also:Marker2","also:Marker3","also:Marker3","also:Marker3","also:Marker3",Unlabeled 1029,Unlabeled 1029,Unlabeled 1029,Unlabeled 1033,Unlabeled 1033,Unlabeled 1033,Unlabeled 1034,Unlabeled 1034,Unlabeled 1034,Unlabeled 1035,Unlabeled 1035,Unlabeled 1035,Unlabeled 1037,Unlabeled 1037,Unlabeled 1037,Unlabeled 1038,Unlabeled 1038,Unlabeled 1038,Unlabeled 1040,Unlabeled 1040,Unlabeled 1040,Unlabeled 1041,Unlabeled 1041,Unlabeled 1041,Unlabeled 1042,Unlabeled 1042,Unlabeled 1042,Unlabeled 1045,Unlabeled 1045,Unlabeled 1045,Unlabeled 1048,Unlabeled 1048,Unlabeled 1048,Unlabeled 1049,Unlabeled 1049,Unlabeled 1049,also:Marker1,also:Marker1,also:Marker1,also:Marker2,also:Marker2,also:Marker2,also:Marker3,also:Marker3,also:Marker3,felso:Marker1,felso:Marker1,felso:Marker1,felso:Marker2,felso:Marker2,felso:Marker2,felso:Marker3,felso:Marker3,felso:Marker3
,ID,"67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","CF370","CF370","CF370","CF420","CF420","CF420","CF430","CF430","CF430","CF440","CF440","CF440","CF460","CF460","CF460","CF470","CF470","CF470","CF490","CF490","CF490","CF4A0","CF4A0","CF4A0","CF4B0","CF4B0","CF4B0","CF4E0","CF4E0","CF4E0","CF510","CF510","CF510","CF520","CF520","CF520","CF390","CF390","CF390","CF1B0","CF1B0","CF1B0","CF3E0","CF3E0","CF3E0","CF3C0","CF3C0","CF3C0","CF2A0","CF2A0","CF2A0","CF1F0","CF1F0","CF1F0"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.078423,-0.106534,-0.018168,-0.991045,0.229114,1.320055,1.165372,0.000194,0.270106,1.269106,1.183993,0.960868,0.172273,1.336220,1.109117,0.957083,0.244963,1.354840,1.203006,0.994437,-0.018172,-0.038513,0.002504,-0.999090,0.229975,1.067848,1.103947,0.000070,0.189722,1.057528,1.057945,0.983649,0.265825,1.109118,1.153753,0.995659,0.234379,1.036899,1.100142,0.980845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.189678,1.057558,1.057907,0.265816,1.109110,1.153740,0.234432,1.036877,1.100193,0.270214,1.269029,1.184074,0.172152,1.336290,1.109018,0.244976,1.354846,1.203024
1,0.010000,-0.078450,-0.106366,-0.018192,-0.991061,0.229064,1.320065,1.165406,0.000199,0.270050,1.269115,1.184038,0.955728,0.172241,1.336232,1.109133,0.954740,0.244900,1.354847,1.203048,0.998796,-0.018432,-0.038576,0.002320,-0.999083,0.229937,1.067879,1.103928,0.000069,0.189682,1.057569,1.057926,0.983949,0.265779,1.109135,1.153752,0.998831,0.234352,1.036933,1.100107,0.983572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.189637,1.057589,1.057884,0.265777,1.109131,1.153749,0.234397,1.036917,1.100151,0.270173,1.269031,1.184133,0.172115,1.336316,1.109035,0.244903,1.354847,1.203052
2,0.020000,-0.078544,-0.106350,-0.018213,-0.991054,0.229024,1.320070,1.165453,0.000181,0.270011,1.269118,1.184076,0.955728,0.172204,1.336247,1.109181,0.954740,0.244859,1.354846,1.203102,0.998796,-0.018389,-0.038343,0.002302,-0.999093,0.229911,1.067902,1.103923,0.000057,0.189677,1.057587,1.057903,0.983949,0.265728,1.109163,1.153760,0.998831,0.234328,1.036956,1.100106,0.983572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.189646,1.057598,1.057873,0.265723,1.109148,1.153751,0.234364,1.036960,1.100146,0.270125,1.269038,1.184163,0.172089,1.336325,1.109094,0.244859,1.354848,1.203103
3,0.030000,-0.078587,-0.106245,-0.018290,-0.991061,0.228987,1.320070,1.165495,0.000177,0.269976,1.269121,1.184122,0.959069,0.172176,1.336245,1.109213,0.960159,0.244808,1.354843,1.203151,0.998898,-0.018388,-0.038172,0.002643,-0.999098,0.229881,1.067915,1.103927,0.000085,0.189655,1.057626,1.057895,0.982805,0.265710,1.109153,1.153775,0.991286,0.234278,1.036966,1.100113,0.977945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.189609,1.057654,1.057852,0.265696,1.109129,1.153753,0.234339,1.036961,1.100177,0.270090,1.269040,1.184208,0.172065,1.336323,1.109129,0.244805,1.354845,1.203149
4,0.040000,-0.078692,-0.106106,-0.018302,-0.991067,0.228950,1.320060,1.165554,0.000191,0.269933,1.269106,1.184180,0.959069,0.172155,1.336249,1.109259,0.960159,0.244762,1.354825,1.203222,0.998898,-0.018638,-0.038174,0.002386,-0.999094,0.229842,1.067913,1.103919,0.000070,0.189621,1.057628,1.057881,0.982805,0.265650,1.109143,1.153788,0.991286,0.234254,1.036968,1.100089,0.977945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.189580,1.057649,1.057842,0.265644,1.109131,1.153779,0.234302,1.036960,1.100138,0.270056,1.269018,1.184273,0.172036,1.336333,1.109169,0.244758,1.354829,1.203219
5,0.050000,-0.078868,-0.105772,-0.018364,-0.991088,0.228925,1.320035,1.165605,0.000189,0.269897,1.269075,1.184241,0.956209,0.172167,1.336243,1.109279,0.959112,0.244710,1.354787,1.203297,0.996933,-0.018521,-0.037984,0.002759,-0.999103,0.229809,1.067901,1.103927,0.000077,0.189598,1.057634,1.057877,0.982188,0.265630,1.109117,1.153798,0.996572,0.234200,1.036951,1.100106,0.980077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.189550,1.057662,1.057833,0.265623,1.109110,1.153789,0.234255,1.036930,1.100160,0.270017,1.268984,1.184329,0.172054,1.336325,1.109194,0.244703,1.354796,1.203294
