Format Version,1.23,Take Name,sub01_karnyujtas,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2021-10-20 02.41.05.972 DU.,Capture Start Frame,10083024,Total Frames in Take,2924,Total Exported Frames,2924,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,felso,felso,felso,felso,felso,felso,felso,felso,"felso:Marker1","felso:Marker1","felso:Marker1","felso:Marker1","felso:Marker2","felso:Marker2","felso:Marker2","felso:Marker2","felso:Marker3","felso:Marker3","felso:Marker3","felso:Marker3",also,also,also,also,also,also,also,also,"also:Marker1","also:Marker1","also:Marker1","also:Marker1","also:Marker2","also:Marker2","also:Marker2","also:Marker2","also:Marker3","also:Marker3","also:Marker3","also:Marker3",also:Marker1,also:Marker1,also:Marker1,also:Marker2,also:Marker2,also:Marker2,also:Marker3,also:Marker3,also:Marker3,felso:Marker1,felso:Marker1,felso:Marker1,felso:Marker2,felso:Marker2,felso:Marker2,felso:Marker3,felso:Marker3,felso:Marker3
,ID,"67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","CF270","CF270","CF270","CF1B0","CF1B0","CF1B0","CF2D0","CF2D0","CF2D0","CF1D0","CF1D0","CF1D0","CF2A0","CF2A0","CF2A0","CF1F0","CF1F0","CF1F0"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.063202,-0.190722,0.035082,-0.978979,0.222024,1.314171,1.145870,0.000172,0.261228,1.260343,1.159594,0.951010,0.157638,1.333539,1.099651,0.948616,0.247205,1.348632,1.178363,0.984257,-0.014666,-0.137780,-0.015671,-0.990230,0.221549,1.077639,1.091729,0.000231,0.173462,1.065336,1.054591,0.935977,0.264822,1.120725,1.133443,0.982741,0.226363,1.046855,1.087154,0.920760,0.173275,1.065484,1.054497,0.264765,1.120731,1.133404,0.226606,1.046701,1.087286,0.261382,1.260283,1.159700,0.157490,1.333656,1.099570,0.247200,1.348574,1.178339
1,0.010000,-0.062072,-0.191201,0.036371,-0.978911,0.222001,1.314221,1.145854,0.000152,0.261112,1.260349,1.159674,0.942270,0.157599,1.333597,1.099661,0.948972,0.247292,1.348716,1.178225,0.971768,-0.014376,-0.137256,-0.015189,-0.990315,0.221423,1.077664,1.091849,0.000207,0.173365,1.065378,1.054668,0.940700,0.264691,1.120741,1.133578,0.983193,0.226215,1.046873,1.087300,0.925650,0.173195,1.065521,1.054585,0.264635,1.120750,1.133541,0.226440,1.046720,1.087420,0.261293,1.260279,1.159799,0.157468,1.333743,1.099604,0.247242,1.348641,1.178159
2,0.020000,-0.063088,-0.190307,0.035831,-0.979040,0.221928,1.314240,1.146008,0.000177,0.261043,1.260361,1.159790,0.942270,0.157605,1.333678,1.099731,0.948972,0.247137,1.348681,1.178501,0.971768,-0.014209,-0.136759,-0.014992,-0.990389,0.221296,1.077675,1.091994,0.000211,0.173270,1.065393,1.054770,0.940700,0.264537,1.120752,1.133751,0.983193,0.226080,1.046881,1.087461,0.925650,0.173097,1.065560,1.054690,0.264465,1.120760,1.133702,0.226325,1.046706,1.087590,0.261207,1.260294,1.159902,0.157455,1.333804,1.099651,0.247123,1.348622,1.178470
3,0.030000,-0.062746,-0.190350,0.036202,-0.979040,0.221895,1.314252,1.146085,0.000192,0.260980,1.260362,1.159905,0.948424,0.157575,1.333691,1.099803,0.946700,0.247128,1.348705,1.178547,0.987334,-0.014078,-0.136234,-0.014895,-0.990465,0.221154,1.077681,1.092157,0.000226,0.173166,1.065396,1.054885,0.938218,0.264359,1.120762,1.133948,0.972513,0.225939,1.046884,1.087638,0.918162,0.173003,1.065568,1.054814,0.264271,1.120750,1.133883,0.226189,1.046724,1.087775,0.261140,1.260287,1.160012,0.157422,1.333811,1.099718,0.247122,1.348659,1.178526
4,0.040000,-0.062477,-0.190441,0.036466,-0.979030,0.221868,1.314258,1.146152,0.000176,0.260934,1.260360,1.159996,0.948424,0.157546,1.333693,1.099873,0.946700,0.247123,1.348720,1.178586,0.987334,-0.014028,-0.136005,-0.014625,-0.990501,0.221045,1.077641,1.092351,0.000211,0.173067,1.065376,1.055059,0.938218,0.264253,1.120706,1.134155,0.972513,0.225815,1.046842,1.087839,0.918162,0.172908,1.065512,1.054981,0.264188,1.120690,1.134104,0.226040,1.046723,1.087969,0.261095,1.260294,1.160106,0.157397,1.333816,1.099793,0.247112,1.348663,1.178558
5,0.050000,-0.062200,-0.190701,0.036830,-0.978983,0.221847,1.314259,1.146207,0.000181,0.260890,1.260348,1.160064,0.949022,0.157508,1.333701,1.099954,0.947621,0.247141,1.348728,1.178604,0.985051,-0.013401,-0.135519,-0.013783,-0.990588,0.220910,1.077602,1.092543,0.000225,0.172950,1.065355,1.055222,0.938746,0.264142,1.120662,1.134326,0.975355,0.225638,1.046788,1.088081,0.920713,0.172779,1.065511,1.055140,0.264065,1.120646,1.134267,0.225885,1.046649,1.088222,0.261049,1.260279,1.160172,0.157358,1.333822,1.099872,0.247132,1.348675,1.178579
