Format Version,1.23,Take Name,sub01_ugras_jojojo,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2021-10-20 02.53.30.331 DU.,Capture Start Frame,10157463,Total Frames in Take,1661,Total Exported Frames,1661,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,felso,felso,felso,felso,felso,felso,felso,felso,"felso:Marker1","felso:Marker1","felso:Marker1","felso:Marker1","felso:Marker2","felso:Marker2","felso:Marker2","felso:Marker2","felso:Marker3","felso:Marker3","felso:Marker3","felso:Marker3",also,also,also,also,also,also,also,also,"also:Marker1","also:Marker1","also:Marker1","also:Marker1","also:Marker2","also:Marker2","also:Marker2","also:Marker2","also:Marker3","also:Marker3","also:Marker3","also:Marker3",also:Marker1,also:Marker1,also:Marker1,also:Marker2,also:Marker2,also:Marker2,also:Marker3,also:Marker3,also:Marker3,felso:Marker1,felso:Marker1,felso:Marker1,felso:Marker2,felso:Marker2,felso:Marker2,felso:Marker3,felso:Marker3,felso:Marker3
,ID,"67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","D86A0","D86A0","D86A0","D85A0","D85A0","D85A0","D85C0","D85C0","D85C0","D85B0","D85B0","D85B0","D8660","D8660","D8660","D86B0","D86B0","D86B0"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.004007,0.867311,-0.017345,0.497448,0.441517,0.822585,0.770490,0.000177,0.453182,0.772983,0.725474,0.949779,0.403958,0.833460,0.842098,0.948244,0.467411,0.861313,0.743896,0.978904,0.098123,-0.840850,-0.151173,-0.510382,0.538615,0.369079,0.749692,0.000533,0.519094,0.340825,0.801304,0.877524,0.552353,0.427228,0.706115,0.937322,0.544396,0.339183,0.741659,0.839405,0.518903,0.340982,0.801727,0.552296,0.427051,0.706284,0.544645,0.339203,0.741066,0.453274,0.772956,0.725298,0.403894,0.833567,0.842264,0.467383,0.861234,0.743907
1,0.010000,0.003578,0.867159,-0.017280,0.497719,0.441761,0.822579,0.770426,0.000174,0.453494,0.772972,0.725433,0.947027,0.404150,0.833447,0.842009,0.947147,0.467640,0.861319,0.743836,0.979468,0.097854,-0.840819,-0.151275,-0.510455,0.538844,0.369074,0.749656,0.000500,0.519310,0.340804,0.801253,0.895664,0.552605,0.427239,0.706106,0.936017,0.544615,0.339180,0.741608,0.858017,0.519148,0.340949,0.801609,0.552550,0.427053,0.706273,0.544832,0.339221,0.741085,0.453589,0.772934,0.725248,0.404086,0.833559,0.842176,0.467609,0.861245,0.743854
2,0.020000,0.003025,0.867142,-0.017186,0.497755,0.441964,0.822567,0.770347,0.000190,0.453752,0.772955,0.725374,0.947027,0.404337,0.833423,0.841923,0.947147,0.467804,0.861324,0.743743,0.979468,0.093501,-0.841340,-0.149459,-0.510947,0.539244,0.369048,0.749657,0.000656,0.519480,0.340894,0.801229,0.895664,0.553525,0.427138,0.706175,0.936017,0.544728,0.339111,0.741566,0.858017,0.519318,0.341000,0.801595,0.553465,0.426804,0.706374,0.544950,0.339339,0.741001,0.453839,0.772912,0.725199,0.404261,0.833521,0.842103,0.467792,0.861269,0.743737
3,0.030000,0.003547,0.866925,-0.017470,0.498121,0.442197,0.822504,0.770307,0.000226,0.453965,0.772879,0.725343,0.947448,0.404520,0.833403,0.841850,0.937294,0.468105,0.861231,0.743726,0.980064,0.092761,-0.841485,-0.149329,-0.510881,0.539376,0.369140,0.749607,0.000737,0.519596,0.340989,0.801175,0.893121,0.553718,0.427232,0.706147,0.884941,0.544815,0.339200,0.741499,0.822186,0.519429,0.341085,0.801557,0.553653,0.426831,0.706365,0.545047,0.339505,0.740900,0.454063,0.772853,0.725159,0.404429,0.833504,0.842061,0.468099,0.861156,0.743700
4,0.040000,0.002958,0.866986,-0.017327,0.498022,0.442297,0.822499,0.770287,0.000226,0.454112,0.772873,0.725337,0.947448,0.404626,0.833378,0.841836,0.937294,0.468154,0.861247,0.743687,0.980064,0.095866,-0.841138,-0.151099,-0.510358,0.539320,0.369325,0.749540,0.000587,0.519740,0.341041,0.801112,0.893121,0.553243,0.427511,0.706070,0.884941,0.544976,0.339424,0.741438,0.822186,0.519554,0.341117,0.801539,0.553202,0.427277,0.706207,0.545202,0.339581,0.740873,0.454202,0.772819,0.725152,0.404536,0.833476,0.842041,0.468153,0.861202,0.743666
5,0.050000,0.003049,0.866958,-0.017419,0.498068,0.442390,0.822465,0.770290,0.000234,0.454198,0.772832,0.725345,0.945685,0.404714,0.833358,0.841834,0.934523,0.468259,0.861205,0.743690,0.981308,0.096665,-0.840742,-0.151137,-0.510849,0.539485,0.369336,0.749520,0.000575,0.519867,0.341054,0.801079,0.878323,0.553395,0.427516,0.706040,0.938666,0.545192,0.339437,0.741443,0.842948,0.519675,0.341149,0.801516,0.553352,0.427317,0.706176,0.545427,0.339541,0.740869,0.454297,0.772798,0.725155,0.404617,0.833461,0.842055,0.468258,0.861136,0.743660
