Format Version,1.23,Take Name,sub02_ gyors_nyomas,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2021-10-20 04.01.34.290 DU.,Capture Start Frame,10566950,Total Frames in Take,6089,Total Exported Frames,6089,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,felso,felso,felso,felso,felso,felso,felso,felso,"felso:Marker1","felso:Marker1","felso:Marker1","felso:Marker1","felso:Marker2","felso:Marker2","felso:Marker2","felso:Marker2","felso:Marker3","felso:Marker3","felso:Marker3","felso:Marker3",also,also,also,also,also,also,also,also,"also:Marker1","also:Marker1","also:Marker1","also:Marker1","also:Marker2","also:Marker2","also:Marker2","also:Marker2","also:Marker3","also:Marker3","also:Marker3","also:Marker3",also2,also2,also2,also2,also2,also2,also2,also2,"also2:Marker1","also2:Marker1","also2:Marker1","also2:Marker1","also2:Marker2","also2:Marker2","also2:Marker2","also2:Marker2","also2:Marker3","also2:Marker3","also2:Marker3","also2:Marker3",also2:Marker1,also2:Marker1,also2:Marker1,also2:Marker2,also2:Marker2,also2:Marker2,also2:Marker3,also2:Marker3,also2:Marker3,felso:Marker1,felso:Marker1,felso:Marker1,felso:Marker2,felso:Marker2,felso:Marker2,felso:Marker3,felso:Marker3,felso:Marker3
,ID,"67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","34A1D0CA31AA11EC4DBCAC47D5381D9E","34A1D0CA31AA11EC4DBCAC47D5381D9E","34A1D0CA31AA11EC4DBCAC47D5381D9E","34A1D0CA31AA11EC4DBCAC47D5381D9E","34A1D0CA31AA11EC4DBCAC47D5381D9E","34A1D0CA31AA11EC4DBCAC47D5381D9E","34A1D0CA31AA11EC4DBCAC47D5381D9E","34A1D0CA31AA11EC4DBCAC47D5381D9E","34A1D0CA31AA11EC4DBCAC47D5381D9E","34A1D0CA31AA11EC4DBCAC47D5381D9E","34A1D0CA31AA11EC4DBCAC47D5381D9E","34A1D0CA31AA11EC4DBCAC47D5381D9E","34A1D0CA31AA11EC4DBCAC47D5381D9E","34A1D0CA31AA11EC4DBCAC47D5381D9E","34A1D0CA31AA11EC4DBCAC47D5381D9E","34A1D0CA31AA11EC4DBCAC47D5381D9E","34A1D0CA31AA11EC4DBCAC47D5381D9E","34A1D0CA31AA11EC4DBCAC47D5381D9E","34A1D0CA31AA11EC4DBCAC47D5381D9E","34A1D0CA31AA11EC4DBCAC47D5381D9E","FD2A0","FD2A0","FD2A0","104CB0","104CB0","104CB0","1059D0","1059D0","1059D0","F9BB0","F9BB0","F9BB0","1059F0","1059F0","1059F0","FA8C0","FA8C0","FA8C0"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.036136,-0.623709,0.056564,-0.778770,0.981018,1.174805,1.136923,0.000197,1.015165,1.121313,1.112519,0.952250,0.906187,1.193409,1.163585,0.951671,1.021704,1.209692,1.134664,0.995185,,,,,,,,,,,,,,,,,,,,,0.212979,0.765027,0.184622,-0.579041,0.935405,0.965606,1.108341,0.000147,0.985104,0.996138,1.096573,0.975631,0.861849,0.963828,1.133715,0.964366,0.959263,0.936851,1.094735,0.983424,0.985016,0.996163,1.096608,0.861983,0.963851,1.133672,0.959217,0.936804,1.094743,1.015321,1.121227,1.112450,0.906039,1.193512,1.163656,1.021695,1.209675,1.134662
1,0.010000,-0.036241,-0.624043,0.056324,-0.778514,0.980748,1.174886,1.136819,0.000204,1.014887,1.121415,1.112360,0.949200,0.905933,1.193458,1.163551,0.949290,1.021423,1.209784,1.134545,0.994012,,,,,,,,,,,,,,,,,,,,,0.212916,0.765162,0.184657,-0.578875,0.935164,0.965695,1.108112,0.000132,0.984866,0.996230,1.096367,0.975981,0.861596,0.963913,1.133453,0.967030,0.959030,0.936941,1.094517,0.986241,0.984778,0.996248,1.096401,0.861720,0.963937,1.133414,0.958994,0.936899,1.094522,1.015053,1.121324,1.112287,0.905780,1.193569,1.163626,1.021409,1.209764,1.134544
2,0.020000,-0.036370,-0.624401,0.056081,-0.778238,0.980474,1.174961,1.136696,0.000234,1.014604,1.121512,1.112177,0.949200,0.905679,1.193503,1.163504,0.949290,1.021140,1.209870,1.134407,0.994012,,,,,,,,,,,,,,,,,,,,,0.212747,0.765151,0.184775,-0.578914,0.934933,0.965797,1.107902,0.000132,0.984632,0.996343,1.096170,0.975981,0.861365,0.963995,1.133239,0.967030,0.958803,0.937052,1.094296,0.986241,0.984541,0.996365,1.096206,0.861487,0.964023,1.133201,0.958772,0.937002,1.094298,1.014790,1.121393,1.112090,0.905518,1.193630,1.163586,1.021114,1.209862,1.134412
3,0.030000,-0.036574,-0.624740,0.055952,-0.777966,0.980193,1.175053,1.136581,0.000245,1.014299,1.121615,1.112005,0.935681,0.905421,1.193584,1.163462,0.943326,1.020859,1.209960,1.134277,0.990068,,,,,,,,,,,,,,,,,,,,,0.212636,0.765160,0.184669,-0.578976,0.934720,0.965906,1.107655,0.000096,0.984408,0.996468,1.095919,0.959442,0.861154,0.964081,1.132999,0.971139,0.958598,0.937168,1.094048,0.972167,0.984256,0.996481,1.095975,0.861243,0.964153,1.132981,0.958661,0.937085,1.094010,1.014497,1.121481,1.111911,0.905261,1.193721,1.163546,1.020820,1.209957,1.134287
4,0.040000,-0.036285,-0.625085,0.056235,-0.777683,0.979898,1.175126,1.136499,0.000243,1.013976,1.121666,1.111930,0.935681,0.905153,1.193684,1.163436,0.943326,1.020564,1.210028,1.134130,0.990068,,,,,,,,,,,,,,,,,,,,,0.212520,0.764990,0.184892,-0.579172,0.934446,0.966051,1.107394,0.000104,0.984132,0.996617,1.095659,0.959442,0.860889,0.964217,1.132763,0.971139,0.958317,0.937320,1.093760,0.972167,0.983988,0.996612,1.095709,0.860959,0.964284,1.132751,0.958391,0.937258,1.093723,1.014132,1.121523,1.111845,0.905011,1.193792,1.163507,1.020550,1.210063,1.134144
5,0.050000,-0.036570,-0.625465,0.056004,-0.777380,0.979635,1.175251,1.136366,0.000241,1.013690,1.121811,1.111724,0.944235,0.904915,1.193788,1.163387,0.953307,1.020299,1.210155,1.133988,0.989265,,,,,,,,,,,,,,,,,,,,,0.212805,0.764886,0.184124,-0.579450,0.934147,0.966199,1.107120,0.000117,0.983806,0.996774,1.095295,0.961631,0.860616,0.964361,1.132563,0.968050,0.958019,0.937462,1.093501,0.971509,0.983669,0.996815,1.095351,0.860723,0.964426,1.132537,0.958049,0.937356,1.093471,1.013840,1.121668,1.111641,0.904775,1.193891,1.163457,1.020289,1.210194,1.134002
