Format Version,1.23,Take Name,sub02_ karemeles,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2021-10-20 03.58.23.143 DU.,Capture Start Frame,10547835,Total Frames in Take,3479,Total Exported Frames,3479,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,felso,felso,felso,felso,felso,felso,felso,felso,"felso:Marker1","felso:Marker1","felso:Marker1","felso:Marker1","felso:Marker2","felso:Marker2","felso:Marker2","felso:Marker2","felso:Marker3","felso:Marker3","felso:Marker3","felso:Marker3",also,also,also,also,also,also,also,also,"also:Marker1","also:Marker1","also:Marker1","also:Marker1","also:Marker2","also:Marker2","also:Marker2","also:Marker2","also:Marker3","also:Marker3","also:Marker3","also:Marker3",also2,also2,also2,also2,also2,also2,also2,also2,"also2:Marker1","also2:Marker1","also2:Marker1","also2:Marker1","also2:Marker2","also2:Marker2","also2:Marker2","also2:Marker2","also2:Marker3","also2:Marker3","also2:Marker3","also2:Marker3",also2:Marker1,also2:Marker1,also2:Marker1,also2:Marker2,also2:Marker2,also2:Marker2,also2:Marker3,also2:Marker3,also2:Marker3,felso:Marker1,felso:Marker1,felso:Marker1,felso:Marker2,felso:Marker2,felso:Marker2,felso:Marker3,felso:Marker3,felso:Marker3
,ID,"67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","34A1D0CA31AA11EC4DBCAC47D5381D9E","34A1D0CA31AA11EC4DBCAC47D5381D9E","34A1D0CA31AA11EC4DBCAC47D5381D9E","34A1D0CA31AA11EC4DBCAC47D5381D9E","34A1D0CA31AA11EC4DBCAC47D5381D9E","34A1D0CA31AA11EC4DBCAC47D5381D9E","34A1D0CA31AA11EC4DBCAC47D5381D9E","34A1D0CA31AA11EC4DBCAC47D5381D9E","34A1D0CA31AA11EC4DBCAC47D5381D9E","34A1D0CA31AA11EC4DBCAC47D5381D9E","34A1D0CA31AA11EC4DBCAC47D5381D9E","34A1D0CA31AA11EC4DBCAC47D5381D9E","34A1D0CA31AA11EC4DBCAC47D5381D9E","34A1D0CA31AA11EC4DBCAC47D5381D9E","34A1D0CA31AA11EC4DBCAC47D5381D9E","34A1D0CA31AA11EC4DBCAC47D5381D9E","34A1D0CA31AA11EC4DBCAC47D5381D9E","34A1D0CA31AA11EC4DBCAC47D5381D9E","34A1D0CA31AA11EC4DBCAC47D5381D9E","34A1D0CA31AA11EC4DBCAC47D5381D9E","FD2A0","FD2A0","FD2A0","102F40","102F40","102F40","FD450","FD450","FD450","F9BB0","F9BB0","F9BB0","FAC30","FAC30","FAC30","FA8C0","FA8C0","FA8C0"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.030246,-0.571863,0.046347,-0.818480,1.054416,1.180341,1.177889,0.000193,1.092702,1.127607,1.158492,0.941421,0.976333,1.197217,1.194471,0.961706,1.094214,1.216197,1.180705,0.978515,,,,,,,,,,,,,,,,,,,,,0.195187,0.782842,0.196226,-0.557275,1.015244,0.974591,1.144694,0.000111,1.065170,1.006009,1.136886,0.970029,0.940221,0.971306,1.165146,0.982542,1.040341,0.946458,1.132050,0.962712,1.065093,1.006092,1.136924,0.940262,0.971363,1.165145,1.040377,0.946319,1.132012,1.092871,1.127458,1.158428,0.976240,1.197330,1.194515,1.094139,1.216233,1.180726
1,0.010000,-0.030094,-0.572097,0.046051,-0.818339,1.054334,1.180306,1.177890,0.000230,1.092644,1.127601,1.158466,0.945947,0.976248,1.197129,1.194516,0.953754,1.094110,1.216189,1.180688,0.991386,,,,,,,,,,,,,,,,,,,,,0.194487,0.782797,0.196211,-0.557589,1.015164,0.974630,1.144669,0.000149,1.065050,1.006116,1.136876,0.984516,0.940150,0.971235,1.165138,0.964956,1.040292,0.946539,1.131994,0.978993,1.064992,1.006097,1.136888,0.940285,0.971232,1.165100,1.040215,0.946561,1.132020,1.092807,1.127471,1.158407,0.976101,1.197230,1.194565,1.094095,1.216219,1.180698
2,0.020000,-0.030450,-0.571984,0.046402,-0.818385,1.054319,1.180348,1.177850,0.000197,1.092582,1.127608,1.158426,0.945947,0.976245,1.197245,1.194459,0.953754,1.094129,1.216192,1.180664,0.991386,,,,,,,,,,,,,,,,,,,,,0.194644,0.782741,0.196290,-0.557585,1.015055,0.974650,1.144641,0.000139,1.064952,1.006118,1.136842,0.984516,0.940042,0.971283,1.165117,0.964956,1.040172,0.946550,1.131964,0.978993,1.064899,1.006107,1.136855,0.940173,0.971279,1.165079,1.040093,0.946565,1.131989,1.092761,1.127464,1.158361,0.976141,1.197365,1.194506,1.094053,1.216216,1.180682
3,0.030000,-0.030293,-0.572264,0.046314,-0.818200,1.054222,1.180315,1.177863,0.000238,1.092489,1.127584,1.158420,0.945742,0.976155,1.197188,1.194523,0.953541,1.094023,1.216171,1.180646,0.990184,,,,,,,,,,,,,,,,,,,,,0.194946,0.782307,0.196987,-0.557842,1.014917,0.974611,1.144569,0.000205,1.064849,1.006021,1.136765,0.972454,0.939915,0.971322,1.165096,0.959794,1.039988,0.946491,1.131845,0.963673,1.064794,1.006110,1.136799,0.940070,0.971338,1.165056,1.039888,0.946385,1.131851,1.092649,1.127450,1.158361,0.976005,1.197286,1.194572,1.094013,1.216208,1.180657
4,0.040000,-0.030323,-0.572407,0.046385,-0.818095,1.054174,1.180320,1.177855,0.000244,1.092426,1.127584,1.158399,0.945742,0.976115,1.197206,1.194543,0.953541,1.093981,1.216171,1.180623,0.990184,,,,,,,,,,,,,,,,,,,,,0.195089,0.782263,0.197131,-0.557804,1.014805,0.974630,1.144542,0.000206,1.064751,1.006020,1.136741,0.972454,0.939801,0.971371,1.165068,0.959794,1.039864,0.946501,1.131816,0.963673,1.064691,1.006110,1.136776,0.939957,0.971390,1.165028,1.039768,0.946391,1.131821,1.092588,1.127449,1.158339,0.975959,1.197304,1.194593,1.093975,1.216207,1.180633
5,0.050000,-0.030830,-0.572370,0.046797,-0.818078,1.054149,1.180383,1.177823,0.000175,1.092336,1.127606,1.158351,0.948895,0.976111,1.197361,1.194512,0.963485,1.094001,1.216182,1.180607,0.984288,,,,,,,,,,,,,,,,,,,,,0.195139,0.782127,0.197536,-0.557833,1.014681,0.974680,1.144503,0.000202,1.064644,1.006046,1.136720,0.972598,0.939676,0.971450,1.165032,0.960170,1.039723,0.946544,1.131758,0.964332,1.064587,1.006134,1.136754,0.939830,0.971467,1.164992,1.039627,0.946439,1.131764,1.092490,1.127483,1.158295,0.976014,1.197463,1.194553,1.093944,1.216203,1.180621
