Format Version,1.23,Take Name,sub02_ karnyujtas,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2021-10-20 03.59.49.397 DU.,Capture Start Frame,10556460,Total Frames in Take,2978,Total Exported Frames,2978,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,felso,felso,felso,felso,felso,felso,felso,felso,"felso:Marker1","felso:Marker1","felso:Marker1","felso:Marker1","felso:Marker2","felso:Marker2","felso:Marker2","felso:Marker2","felso:Marker3","felso:Marker3","felso:Marker3","felso:Marker3",also,also,also,also,also,also,also,also,"also:Marker1","also:Marker1","also:Marker1","also:Marker1","also:Marker2","also:Marker2","also:Marker2","also:Marker2","also:Marker3","also:Marker3","also:Marker3","also:Marker3",also2,also2,also2,also2,also2,also2,also2,also2,"also2:Marker1","also2:Marker1","also2:Marker1","also2:Marker1","also2:Marker2","also2:Marker2","also2:Marker2","also2:Marker2","also2:Marker3","also2:Marker3","also2:Marker3","also2:Marker3",also2:Marker1,also2:Marker1,also2:Marker1,also2:Marker2,also2:Marker2,also2:Marker2,also2:Marker3,also2:Marker3,also2:Marker3,felso:Marker1,felso:Marker1,felso:Marker1,felso:Marker2,felso:Marker2,felso:Marker2,felso:Marker3,felso:Marker3,felso:Marker3
,ID,"67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","34A1D0CA31AA11EC4DBCAC47D5381D9E","34A1D0CA31AA11EC4DBCAC47D5381D9E","34A1D0CA31AA11EC4DBCAC47D5381D9E","34A1D0CA31AA11EC4DBCAC47D5381D9E","34A1D0CA31AA11EC4DBCAC47D5381D9E","34A1D0CA31AA11EC4DBCAC47D5381D9E","34A1D0CA31AA11EC4DBCAC47D5381D9E","34A1D0CA31AA11EC4DBCAC47D5381D9E","34A1D0CA31AA11EC4DBCAC47D5381D9E","34A1D0CA31AA11EC4DBCAC47D5381D9E","34A1D0CA31AA11EC4DBCAC47D5381D9E","34A1D0CA31AA11EC4DBCAC47D5381D9E","34A1D0CA31AA11EC4DBCAC47D5381D9E","34A1D0CA31AA11EC4DBCAC47D5381D9E","34A1D0CA31AA11EC4DBCAC47D5381D9E","34A1D0CA31AA11EC4DBCAC47D5381D9E","34A1D0CA31AA11EC4DBCAC47D5381D9E","34A1D0CA31AA11EC4DBCAC47D5381D9E","34A1D0CA31AA11EC4DBCAC47D5381D9E","34A1D0CA31AA11EC4DBCAC47D5381D9E","FD2A0","FD2A0","FD2A0","104160","104160","104160","FD450","FD450","FD450","F9BB0","F9BB0","F9BB0","104140","104140","104140","FA8C0","FA8C0","FA8C0"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.017012,-0.685100,0.067257,-0.725138,0.967087,1.170171,1.071904,0.000136,0.997184,1.116010,1.043912,0.955797,0.897521,1.189421,1.109942,0.969177,1.006555,1.205083,1.061859,0.977782,,,,,,,,,,,,,,,,,,,,,0.234096,0.673844,0.158391,-0.682675,0.912205,0.965995,1.057724,0.000226,0.956746,0.996653,1.032887,0.978806,0.848700,0.963922,1.102673,0.956698,0.931168,0.937411,1.037611,0.957444,0.956705,0.996580,1.032900,0.848834,0.963885,1.102569,0.931075,0.937521,1.037703,0.997310,1.115918,1.043828,0.897476,1.189525,1.109989,1.006475,1.205071,1.061895
1,0.010000,-0.017003,-0.685122,0.067149,-0.725127,0.967055,1.170202,1.071999,0.000133,0.997160,1.116050,1.043998,0.956258,0.897487,1.189434,1.110042,0.969033,1.006517,1.205122,1.061957,0.979593,,,,,,,,,,,,,,,,,,,,,0.233936,0.673752,0.158528,-0.682789,0.912192,0.966019,1.057803,0.000215,0.956728,0.996690,1.032974,0.979702,0.848695,0.963922,1.102762,0.958372,0.931152,0.937445,1.037673,0.960999,0.956685,0.996623,1.032989,0.848824,0.963891,1.102662,0.931066,0.937544,1.037758,0.997284,1.115958,1.043916,0.897438,1.189536,1.110092,1.006443,1.205112,1.061990
2,0.020000,-0.017060,-0.685074,0.067021,-0.725183,0.967017,1.170231,1.072097,0.000148,0.997133,1.116089,1.044087,0.956258,0.897442,1.189445,1.110134,0.969033,1.006477,1.205158,1.062070,0.979593,,,,,,,,,,,,,,,,,,,,,0.233808,0.673615,0.158586,-0.682955,0.912165,0.966067,1.057897,0.000260,0.956691,0.996751,1.033064,0.979702,0.848684,0.963948,1.102877,0.958372,0.931121,0.937502,1.037750,0.960999,0.956671,0.996656,1.033057,0.848828,0.963886,1.102759,0.930997,0.937658,1.037876,0.997266,1.115996,1.044001,0.897413,1.189558,1.110176,1.006374,1.205139,1.062115
3,0.030000,-0.016972,-0.685037,0.066973,-0.725224,0.966990,1.170248,1.072208,0.000138,0.997119,1.116111,1.044205,0.955686,0.897406,1.189452,1.110237,0.969468,1.006444,1.205182,1.062183,0.975174,,,,,,,,,,,,,,,,,,,,,0.233815,0.673763,0.158357,-0.682860,0.912166,0.966042,1.057971,0.000223,0.956686,0.996731,1.033136,0.977613,0.848675,0.963920,1.102937,0.956729,0.931136,0.937476,1.037840,0.962975,0.956632,0.996663,1.033159,0.848811,0.963894,1.102834,0.931054,0.937569,1.037920,0.997247,1.116021,1.044121,0.897368,1.189559,1.110282,1.006354,1.205165,1.062222
4,0.040000,-0.017001,-0.685005,0.066909,-0.725260,0.966931,1.170273,1.072297,0.000132,0.997066,1.116141,1.044290,0.955686,0.897343,1.189468,1.110321,0.969468,1.006384,1.205210,1.062280,0.975174,,,,,,,,,,,,,,,,,,,,,0.233766,0.673722,0.158528,-0.682877,0.912124,0.966083,1.058058,0.000267,0.956651,0.996772,1.033233,0.977613,0.848632,0.963958,1.103023,0.956729,0.931090,0.937520,1.037918,0.962975,0.956622,0.996682,1.033233,0.848786,0.963901,1.102900,0.930964,0.937667,1.038042,0.997192,1.116053,1.044208,0.897297,1.189572,1.110369,1.006305,1.205195,1.062314
5,0.050000,-0.016955,-0.685045,0.066861,-0.725228,0.966893,1.170307,1.072401,0.000134,0.997032,1.116179,1.044391,0.956566,0.897307,1.189493,1.110433,0.969667,1.006341,1.205250,1.062380,0.978982,,,,,,,,,,,,,,,,,,,,,0.233901,0.674134,0.157725,-0.682610,0.912167,0.966055,1.058140,0.000161,0.956675,0.996752,1.033291,0.979986,0.848655,0.963934,1.103076,0.965754,0.931172,0.937481,1.038053,0.981611,0.956612,0.996718,1.033328,0.848766,0.963932,1.102996,0.931123,0.937515,1.038096,0.997155,1.116087,1.044309,0.897260,1.189595,1.110481,1.006265,1.205240,1.062414
