Format Version,1.23,Take Name,sub02_ ugras,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2021-10-20 03.50.54.097 DU.,Capture Start Frame,10502928,Total Frames in Take,1637,Total Exported Frames,1637,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,felso,felso,felso,felso,felso,felso,felso,felso,"felso:Marker1","felso:Marker1","felso:Marker1","felso:Marker1","felso:Marker2","felso:Marker2","felso:Marker2","felso:Marker2","felso:Marker3","felso:Marker3","felso:Marker3","felso:Marker3",also,also,also,also,also,also,also,also,"also:Marker1","also:Marker1","also:Marker1","also:Marker1","also:Marker2","also:Marker2","also:Marker2","also:Marker2","also:Marker3","also:Marker3","also:Marker3","also:Marker3",also2,also2,also2,also2,also2,also2,also2,also2,"also2:Marker1","also2:Marker1","also2:Marker1","also2:Marker1","also2:Marker2","also2:Marker2","also2:Marker2","also2:Marker2","also2:Marker3","also2:Marker3","also2:Marker3","also2:Marker3",also2:Marker1,also2:Marker1,also2:Marker1,also2:Marker2,also2:Marker2,also2:Marker2,also2:Marker3,also2:Marker3,also2:Marker3,felso:Marker1,felso:Marker1,felso:Marker1,felso:Marker2,felso:Marker2,felso:Marker2,felso:Marker3,felso:Marker3,felso:Marker3
,ID,"67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","34A1D0CA31AA11EC4DBCAC47D5381D9E","34A1D0CA31AA11EC4DBCAC47D5381D9E","34A1D0CA31AA11EC4DBCAC47D5381D9E","34A1D0CA31AA11EC4DBCAC47D5381D9E","34A1D0CA31AA11EC4DBCAC47D5381D9E","34A1D0CA31AA11EC4DBCAC47D5381D9E","34A1D0CA31AA11EC4DBCAC47D5381D9E","34A1D0CA31AA11EC4DBCAC47D5381D9E","34A1D0CA31AA11EC4DBCAC47D5381D9E","34A1D0CA31AA11EC4DBCAC47D5381D9E","34A1D0CA31AA11EC4DBCAC47D5381D9E","34A1D0CA31AA11EC4DBCAC47D5381D9E","34A1D0CA31AA11EC4DBCAC47D5381D9E","34A1D0CA31AA11EC4DBCAC47D5381D9E","34A1D0CA31AA11EC4DBCAC47D5381D9E","34A1D0CA31AA11EC4DBCAC47D5381D9E","34A1D0CA31AA11EC4DBCAC47D5381D9E","34A1D0CA31AA11EC4DBCAC47D5381D9E","34A1D0CA31AA11EC4DBCAC47D5381D9E","34A1D0CA31AA11EC4DBCAC47D5381D9E","ED7F0","ED7F0","ED7F0","EE1E0","EE1E0","EE1E0","ED970","ED970","ED970","ED690","ED690","ED690","EDFD0","EDFD0","EDFD0","ED940","ED940","ED940"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.172550,0.917628,0.018982,0.357526,-0.204231,0.734377,0.529225,0.000282,-0.218895,0.697164,0.474243,0.957289,-0.218032,0.733898,0.609637,0.936529,-0.175766,0.772067,0.503796,0.957109,,,,,,,,,,,,,,,,,,,,,-0.003306,0.464687,-0.008591,-0.885427,-0.272572,0.397469,0.457754,0.000192,-0.267575,0.449590,0.429485,0.959112,-0.290709,0.356984,0.521704,0.973908,-0.259432,0.385834,0.422073,0.949246,-0.267544,0.449439,0.429431,-0.290735,0.356935,0.521792,-0.259439,0.386034,0.422040,-0.218819,0.697249,0.474115,-0.218059,0.733921,0.609889,-0.175814,0.771959,0.503672
1,0.010000,0.172479,0.917626,0.018966,0.357567,-0.204065,0.734351,0.529184,0.000280,-0.218720,0.697132,0.474204,0.956964,-0.217872,0.733878,0.609595,0.937507,-0.175602,0.772042,0.503753,0.956679,,,,,,,,,,,,,,,,,,,,,-0.003144,0.464715,-0.008418,-0.885415,-0.272446,0.397481,0.457727,0.000190,-0.267423,0.449596,0.429452,0.954498,-0.290605,0.357012,0.521681,0.976824,-0.259309,0.385835,0.422049,0.945915,-0.267391,0.449424,0.429403,-0.290628,0.356971,0.521760,-0.259317,0.386049,0.422018,-0.218642,0.697219,0.474078,-0.217898,0.733903,0.609842,-0.175654,0.771930,0.503632
2,0.020000,0.172522,0.917604,0.018876,0.357607,-0.203901,0.734352,0.529133,0.000280,-0.218559,0.697127,0.474158,0.956964,-0.217713,0.733894,0.609543,0.937507,-0.175431,0.772036,0.503698,0.956679,,,,,,,,,,,,,,,,,,,,,-0.003114,0.464655,-0.008335,-0.885447,-0.272322,0.397491,0.457700,0.000186,-0.267294,0.449606,0.429426,0.954498,-0.290480,0.357024,0.521656,0.976824,-0.259192,0.385843,0.422020,0.945915,-0.267261,0.449428,0.429374,-0.290500,0.356984,0.521727,-0.259204,0.386061,0.421999,-0.218483,0.697211,0.474028,-0.217739,0.733918,0.609794,-0.175480,0.771927,0.503577
3,0.030000,0.172200,0.917640,0.018842,0.357671,-0.203718,0.734356,0.529100,0.000289,-0.218350,0.697106,0.474135,0.959371,-0.217537,0.733915,0.609509,0.935569,-0.175268,0.772048,0.503656,0.955100,,,,,,,,,,,,,,,,,,,,,-0.003068,0.464659,-0.008130,-0.885447,-0.272204,0.397478,0.457675,0.000179,-0.267156,0.449593,0.429406,0.955086,-0.290379,0.357011,0.521626,0.979066,-0.259079,0.385829,0.421993,0.947094,-0.267122,0.449426,0.429350,-0.290398,0.356967,0.521695,-0.259093,0.386039,0.421981,-0.218274,0.697195,0.474022,-0.217572,0.733928,0.609765,-0.175309,0.771947,0.503514
4,0.040000,0.172164,0.917663,0.018720,0.357635,-0.203558,0.734360,0.529073,0.000293,-0.218197,0.697096,0.474119,0.959371,-0.217367,0.733938,0.609484,0.935569,-0.175110,0.772046,0.503617,0.955100,,,,,,,,,,,,,,,,,,,,,-0.002835,0.464607,-0.007744,-0.885479,-0.272076,0.397485,0.457664,0.000208,-0.266983,0.449595,0.429392,0.955086,-0.290279,0.357038,0.521619,0.979066,-0.258965,0.385822,0.421982,0.947094,-0.266956,0.449397,0.429361,-0.290299,0.357014,0.521685,-0.258973,0.386044,0.421947,-0.218117,0.697188,0.473992,-0.217396,0.733961,0.609743,-0.175161,0.771932,0.503485
5,0.050000,0.172107,0.917664,0.018692,0.357662,-0.203402,0.734348,0.529035,0.000279,-0.218035,0.697078,0.474084,0.959152,-0.217214,0.733933,0.609446,0.937812,-0.174956,0.772034,0.503576,0.956645,,,,,,,,,,,,,,,,,,,,,-0.002837,0.464573,-0.007535,-0.885498,-0.271964,0.397500,0.457632,0.000192,-0.266854,0.449613,0.429369,0.950107,-0.290177,0.357047,0.521581,0.980333,-0.258860,0.385839,0.421946,0.942639,-0.266820,0.449425,0.429314,-0.290195,0.357008,0.521646,-0.258877,0.386068,0.421936,-0.217960,0.697165,0.473968,-0.217244,0.733951,0.609692,-0.175002,0.771929,0.503445
