Format Version,1.23,Take Name,sub04_asztalsopres,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2021-10-20 05.18.57.033 DU.,Capture Start Frame,11031243,Total Frames in Take,2892,Total Exported Frames,2892,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,felso,felso,felso,felso,felso,felso,felso,felso,"felso:Marker1","felso:Marker1","felso:Marker1","felso:Marker1","felso:Marker2","felso:Marker2","felso:Marker2","felso:Marker2","felso:Marker3","felso:Marker3","felso:Marker3","felso:Marker3",also,also,also,also,also,also,also,also,"also:Marker1","also:Marker1","also:Marker1","also:Marker1","also:Marker2","also:Marker2","also:Marker2","also:Marker2","also:Marker3","also:Marker3","also:Marker3","also:Marker3",also2,also2,also2,also2,also2,also2,also2,also2,"also2:Marker1","also2:Marker1","also2:Marker1","also2:Marker1","also2:Marker2","also2:Marker2","also2:Marker2","also2:Marker2","also2:Marker3","also2:Marker3","also2:Marker3","also2:Marker3",also2:Marker1,also2:Marker1,also2:Marker1,also2:Marker2,also2:Marker2,also2:Marker2,also2:Marker3,also2:Marker3,also2:Marker3,felso:Marker1,felso:Marker1,felso:Marker1,felso:Marker2,felso:Marker2,felso:Marker2,felso:Marker3,felso:Marker3,felso:Marker3
,ID,"67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","34A1D0CA31AA11EC4DBCAC47D5381D9E","34A1D0CA31AA11EC4DBCAC47D5381D9E","34A1D0CA31AA11EC4DBCAC47D5381D9E","34A1D0CA31AA11EC4DBCAC47D5381D9E","34A1D0CA31AA11EC4DBCAC47D5381D9E","34A1D0CA31AA11EC4DBCAC47D5381D9E","34A1D0CA31AA11EC4DBCAC47D5381D9E","34A1D0CA31AA11EC4DBCAC47D5381D9E","34A1D0CA31AA11EC4DBCAC47D5381D9E","34A1D0CA31AA11EC4DBCAC47D5381D9E","34A1D0CA31AA11EC4DBCAC47D5381D9E","34A1D0CA31AA11EC4DBCAC47D5381D9E","34A1D0CA31AA11EC4DBCAC47D5381D9E","34A1D0CA31AA11EC4DBCAC47D5381D9E","34A1D0CA31AA11EC4DBCAC47D5381D9E","34A1D0CA31AA11EC4DBCAC47D5381D9E","34A1D0CA31AA11EC4DBCAC47D5381D9E","34A1D0CA31AA11EC4DBCAC47D5381D9E","34A1D0CA31AA11EC4DBCAC47D5381D9E","34A1D0CA31AA11EC4DBCAC47D5381D9E","13BE60","13BE60","13BE60","139FC0","139FC0","139FC0","13BEA0","13BEA0","13BEA0","13B730","13B730","13B730","138B30","138B30","138B30","13BC90","13BC90","13BC90"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.150086,-0.272438,0.092402,0.945893,1.570167,1.089076,1.144432,0.000725,1.593634,1.035545,1.179168,0.829198,1.565856,1.115700,1.067430,0.886769,1.551009,1.115983,1.186700,0.806664,,,,,,,,,,,,,,,,,,,,,-0.241102,0.791641,0.301804,0.473379,1.662291,0.913156,1.122834,0.000274,1.623531,0.936842,1.161271,0.921580,1.702250,0.917465,1.056184,0.955285,1.661091,0.885161,1.151048,0.966071,1.623732,0.936739,1.161053,1.702134,0.917533,1.056303,1.661006,0.885196,1.151147,1.593956,1.034963,1.179010,1.565836,1.115632,1.067877,1.550708,1.116633,1.186410
1,0.010000,0.147944,-0.274303,0.095879,0.945345,1.569970,1.089292,1.144920,0.000349,1.593519,1.036067,1.180069,0.959422,1.565935,1.115476,1.067752,0.910225,1.550458,1.116332,1.186938,0.895725,,,,,,,,,,,,,,,,,,,,,-0.241012,0.791072,0.302289,0.474068,1.662177,0.912999,1.123088,0.000335,1.623361,0.936619,1.161509,0.916474,1.702225,0.917417,1.056499,0.941563,1.660944,0.884961,1.151257,0.974541,1.623574,0.936518,1.161272,1.702079,0.917476,1.056671,1.660877,0.885003,1.151321,1.593583,1.035931,1.180128,1.565865,1.115527,1.068100,1.550464,1.116418,1.186530
2,0.020000,0.147016,-0.272529,0.092624,0.946327,1.569910,1.089324,1.145514,0.000391,1.593285,1.035972,1.180585,0.917582,1.565679,1.115489,1.068350,0.954778,1.550765,1.116512,1.187607,0.872533,,,,,,,,,,,,,,,,,,,,,-0.239920,0.790685,0.303104,0.474747,1.662164,0.912776,1.123271,0.000260,1.623362,0.936331,1.161745,0.920366,1.702244,0.917339,1.056710,0.938794,1.660887,0.884658,1.151358,0.972359,1.623544,0.936307,1.161484,1.702087,0.917420,1.056879,1.660863,0.884600,1.151450,1.593421,1.035757,1.180376,1.565758,1.115359,1.068251,1.550550,1.116856,1.187915
3,0.030000,0.149547,-0.272957,0.082465,0.946747,1.569645,1.088427,1.145248,0.001009,1.592150,1.034303,1.179701,0.917582,1.565673,1.115458,1.068369,0.954778,1.551112,1.115520,1.187674,0.872533,,,,,,,,,,,,,,,,,,,,,-0.239941,0.790620,0.303101,0.474846,1.662177,0.912671,1.123460,0.000277,1.623366,0.936224,1.161926,0.920366,1.702272,0.917238,1.056908,0.938794,1.660894,0.884551,1.151545,0.972359,1.623555,0.936188,1.161664,1.702114,0.917317,1.057082,1.660863,0.884508,1.151633,1.592572,1.033519,1.179411,1.565768,1.115266,1.068367,1.550443,1.116785,1.188047
4,0.040000,0.147717,-0.275237,0.097454,0.944948,1.569711,1.089024,1.145500,0.000168,1.593313,1.035897,1.180761,0.765815,1.565799,1.115121,1.068296,0.946564,1.550022,1.116054,1.187443,0.630402,,,,,,,,,,,,,,,,,,,,,-0.239545,0.790682,0.303407,0.474746,1.662210,0.912591,1.123611,0.000255,1.623429,0.936126,1.162119,0.918803,1.702266,0.917198,1.057039,0.937923,1.660934,0.884450,1.151676,0.974276,1.623594,0.936107,1.161879,1.702113,0.917267,1.057212,1.660921,0.884400,1.151744,1.593342,1.035822,1.180843,1.565746,1.115181,1.068464,1.550047,1.116068,1.187194
5,0.050000,0.147318,-0.274909,0.097489,0.945102,1.569719,1.089003,1.145577,0.000174,1.593337,1.035905,1.180871,0.969301,1.565761,1.115033,1.068353,0.958047,1.550058,1.116072,1.187509,0.943504,,,,,,,,,,,,,,,,,,,,,-0.239295,0.790566,0.304203,0.474557,1.662286,0.912454,1.123760,0.000355,1.623521,0.935911,1.162330,0.905070,1.702292,0.917180,1.057166,0.934461,1.661046,0.884270,1.151784,0.970340,1.623758,0.935815,1.162050,1.702126,0.917257,1.057353,1.660976,0.884288,1.151877,1.593377,1.035814,1.180942,1.565713,1.115087,1.068504,1.550066,1.116110,1.187286
