Format Version,1.23,Take Name,sub04_karnyujtas,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2021-10-20 05.23.57.283 DU.,Capture Start Frame,11061270,Total Frames in Take,2898,Total Exported Frames,2898,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,felso,felso,felso,felso,felso,felso,felso,felso,"felso:Marker1","felso:Marker1","felso:Marker1","felso:Marker1","felso:Marker2","felso:Marker2","felso:Marker2","felso:Marker2","felso:Marker3","felso:Marker3","felso:Marker3","felso:Marker3",also,also,also,also,also,also,also,also,"also:Marker1","also:Marker1","also:Marker1","also:Marker1","also:Marker2","also:Marker2","also:Marker2","also:Marker2","also:Marker3","also:Marker3","also:Marker3","also:Marker3",also2,also2,also2,also2,also2,also2,also2,also2,"also2:Marker1","also2:Marker1","also2:Marker1","also2:Marker1","also2:Marker2","also2:Marker2","also2:Marker2","also2:Marker2","also2:Marker3","also2:Marker3","also2:Marker3","also2:Marker3",also2:Marker1,also2:Marker1,also2:Marker1,also2:Marker2,also2:Marker2,also2:Marker2,also2:Marker3,also2:Marker3,also2:Marker3,felso:Marker1,felso:Marker1,felso:Marker1,felso:Marker2,felso:Marker2,felso:Marker2,felso:Marker3,felso:Marker3,felso:Marker3
,ID,"67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","34A1D0CA31AA11EC4DBCAC47D5381D9E","34A1D0CA31AA11EC4DBCAC47D5381D9E","34A1D0CA31AA11EC4DBCAC47D5381D9E","34A1D0CA31AA11EC4DBCAC47D5381D9E","34A1D0CA31AA11EC4DBCAC47D5381D9E","34A1D0CA31AA11EC4DBCAC47D5381D9E","34A1D0CA31AA11EC4DBCAC47D5381D9E","34A1D0CA31AA11EC4DBCAC47D5381D9E","34A1D0CA31AA11EC4DBCAC47D5381D9E","34A1D0CA31AA11EC4DBCAC47D5381D9E","34A1D0CA31AA11EC4DBCAC47D5381D9E","34A1D0CA31AA11EC4DBCAC47D5381D9E","34A1D0CA31AA11EC4DBCAC47D5381D9E","34A1D0CA31AA11EC4DBCAC47D5381D9E","34A1D0CA31AA11EC4DBCAC47D5381D9E","34A1D0CA31AA11EC4DBCAC47D5381D9E","34A1D0CA31AA11EC4DBCAC47D5381D9E","34A1D0CA31AA11EC4DBCAC47D5381D9E","34A1D0CA31AA11EC4DBCAC47D5381D9E","34A1D0CA31AA11EC4DBCAC47D5381D9E","13EB70","13EB70","13EB70","13EB80","13EB80","13EB80","13EAC0","13EAC0","13EAC0","13EAE0","13EAE0","13EAE0","13ED40","13ED40","13ED40","13EAF0","13EAF0","13EAF0"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.021238,0.391319,-0.125593,0.911397,0.666061,1.194934,0.528486,0.000400,0.700809,1.136555,0.531178,0.946864,0.590833,1.221319,0.511127,0.918808,0.706542,1.226930,0.543152,0.956468,,,,,,,,,,,,,,,,,,,,,0.125848,0.917993,0.191963,-0.323422,0.625501,0.999879,0.501143,0.000318,0.670423,1.035292,0.517531,0.939705,0.551170,0.990791,0.479931,0.924574,0.654909,0.973553,0.505966,0.957655,0.670196,1.035353,0.517477,0.551442,0.990891,0.480017,0.654864,0.973392,0.505934,0.700951,1.136397,0.531198,0.590533,1.221423,0.511057,0.706700,1.226984,0.543201
1,0.010000,0.019541,0.391771,-0.125056,0.911315,0.665952,1.195125,0.527520,0.000382,0.700837,1.136832,0.530317,0.940387,0.590640,1.221291,0.510191,0.921699,0.706377,1.227251,0.542052,0.968650,,,,,,,,,,,,,,,,,,,,,0.125875,0.918460,0.189462,-0.323561,0.625875,0.999954,0.500739,0.000281,0.670745,1.035523,0.516932,0.959429,0.551548,0.990637,0.479615,0.932905,0.655332,0.973703,0.505669,0.965921,0.670591,1.035555,0.516894,0.551799,0.990693,0.479690,0.655235,0.973615,0.505633,0.701005,1.136665,0.530343,0.590360,1.221416,0.510130,0.706490,1.227293,0.542088
2,0.020000,0.017931,0.391761,-0.125151,0.911339,0.665915,1.195283,0.526536,0.000337,0.700865,1.137038,0.529496,0.953875,0.590568,1.221315,0.509157,0.922909,0.706310,1.227497,0.540957,0.965131,,,,,,,,,,,,,,,,,,,,,0.125327,0.918500,0.188390,-0.324285,0.626299,0.999999,0.500183,0.000199,0.671121,1.035680,0.516264,0.968120,0.551962,0.990503,0.479175,0.956025,0.655815,0.973813,0.505111,0.970873,0.671008,1.035733,0.516240,0.552123,0.990553,0.479224,0.655766,0.973710,0.505087,0.701013,1.136931,0.529524,0.590286,1.221421,0.509092,0.706445,1.227499,0.540993
3,0.030000,0.016402,0.391864,-0.124258,0.911446,0.665872,1.195492,0.525613,0.000322,0.700990,1.137353,0.528677,0.938996,0.590443,1.221273,0.508214,0.922294,0.706182,1.227851,0.539949,0.983114,,,,,,,,,,,,,,,,,,,,,0.124821,0.918484,0.186859,-0.325408,0.626686,1.000072,0.499720,0.000155,0.671460,1.035893,0.515620,0.968876,0.552323,0.990357,0.478901,0.963536,0.656274,0.973967,0.504638,0.977174,0.671343,1.035929,0.515593,0.552453,0.990411,0.478941,0.656261,0.973877,0.504625,0.701195,1.137226,0.528718,0.590177,1.221423,0.508159,0.706244,1.227827,0.539962
4,0.040000,0.015438,0.391851,-0.123678,0.911547,0.665919,1.195685,0.524726,0.000347,0.701144,1.137614,0.527862,0.945252,0.590441,1.221304,0.507303,0.927406,0.706171,1.228136,0.539015,0.972457,,,,,,,,,,,,,,,,,,,,,0.123738,0.918521,0.185750,-0.326353,0.627034,1.000107,0.499295,0.000204,0.671723,1.036083,0.515084,0.955229,0.552669,0.990140,0.478605,0.948750,0.656710,0.974098,0.504195,0.974306,0.671551,1.036107,0.515042,0.552850,0.990219,0.478661,0.656702,0.973996,0.504182,0.701303,1.137466,0.527888,0.590181,1.221420,0.507245,0.706272,1.228169,0.539045
5,0.050000,0.013273,0.391962,-0.123774,0.911520,0.665970,1.195782,0.523746,0.000241,0.701286,1.137778,0.527086,0.945252,0.590440,1.221217,0.506277,0.927406,0.706184,1.228352,0.537873,0.972457,,,,,,,,,,,,,,,,,,,,,0.123601,0.918374,0.184455,-0.327549,0.627336,1.000085,0.498810,0.000195,0.672011,1.036158,0.514416,0.955229,0.552933,0.989966,0.478330,0.948750,0.657063,0.974129,0.503685,0.974306,0.671814,1.036143,0.514363,0.553125,0.990052,0.478390,0.657069,0.974059,0.503679,0.701526,1.137716,0.527144,0.590240,1.221395,0.506243,0.706145,1.228236,0.537851
