Format Version,1.23,Take Name,sub05_gyors_nyomas,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2021-10-20 05.30.32.482 DU.,Capture Start Frame,11100791,Total Frames in Take,3854,Total Exported Frames,3854,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,felso,felso,felso,felso,felso,felso,felso,felso,"felso:Marker1","felso:Marker1","felso:Marker1","felso:Marker1","felso:Marker2","felso:Marker2","felso:Marker2","felso:Marker2","felso:Marker3","felso:Marker3","felso:Marker3","felso:Marker3",also,also,also,also,also,also,also,also,"also:Marker1","also:Marker1","also:Marker1","also:Marker1","also:Marker2","also:Marker2","also:Marker2","also:Marker2","also:Marker3","also:Marker3","also:Marker3","also:Marker3",also2,also2,also2,also2,also2,also2,also2,also2,"also2:Marker1","also2:Marker1","also2:Marker1","also2:Marker1","also2:Marker2","also2:Marker2","also2:Marker2","also2:Marker2","also2:Marker3","also2:Marker3","also2:Marker3","also2:Marker3",also2:Marker1,also2:Marker1,also2:Marker1,also2:Marker2,also2:Marker2,also2:Marker2,also2:Marker3,also2:Marker3,also2:Marker3,felso:Marker1,felso:Marker1,felso:Marker1,felso:Marker2,felso:Marker2,felso:Marker2,felso:Marker3,felso:Marker3,felso:Marker3
,ID,"67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","34A1D0CA31AA11EC4DBCAC47D5381D9E","34A1D0CA31AA11EC4DBCAC47D5381D9E","34A1D0CA31AA11EC4DBCAC47D5381D9E","34A1D0CA31AA11EC4DBCAC47D5381D9E","34A1D0CA31AA11EC4DBCAC47D5381D9E","34A1D0CA31AA11EC4DBCAC47D5381D9E","34A1D0CA31AA11EC4DBCAC47D5381D9E","34A1D0CA31AA11EC4DBCAC47D5381D9E","34A1D0CA31AA11EC4DBCAC47D5381D9E","34A1D0CA31AA11EC4DBCAC47D5381D9E","34A1D0CA31AA11EC4DBCAC47D5381D9E","34A1D0CA31AA11EC4DBCAC47D5381D9E","34A1D0CA31AA11EC4DBCAC47D5381D9E","34A1D0CA31AA11EC4DBCAC47D5381D9E","34A1D0CA31AA11EC4DBCAC47D5381D9E","34A1D0CA31AA11EC4DBCAC47D5381D9E","34A1D0CA31AA11EC4DBCAC47D5381D9E","34A1D0CA31AA11EC4DBCAC47D5381D9E","34A1D0CA31AA11EC4DBCAC47D5381D9E","34A1D0CA31AA11EC4DBCAC47D5381D9E","13FBB0","13FBB0","13FBB0","13FC20","13FC20","13FC20","13FC30","13FC30","13FC30","13FC00","13FC00","13FC00","13FB40","13FB40","13FB40","13FB90","13FB90","13FB90"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.329633,0.145118,-0.336961,0.869908,0.474309,1.402568,0.670375,0.000229,0.467004,1.336281,0.657125,0.941103,0.446354,1.474382,0.643580,0.953685,0.509570,1.397040,0.710420,0.937901,,,,,,,,,,,,,,,,,,,,,0.772308,0.268761,0.558249,-0.140237,0.289714,1.374743,0.536125,0.000424,0.298452,1.316322,0.528962,0.930918,0.317173,1.445210,0.554509,0.933771,0.253518,1.362697,0.524905,0.949219,0.298353,1.316580,0.528978,0.317075,1.444973,0.554445,0.253714,1.362677,0.524953,0.467123,1.336121,0.657250,0.446397,1.474551,0.643642,0.509407,1.397031,0.710233
1,0.010000,0.330933,0.146814,-0.342511,0.866957,0.472966,1.403568,0.671137,0.000242,0.464851,1.337415,0.657690,0.943285,0.445621,1.475783,0.644793,0.957303,0.508426,1.397505,0.710928,0.931442,,,,,,,,,,,,,,,,,,,,,0.779731,0.244869,0.559650,-0.137295,0.289052,1.381079,0.538815,0.000527,0.295093,1.322491,0.530351,0.909298,0.319828,1.449854,0.558320,0.915016,0.252234,1.370892,0.527775,0.946375,0.295010,1.322842,0.530390,0.319705,1.449548,0.558237,0.252439,1.370847,0.527819,0.464973,1.337274,0.657819,0.445680,1.475924,0.644870,0.508245,1.397506,0.710722
2,0.020000,0.333469,0.148005,-0.346918,0.864026,0.471609,1.404460,0.671854,0.000208,0.462803,1.338469,0.658055,0.957017,0.444852,1.477088,0.646046,0.968339,0.507171,1.397824,0.711462,0.937720,,,,,,,,,,,,,,,,,,,,,0.787602,0.222394,0.558908,-0.133588,0.288483,1.387084,0.541527,0.000405,0.291883,1.328445,0.532007,0.925589,0.322454,1.454137,0.561712,0.938675,0.251111,1.378670,0.530861,0.957062,0.291820,1.328734,0.532042,0.322362,1.453918,0.561651,0.251266,1.378600,0.530886,0.462904,1.338381,0.658163,0.444917,1.477164,0.646124,0.507006,1.397836,0.711277
3,0.030000,0.333467,0.149769,-0.353709,0.860964,0.470235,1.405166,0.672665,0.000237,0.460476,1.339309,0.658862,0.950079,0.444184,1.478161,0.647172,0.964152,0.506045,1.398028,0.711961,0.929878,,,,,,,,,,,,,,,,,,,,,0.793972,0.200752,0.558859,-0.130324,0.287987,1.392492,0.544496,0.000478,0.288894,1.333940,0.533936,0.915952,0.324880,1.457751,0.565420,0.919799,0.250188,1.385785,0.534133,0.957775,0.288868,1.334271,0.533990,0.324748,1.457471,0.565336,0.250347,1.385735,0.534162,0.460595,1.339210,0.658988,0.444254,1.478256,0.647253,0.505857,1.398032,0.711753
4,0.040000,0.334605,0.149822,-0.359178,0.858245,0.468927,1.405801,0.673385,0.000258,0.458351,1.340093,0.659477,0.936275,0.443634,1.479150,0.648147,0.950624,0.504798,1.398160,0.712531,0.928114,,,,,,,,,,,,,,,,,,,,,0.800634,0.180309,0.556796,-0.128262,0.287587,1.397470,0.547540,0.000512,0.286168,1.339115,0.535989,0.911935,0.327178,1.460957,0.568977,0.914305,0.249415,1.392337,0.537655,0.952199,0.286147,1.339461,0.536051,0.327019,1.460667,0.568884,0.249595,1.392280,0.537686,0.458490,1.339940,0.659625,0.443686,1.479329,0.648211,0.504606,1.398133,0.712319
5,0.050000,0.335533,0.151243,-0.364665,0.855314,0.467639,1.406260,0.674143,0.000223,0.456261,1.340713,0.660112,0.936275,0.442984,1.479954,0.649278,0.950624,0.503670,1.398115,0.713039,0.928114,,,,,,,,,,,,,,,,,,,,,0.807550,0.159685,0.553592,-0.126096,0.287410,1.401966,0.550708,0.000403,0.283622,1.343907,0.538238,0.911935,0.329697,1.463575,0.572471,0.914305,0.248910,1.398415,0.541415,0.952199,0.283634,1.344194,0.538298,0.329570,1.463342,0.572396,0.249024,1.398362,0.541430,0.456376,1.340586,0.660234,0.443040,1.480086,0.649343,0.503499,1.398110,0.712853
