Format Version,1.23,Take Name,sub05_rugas,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2021-10-20 05.37.55.424 DU.,Capture Start Frame,11145087,Total Frames in Take,4950,Total Exported Frames,4950,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,felso,felso,felso,felso,felso,felso,felso,felso,"felso:Marker1","felso:Marker1","felso:Marker1","felso:Marker1","felso:Marker2","felso:Marker2","felso:Marker2","felso:Marker2","felso:Marker3","felso:Marker3","felso:Marker3","felso:Marker3",also,also,also,also,also,also,also,also,"also:Marker1","also:Marker1","also:Marker1","also:Marker1","also:Marker2","also:Marker2","also:Marker2","also:Marker2","also:Marker3","also:Marker3","also:Marker3","also:Marker3",also2,also2,also2,also2,also2,also2,also2,also2,"also2:Marker1","also2:Marker1","also2:Marker1","also2:Marker1","also2:Marker2","also2:Marker2","also2:Marker2","also2:Marker2","also2:Marker3","also2:Marker3","also2:Marker3","also2:Marker3",also2:Marker1,also2:Marker1,also2:Marker1,also2:Marker2,also2:Marker2,also2:Marker2,also2:Marker3,also2:Marker3,also2:Marker3,felso:Marker1,felso:Marker1,felso:Marker1,felso:Marker2,felso:Marker2,felso:Marker2,felso:Marker3,felso:Marker3,felso:Marker3
,ID,"67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","67BD0A4631A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","7F06C95731A211EC4DBCAC47D5381C9E","34A1D0CA31AA11EC4DBCAC47D5381D9E","34A1D0CA31AA11EC4DBCAC47D5381D9E","34A1D0CA31AA11EC4DBCAC47D5381D9E","34A1D0CA31AA11EC4DBCAC47D5381D9E","34A1D0CA31AA11EC4DBCAC47D5381D9E","34A1D0CA31AA11EC4DBCAC47D5381D9E","34A1D0CA31AA11EC4DBCAC47D5381D9E","34A1D0CA31AA11EC4DBCAC47D5381D9E","34A1D0CA31AA11EC4DBCAC47D5381D9E","34A1D0CA31AA11EC4DBCAC47D5381D9E","34A1D0CA31AA11EC4DBCAC47D5381D9E","34A1D0CA31AA11EC4DBCAC47D5381D9E","34A1D0CA31AA11EC4DBCAC47D5381D9E","34A1D0CA31AA11EC4DBCAC47D5381D9E","34A1D0CA31AA11EC4DBCAC47D5381D9E","34A1D0CA31AA11EC4DBCAC47D5381D9E","34A1D0CA31AA11EC4DBCAC47D5381D9E","34A1D0CA31AA11EC4DBCAC47D5381D9E","34A1D0CA31AA11EC4DBCAC47D5381D9E","34A1D0CA31AA11EC4DBCAC47D5381D9E","1443D0","1443D0","1443D0","143C70","143C70","143C70","144330","144330","144330","143F00","143F00","143F00","145530","145530","145530","143FA0","143FA0","143FA0"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.448628,-0.641964,0.341702,-0.519476,0.445380,0.853916,0.609444,0.000240,0.411073,0.812618,0.567727,0.933700,0.430562,0.909713,0.667098,0.950537,0.494506,0.839417,0.593508,0.926238,,,,,,,,,,,,,,,,,,,,,0.908433,0.059828,0.410978,0.047612,0.185562,0.596885,0.590473,0.000524,0.160501,0.543267,0.596613,0.908819,0.249148,0.640947,0.581930,0.895162,0.147039,0.606441,0.592875,0.970194,0.160702,0.543569,0.596573,0.248831,0.640676,0.581977,0.147154,0.606411,0.592868,0.411108,0.812435,0.567538,0.430748,0.909762,0.667144,0.494285,0.839551,0.593651
1,0.010000,-0.448623,-0.641876,0.341791,-0.519530,0.445378,0.853919,0.609441,0.000235,0.411069,0.812616,0.567730,0.935965,0.430563,0.909731,0.667080,0.951180,0.494503,0.839410,0.593512,0.924769,,,,,,,,,,,,,,,,,,,,,0.908289,0.059916,0.411255,0.047850,0.185577,0.596840,0.590472,0.000528,0.160512,0.543225,0.596622,0.905493,0.249168,0.640899,0.581949,0.897514,0.147052,0.606397,0.592845,0.970665,0.160712,0.543544,0.596582,0.248862,0.640630,0.581994,0.147158,0.606348,0.592841,0.411094,0.812438,0.567547,0.430753,0.909764,0.667110,0.494288,0.839554,0.593665
2,0.020000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.908375,0.059800,0.411103,0.047680,0.185604,0.596784,0.590503,0.000541,0.160536,0.543169,0.596641,0.905213,0.249196,0.640840,0.581975,0.896732,0.147081,0.606344,0.592894,0.966142,0.160727,0.543494,0.596601,0.248883,0.640574,0.582020,0.147202,0.606285,0.592888,0.411088,0.812444,0.567559,0.430727,0.909740,0.667170,0.494291,0.839556,0.593667
3,0.030000,-0.448609,-0.641894,0.341755,-0.519544,0.445375,0.853921,0.609450,0.000231,0.411070,0.812617,0.567737,0.936934,0.430554,0.909730,0.667091,0.952207,0.494501,0.839417,0.593521,0.926832,,,,,,,,,,,,,,,,,,,,,0.908638,0.059635,0.410598,0.047227,0.185637,0.596725,0.590538,0.000581,0.160576,0.543105,0.596656,0.899972,0.249219,0.640789,0.581976,0.895399,0.147117,0.606283,0.592983,0.955418,0.160748,0.543464,0.596615,0.248897,0.640526,0.582022,0.147267,0.606187,0.592978,0.411097,0.812442,0.567557,0.430738,0.909766,0.667124,0.494289,0.839555,0.593668
4,0.040000,-0.448580,-0.641996,0.341648,-0.519513,0.445370,0.853916,0.609479,0.000230,0.411071,0.812612,0.567761,0.936675,0.430541,0.909710,0.667133,0.952628,0.494499,0.839425,0.593545,0.929021,,,,,,,,,,,,,,,,,,,,,0.908483,0.059773,0.410869,0.047666,0.185624,0.596716,0.590528,0.000542,0.160555,0.543102,0.596677,0.904983,0.249215,0.640767,0.581968,0.896968,0.147103,0.606278,0.592939,0.966081,0.160746,0.543429,0.596637,0.248903,0.640501,0.582014,0.147224,0.606217,0.592934,0.411105,0.812437,0.567581,0.430719,0.909755,0.667176,0.494286,0.839554,0.593682
5,0.050000,-0.448627,-0.641888,0.341762,-0.519531,0.445388,0.853920,0.609467,0.000236,0.411081,0.812618,0.567754,0.936675,0.430569,0.909729,0.667109,0.952628,0.494514,0.839414,0.593538,0.929021,,,,,,,,,,,,,,,,,,,,,0.908473,0.059785,0.410877,0.047784,0.185626,0.596712,0.590538,0.000548,0.160553,0.543101,0.596698,0.904983,0.249220,0.640757,0.581971,0.896968,0.147105,0.606277,0.592945,0.966081,0.160743,0.543432,0.596658,0.248906,0.640489,0.582017,0.147230,0.606214,0.592940,0.411114,0.812445,0.567575,0.430756,0.909765,0.667142,0.494294,0.839552,0.593685
