rtcDate,rtcTime,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,imu_degC,output_Hz,
01/01/2000,00:00:01.43,-317.38,838.38,-482.42,-2.01,-19.82,-38.72,-7.80,19.05,-66.45,33.68,333.33,
01/01/2000,00:00:01.48,-354.49,813.48,-476.56,-0.85,-23.35,-40.98,-4.80,19.50,-66.90,33.59,37.74,
01/01/2000,00:00:01.49,-376.95,820.80,-480.47,2.38,-25.98,-37.20,-4.50,19.05,-67.65,33.49,45.45,
01/01/2000,00:00:01.51,-399.90,807.13,-485.84,2.01,-24.94,-41.04,-3.75,20.25,-68.70,33.78,52.63,
01/01/2000,00:00:01.51,-420.41,789.55,-488.77,3.60,-26.77,-36.83,-3.75,20.25,-68.70,33.68,58.82,
01/01/2000,00:00:01.53,-425.78,758.79,-487.30,2.07,-20.00,-43.11,-2.70,19.80,-67.95,33.83,60.61,
01/01/2000,00:00:01.54,-425.29,753.91,-492.68,4.09,-18.96,-37.50,-2.25,19.80,-69.45,33.59,64.22,
01/01/2000,00:00:01.55,-441.89,735.35,-485.84,3.90,-16.10,-36.95,-3.00,20.25,-67.20,33.64,67.80,
01/01/2000,00:00:01.56,-452.15,752.44,-495.61,2.13,-14.02,-36.59,-2.10,20.85,-67.35,33.78,70.31,
01/01/2000,00:00:01.57,-469.73,741.70,-477.05,6.10,-12.50,-36.16,-2.10,20.85,-67.35,33.35,72.99,
01/01/2000,00:00:01.58,-492.19,744.63,-483.89,4.82,-8.35,-35.98,-1.35,18.90,-68.10,33.78,72.85,
01/01/2000,00:00:01.59,-518.07,737.79,-489.75,4.27,-7.07,-34.09,-2.55,19.65,-66.30,33.83,74.53,
01/01/2000,00:00:01.60,-501.95,726.56,-496.09,4.82,-2.99,-36.59,-1.05,18.60,-68.55,33.68,76.47,
01/01/2000,00:00:01.61,-509.28,698.73,-489.26,1.52,2.13,-38.11,-1.05,18.60,-68.55,33.35,77.78,
01/01/2000,00:00:01.62,-466.31,689.94,-493.16,2.13,2.50,-34.94,-0.45,20.25,-67.65,33.59,79.37,
01/01/2000,00:00:01.63,-465.33,705.57,-500.49,3.17,3.29,-34.27,-1.20,19.50,-70.50,33.64,80.40,
01/01/2000,00:00:01.65,-461.43,690.43,-503.42,5.43,3.90,-31.83,-0.90,19.50,-68.25,33.59,79.81,
01/01/2000,00:00:01.66,-472.17,701.66,-487.79,5.43,3.78,-32.44,-0.90,19.50,-68.25,34.12,81.08,
01/01/2000,00:00:01.67,-489.26,691.89,-507.81,7.50,-0.06,-30.18,-0.90,19.50,-68.25,33.68,81.90,
01/01/2000,00:00:01.67,-511.23,704.59,-502.93,9.82,1.52,-30.43,-0.30,18.90,-68.85,33.35,82.99,
01/01/2000,00:00:01.69,-507.32,689.94,-497.56,6.83,3.84,-32.80,0.30,20.40,-67.80,33.78,83.67,
01/01/2000,00:00:01.70,-509.77,704.59,-488.28,6.59,6.59,-28.41,0.90,19.05,-67.65,33.64,83.33,
01/01/2000,00:00:01.71,-494.63,685.06,-486.82,6.59,9.09,-28.05,0.90,19.05,-67.65,34.12,83.94,
01/01/2000,00:00:01.72,-497.56,699.22,-486.33,4.82,7.99,-27.56,0.00,17.70,-69.60,33.64,84.51,
01/01/2000,00:00:01.73,-486.33,704.59,-496.58,6.40,10.73,-27.20,-0.15,18.30,-67.95,33.64,85.32,
01/01/2000,00:00:01.74,-492.68,701.17,-498.05,6.28,8.23,-26.10,1.20,19.50,-68.25,33.88,85.81,
01/01/2000,00:00:01.75,-476.07,701.66,-487.79,7.68,6.52,-24.94,0.30,18.60,-67.35,33.83,85.44,
01/01/2000,00:00:01.76,-465.33,697.27,-483.40,7.20,4.82,-24.39,0.30,18.60,-67.35,33.64,85.89,
01/01/2000,00:00:01.77,-464.84,706.05,-485.84,7.50,6.65,-25.24,1.20,18.30,-68.70,33.83,86.31,
01/01/2000,00:00:01.78,-477.05,695.80,-470.21,7.26,6.10,-24.02,1.80,18.90,-69.30,33.64,86.96,
01/01/2000,00:00:01.79,-478.03,702.15,-483.40,6.65,3.17,-22.99,1.20,18.00,-69.45,34.02,87.57,
01/01/2000,00:00:01.80,-484.38,684.57,-481.93,6.46,2.01,-22.80,1.20,18.00,-69.45,33.83,87.91,
01/01/2000,00:00:01.82,-470.21,680.18,-471.68,6.10,-0.24,-21.10,1.80,19.35,-69.60,33.83,87.30,
01/01/2000,00:00:01.83,-487.79,677.73,-479.49,6.77,-2.74,-21.40,1.20,16.80,-68.70,33.68,87.63,
