rtcDate,rtcTime,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,imu_degC,output_Hz,
01/01/2000,00:00:01.45,-366.70,668.46,-599.12,-30.37,16.83,48.48,-0.15,8.40,-76.65,33.44,333.33,
01/01/2000,00:00:01.50,-324.22,674.32,-583.50,-31.59,26.28,64.21,-1.80,7.50,-74.70,33.25,37.74,
01/01/2000,00:00:01.51,-296.39,681.64,-575.68,-33.72,28.11,67.13,-1.95,9.60,-76.65,33.49,45.45,
01/01/2000,00:00:01.52,-277.83,706.54,-573.24,-33.90,24.88,69.21,-2.70,8.10,-77.70,33.68,52.63,
01/01/2000,00:00:01.53,-267.58,722.66,-557.13,-37.87,23.17,68.48,-2.70,8.10,-77.70,33.44,58.82,
01/01/2000,00:00:01.55,-249.51,739.26,-556.15,-38.11,15.67,70.79,-3.90,9.45,-76.05,33.59,60.61,
01/01/2000,00:00:01.55,-252.93,748.54,-552.25,-39.09,9.94,72.68,-5.10,11.70,-75.75,33.64,64.22,
01/01/2000,00:00:01.57,-233.40,763.67,-556.64,-40.49,1.10,72.38,-4.35,10.95,-76.80,33.64,67.23,
01/01/2000,00:00:01.57,-241.21,771.97,-550.78,-40.61,-4.27,70.00,-4.65,9.75,-76.80,33.64,70.31,
01/01/2000,00:00:01.59,-242.68,776.86,-542.97,-40.49,-9.88,68.72,-4.65,9.75,-76.80,33.64,72.99,
01/01/2000,00:00:01.60,-270.51,794.43,-546.39,-38.48,-19.76,65.43,-4.80,11.55,-76.65,33.64,72.85,
01/01/2000,00:00:01.61,-278.32,812.50,-545.90,-37.44,-23.17,64.51,-6.75,11.55,-75.90,33.78,74.53,
01/01/2000,00:00:01.62,-297.85,817.38,-558.11,-37.26,-26.89,64.88,-6.30,11.85,-75.60,33.64,76.02,
01/01/2000,00:00:01.63,-295.41,818.36,-572.27,-33.78,-29.51,64.70,-6.30,11.85,-75.60,33.30,77.78,
01/01/2000,00:00:01.64,-321.78,816.41,-572.75,-30.12,-29.51,61.22,-4.65,13.20,-75.75,33.68,79.37,
01/01/2000,00:00:01.65,-330.57,804.69,-576.17,-32.20,-25.79,54.63,-7.20,11.70,-75.75,33.64,80.40,
01/01/2000,00:00:01.66,-355.96,806.64,-581.05,-30.30,-23.11,52.13,-6.75,13.35,-73.35,33.78,79.81,
01/01/2000,00:00:01.67,-341.80,810.06,-568.85,-30.73,-15.49,50.43,-6.75,13.35,-73.35,33.83,81.08,
01/01/2000,00:00:01.68,-343.75,827.15,-571.29,-30.61,-12.38,48.90,-6.90,13.35,-73.35,33.97,81.90,
01/01/2000,00:00:01.69,-332.52,812.99,-557.62,-29.88,-7.56,45.73,-6.90,13.65,-74.70,33.68,82.99,
01/01/2000,00:00:01.70,-312.50,821.29,-549.80,-31.04,-3.60,44.76,-6.30,13.80,-73.35,33.68,83.67,
01/01/2000,00:00:01.71,-289.55,840.82,-535.16,-32.68,0.79,43.11,-7.35,13.80,-73.05,33.68,83.02,
01/01/2000,00:00:01.72,-242.19,849.61,-531.74,-31.10,5.55,42.26,-7.35,13.80,-73.05,33.44,83.94,
01/01/2000,00:00:01.73,-223.14,849.61,-531.74,-28.35,0.37,40.91,-7.20,14.40,-73.95,33.49,84.51,
01/01/2000,00:00:01.74,-204.59,843.75,-528.81,-27.68,-0.49,41.22,-7.80,13.80,-74.10,33.83,85.32,
01/01/2000,00:00:01.75,-204.10,854.49,-527.83,-27.01,-2.50,37.99,-9.45,14.40,-73.95,33.59,85.81,
01/01/2000,00:00:01.77,-201.17,871.58,-522.46,-25.49,-5.12,43.05,-10.20,13.65,-71.70,33.83,85.17,
01/01/2000,00:00:01.78,-177.73,885.74,-500.98,-24.76,-4.70,42.20,-10.20,13.65,-71.70,33.88,85.89,
01/01/2000,00:00:01.79,-192.38,880.37,-490.23,-21.28,-7.93,43.66,-8.85,14.85,-73.35,33.59,86.31,
01/01/2000,00:00:01.80,-201.66,851.07,-483.40,-20.73,-9.33,41.40,-8.70,15.15,-71.70,33.88,86.96,
01/01/2000,00:00:01.81,-215.33,851.56,-485.84,-20.67,-7.44,37.87,-9.45,14.40,-72.15,33.78,87.32,
01/01/2000,00:00:01.82,-235.84,874.02,-486.33,-18.41,-7.13,37.20,-9.45,14.40,-72.15,33.44,86.72,
01/01/2000,00:00:01.83,-229.00,893.55,-506.35,-19.27,-8.78,28.96,-10.50,13.65,-71.40,33.59,87.30,
01/01/2000,00:00:01.84,-256.84,894.53,-493.65,-15.18,-9.09,30.24,-10.05,14.10,-72.60,33.88,87.63,
01/01/2000,00:00:01.85,-263.18,844.24,-513.18,-15.67,-8.54,25.43,-10.35,15.75,-72.00,33.59,88.16,
01/01/2000,00:00:01.86,-259.28,838.38,-484.86,-14.88,-8.17,21.59,-9.75,13.65,-71.40,33.49,88.45,
01/01/2000,00:00:01.88,-261.72,850.59,-484.86,-12.62,-8.23,15.79,-11.25,15.15,-72.90,33.59,87.89,
01/01/2000,00:00:01.89,-282.23,860.35,-482.91,-9.88,-10.55,11.10,-9.60,15.75,-72.30,33.83,88.17,
01/01/2000,00:00:01.90,-298.34,859.86,-478.52,-9.45,-8.90,4.94,-10.35,15.75,-71.55,33.49,88.64,
01/01/2000,00:00:01.91,-298.83,837.89,-478.52,-6.77,-6.28,4.33,-10.95,15.90,-72.45,33.97,89.09,
01/01/2000,00:00:01.92,-299.32,830.57,-500.98,-8.11,-3.72,-0.67,-10.95,15.90,-72.45,33.68,89.32,
01/01/2000,00:00:01.92,-297.85,854.98,-485.35,-5.91,-3.78,-4.15,-9.45,13.95,-72.15,33.44,89.74,
01/01/2000,00:00:01.94,-289.06,862.30,-483.89,-3.23,1.28,-11.95,-12.00,14.70,-70.65,33.83,89.21,
01/01/2000,00:00:01.95,-283.20,859.38,-491.70,0.12,2.32,-13.84,-11.10,14.85,-71.25,33.83,89.43,
01/01/2000,00:00:01.96,-277.34,856.93,-506.35,1.04,3.78,-18.35,-10.35,15.30,-72.00,33.83,89.82,
01/01/2000,00:00:01.97,-266.60,839.36,-493.65,2.68,4.15,-20.91,-10.35,15.30,-72.00,33.59,90.02,
01/01/2000,00:00:02.00,-231.45,873.05,-494.14,10.00,6.28,-31.71,-9.30,14.55,-71.55,33.78,86.72,
01/01/2000,00:00:02.02,-289.06,849.12,-503.91,8.78,6.28,-40.30,-9.60,15.30,-70.50,33.49,84.96,
01/01/2000,00:00:02.03,-284.18,848.63,-497.07,10.06,7.38,-44.45,-9.45,15.90,-72.45,33.83,85.22,
01/01/2000,00:00:02.04,-311.04,832.03,-468.75,10.12,10.12,-44.63,-9.45,15.90,-72.45,34.02,85.62,
01/01/2000,00:00:02.05,-310.06,854.98,-500.00,9.57,13.11,-47.44,-9.00,15.15,-73.50,33.97,86.00,
01/01/2000,00:00:02.06,-287.11,851.56,-484.86,12.38,13.60,-45.91,-9.00,15.15,-73.50,33.88,86.24,
01/01/2000,00:00:02.07,-264.65,855.47,-498.54,15.24,17.07,-48.60,-8.85,14.85,-71.25,33.68,85.90,
01/01/2000,00:00:02.08,-261.72,836.91,-467.77,15.49,16.95,-50.91,-7.95,15.45,-72.15,33.83,86.12,
01/01/2000,00:00:02.09,-244.14,827.64,-477.05,14.09,12.80,-49.51,-8.10,16.05,-72.60,34.02,86.48,
01/01/2000,00:00:02.10,-229.98,853.03,-494.14,16.83,12.74,-54.51,-8.10,16.05,-72.60,33.88,86.69,
01/01/2000,00:00:02.11,-248.05,844.24,-477.05,19.70,12.26,-54.94,-7.05,16.05,-72.00,33.97,87.02,
01/01/2000,00:00:02.12,-247.56,858.89,-480.96,21.40,5.91,-53.96,-7.35,14.55,-72.00,33.88,86.70,
01/01/2000,00:00:02.13,-275.88,774.90,-458.01,20.24,-0.91,-52.99,-8.10,15.75,-73.35,33.83,86.89,
01/01/2000,00:00:02.14,-288.57,798.83,-482.42,20.67,0.79,-54.09,-6.30,14.55,-73.80,33.83,87.21,
01/01/2000,00:00:02.15,-283.20,814.45,-476.07,21.89,0.00,-53.66,-6.30,14.55,-73.80,33.88,87.39,
01/01/2000,00:00:02.16,-249.51,790.53,-497.07,20.73,1.65,-51.77,-6.45,14.40,-73.50,33.64,87.69,
01/01/2000,00:00:02.17,-253.42,804.20,-491.70,25.24,0.37,-48.60,-6.15,14.70,-74.25,33.78,87.87,
01/01/2000,00:00:02.18,-274.90,788.57,-497.56,23.84,-4.09,-50.61,-5.10,13.65,-73.50,33.83,87.67,
01/01/2000,00:00:02.19,-255.86,821.29,-490.23,21.46,-6.34,-47.13,-5.10,13.65,-73.50,33.88,87.84,
01/01/2000,00:00:02.20,-263.67,788.57,-476.07,23.66,-5.49,-47.99,-6.15,15.15,-73.50,33.59,88.00,
01/01/2000,00:00:02.21,-286.13,810.06,-499.02,24.21,-6.71,-46.34,-5.25,13.80,-73.80,33.88,88.27,
01/01/2000,00:00:02.22,-290.53,782.23,-484.38,22.26,-6.40,-43.78,-5.25,13.80,-73.05,33.88,88.43,
01/01/2000,00:00:02.24,-312.50,785.16,-474.12,20.61,-5.30,-39.76,-5.85,14.70,-73.95,33.83,88.12,
01/01/2000,00:00:02.25,-310.55,754.39,-461.91,19.27,-4.88,-36.34,-3.75,13.05,-74.85,33.97,88.38,
01/01/2000,00:00:02.26,-278.32,737.79,-453.61,15.12,-9.33,-35.24,-4.50,15.30,-74.85,33.88,88.53,
01/01/2000,00:00:02.27,-264.16,738.77,-468.75,13.96,-8.72,-31.22,-3.75,13.80,-74.40,33.68,88.78,
01/01/2000,00:00:02.27,-271.97,761.72,-454.10,13.60,-10.12,-27.50,-3.15,13.20,-76.80,33.64,88.92,
01/01/2000,00:00:02.29,-271.48,759.77,-485.35,10.30,-11.65,-22.32,-3.15,13.20,-76.80,33.64,88.62,
01/01/2000,00:00:02.30,-275.39,749.51,-486.33,11.71,-9.70,-20.43,-3.00,14.10,-72.60,33.83,88.86,
01/01/2000,00:00:02.31,-274.90,721.68,-479.98,9.33,-11.46,-13.29,-2.70,13.35,-74.85,33.64,88.99,
01/01/2000,00:00:02.32,-278.81,721.68,-479.00,6.40,-10.91,-8.11,-3.00,11.85,-74.40,34.16,89.22,
01/01/2000,00:00:02.33,-285.16,716.80,-454.10,3.66,-10.55,-7.93,-2.25,12.60,-74.85,33.88,89.35,
01/01/2000,00:00:02.35,-277.83,747.07,-467.29,-1.89,-10.18,0.43,-3.60,12.90,-72.90,33.97,88.76,
01/01/2000,00:00:02.35,-258.30,750.49,-455.57,-4.88,-7.38,5.43,-2.55,12.90,-75.30,33.97,88.89,
01/01/2000,00:00:02.36,-287.11,750.98,-462.89,-7.50,-5.85,9.33,-2.70,13.35,-73.80,33.78,89.11,
01/01/2000,00:00:02.37,-270.02,763.18,-463.87,-7.38,-4.33,13.60,-2.70,13.35,-73.80,33.68,89.23,
01/01/2000,00:00:02.38,-280.27,766.11,-473.14,-10.30,-4.09,15.67,-3.75,13.05,-74.85,33.83,89.44,
01/01/2000,00:00:02.39,-278.81,774.41,-455.08,-14.09,-5.18,17.93,-2.10,13.20,-74.25,33.78,89.55,
01/01/2000,00:00:02.41,-266.11,774.90,-480.96,-17.26,-5.43,21.95,-3.60,14.40,-74.70,33.64,89.38,
01/01/2000,00:00:02.42,-268.55,785.16,-473.14,-17.68,-4.94,26.10,-3.45,15.30,-75.15,33.97,89.49,
01/01/2000,00:00:02.43,-268.07,787.11,-478.03,-22.13,-4.94,30.49,-3.45,15.30,-75.15,33.68,89.60,
01/01/2000,00:00:02.44,-270.51,767.58,-482.42,-26.46,-2.07,35.85,-4.50,14.55,-75.60,33.78,89.80,
01/01/2000,00:00:02.44,-279.79,787.60,-493.65,-28.78,-0.24,42.26,-1.95,11.85,-73.80,33.88,89.90,
01/01/2000,00:00:02.46,-261.23,801.76,-501.95,-28.29,4.88,49.21,-3.00,14.10,-73.80,33.64,89.73,
01/01/2000,00:00:02.47,-258.79,800.78,-486.82,-32.56,7.99,54.94,-3.90,14.70,-73.20,33.88,89.83,
01/01/2000,00:00:02.50,-234.38,832.52,-490.23,-38.78,16.83,71.83,-4.65,14.40,-72.90,33.88,88.04,
01/01/2000,00:00:02.51,-228.52,798.34,-481.45,-42.87,18.29,75.49,-6.30,15.75,-71.55,33.88,87.90,
01/01/2000,00:00:02.52,-201.17,803.71,-507.32,-40.85,19.51,76.89,-6.30,15.75,-71.55,33.68,88.01,
01/01/2000,00:00:02.54,-208.50,833.01,-492.19,-32.44,17.87,80.43,-6.45,15.90,-72.15,33.78,87.88,
01/01/2000,00:00:02.55,-200.20,872.07,-476.56,-32.38,17.68,75.91,-9.45,16.20,-71.40,33.88,87.99,
01/01/2000,00:00:02.56,-242.68,902.83,-482.91,-29.02,15.61,72.68,-8.55,13.80,-71.55,33.88,88.10,
01/01/2000,00:00:02.57,-264.16,895.51,-445.80,-28.17,12.68,67.93,-8.55,13.80,-71.55,34.02,88.29,
01/01/2000,00:00:02.58,-285.64,862.79,-456.54,-31.40,9.94,61.59,-8.70,15.90,-71.40,33.97,88.39,
01/01/2000,00:00:02.59,-371.09,774.41,-431.64,-33.35,8.48,55.91,-10.05,16.50,-71.25,33.78,88.26,
01/01/2000,00:00:02.60,-346.19,799.80,-460.94,-39.94,15.67,50.06,-9.45,17.40,-72.45,34.12,88.36,
