rtcDate,rtcTime,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,imu_degC,output_Hz,
01/01/2000,00:00:01.40,-62.01,910.64,-373.54,-32.07,2.87,-7.26,-15.90,14.85,-68.25,33.16,333.33,
01/01/2000,00:00:01.45,-53.71,886.72,-375.00,-34.02,9.39,-8.66,-15.60,18.15,-65.55,33.16,37.74,
01/01/2000,00:00:01.46,-54.69,929.20,-370.12,-33.17,4.09,-10.67,-15.90,18.00,-67.95,33.30,45.45,
01/01/2000,00:00:01.47,-44.92,916.99,-347.66,-35.73,5.30,-9.21,-13.50,18.15,-67.05,33.49,52.63,
01/01/2000,00:00:01.48,-49.80,901.86,-344.73,-34.82,6.65,-7.68,-13.50,18.15,-67.05,33.49,58.82,
01/01/2000,00:00:01.49,-46.39,918.95,-355.96,-32.20,5.73,-5.73,-16.05,18.90,-64.50,33.49,60.61,
01/01/2000,00:00:01.50,-39.06,921.88,-340.33,-32.07,5.67,-7.07,-13.95,19.05,-66.45,33.44,64.22,
01/01/2000,00:00:01.51,-30.76,919.43,-340.82,-29.94,2.68,-4.09,-15.30,19.35,-67.80,33.44,67.80,
01/01/2000,00:00:01.52,-55.18,912.11,-326.17,-32.38,2.62,-6.95,-13.50,18.60,-67.05,33.35,70.31,
01/01/2000,00:00:01.53,-47.85,933.59,-344.73,-29.88,1.46,-7.93,-13.50,18.60,-67.05,33.25,72.99,
01/01/2000,00:00:01.55,-61.04,913.57,-335.94,-29.63,-5.43,-6.28,-13.20,19.80,-64.65,33.59,72.85,
01/01/2000,00:00:01.56,-77.15,914.06,-319.34,-33.66,-4.70,-8.72,-15.15,20.25,-65.85,33.44,74.53,
01/01/2000,00:00:01.57,-95.70,916.99,-315.43,-31.95,-6.52,-9.27,-12.15,21.45,-64.65,33.35,76.47,
01/01/2000,00:00:01.58,-123.05,917.48,-303.71,-34.45,-3.35,-11.28,-13.50,21.15,-63.75,33.16,77.78,
01/01/2000,00:00:01.59,-128.91,936.04,-291.02,-36.89,-1.89,-15.06,-13.50,21.15,-63.75,33.35,79.37,
01/01/2000,00:00:01.60,-137.70,938.48,-276.86,-36.46,0.85,-17.07,-13.65,19.80,-65.10,33.78,80.40,
01/01/2000,00:00:01.61,-151.86,968.26,-276.86,-34.45,5.12,-18.11,-14.85,19.35,-63.15,33.44,79.81,
01/01/2000,00:00:01.62,-133.30,975.10,-282.71,-33.17,6.59,-16.83,-14.85,19.35,-63.15,33.59,81.08,
01/01/2000,00:00:01.63,-118.65,976.56,-269.53,-31.59,15.00,-17.99,-14.85,19.35,-63.15,33.59,81.90,
