rtcDate,rtcTime,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,imu_degC,output_Hz,
01/01/2000,00:00:01.32,-320.31,892.58,-276.86,-1.16,2.87,1.28,-8.70,-9.45,-71.10,32.01,500.0,
01/01/2000,00:00:01.34,-311.52,895.51,-278.32,-0.98,2.56,-0.79,-8.40,-9.60,-69.75,31.72,100.0,
01/01/2000,00:00:01.35,-304.20,886.72,-277.83,-0.85,1.83,1.46,-8.70,-9.75,-71.85,32.10,90.909,
01/01/2000,00:00:01.36,-299.32,883.79,-270.02,1.59,2.62,2.13,-8.70,-9.75,-71.85,31.72,93.023,
01/01/2000,00:00:01.37,-309.57,888.67,-278.32,-0.85,1.95,-0.85,-8.70,-9.75,-71.85,31.91,92.593,
01/01/2000,00:00:01.38,-288.09,880.37,-268.07,-2.26,3.29,-1.89,-6.60,-8.85,-70.50,31.86,92.308,
01/01/2000,00:00:01.40,-314.94,878.91,-274.90,-1.16,2.50,-1.22,-9.0,-9.0,-71.10,31.86,92.105,
01/01/2000,00:00:01.41,-312.99,873.05,-270.51,2.01,1.46,-0.12,-7.35,-7.95,-70.95,32.10,93.023,
01/01/2000,00:00:01.41,-310.06,882.81,-263.18,-1.83,2.50,-1.40,-6.15,-8.40,-69.75,32.01,92.784,
01/01/2000,00:00:01.42,-307.13,880.37,-270.02,2.80,1.52,4.39,-8.25,-7.80,-70.35,32.10,93.458,
01/01/2000,00:00:01.44,-293.95,878.42,-271.00,-1.71,4.51,-2.68,-5.85,-8.85,-69.75,32.06,93.220,
01/01/2000,00:00:01.44,-296.39,891.60,-268.55,-0.67,3.17,1.89,-5.85,-8.85,-69.75,31.91,93.023,
01/01/2000,00:00:01.46,-300.29,882.81,-267.58,0.18,3.66,-2.38,-5.85,-8.85,-69.75,32.06,92.857,
01/01/2000,00:00:01.47,-308.59,881.35,-268.55,2.20,0.79,1.46,-8.25,-8.25,-70.35,31.72,93.333,
01/01/2000,00:00:01.48,-319.34,900.88,-274.90,0.61,2.56,-2.38,-6.45,-8.25,-70.80,31.86,93.168,
01/01/2000,00:00:01.49,-313.48,886.72,-264.16,1.28,-0.06,-1.28,-6.90,-9.15,-70.50,31.67,93.567,
01/01/2000,00:00:01.50,-312.01,896.00,-263.67,-0.49,2.07,-0.30,-7.35,-9.15,-70.50,32.06,92.896,
01/01/2000,00:00:01.51,-305.18,888.67,-259.28,2.07,-3.05,2.68,-7.20,-9.0,-71.55,32.01,92.784,
01/01/2000,00:00:01.52,-293.95,878.42,-259.77,0.73,-1.22,-1.59,-7.50,-8.55,-70.05,32.20,93.137,
01/01/2000,00:00:01.53,-285.64,881.84,-262.70,0.91,1.46,0.98,-7.50,-8.55,-70.05,32.10,93.023,
01/01/2000,00:00:01.54,-300.78,880.86,-267.58,0.85,-1.89,-2.07,-7.50,-8.55,-70.05,32.06,93.333,
01/01/2000,00:00:01.55,-298.83,893.07,-266.60,1.04,-0.61,-1.28,-8.25,-9.45,-70.35,31.72,92.827,
01/01/2000,00:00:01.57,-310.55,878.42,-261.72,0.79,-0.85,2.56,-7.20,-8.55,-70.80,31.77,93.117,
01/01/2000,00:00:01.57,-312.99,888.18,-265.14,0.24,0.98,-1.04,-6.90,-8.40,-69.75,31.91,93.023,
01/01/2000,00:00:01.59,-316.89,883.30,-264.65,-1.52,-1.34,-1.59,-7.20,-10.20,-72.15,32.10,93.284,
01/01/2000,00:00:01.60,-315.92,875.98,-268.55,0.06,-0.24,-2.13,-7.35,-7.95,-70.50,31.91,93.190,
01/01/2000,00:00:01.61,-291.02,882.32,-255.86,0.18,-0.85,1.89,-8.10,-8.85,-70.95,31.72,92.784,
01/01/2000,00:00:01.62,-312.50,875.49,-256.35,0.37,-2.87,-1.34,-8.10,-8.85,-70.95,32.06,93.023,
01/01/2000,00:00:01.63,-316.89,867.68,-278.32,-0.24,-2.44,1.04,-8.10,-8.85,-70.95,31.91,92.949,
01/01/2000,00:00:01.64,-325.20,886.72,-257.81,-0.98,-4.45,-0.67,-7.65,-8.85,-70.95,32.10,93.168,
01/01/2000,00:00:01.65,-314.94,891.60,-260.74,1.04,-3.17,1.71,-6.15,-9.15,-69.75,32.10,93.093,
01/01/2000,00:00:01.66,-328.13,890.63,-274.41,-0.06,-3.17,0.85,-6.60,-9.60,-70.50,32.25,93.294,
01/01/2000,00:00:01.67,-311.04,873.54,-265.14,1.40,-0.67,3.35,-7.95,-8.55,-70.80,32.29,92.958,
01/01/2000,00:00:01.68,-323.73,878.91,-266.11,0.55,-3.11,-1.28,-8.85,-10.80,-69.45,32.10,92.896,
01/01/2000,00:00:01.69,-308.59,875.0,-268.55,-0.67,-1.95,1.10,-7.20,-9.0,-71.55,31.72,93.085,
01/01/2000,00:00:01.70,-307.62,881.35,-270.51,-3.41,0.37,-1.10,-7.65,-8.85,-71.25,31.77,93.023,
01/01/2000,00:00:01.71,-307.13,892.09,-258.79,-0.49,-1.10,4.57,-7.65,-8.85,-71.25,31.91,93.199,
01/01/2000,00:00:01.72,-291.99,898.93,-259.77,1.10,-0.43,1.04,-6.90,-8.85,-72.45,32.10,92.910,
01/01/2000,00:00:01.73,-315.43,898.44,-275.39,-2.01,-3.54,0.0,-5.85,-7.95,-70.95,32.06,93.079,
01/01/2000,00:00:01.74,-317.87,889.65,-267.58,-2.56,-3.29,0.91,-6.90,-8.40,-71.25,32.10,93.023,
01/01/2000,00:00:01.76,-297.36,885.74,-273.93,-1.83,-2.20,-2.07,-8.25,-9.0,-70.35,31.91,93.182,
01/01/2000,00:00:01.77,-321.29,886.23,-267.09,-1.89,-0.24,0.06,-6.0,-9.0,-70.80,32.10,93.126,
01/01/2000,00:00:01.78,-294.92,885.25,-265.14,-1.77,-3.29,1.46,-7.35,-8.40,-71.25,32.25,93.074,
01/01/2000,00:00:01.79,-301.27,886.72,-269.53,-1.28,-2.01,-0.24,-9.0,-9.75,-68.85,32.10,93.023,
01/01/2000,00:00:01.80,-307.62,894.53,-271.48,-0.67,-3.41,0.91,-9.0,-9.75,-68.85,32.06,92.975,
01/01/2000,00:00:01.81,-297.85,888.18,-264.65,1.71,-2.68,4.27,-9.0,-9.75,-68.85,32.10,93.117,
01/01/2000,00:00:01.82,-297.85,888.67,-275.88,0.37,-1.77,1.34,-6.90,-7.95,-70.50,32.10,93.069,
01/01/2000,00:00:01.84,-299.32,878.91,-271.97,3.78,-2.01,0.98,-8.70,-7.35,-71.10,32.10,92.486,
01/01/2000,00:00:01.85,-312.99,887.70,-263.67,-1.34,-0.24,1.40,-8.40,-8.40,-69.75,31.91,92.105,
01/01/2000,00:00:01.86,-308.11,893.07,-275.88,0.0,-1.77,-0.06,-7.95,-10.50,-69.60,32.01,92.081,
01/01/2000,00:00:01.87,-309.57,886.72,-273.93,2.07,-2.62,1.71,-7.95,-9.45,-70.80,32.10,92.058,
01/01/2000,00:00:01.88,-303.71,891.60,-268.07,-1.04,-0.98,0.18,-7.95,-9.45,-70.80,32.01,92.199,
01/01/2000,00:00:01.89,-295.41,886.72,-274.41,-0.18,-1.40,-0.37,-7.95,-9.45,-70.80,31.91,92.174,
01/01/2000,00:00:01.90,-302.25,887.21,-275.39,-1.22,-2.62,2.13,-5.85,-9.15,-70.95,32.10,92.150,
01/01/2000,00:00:01.91,-292.48,885.25,-264.65,-1.40,-0.73,4.82,-8.70,-8.55,-71.10,31.91,92.127,
