rtcDate,rtcTime,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,imu_degC,output_Hz,
01/01/2000,00:00:01.37,-178.71,947.75,-177.73,-2.68,-2.50,-0.67,-13.65,24.75,-53.55,33.35,250.00,
01/01/2000,00:00:01.42,-166.50,968.75,-201.17,-2.44,-1.28,-0.55,-12.90,25.50,-53.55,33.35,37.74,
01/01/2000,00:00:01.44,-162.11,954.59,-197.27,0.37,-3.35,-1.77,-13.05,25.05,-54.75,33.59,44.78,
01/01/2000,00:00:01.45,-169.43,978.52,-190.43,-1.04,-0.06,-2.56,-12.60,25.95,-54.30,33.35,52.63,
01/01/2000,00:00:01.46,-157.71,954.59,-176.76,-0.18,-4.27,0.49,-12.60,25.95,-54.30,33.35,58.14,
01/01/2000,00:00:01.47,-178.71,963.87,-164.06,0.18,-4.45,-0.30,-15.30,25.35,-51.90,33.44,60.00,
01/01/2000,00:00:01.48,-160.64,956.54,-179.69,-1.28,-1.59,-1.04,-13.80,25.05,-53.70,33.44,63.64,
01/01/2000,00:00:01.49,-180.18,945.31,-171.88,-1.71,-0.79,-0.55,-13.80,24.60,-54.45,33.44,67.23,
01/01/2000,00:00:01.50,-186.04,952.15,-183.11,-1.28,-2.62,-1.71,-12.90,24.75,-54.30,33.35,70.31,
01/01/2000,00:00:01.51,-184.08,953.12,-190.43,1.34,-1.52,-1.77,-12.90,24.75,-54.30,33.49,72.46,
01/01/2000,00:00:01.53,-183.11,962.89,-192.38,1.59,-0.12,-1.28,-13.20,24.75,-54.30,33.35,72.37,
01/01/2000,00:00:01.53,-178.22,951.17,-194.82,1.34,-2.62,0.00,-13.65,25.20,-53.10,33.44,74.07,
01/01/2000,00:00:01.55,-171.39,952.15,-193.36,1.83,-0.79,-2.44,-13.50,25.80,-54.00,33.59,76.02,
01/01/2000,00:00:01.55,-188.96,952.15,-204.10,3.23,0.98,-3.54,-13.50,25.80,-54.00,33.64,77.35,
01/01/2000,00:00:01.57,-172.85,955.57,-192.87,2.13,1.04,-2.99,-13.20,25.20,-54.30,33.64,78.95,
01/01/2000,00:00:01.57,-168.95,949.71,-196.78,4.09,-1.04,-1.34,-13.20,26.25,-54.60,33.49,80.40,
01/01/2000,00:00:01.59,-164.06,949.71,-192.87,2.13,0.06,-1.89,-13.05,24.60,-54.45,33.25,78.34,
01/01/2000,00:00:01.60,-161.13,947.75,-166.02,2.74,0.18,0.67,-13.05,24.60,-54.45,33.44,79.65,
01/01/2000,00:00:01.61,-166.02,954.59,-187.01,0.73,-0.61,0.30,-13.05,26.55,-55.80,33.44,80.51,
01/01/2000,00:00:01.62,-167.48,943.85,-187.50,0.55,0.73,-0.73,-13.80,25.80,-54.00,33.44,81.63,
01/01/2000,00:00:01.63,-173.83,950.68,-178.22,1.95,-2.07,1.16,-13.05,27.60,-55.20,33.59,82.35,
01/01/2000,00:00:01.65,-155.76,953.61,-187.99,3.11,1.34,2.68,-12.15,25.20,-54.30,33.35,81.78,
01/01/2000,00:00:01.66,-157.23,956.05,-184.08,1.16,1.34,-0.73,-12.15,25.20,-54.30,33.59,82.73,
01/01/2000,00:00:01.66,-155.27,946.29,-178.22,1.77,-0.55,2.44,-12.30,25.80,-54.00,33.59,83.33,
01/01/2000,00:00:01.67,-150.88,946.78,-164.55,0.98,-0.98,2.93,-13.05,25.80,-53.70,33.06,84.18,
01/01/2000,00:00:01.68,-165.04,935.55,-170.41,-0.18,-2.93,-0.67,-13.95,26.25,-52.80,33.49,84.69,
01/01/2000,00:00:01.70,-147.95,954.59,-171.88,-1.40,-5.24,2.74,-13.20,26.25,-54.60,33.49,84.38,
01/01/2000,00:00:01.71,-152.34,951.66,-183.11,0.85,-5.06,1.16,-12.15,25.50,-54.60,33.49,84.85,
01/01/2000,00:00:01.72,-157.23,960.94,-184.08,-1.28,-6.04,2.87,-12.15,25.50,-53.85,33.64,85.29,
01/01/2000,00:00:01.73,-164.06,944.34,-196.78,-0.98,-5.30,2.32,-12.60,25.95,-54.60,33.44,85.96,
01/01/2000,00:00:01.74,-167.97,941.89,-184.57,-0.67,-5.73,2.99,-13.50,24.30,-54.45,33.64,86.35,
01/01/2000,00:00:01.75,-160.16,937.99,-187.50,0.61,-5.91,2.74,-12.30,24.60,-53.70,33.68,86.96,
01/01/2000,00:00:01.76,-159.67,949.22,-179.20,0.61,-5.18,6.10,-14.25,24.30,-55.20,33.68,86.39,
01/01/2000,00:00:01.77,-153.32,950.68,-174.80,-1.04,-7.20,3.60,-13.95,24.00,-54.90,33.25,86.96,
01/01/2000,00:00:01.78,-174.80,949.22,-165.04,0.06,-4.27,2.07,-14.25,25.80,-53.70,33.35,87.28,
01/01/2000,00:00:01.79,-160.16,945.80,-173.83,-2.56,-4.39,3.96,-14.25,25.80,-53.70,33.78,87.80,
01/01/2000,00:00:01.80,-166.02,958.50,-164.55,-3.17,-2.93,3.72,-13.80,25.05,-54.75,33.44,88.10,
01/01/2000,00:00:01.82,-165.04,940.43,-173.34,-4.27,-3.29,6.40,-14.70,25.95,-54.60,33.59,87.56,
01/01/2000,00:00:01.83,-165.04,944.82,-183.59,-4.39,-3.66,0.91,-14.25,25.05,-54.75,33.64,88.04,
01/01/2000,00:00:01.84,-155.27,958.98,-173.83,-1.95,-4.09,4.51,-14.55,26.10,-53.70,33.78,88.30,
01/01/2000,00:00:01.85,-165.04,948.73,-168.95,-2.50,-4.70,4.45,-14.55,26.10,-53.70,33.44,88.74,
01/01/2000,00:00:01.86,-159.18,958.50,-167.97,-3.48,-6.52,6.71,-13.20,24.00,-54.60,33.44,88.98,
01/01/2000,00:00:01.87,-170.41,954.10,-166.99,-1.71,-5.00,2.62,-11.85,25.20,-54.90,33.68,88.48,
01/01/2000,00:00:01.88,-163.57,965.82,-172.36,-3.29,-6.77,3.11,-14.40,26.25,-53.55,33.78,88.89,
01/01/2000,00:00:01.89,-168.95,965.33,-176.27,-2.50,-5.91,4.02,-13.65,24.00,-53.85,33.44,89.11,
01/01/2000,00:00:01.92,-164.55,958.01,-190.43,-4.09,-5.18,4.09,-13.50,22.65,-52.95,33.49,85.82,
01/01/2000,00:00:01.94,-181.64,954.59,-172.85,-4.51,-5.12,4.45,-13.50,25.05,-51.90,33.64,85.61,
01/01/2000,00:00:01.95,-156.25,956.54,-175.29,-3.41,-4.09,2.07,-13.50,25.05,-51.90,33.64,85.26,
01/01/2000,00:00:01.96,-152.34,949.71,-187.50,-5.24,-3.05,2.07,-13.80,24.30,-54.00,33.44,85.51,
01/01/2000,00:00:01.97,-150.39,953.61,-171.88,-2.50,-1.40,2.50,-14.55,24.60,-54.00,33.64,85.76,
01/01/2000,00:00:01.98,-145.51,938.96,-170.90,-5.18,-1.71,2.20,-12.90,25.50,-54.30,33.68,86.15,
01/01/2000,00:00:01.99,-159.67,949.22,-164.55,-2.80,-5.30,-0.61,-12.90,25.50,-54.30,33.25,86.52,
