rtcDate,rtcTime,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,imu_degC,output_Hz,
01/01/2000,00:00:01.37,160.16,143.55,-979.98,-0.98,-0.12,0.06,-22.20,3.30,-78.90,32.77,333.33,
01/01/2000,00:00:01.42,150.88,130.37,-980.96,-1.10,0.61,2.44,-22.05,3.60,-77.70,33.06,37.74,
01/01/2000,00:00:01.44,148.93,138.18,-984.38,0.00,-0.61,0.06,-21.90,3.00,-78.60,32.92,45.45,
01/01/2000,00:00:01.44,153.81,143.55,-988.28,-1.34,-1.83,0.24,-21.75,3.15,-78.75,33.11,52.63,
01/01/2000,00:00:01.46,158.20,149.41,-976.56,-1.04,-2.01,-0.49,-21.75,3.15,-78.75,33.06,58.82,
01/01/2000,00:00:01.47,144.53,137.21,-970.21,-0.18,0.06,-1.16,-22.65,3.75,-78.60,33.16,60.61,
01/01/2000,00:00:01.48,148.44,136.72,-966.31,-1.71,-0.79,1.04,-22.35,2.40,-78.75,33.06,64.22,
01/01/2000,00:00:01.49,145.02,137.21,-982.42,-1.71,-0.61,-0.37,-22.20,3.00,-80.10,33.25,67.80,
01/01/2000,00:00:01.50,160.16,153.81,-980.96,-4.21,-0.79,1.16,-22.20,3.30,-78.90,33.06,70.31,
01/01/2000,00:00:01.51,168.95,142.09,-974.12,-2.93,-0.79,0.30,-22.20,3.30,-78.90,33.11,72.99,
01/01/2000,00:00:01.52,169.92,140.62,-989.26,-0.06,-3.29,0.49,-21.90,3.00,-78.90,32.82,74.83,
01/01/2000,00:00:01.53,147.95,157.23,-981.45,-1.77,1.46,-1.89,-23.70,1.80,-79.65,32.92,74.53,
01/01/2000,00:00:01.54,145.02,143.55,-980.96,-2.38,-0.37,1.52,-22.20,2.55,-77.55,33.25,76.47,
01/01/2000,00:00:01.55,158.20,147.95,-971.68,-0.79,1.65,1.46,-21.30,1.65,-78.75,33.11,77.78,
01/01/2000,00:00:01.56,158.20,146.48,-976.56,-1.83,0.91,0.67,-21.30,1.65,-78.75,33.11,79.37,
01/01/2000,00:00:01.57,154.30,144.04,-978.52,0.49,0.79,-0.24,-23.10,3.90,-82.05,32.82,80.40,
01/01/2000,00:00:01.59,158.69,137.21,-983.40,1.65,-1.59,-0.37,-22.65,2.25,-77.85,33.11,80.19,
01/01/2000,00:00:01.60,150.39,143.07,-977.05,-0.85,1.65,0.61,-22.65,2.25,-77.85,33.06,81.08,
01/01/2000,00:00:01.61,154.30,141.60,-971.19,-0.18,1.52,-0.06,-22.65,2.25,-77.85,33.35,81.90,
01/01/2000,00:00:01.62,151.37,146.97,-973.63,-0.61,-1.04,-0.67,-21.45,2.25,-78.60,33.11,82.99,
01/01/2000,00:00:01.63,167.48,132.32,-974.61,-0.18,0.06,-0.12,-21.75,3.15,-80.55,32.97,83.67,
01/01/2000,00:00:01.64,152.83,144.53,-983.40,-1.34,1.28,0.73,-22.80,3.15,-79.20,33.06,83.33,
01/01/2000,00:00:01.65,147.95,119.63,-969.24,0.55,-1.46,1.59,-22.80,3.15,-79.20,33.16,83.94,
01/01/2000,00:00:01.66,165.04,143.55,-977.05,-0.67,1.65,-0.37,-22.65,3.75,-79.65,33.06,84.51,
01/01/2000,00:00:01.67,157.71,133.30,-984.38,-0.43,0.49,0.30,-21.30,2.40,-80.25,33.11,85.32,
01/01/2000,00:00:01.68,153.32,141.11,-978.03,-2.74,-1.28,2.13,-21.45,2.55,-80.10,33.11,86.09,
01/01/2000,00:00:01.69,163.57,128.91,-974.12,-0.67,-0.43,2.20,-22.35,4.35,-80.25,33.16,86.54,
01/01/2000,00:00:01.70,160.16,124.02,-972.17,-0.98,-1.04,-1.46,-22.35,4.35,-80.25,33.06,85.89,
01/01/2000,00:00:01.71,149.90,142.58,-964.84,0.00,-0.49,-0.43,-21.45,3.00,-78.30,33.06,86.57,
01/01/2000,00:00:01.72,164.55,128.91,-981.93,-2.56,0.43,-0.37,-22.05,3.90,-80.55,33.11,86.96,
01/01/2000,00:00:01.73,162.60,149.41,-976.56,-1.40,-0.06,-1.28,-22.20,3.30,-79.35,33.35,87.57,
01/01/2000,00:00:01.74,162.60,147.95,-982.42,-2.74,1.28,-1.95,-21.45,4.80,-80.85,33.25,87.91,
01/01/2000,00:00:01.76,142.58,133.30,-962.89,-0.98,-2.26,0.30,-21.45,4.80,-80.85,33.16,87.30,
01/01/2000,00:00:01.76,167.48,136.72,-967.77,-0.18,-2.93,2.87,-22.35,2.70,-79.20,33.35,87.86,
01/01/2000,00:00:01.78,155.76,146.48,-973.14,1.46,-2.38,-0.06,-22.05,3.15,-78.75,33.06,88.16,
01/01/2000,00:00:01.78,155.27,136.72,-977.05,-0.98,-0.79,-0.85,-21.75,4.35,-80.55,33.11,88.67,
01/01/2000,00:00:01.80,164.06,150.39,-977.05,-1.16,0.43,-2.87,-20.70,3.00,-80.10,33.11,88.94,
01/01/2000,00:00:01.80,156.74,144.53,-969.73,-2.20,0.55,-0.43,-20.70,3.00,-80.10,33.11,89.41,
01/01/2000,00:00:01.82,157.23,147.95,-971.19,1.10,0.61,-1.40,-23.40,3.00,-78.60,33.11,88.24,
01/01/2000,00:00:01.83,161.62,135.25,-962.89,-0.06,-1.52,-2.20,-22.65,4.50,-79.35,33.30,88.50,
01/01/2000,00:00:01.84,161.62,134.28,-981.45,1.46,-1.10,2.87,-22.65,4.50,-79.35,33.16,88.74,
01/01/2000,00:00:01.85,164.06,154.79,-979.49,-1.46,0.00,-1.22,-22.05,3.15,-79.50,33.35,89.17,
01/01/2000,00:00:01.86,179.20,135.74,-974.12,-2.26,-0.67,-0.67,-22.80,2.40,-79.80,33.25,89.40,
01/01/2000,00:00:01.88,152.34,139.16,-969.73,-1.28,-1.10,-1.28,-21.75,3.15,-80.25,33.06,89.07,
01/01/2000,00:00:01.89,140.62,145.02,-979.49,0.30,0.18,0.79,-22.80,2.40,-78.75,32.92,89.29,
01/01/2000,00:00:01.90,140.14,137.21,-972.66,-1.16,1.16,-1.34,-22.80,2.40,-78.75,33.30,89.67,
01/01/2000,00:00:01.93,151.86,130.86,-981.45,-2.13,0.49,-0.18,-23.10,1.65,-76.65,33.35,86.24,
01/01/2000,00:00:01.94,149.41,147.95,-978.03,1.28,2.44,-1.65,-23.40,3.00,-77.85,33.06,86.02,
01/01/2000,00:00:01.96,151.37,138.67,-974.61,2.13,-1.46,1.52,-22.20,2.25,-78.60,32.92,85.66,
01/01/2000,00:00:01.96,151.86,142.58,-957.03,1.52,-0.43,1.40,-22.05,4.35,-79.50,33.16,86.06,
01/01/2000,00:00:01.97,152.34,129.39,-969.73,1.34,-2.56,1.34,-22.80,3.60,-79.20,33.16,86.29,
01/01/2000,00:00:01.98,159.67,141.11,-969.24,1.10,1.28,-2.07,-23.10,3.15,-81.30,33.35,86.67,
01/01/2000,00:00:01.99,147.46,126.95,-958.50,-0.91,2.32,-2.44,-23.10,3.15,-81.30,33.16,86.89,
01/01/2000,00:00:02.00,149.41,138.18,-964.84,0.49,-0.30,1.10,-21.90,2.55,-79.35,33.30,87.24,
01/01/2000,00:00:02.00,166.02,122.56,-973.14,1.04,-1.40,-0.24,-21.75,3.60,-80.55,33.16,86.89,
01/01/2000,00:00:02.01,157.23,136.72,-959.47,0.85,0.06,0.24,-21.75,1.95,-78.00,33.11,87.09,
01/01/2000,00:00:02.02,173.34,116.70,-958.98,-0.91,1.10,-0.49,-21.45,2.25,-78.90,33.06,87.42,
01/01/2000,00:00:02.03,152.34,140.62,-967.77,-1.83,-2.93,-0.55,-21.45,2.25,-78.90,33.16,87.61,
01/01/2000,00:00:02.04,155.76,141.60,-970.70,0.37,-1.46,-0.18,-22.05,2.40,-79.80,33.16,87.93,
01/01/2000,00:00:02.05,155.27,150.88,-976.56,-0.98,1.40,0.49,-22.35,5.10,-78.75,33.35,87.59,
01/01/2000,00:00:02.06,149.90,136.23,-971.68,-1.22,1.22,-0.43,-22.35,5.10,-78.75,33.25,87.90,
01/01/2000,00:00:02.07,156.74,129.39,-983.89,1.34,-0.55,0.12,-22.35,3.90,-79.20,32.82,88.07,
01/01/2000,00:00:02.08,152.34,135.74,-986.33,0.43,-1.71,-0.12,-23.70,3.00,-80.85,33.30,88.36,
01/01/2000,00:00:02.09,150.88,136.72,-973.14,-3.17,-0.12,-1.77,-21.90,1.80,-78.60,33.06,88.52,
01/01/2000,00:00:02.10,151.86,125.49,-976.07,0.67,0.49,-2.44,-21.90,3.75,-79.35,33.30,88.80,
01/01/2000,00:00:02.12,167.97,141.60,-977.54,0.43,0.98,-0.24,-21.90,3.75,-79.35,33.11,88.47,
01/01/2000,00:00:02.13,164.55,132.81,-976.56,-0.61,0.37,-0.79,-24.00,4.05,-78.90,32.97,88.62,
01/01/2000,00:00:02.13,171.39,137.70,-967.77,2.62,0.37,-2.44,-22.35,2.70,-80.25,33.16,88.89,
01/01/2000,00:00:02.14,149.90,141.60,-982.42,-0.24,-0.67,3.05,-22.80,3.15,-79.80,33.25,89.03,
01/01/2000,00:00:02.15,156.25,122.56,-968.26,2.20,0.85,1.04,-23.10,2.70,-78.45,33.35,89.29,
01/01/2000,00:00:02.17,145.51,131.35,-966.80,1.40,-1.40,2.20,-23.10,2.70,-78.45,33.35,88.97,
01/01/2000,00:00:02.18,157.71,129.88,-967.77,-0.55,-0.91,-0.37,-23.55,3.15,-78.45,33.30,89.11,
01/01/2000,00:00:02.19,153.32,133.79,-970.70,-0.30,-0.37,-0.73,-22.65,3.75,-78.60,33.25,89.35,
01/01/2000,00:00:02.20,163.09,136.72,-973.14,1.22,-0.43,1.04,-22.95,2.25,-80.40,33.16,89.48,
01/01/2000,00:00:02.21,155.76,131.35,-970.21,-1.04,0.24,0.55,-23.70,3.75,-79.65,33.30,89.71,
01/01/2000,00:00:02.22,155.27,146.97,-974.12,-2.01,-3.35,0.30,-22.80,3.15,-77.70,33.30,89.41,
01/01/2000,00:00:02.23,142.58,136.23,-976.07,0.43,0.18,-1.59,-21.90,4.05,-78.60,33.25,89.53,
01/01/2000,00:00:02.24,149.90,138.18,-970.21,-1.34,0.24,-1.71,-22.95,2.25,-78.90,33.25,89.76,
01/01/2000,00:00:02.25,160.16,135.25,-967.77,-0.37,0.37,1.04,-22.65,2.55,-80.10,33.25,89.98,
01/01/2000,00:00:02.26,160.16,141.11,-978.03,0.00,-1.40,2.44,-22.65,2.55,-80.10,33.30,90.09,
01/01/2000,00:00:02.27,158.69,134.77,-969.24,0.06,0.00,0.61,-22.65,2.55,-80.10,33.06,90.30,
01/01/2000,00:00:02.28,157.71,138.67,-961.43,0.18,1.10,0.12,-22.20,2.55,-79.65,33.30,90.01,
01/01/2000,00:00:02.29,161.13,130.86,-964.84,-1.28,1.65,-1.95,-22.05,2.40,-79.20,33.11,90.12,
01/01/2000,00:00:02.30,160.16,145.51,-978.52,-0.06,-1.28,0.00,-22.05,2.40,-79.20,33.35,90.32,
01/01/2000,00:00:02.31,160.64,142.09,-969.73,0.00,-0.79,0.24,-22.05,4.65,-79.20,33.35,90.43,
01/01/2000,00:00:02.32,158.69,141.11,-978.52,1.16,0.55,2.38,-22.05,3.15,-79.20,33.35,90.62,
01/01/2000,00:00:02.33,152.34,141.11,-965.82,-0.73,0.12,2.20,-21.75,3.60,-78.45,33.30,90.34,
01/01/2000,00:00:02.34,169.43,144.04,-982.91,2.20,-0.18,1.40,-23.40,4.05,-80.40,33.25,90.44,
01/01/2000,00:00:02.35,166.02,134.77,-974.12,-1.59,0.67,0.55,-23.40,4.05,-80.40,33.35,90.63,
01/01/2000,00:00:02.36,149.90,139.16,-974.12,-0.55,0.06,-0.18,-24.00,3.75,-78.30,33.11,90.73,
01/01/2000,00:00:02.37,153.81,126.95,-977.05,-2.13,0.85,-0.24,-21.45,3.00,-78.90,33.30,90.91,
01/01/2000,00:00:02.38,148.44,137.21,-972.66,-1.34,-0.67,-0.98,-22.65,3.30,-78.90,33.06,91.00,
01/01/2000,00:00:02.42,158.69,134.28,-973.63,-1.28,0.91,-1.04,-22.35,2.40,-79.80,33.49,88.49,
01/01/2000,00:00:02.44,171.88,136.23,-970.21,0.06,0.98,1.16,-22.80,3.60,-78.75,33.11,88.35,
01/01/2000,00:00:02.45,132.32,142.58,-954.10,0.30,-2.93,2.01,-22.80,3.60,-78.75,33.25,88.45,
01/01/2000,00:00:02.46,159.18,133.79,-954.59,0.43,0.43,-0.73,-22.80,3.60,-78.75,33.11,88.56,
01/01/2000,00:00:02.46,148.44,129.88,-968.75,-0.43,0.43,2.32,-20.70,3.00,-80.10,33.11,88.75,
01/01/2000,00:00:02.48,160.64,139.16,-967.77,-1.59,-0.61,0.06,-22.80,1.95,-78.75,33.35,88.53,
01/01/2000,00:00:02.49,162.11,135.25,-961.91,-0.91,-2.01,1.59,-21.75,4.35,-79.20,33.35,88.63,
01/01/2000,00:00:02.50,155.27,132.81,-967.77,-1.89,-0.85,-3.54,-21.75,4.35,-79.20,33.16,88.81,
01/01/2000,00:00:02.51,145.51,139.65,-966.80,-0.30,-0.24,-2.56,-22.65,3.00,-78.90,33.16,88.91,
01/01/2000,00:00:02.52,142.58,135.25,-970.21,-0.43,-1.65,0.91,-21.90,3.75,-79.65,33.25,89.08,
01/01/2000,00:00:02.53,162.60,157.71,-972.17,-0.24,0.12,0.00,-23.10,3.90,-78.45,33.35,89.25,
01/01/2000,00:00:02.54,138.67,145.02,-992.68,0.85,1.77,0.30,-23.10,3.90,-78.45,33.25,89.04,
01/01/2000,00:00:02.55,124.51,142.09,-991.21,0.67,3.41,-1.10,-22.05,2.70,-78.75,33.35,89.13,
01/01/2000,00:00:02.56,108.89,174.80,-989.75,0.79,4.70,-0.30,-23.40,3.30,-79.35,33.30,89.30,
01/01/2000,00:00:02.57,108.40,180.18,-972.66,2.68,6.77,-3.54,-21.75,1.95,-79.20,33.35,89.39,
01/01/2000,00:00:02.58,92.77,201.17,-953.12,5.91,10.61,-3.29,-23.10,2.70,-78.45,33.44,89.55,
01/01/2000,00:00:02.59,80.08,206.05,-912.11,13.05,16.89,-5.85,-23.10,2.70,-78.45,33.35,89.34,
01/01/2000,00:00:02.60,36.62,241.70,-887.70,22.26,23.05,-5.00,-22.80,2.70,-79.20,33.35,89.43,
01/01/2000,00:00:02.61,47.36,139.16,-949.22,25.24,23.66,-0.79,-23.10,3.90,-78.75,33.11,89.52,
01/01/2000,00:00:02.62,57.13,209.47,-963.87,21.16,28.96,-4.51,-22.80,3.90,-80.55,33.35,89.67,
01/01/2000,00:00:02.63,72.75,204.59,-1023.93,29.27,30.67,-2.07,-22.35,2.40,-78.75,33.49,89.83,
01/01/2000,00:00:02.65,133.79,226.56,-1086.91,34.94,33.05,-0.85,-23.55,2.70,-78.75,33.49,89.62,
01/01/2000,00:00:02.65,156.74,240.23,-1131.35,36.77,39.39,0.00,-23.55,2.40,-79.50,33.16,89.70,
01/01/2000,00:00:02.66,187.50,249.51,-1174.80,36.10,48.54,-0.91,-22.35,1.65,-79.50,33.44,89.78,
01/01/2000,00:00:02.67,196.29,243.16,-1243.16,39.94,58.60,1.52,-23.70,2.55,-79.65,33.35,89.93,
01/01/2000,00:00:02.68,234.38,178.22,-1211.91,38.72,69.94,0.49,-23.70,2.55,-79.65,33.35,90.01,
