rtcDate,rtcTime,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,imu_degC,output_Hz,
01/01/2000,00:00:01.32,309.08,925.78,-86.43,-3.54,-0.12,-0.61,-29.40,-19.05,-66.45,31.24,333.333,
01/01/2000,00:00:01.34,314.45,917.48,-84.47,-2.87,-0.24,-0.37,-31.05,-19.95,-66.30,31.38,83.333,
01/01/2000,00:00:01.35,297.85,945.80,-67.38,-1.95,-1.65,1.10,-30.15,-20.25,-66.75,31.53,81.081,
01/01/2000,00:00:01.36,318.36,923.34,-72.75,-1.95,-1.34,0.12,-28.95,-18.60,-67.20,31.53,83.333,
01/01/2000,00:00:01.38,312.99,923.34,-71.29,-1.52,0.91,-1.89,-28.05,-17.25,-66.30,31.38,86.207,
01/01/2000,00:00:01.38,316.41,924.80,-73.73,-0.12,0.67,2.38,-28.05,-17.25,-66.30,31.38,85.714,
01/01/2000,00:00:01.40,310.55,923.34,-82.52,-0.55,0.49,-1.16,-28.05,-17.25,-66.30,31.34,87.500,
01/01/2000,00:00:01.41,316.41,921.39,-69.34,1.52,-0.18,-4.15,-28.20,-17.10,-67.95,31.53,87.912,
01/01/2000,00:00:01.42,313.96,936.52,-77.64,0.61,1.65,-2.38,-29.70,-19.05,-67.95,31.38,89.109,
01/01/2000,00:00:01.42,306.15,931.15,-58.59,-1.65,-0.98,0.24,-28.95,-19.05,-67.95,31.38,89.286,
01/01/2000,00:00:01.44,312.50,916.99,-65.43,-0.24,1.34,0.85,-29.40,-18.60,-66.75,31.19,88.710,
01/01/2000,00:00:01.45,310.06,925.29,-59.57,-0.43,2.01,-0.12,-28.05,-19.20,-66.60,31.38,89.552,
01/01/2000,00:00:01.46,312.01,931.64,-67.87,0.30,-0.43,1.22,-28.20,-17.85,-67.95,31.38,89.655,
01/01/2000,00:00:01.47,309.08,928.22,-75.68,-1.65,2.38,0.24,-28.20,-17.85,-67.50,31.38,90.323,
01/01/2000,00:00:01.48,322.75,912.11,-71.78,-1.46,0.85,0.98,-28.20,-17.85,-67.50,31.53,90.361,
01/01/2000,00:00:01.49,324.71,929.20,-69.34,-1.04,1.71,-2.44,-28.05,-18.90,-67.80,31.67,90.909,
01/01/2000,00:00:01.50,327.15,926.76,-65.92,-0.12,0.30,3.72,-28.35,-19.20,-67.05,31.48,90.426,
01/01/2000,00:00:01.51,322.27,912.11,-97.66,0.91,0.0,1.04,-27.0,-19.35,-68.25,31.24,90.909,
01/01/2000,00:00:01.52,306.64,922.36,-73.73,-0.85,-0.85,-2.07,-30.15,-19.05,-67.50,31.38,91.346,
01/01/2000,00:00:01.53,320.80,919.43,-81.54,0.0,-0.73,-0.55,-28.95,-18.60,-67.20,31.24,91.324,
01/01/2000,00:00:01.54,315.92,919.43,-80.57,1.52,1.34,-1.40,-27.30,-18.90,-67.35,31.38,91.304,
01/01/2000,00:00:01.55,301.27,926.76,-88.87,-0.24,-2.01,1.65,-29.40,-18.30,-67.95,31.58,91.286,
01/01/2000,00:00:01.57,313.96,926.76,-78.13,-1.10,0.49,1.52,-29.40,-18.30,-67.95,31.48,91.270,
01/01/2000,00:00:01.58,313.96,919.92,-90.33,-1.71,-3.48,0.12,-29.40,-18.30,-67.95,31.58,91.603,
01/01/2000,00:00:01.59,302.73,917.48,-63.96,0.79,-2.13,1.71,-29.40,-18.30,-68.70,31.38,91.575,
01/01/2000,00:00:01.60,302.25,922.85,-73.24,2.20,-1.65,0.43,-27.0,-17.10,-67.20,31.48,91.873,
01/01/2000,00:00:01.61,297.85,929.69,-70.80,-1.46,-1.77,0.06,-27.60,-18.0,-66.30,31.38,91.525,
01/01/2000,00:00:01.62,305.66,918.46,-66.41,-2.38,1.71,-0.24,-28.35,-19.65,-67.05,31.58,91.803,
01/01/2000,00:00:01.63,298.34,923.34,-73.73,-0.79,-1.22,2.13,-28.35,-19.20,-67.35,31.38,91.772,
01/01/2000,00:00:01.64,309.57,928.22,-61.52,-1.71,0.61,0.24,-26.55,-17.25,-67.05,31.24,92.025,
01/01/2000,00:00:01.65,295.90,948.24,-66.41,0.30,-0.79,1.65,-26.55,-17.25,-67.05,31.38,91.988,
01/01/2000,00:00:01.66,301.27,933.11,-72.27,1.22,1.89,2.93,-26.55,-17.25,-67.05,31.53,92.219,
01/01/2000,00:00:01.67,294.43,933.11,-56.15,-2.74,0.0,-1.65,-28.20,-19.80,-67.20,31.24,91.922,
01/01/2000,00:00:01.68,306.64,926.76,-48.34,-2.56,0.0,0.73,-29.40,-19.05,-66.75,31.53,92.141,
01/01/2000,00:00:01.69,306.15,931.15,-62.50,0.73,1.77,-1.89,-28.80,-16.80,-67.05,31.53,92.105,
01/01/2000,00:00:01.70,300.78,935.55,-56.64,1.77,2.26,-0.61,-28.20,-18.60,-66.0,31.38,92.308,
01/01/2000,00:00:01.71,312.01,936.52,-61.52,1.65,2.87,-0.91,-26.70,-17.85,-68.25,31.53,92.269,
01/01/2000,00:00:01.72,322.75,925.78,-46.39,-1.28,0.0,-1.40,-29.10,-18.90,-67.35,31.38,92.233,
01/01/2000,00:00:01.73,317.87,921.88,-64.94,3.11,1.28,2.56,-29.10,-18.90,-67.35,31.72,92.199,
01/01/2000,00:00:01.74,321.29,918.95,-63.48,-1.40,4.21,0.55,-29.10,-18.90,-67.35,31.58,92.379,
01/01/2000,00:00:01.76,313.48,920.90,-65.92,-0.30,0.91,2.62,-27.90,-18.30,-66.75,31.58,92.342,
01/01/2000,00:00:01.76,315.92,913.57,-70.31,4.15,0.37,-1.52,-28.95,-18.60,-67.50,31.58,92.511,
01/01/2000,00:00:01.78,312.99,907.71,-80.08,3.96,0.73,-0.06,-28.80,-18.90,-67.05,31.48,92.275,
01/01/2000,00:00:01.79,305.66,927.25,-83.50,1.89,1.71,1.28,-28.80,-18.90,-67.05,31.53,92.437,
01/01/2000,00:00:01.80,312.01,923.34,-82.52,0.06,3.29,2.56,-28.65,-19.05,-69.45,31.38,92.402,
01/01/2000,00:00:01.81,312.99,923.83,-87.89,3.11,-0.24,1.10,-29.55,-19.95,-66.30,31.38,92.555,
01/01/2000,00:00:01.82,313.48,928.22,-89.36,0.0,0.79,4.09,-29.55,-19.95,-66.30,31.38,92.702,
01/01/2000,00:00:01.84,310.06,926.76,-94.24,1.40,2.62,0.67,-29.55,-19.95,-66.30,31.53,91.954,
01/01/2000,00:00:01.85,316.89,923.83,-86.43,-1.77,0.24,-0.24,-29.40,-17.40,-67.20,31.58,91.589,
01/01/2000,00:00:01.86,314.45,925.78,-64.45,-4.33,2.56,-0.43,-30.90,-19.35,-66.45,31.24,91.575,
01/01/2000,00:00:01.87,295.90,934.57,-85.45,-1.65,2.32,-3.96,-28.65,-18.30,-67.50,31.53,91.727,
01/01/2000,00:00:01.88,299.80,927.73,-66.41,0.67,0.18,1.83,-28.65,-19.05,-68.25,31.48,91.711,
01/01/2000,00:00:01.89,304.20,921.88,-63.96,1.83,2.20,1.71,-29.40,-19.05,-66.0,31.38,91.854,
01/01/2000,00:00:01.90,305.18,923.34,-78.13,-0.91,3.05,2.26,-29.40,-18.60,-68.25,31.24,91.681,
01/01/2000,00:00:01.91,295.90,921.88,-60.06,0.43,4.39,2.20,-29.40,-18.60,-68.25,31.38,91.820,
01/01/2000,00:00:01.92,312.99,924.32,-62.99,-1.52,3.96,4.70,-29.40,-18.60,-68.25,31.38,91.803,
01/01/2000,00:00:01.93,305.66,920.41,-74.22,-1.65,4.82,3.41,-28.95,-18.60,-66.75,31.48,91.935,
01/01/2000,00:00:01.94,316.41,916.50,-68.36,-1.10,4.63,3.78,-28.05,-19.20,-67.80,31.53,91.918,
01/01/2000,00:00:01.95,318.36,917.48,-45.41,0.73,3.41,4.21,-28.80,-18.90,-67.35,31.58,91.900,
01/01/2000,00:00:01.96,307.62,932.13,-61.52,-0.67,0.67,4.63,-29.10,-19.20,-66.60,31.67,92.025,
01/01/2000,00:00:01.97,302.25,930.18,-63.48,1.22,0.79,4.27,-28.95,-18.30,-66.75,31.53,92.006,
01/01/2000,00:00:01.98,299.32,927.25,-65.92,0.06,-0.73,1.10,-29.55,-19.20,-67.05,31.53,92.125,
01/01/2000,00:00:01.99,294.43,930.66,-66.89,-3.11,0.61,4.82,-29.55,-19.20,-67.05,31.48,92.105,
01/01/2000,00:00:02.00,308.11,927.25,-59.57,0.55,1.34,2.62,-29.55,-19.20,-67.05,31.53,92.219,
