rtcDate,rtcTime,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,imu_degC,output_Hz,
01/01/2000,00:00:01.34,153.81,880.86,-423.34,-2.38,0.91,1.22,-23.10,12.30,-65.10,33.35,333.33,
01/01/2000,00:00:01.40,153.81,869.14,-419.92,0.24,0.55,0.18,-24.90,15.75,-63.60,33.35,37.74,
01/01/2000,00:00:01.41,148.44,877.44,-433.11,0.12,2.50,0.98,-25.20,13.95,-63.75,33.35,45.45,
01/01/2000,00:00:01.42,156.74,871.58,-424.32,-0.49,2.07,-4.09,-24.45,13.20,-64.95,33.11,52.63,
01/01/2000,00:00:01.43,152.83,874.02,-425.78,0.12,4.57,1.77,-23.70,15.15,-63.75,33.25,58.82,
01/01/2000,00:00:01.44,170.41,862.79,-425.78,-0.49,2.01,0.37,-23.70,15.15,-63.75,33.35,60.61,
01/01/2000,00:00:01.45,177.73,872.07,-416.50,0.37,0.67,0.91,-23.55,14.85,-64.65,33.49,64.22,
01/01/2000,00:00:01.46,178.22,880.37,-413.57,-1.34,-0.55,1.65,-24.60,14.85,-64.35,33.16,67.80,
01/01/2000,00:00:01.47,170.41,864.75,-422.85,-2.74,1.04,-0.43,-24.45,15.45,-65.25,33.30,70.31,
01/01/2000,00:00:01.48,161.13,872.07,-420.41,-3.05,1.71,0.43,-24.75,13.20,-64.20,33.35,72.99,
01/01/2000,00:00:01.49,173.83,867.19,-424.32,-0.79,-0.79,1.04,-24.75,13.20,-64.20,33.30,74.83,
01/01/2000,00:00:01.51,173.83,866.21,-412.60,-2.50,0.98,1.40,-24.60,13.80,-62.85,33.49,75.00,
01/01/2000,00:00:01.51,170.41,872.56,-414.55,-0.67,-1.40,1.34,-25.50,13.20,-63.45,33.25,76.47,
01/01/2000,00:00:01.53,166.50,879.39,-413.57,-1.34,-0.67,-0.30,-23.55,13.05,-64.05,33.35,77.78,
01/01/2000,00:00:01.53,165.53,877.44,-417.97,-1.10,-0.12,2.93,-24.60,14.10,-64.05,33.49,79.37,
01/01/2000,00:00:01.55,157.71,878.91,-414.06,-2.32,1.16,0.55,-24.60,14.10,-64.05,33.35,80.40,
01/01/2000,00:00:01.56,185.06,875.00,-418.95,-1.34,2.32,0.61,-23.85,14.10,-64.05,33.35,80.19,
01/01/2000,00:00:01.57,184.08,877.93,-424.80,-1.22,0.06,0.98,-23.70,14.40,-63.45,33.35,81.08,
01/01/2000,00:00:01.58,166.50,891.60,-419.92,-1.46,0.37,1.28,-23.70,14.40,-63.45,33.44,81.90,
