rtcDate,rtcTime,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,imu_degC,output_Hz,
01/01/2000,00:00:01.34,-69.82,933.11,-279.30,-0.12,-3.17,0.24,1.50,19.50,-66.15,31.77,333.33,
01/01/2000,00:00:01.40,-77.15,932.62,-274.41,-0.24,2.50,-1.22,1.50,19.80,-64.65,32.01,37.74,
01/01/2000,00:00:01.41,-69.34,939.94,-279.79,-3.41,0.67,-0.37,2.55,19.65,-64.20,32.01,45.45,
01/01/2000,00:00:01.42,-63.48,937.50,-290.04,-1.04,1.65,-0.79,2.85,21.60,-64.50,31.86,52.63,
01/01/2000,00:00:01.42,-57.62,952.64,-276.37,-3.60,0.61,-1.04,2.85,20.40,-64.95,31.72,58.82,
01/01/2000,00:00:01.44,-49.80,933.59,-273.44,-2.20,-0.67,-3.29,1.95,19.05,-64.65,31.91,60.61,
01/01/2000,00:00:01.45,-60.06,951.17,-266.60,-1.59,0.06,-0.37,1.95,19.05,-64.65,32.10,64.22,
01/01/2000,00:00:01.46,-56.15,929.20,-289.06,-1.34,0.91,-1.34,2.70,19.80,-65.40,31.72,67.80,
01/01/2000,00:00:01.47,-68.36,939.94,-278.81,-0.30,-1.71,-0.30,3.45,20.25,-65.10,31.77,70.87,
01/01/2000,00:00:01.48,-64.94,927.73,-268.07,-1.10,-0.91,-1.59,3.00,20.55,-66.90,31.86,72.99,
01/01/2000,00:00:01.49,-71.29,942.87,-276.86,-0.91,-0.12,-0.24,1.95,19.50,-65.10,31.86,75.34,
01/01/2000,00:00:01.50,-76.17,938.48,-277.34,0.37,-1.04,-1.22,1.95,19.50,-65.10,31.67,75.00,
01/01/2000,00:00:01.51,-71.29,935.55,-275.39,-0.67,-4.09,0.73,2.55,20.40,-64.20,32.06,76.47,
01/01/2000,00:00:01.52,-68.36,944.82,-275.88,-3.48,-1.95,-1.04,3.00,19.80,-66.15,32.01,78.21,
01/01/2000,00:00:01.53,-70.31,930.66,-282.71,-2.26,-1.95,-1.34,3.75,19.50,-64.35,31.91,79.37,
01/01/2000,00:00:01.54,-69.34,934.08,-269.04,-2.13,-1.59,1.28,2.70,18.30,-65.40,32.01,80.81,
01/01/2000,00:00:01.56,-74.71,935.06,-278.32,-2.20,0.98,-1.59,2.85,20.40,-64.50,31.77,80.19,
01/01/2000,00:00:01.57,-88.87,944.34,-284.18,-0.37,0.49,0.85,4.50,19.05,-65.85,32.06,81.45,
01/01/2000,00:00:01.58,-97.17,931.15,-278.32,-1.04,0.98,1.22,3.60,20.40,-64.50,31.91,82.25,
01/01/2000,00:00:01.59,-77.15,935.55,-280.76,-1.71,1.83,-4.45,2.85,19.65,-66.00,31.91,83.33,
01/01/2000,00:00:01.60,-68.85,933.11,-284.18,-2.56,4.15,-2.32,2.85,19.65,-66.00,32.06,84.00,
01/01/2000,00:00:01.61,-74.71,955.57,-282.71,-4.82,3.41,-0.61,2.85,19.65,-66.00,31.72,84.94,
01/01/2000,00:00:01.62,-64.94,942.38,-269.04,-1.95,1.46,0.37,3.00,19.50,-65.85,31.72,84.25,
01/01/2000,00:00:01.63,-53.71,936.52,-262.70,-2.50,-0.24,-2.01,1.95,20.25,-64.65,32.10,85.11,
