rtcDate,rtcTime,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,imu_degC,output_Hz,
01/01/2000,00:00:01.34,-78.61,939.45,-227.54,-4.63,-8.29,-0.85,5.85,21.60,-63.45,31.48,250.00,
01/01/2000,00:00:01.39,-82.03,943.85,-236.33,-3.05,-2.13,-0.12,6.00,21.00,-61.80,31.34,37.74,
01/01/2000,00:00:01.40,-83.50,931.15,-228.52,-5.67,-3.84,0.06,4.35,22.65,-61.65,31.48,45.45,
01/01/2000,00:00:01.41,-82.52,936.52,-222.66,-6.77,-2.20,-1.89,5.10,21.90,-63.15,31.14,52.63,
01/01/2000,00:00:01.42,-75.68,938.96,-228.52,-5.18,-2.50,-0.49,5.40,21.15,-63.75,31.38,58.14,
01/01/2000,00:00:01.43,-85.94,936.52,-240.23,-5.37,-4.76,-0.30,5.25,21.75,-62.85,31.53,60.61,
01/01/2000,00:00:01.44,-69.34,947.75,-245.61,-4.51,-5.67,3.05,4.65,22.35,-62.40,31.38,64.22,
01/01/2000,00:00:01.45,-72.27,960.45,-232.91,-7.62,-7.20,3.60,4.65,22.35,-62.40,31.48,67.80,
01/01/2000,00:00:01.46,-74.71,957.03,-219.73,-5.67,-7.80,3.05,5.25,21.75,-62.85,31.38,70.31,
01/01/2000,00:00:01.47,-82.03,947.75,-210.94,-4.02,-9.88,4.45,4.35,21.60,-62.40,31.53,72.99,
01/01/2000,00:00:01.48,-86.91,949.22,-229.00,-6.65,-11.40,3.35,6.15,22.35,-63.45,31.48,74.83,
01/01/2000,00:00:01.49,-94.73,943.85,-229.00,-5.73,-11.16,3.11,5.55,22.95,-62.25,31.19,75.00,
01/01/2000,00:00:01.51,-103.52,957.03,-224.12,-7.01,-9.45,1.10,5.55,22.95,-62.25,31.67,76.47,
01/01/2000,00:00:01.51,-114.26,949.22,-225.10,-3.54,-8.90,2.93,5.85,20.40,-62.40,31.38,78.21,
01/01/2000,00:00:01.53,-99.61,953.61,-222.17,-5.37,-7.68,3.11,5.55,22.50,-62.55,31.24,79.37,
01/01/2000,00:00:01.53,-99.61,950.20,-224.12,-5.24,-6.89,3.23,4.65,22.35,-62.40,31.67,80.81,
01/01/2000,00:00:01.55,-69.82,935.55,-208.01,-7.38,-6.95,3.72,4.20,21.45,-62.85,31.58,80.19,
01/01/2000,00:00:01.56,-79.10,942.87,-215.82,-8.35,-7.01,0.73,6.75,21.45,-62.55,31.38,81.08,
01/01/2000,00:00:01.57,-78.61,938.48,-214.36,-6.95,-4.27,1.28,6.75,22.20,-62.55,31.48,82.25,
01/01/2000,00:00:01.58,-73.73,952.64,-228.03,-8.60,-8.11,3.72,6.75,22.20,-62.55,31.67,82.99,
01/01/2000,00:00:01.59,-96.68,940.43,-229.49,-7.74,-6.59,5.37,6.30,22.20,-61.05,31.38,84.00,
01/01/2000,00:00:01.60,-96.19,958.01,-235.35,-6.34,-7.74,0.91,5.25,21.75,-61.50,31.58,83.33,
01/01/2000,00:00:01.61,-92.29,961.91,-224.61,-8.11,-6.22,1.34,5.25,22.20,-62.55,31.67,84.25,
01/01/2000,00:00:01.62,-105.96,959.47,-226.07,-5.98,-5.55,3.66,6.45,23.10,-63.45,31.38,84.81,
01/01/2000,00:00:01.63,-86.43,955.57,-220.21,-9.33,-4.63,4.21,5.40,23.85,-61.35,31.38,85.62,
01/01/2000,00:00:01.64,-98.63,965.33,-211.43,-8.35,-2.74,4.63,5.10,21.60,-62.70,31.19,86.09,
01/01/2000,00:00:01.65,-75.20,944.82,-216.80,-9.21,-2.26,3.54,5.10,21.60,-62.70,31.48,86.82,
01/01/2000,00:00:01.67,-97.17,944.82,-213.38,-8.29,-1.95,3.78,5.40,21.15,-60.15,31.38,86.15,
01/01/2000,00:00:01.67,-100.10,946.29,-207.52,-8.78,-2.07,1.95,5.25,23.70,-61.50,31.67,86.83,
01/01/2000,00:00:01.69,-104.98,953.61,-211.43,-9.57,-0.06,2.93,4.50,22.95,-61.80,31.38,87.21,
01/01/2000,00:00:01.69,-88.38,960.45,-202.15,-7.68,-0.12,0.55,6.00,21.00,-62.85,31.38,87.82,
01/01/2000,00:00:01.71,-86.43,958.50,-200.68,-7.62,1.22,0.49,6.00,21.00,-62.85,31.24,88.15,
01/01/2000,00:00:01.72,-78.12,955.57,-204.10,-7.62,2.56,0.12,5.25,21.75,-62.25,31.38,87.77,
01/01/2000,00:00:01.73,-78.12,959.47,-204.10,-6.71,2.20,0.73,4.20,22.50,-62.55,31.67,88.08,
01/01/2000,00:00:01.74,-75.20,962.40,-209.47,-7.56,2.07,1.10,5.40,23.85,-61.95,31.72,88.61,
01/01/2000,00:00:01.75,-72.27,966.31,-201.66,-5.12,1.16,0.73,5.40,23.85,-61.95,31.67,88.89,
01/01/2000,00:00:01.76,-79.59,966.80,-206.05,-8.17,-3.23,-2.32,5.40,23.85,-61.95,31.58,89.37,
01/01/2000,00:00:01.77,-70.80,961.91,-208.01,-7.01,-1.04,-1.95,6.30,22.95,-62.85,31.58,89.62,
01/01/2000,00:00:01.78,-79.10,973.14,-213.38,-4.57,-2.44,0.30,5.10,22.65,-61.35,31.58,89.24,
01/01/2000,00:00:01.79,-86.43,983.89,-211.43,-0.24,-5.98,-0.79,5.10,22.65,-61.35,31.24,89.49,
01/01/2000,00:00:01.80,-96.68,976.07,-217.77,-1.52,-6.46,1.77,5.10,22.65,-61.35,31.58,89.91,
01/01/2000,00:00:01.81,-81.54,978.03,-199.71,-2.32,-6.83,0.18,5.10,22.65,-61.35,31.38,90.13,
01/01/2000,00:00:01.82,-90.33,971.68,-205.57,-0.49,-6.71,-1.10,5.10,22.35,-60.60,31.53,90.53,
01/01/2000,00:00:01.84,-84.47,956.05,-203.12,-2.01,-5.55,-0.73,5.10,21.90,-59.55,31.34,89.98,
01/01/2000,00:00:01.84,-119.14,966.80,-225.10,-1.46,-3.66,-0.79,5.10,21.90,-59.55,31.58,90.18,
01/01/2000,00:00:01.86,-120.12,958.50,-226.07,1.83,-4.09,-1.10,5.55,22.95,-61.05,31.77,90.55,
01/01/2000,00:00:01.89,-124.51,952.64,-217.77,2.56,4.63,-2.93,6.15,21.90,-60.90,31.58,87.20,
01/01/2000,00:00:01.90,-127.93,944.34,-202.64,1.59,8.84,-0.73,6.15,21.90,-60.90,31.77,86.96,
01/01/2000,00:00:01.91,-136.23,952.64,-208.98,1.46,10.18,-2.01,5.85,25.35,-60.60,31.34,87.19,
01/01/2000,00:00:01.92,-121.09,959.47,-192.87,1.46,10.12,-2.32,4.65,23.85,-61.65,31.72,86.96,
01/01/2000,00:00:01.93,-128.42,964.36,-183.59,1.16,15.12,-3.54,6.90,22.65,-61.65,31.67,87.18,
01/01/2000,00:00:01.94,-121.58,947.75,-201.66,1.77,14.21,-4.70,6.90,22.65,-61.65,31.58,87.39,
01/01/2000,00:00:01.95,-96.68,963.38,-192.38,-0.06,16.10,-2.26,6.00,22.50,-59.25,31.48,87.75,
01/01/2000,00:00:01.96,-85.94,974.61,-187.99,1.95,14.63,-0.85,5.85,23.40,-62.40,31.53,88.09,
01/01/2000,00:00:01.97,-70.31,969.24,-189.94,-0.79,12.13,-2.68,5.10,22.65,-61.35,31.72,87.72,
01/01/2000,00:00:01.99,-67.38,977.54,-185.06,-0.61,11.34,-5.73,5.85,23.10,-61.65,31.53,87.91,
01/01/2000,00:00:01.99,-76.66,956.54,-177.25,0.37,4.94,-0.98,5.85,23.10,-61.65,31.86,88.24,
01/01/2000,00:00:02.00,-61.04,956.05,-179.69,1.22,3.35,-4.21,5.25,23.25,-61.80,31.53,88.41,
