rtcDate,rtcTime,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,imu_degC,output_Hz,
01/01/2000,00:00:01.31,-81.05,883.30,-425.29,-2.38,2.07,-0.85,-5.10,-19.80,-87.0,31.05,500.0,
01/01/2000,00:00:01.33,-94.73,887.70,-435.06,-3.35,2.50,1.89,-5.40,-21.0,-89.25,31.05,100.0,
01/01/2000,00:00:01.34,-101.56,857.42,-438.48,-3.60,2.56,1.40,-3.60,-21.0,-87.75,31.19,93.750,
01/01/2000,00:00:01.35,-106.45,878.42,-423.83,-4.70,1.52,0.85,-2.70,-21.0,-87.75,30.71,95.238,
01/01/2000,00:00:01.36,-97.17,880.37,-415.04,-3.29,0.18,0.79,-2.70,-21.0,-87.75,31.14,94.340,
01/01/2000,00:00:01.38,-83.98,888.18,-416.02,-2.26,0.37,1.59,-2.70,-21.0,-87.75,31.24,93.750,
01/01/2000,00:00:01.38,-72.27,879.88,-400.88,-3.11,-3.60,3.72,-3.60,-21.45,-88.05,31.14,94.595,
01/01/2000,00:00:01.40,-55.66,895.02,-382.32,-3.78,-3.60,3.96,-2.55,-19.20,-87.90,31.05,94.118,
01/01/2000,00:00:01.41,-62.01,886.23,-386.23,-0.85,-5.24,2.07,-4.05,-20.85,-87.45,31.14,93.750,
01/01/2000,00:00:01.42,-82.03,867.68,-385.74,-0.12,-4.94,2.50,-4.65,-21.45,-88.05,31.14,94.340,
01/01/2000,00:00:01.42,-90.82,882.81,-387.70,-0.49,-9.63,-1.28,-3.0,-21.15,-87.45,31.05,94.017,
01/01/2000,00:00:01.44,-114.26,880.86,-416.99,1.16,-6.52,-3.48,-4.50,-19.65,-87.45,31.14,93.750,
01/01/2000,00:00:01.45,-131.35,890.14,-410.16,4.02,-4.33,0.79,-4.50,-19.65,-87.45,31.34,93.525,
01/01/2000,00:00:01.46,-92.29,878.91,-425.29,-1.83,-0.73,-0.43,-4.50,-19.65,-87.45,31.14,93.333,
01/01/2000,00:00:01.47,-65.92,879.88,-413.57,2.32,-3.66,0.43,-3.15,-21.0,-88.80,31.14,93.750,
01/01/2000,00:00:01.48,-68.36,886.23,-420.41,1.28,-4.70,-0.49,-2.40,-21.0,-89.55,31.14,93.567,
01/01/2000,00:00:01.49,-66.41,881.35,-415.04,2.07,-4.33,-2.20,-3.75,-20.85,-87.90,31.14,93.407,
01/01/2000,00:00:01.50,-70.31,873.05,-405.76,0.43,-4.45,-2.93,-4.05,-19.95,-87.90,31.24,93.264,
01/01/2000,00:00:01.51,-77.15,885.74,-415.53,1.40,-8.41,-5.18,-3.0,-20.85,-86.70,31.34,93.596,
01/01/2000,00:00:01.52,-103.03,899.90,-385.74,1.83,-3.66,0.55,-4.50,-20.40,-88.20,31.19,93.458,
01/01/2000,00:00:01.53,-110.35,872.56,-393.55,7.07,-4.76,-2.62,-2.70,-21.75,-87.75,31.00,93.333,
