rtcDate,rtcTime,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,imu_degC,output_Hz,
01/01/2000,00:00:01.33,-36.62,884.77,-415.04,-2.74,-6.71,0.00,-3.75,15.75,-70.50,32.10,250.00,
01/01/2000,00:00:01.38,-38.57,886.23,-414.06,-6.04,-4.82,-4.02,-1.95,15.30,-67.95,32.06,37.04,
01/01/2000,00:00:01.40,-39.06,897.95,-413.09,-7.26,-5.30,-2.68,-3.75,16.05,-68.70,32.25,44.78,
01/01/2000,00:00:01.41,-62.99,894.53,-408.69,-6.04,-5.37,-2.26,-4.20,15.75,-68.70,31.91,51.95,
01/01/2000,00:00:01.42,-81.05,903.32,-414.55,-8.05,-3.60,-2.44,-4.20,15.75,-68.70,32.25,58.14,
01/01/2000,00:00:01.43,-59.57,899.90,-413.09,-9.94,0.18,-2.93,-2.85,16.65,-69.30,32.25,60.00,
01/01/2000,00:00:01.44,-52.73,906.25,-402.83,-8.66,-0.85,-2.50,-3.00,16.80,-68.25,31.86,64.22,
01/01/2000,00:00:01.45,-48.34,895.02,-409.67,-9.27,-0.85,-1.95,-3.00,16.05,-66.90,32.25,67.23,
01/01/2000,00:00:01.46,-34.18,898.93,-393.07,-9.21,-0.43,-3.78,-1.95,16.50,-68.70,32.25,70.31,
01/01/2000,00:00:01.47,-33.20,900.39,-395.51,-10.06,-2.07,-3.60,-1.95,16.50,-68.70,32.20,72.46,
01/01/2000,00:00:01.48,-34.67,903.81,-396.00,-4.57,-1.22,-2.32,-3.00,17.55,-67.20,32.10,72.85,
01/01/2000,00:00:01.49,-53.22,888.18,-398.93,-8.60,-2.74,-0.06,-3.45,16.50,-67.95,32.25,74.53,
01/01/2000,00:00:01.50,-42.48,875.49,-403.81,-8.96,-2.68,-3.05,-3.00,16.80,-67.65,32.10,76.02,
01/01/2000,00:00:01.51,-64.94,920.41,-406.25,-8.84,-1.40,0.55,-3.45,16.50,-69.00,32.29,77.78,
01/01/2000,00:00:01.52,-52.25,911.62,-401.37,-6.89,-2.87,-1.46,-3.45,16.50,-69.00,32.10,79.37,
01/01/2000,00:00:01.53,-45.90,894.04,-380.86,-7.62,-0.37,-0.73,-2.70,18.30,-67.65,32.20,80.40,
01/01/2000,00:00:01.55,-54.69,903.81,-373.05,-7.44,-2.68,-3.90,-3.60,16.65,-68.10,31.77,80.19,
01/01/2000,00:00:01.56,-10.74,905.27,-375.49,-7.01,-4.15,-2.44,-3.00,17.55,-68.25,32.01,81.08,
01/01/2000,00:00:01.57,-22.95,893.55,-389.16,-6.83,-7.44,0.18,-3.00,17.55,-68.25,32.25,81.90,
01/01/2000,00:00:01.58,-11.72,899.41,-382.32,-6.16,-7.80,-1.28,-3.90,18.90,-68.85,32.10,82.99,
01/01/2000,00:00:01.59,-21.00,904.30,-387.70,-6.89,-6.52,-0.85,-3.90,18.90,-68.85,32.20,83.67,
01/01/2000,00:00:01.60,-41.99,895.51,-396.97,-4.57,-5.61,-2.62,-2.55,17.70,-66.75,32.29,83.33,
01/01/2000,00:00:01.61,-57.13,892.58,-377.44,-6.10,-7.87,-3.23,-3.60,18.60,-68.10,32.25,83.94,
01/01/2000,00:00:01.62,-43.46,906.74,-369.63,-5.12,-5.18,-2.56,-3.60,18.60,-68.10,32.44,84.81,
01/01/2000,00:00:01.63,-31.74,905.27,-352.54,-6.46,-7.26,-5.55,-2.55,17.70,-68.55,32.29,85.32,
01/01/2000,00:00:01.64,-52.25,909.67,-347.66,-5.67,-9.09,-3.54,-3.90,18.60,-68.85,32.25,86.09,
01/01/2000,00:00:01.65,-40.04,907.71,-346.19,-6.71,-10.18,-2.50,-2.55,16.20,-68.10,32.10,86.54,
01/01/2000,00:00:01.66,-15.62,920.90,-354.49,-7.80,-11.22,-1.16,-1.50,17.55,-67.65,32.25,86.15,
01/01/2000,00:00:01.67,-42.48,914.55,-357.42,-4.21,-14.94,-1.16,-1.50,17.55,-67.65,32.29,86.57,
01/01/2000,00:00:01.68,-48.83,894.04,-364.26,-6.89,-15.43,-3.84,-1.80,17.40,-67.35,32.06,87.21,
01/01/2000,00:00:01.69,-56.15,911.62,-360.84,-7.13,-17.44,1.16,-3.00,16.80,-67.65,32.29,87.57,
01/01/2000,00:00:01.70,-64.94,899.41,-355.47,-7.74,-18.35,-2.62,-1.80,16.20,-68.10,32.20,88.15,
01/01/2000,00:00:01.71,-50.29,924.32,-379.88,-7.07,-20.12,-3.96,-2.70,19.50,-67.65,32.20,87.53,
01/01/2000,00:00:01.72,-71.78,908.20,-374.02,-4.82,-20.61,-0.49,-2.70,19.50,-67.65,32.25,87.86,
01/01/2000,00:00:01.73,-60.06,889.16,-363.77,-7.62,-21.77,-0.24,-0.90,18.00,-67.95,32.25,88.38,
01/01/2000,00:00:01.74,-71.29,898.44,-378.42,-6.59,-21.89,-0.55,-1.20,18.75,-67.95,32.39,88.67,
01/01/2000,00:00:01.75,-86.91,911.62,-388.18,-7.99,-21.95,-1.40,-2.10,18.60,-67.80,32.25,89.16,
01/01/2000,00:00:01.77,-111.82,907.71,-387.70,-7.20,-16.59,-2.38,-1.80,15.90,-67.80,32.29,88.58,
01/01/2000,00:00:01.78,-107.42,895.02,-377.44,-8.05,-15.12,0.49,-1.05,19.35,-68.10,32.01,89.04,
01/01/2000,00:00:01.79,-120.61,903.81,-394.04,-8.35,-10.37,-1.16,-1.20,19.50,-67.95,32.10,89.29,
01/01/2000,00:00:01.80,-142.09,900.39,-364.26,-9.94,-9.27,-0.49,-0.30,17.70,-67.80,32.25,89.72,
01/01/2000,00:00:01.81,-159.18,905.27,-353.03,-11.83,-0.24,-5.06,-1.20,18.30,-67.95,32.29,89.94,
01/01/2000,00:00:01.82,-145.51,927.25,-350.10,-12.80,5.06,-7.74,-1.20,18.30,-67.95,32.10,89.58,
01/01/2000,00:00:01.83,-108.89,927.73,-348.63,-13.11,8.05,-8.35,0.00,17.40,-67.05,32.10,89.80,
01/01/2000,00:00:01.84,-76.66,926.76,-348.63,-11.52,7.20,-8.66,-0.90,17.55,-67.20,32.25,90.00,
01/01/2000,00:00:01.85,-58.11,942.87,-360.35,-12.68,3.11,-7.20,-0.90,17.55,-67.20,32.10,90.37,
01/01/2000,00:00:01.88,-47.85,928.71,-339.84,-8.35,-5.24,-2.93,-0.30,19.65,-65.55,32.44,87.04,
01/01/2000,00:00:01.90,-70.31,916.02,-336.43,-8.48,-5.73,0.37,-1.05,18.60,-67.35,32.20,86.80,
01/01/2000,00:00:01.91,-66.89,916.50,-311.04,-10.98,-8.96,-0.61,-1.50,19.05,-66.15,32.25,86.42,
01/01/2000,00:00:01.92,-98.63,914.55,-328.12,-12.32,-7.68,-4.70,-1.20,19.80,-66.15,32.25,86.81,
01/01/2000,00:00:01.93,-123.54,912.60,-312.50,-8.96,-5.91,-5.12,-0.90,19.50,-65.10,32.25,87.03,
01/01/2000,00:00:01.94,-102.05,914.55,-298.83,-8.84,-2.38,-4.57,-0.60,19.65,-67.35,32.39,87.39,
01/01/2000,00:00:01.95,-92.29,918.46,-302.73,-8.90,-1.22,-6.65,-0.30,18.15,-66.00,32.39,87.60,
01/01/2000,00:00:01.96,-66.41,927.73,-291.02,-10.73,-4.39,-5.67,-0.30,18.15,-66.00,32.29,87.38,
01/01/2000,00:00:01.97,-61.04,930.66,-298.83,-9.94,-7.26,-3.23,-2.10,18.15,-67.80,32.29,87.58,
01/01/2000,00:00:01.98,-63.48,926.76,-304.69,-10.30,-10.06,-1.59,-0.60,20.40,-66.30,32.25,87.77,
01/01/2000,00:00:01.99,-84.96,933.11,-331.54,-9.82,-12.50,-2.80,0.00,20.10,-65.55,32.39,88.10,
01/01/2000,00:00:02.00,-81.54,938.96,-319.34,-8.29,-14.88,-3.11,-0.45,19.05,-66.15,32.58,88.41,
01/01/2000,00:00:02.00,-95.70,941.41,-296.88,-6.95,-15.91,-0.67,-0.45,19.05,-66.15,31.86,88.06,
01/01/2000,00:00:02.01,-87.40,938.96,-298.83,-9.15,-18.05,-1.83,0.00,19.35,-65.25,32.39,88.24,
01/01/2000,00:00:02.02,-87.40,934.57,-307.62,-9.39,-13.72,-0.18,-1.05,18.90,-65.55,32.25,88.53,
01/01/2000,00:00:02.03,-90.33,928.22,-298.34,-10.43,-16.22,-1.77,-0.45,19.80,-66.15,32.10,88.70,
01/01/2000,00:00:02.04,-83.50,922.85,-300.29,-8.29,-18.96,1.16,0.00,19.35,-64.20,32.29,88.98,
01/01/2000,00:00:02.05,-94.73,925.29,-309.57,-7.26,-19.02,-1.89,0.00,19.35,-64.20,32.44,89.14,
01/01/2000,00:00:02.07,-108.40,925.29,-312.99,-4.45,-17.56,1.28,-0.15,19.80,-64.65,32.44,88.92,
01/01/2000,00:00:02.07,-98.14,932.62,-315.43,-5.30,-16.28,3.48,-0.15,18.75,-66.90,32.29,89.07,
01/01/2000,00:00:02.08,-105.96,918.95,-314.45,-6.40,-14.45,1.04,1.35,19.35,-66.30,32.53,89.33,
01/01/2000,00:00:02.09,-116.70,932.13,-319.82,-6.16,-14.82,-0.24,1.35,19.35,-66.30,32.58,89.47,
01/01/2000,00:00:02.10,-123.05,928.22,-311.52,-6.34,-12.01,-2.01,1.35,19.35,-66.30,32.20,89.73,
01/01/2000,00:00:02.12,-111.82,925.29,-309.57,-7.26,-8.90,-3.11,1.05,20.40,-64.95,32.44,89.40,
01/01/2000,00:00:02.13,-117.19,930.66,-289.55,-6.16,-9.63,-0.43,1.80,20.40,-67.80,32.39,89.53,
01/01/2000,00:00:02.14,-94.73,937.99,-301.27,-6.10,-7.38,-1.95,0.15,19.05,-66.15,32.06,89.78,
