rtcDate,rtcTime,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,imu_degC,output_Hz,
01/01/2000,00:00:01.33,-41.02,350.59,-928.71,-0.18,-0.06,-0.73,-12.00,15.45,-71.40,32.20,250.00,
01/01/2000,00:00:01.39,-42.97,341.31,-932.62,0.30,-0.12,0.06,-12.15,14.55,-71.25,32.29,37.04,
01/01/2000,00:00:01.40,-46.39,365.23,-924.80,-0.61,-2.44,2.01,-12.15,15.75,-69.75,32.29,44.78,
01/01/2000,00:00:01.41,-40.04,346.19,-941.41,-1.10,1.28,-0.91,-12.30,13.20,-70.65,32.25,51.95,
01/01/2000,00:00:01.42,-50.78,340.82,-935.55,-1.65,0.73,1.40,-11.25,16.20,-70.65,32.39,58.14,
01/01/2000,00:00:01.43,-45.90,333.98,-931.64,-0.43,0.00,-1.16,-12.30,13.65,-69.90,32.44,60.00,
01/01/2000,00:00:01.44,-56.15,339.84,-918.95,-2.26,-0.12,0.91,-11.70,13.65,-71.10,32.20,64.22,
01/01/2000,00:00:01.45,-42.48,355.96,-926.76,-0.43,-0.06,0.00,-12.15,16.50,-71.55,32.58,67.23,
01/01/2000,00:00:01.46,-41.99,354.49,-922.36,-0.79,-0.91,0.00,-11.85,15.30,-71.25,32.39,70.31,
01/01/2000,00:00:01.47,-36.62,362.79,-913.57,-1.34,-0.30,2.20,-11.85,15.30,-71.25,32.29,72.46,
01/01/2000,00:00:01.48,-39.55,361.82,-935.06,-1.95,-0.73,-0.24,-13.50,14.40,-70.65,32.29,72.85,
01/01/2000,00:00:01.49,-49.32,352.54,-919.92,-0.18,0.00,1.10,-11.10,14.85,-72.00,32.25,74.53,
01/01/2000,00:00:01.50,-39.06,351.56,-932.62,-1.16,-0.30,-0.73,-12.30,15.45,-72.15,32.29,76.02,
01/01/2000,00:00:01.51,-35.16,345.21,-920.41,-1.10,-1.95,-0.49,-12.30,15.15,-72.15,32.25,77.78,
01/01/2000,00:00:01.52,-38.09,340.82,-921.88,-2.44,0.49,-0.61,-12.30,15.15,-72.15,32.39,78.95,
01/01/2000,00:00:01.53,-27.34,362.30,-932.13,-0.85,-1.59,1.77,-12.75,15.45,-71.70,32.39,80.40,
01/01/2000,00:00:01.55,-45.41,363.77,-925.78,0.73,-0.85,-0.79,-12.00,14.70,-72.15,32.29,79.81,
01/01/2000,00:00:01.56,-38.57,352.05,-930.66,-1.52,-1.95,-2.87,-15.15,15.75,-70.80,32.44,81.08,
01/01/2000,00:00:01.57,-43.95,345.70,-925.78,-0.91,-0.55,-0.30,-12.00,14.40,-71.10,32.53,81.90,
01/01/2000,00:00:01.58,-40.04,358.89,-938.48,-1.59,-0.85,2.13,-12.00,14.40,-71.10,32.25,82.99,
01/01/2000,00:00:01.59,-53.71,329.10,-937.99,1.10,-3.84,-1.52,-11.25,15.45,-71.70,32.39,83.67,
01/01/2000,00:00:01.60,-54.69,357.42,-938.48,0.18,0.79,-0.98,-12.90,15.75,-70.50,32.25,83.33,
01/01/2000,00:00:01.61,-56.15,347.17,-927.73,-0.79,-1.22,0.12,-11.70,15.45,-71.40,32.29,83.94,
01/01/2000,00:00:01.62,-49.80,342.29,-924.32,-0.06,-0.37,-1.04,-11.70,15.45,-71.40,32.39,84.81,
01/01/2000,00:00:01.63,-68.85,347.66,-926.76,-1.95,1.89,-2.68,-11.70,15.45,-71.40,32.58,85.32,
01/01/2000,00:00:01.64,-69.82,343.75,-929.69,-0.79,-0.73,-1.77,-12.30,14.70,-72.45,32.58,86.09,
01/01/2000,00:00:01.66,-66.41,353.03,-921.88,-0.24,0.37,0.18,-12.60,16.05,-70.50,32.53,85.44,
01/01/2000,00:00:01.66,-53.22,348.63,-921.88,-1.65,2.01,-0.49,-11.40,14.10,-71.55,32.39,85.89,
01/01/2000,00:00:01.67,-49.32,350.59,-928.22,0.24,0.43,0.73,-11.40,14.10,-71.55,32.39,86.57,
