rtcDate,rtcTime,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,imu_degC,output_Hz,
01/01/2000,00:00:01.31,21.97,951.17,-243.16,0.91,0.85,-0.73,-11.85,-17.10,-80.55,31.05,500.0,
01/01/2000,00:00:01.34,37.11,946.29,-248.54,0.79,2.13,4.21,-16.05,-16.65,-80.25,31.00,86.957,
01/01/2000,00:00:01.35,33.20,930.18,-236.33,0.06,0.79,3.05,-13.35,-14.70,-81.75,31.19,83.333,
01/01/2000,00:00:01.36,49.80,947.75,-241.21,-1.65,0.61,0.98,-13.35,-15.45,-81.0,31.19,86.957,
01/01/2000,00:00:01.37,42.48,942.87,-237.79,-0.55,-0.24,3.05,-13.35,-15.45,-81.0,31.14,89.286,
01/01/2000,00:00:01.38,34.18,949.22,-250.49,-2.01,-3.60,1.22,-13.35,-15.45,-81.0,31.19,88.235,
01/01/2000,00:00:01.39,37.11,940.92,-254.39,0.49,-0.18,1.52,-13.95,-14.85,-78.60,31.00,89.744,
01/01/2000,00:00:01.40,15.63,944.34,-242.19,0.30,-1.46,0.12,-13.05,-14.70,-81.75,31.05,89.888,
01/01/2000,00:00:01.41,23.44,931.15,-234.38,-2.74,0.0,-2.07,-12.60,-15.15,-80.55,30.95,90.0,
01/01/2000,00:00:01.42,33.20,947.75,-244.63,-1.52,-1.10,-0.61,-12.30,-13.65,-81.90,31.14,90.909,
01/01/2000,00:00:01.43,30.76,941.89,-246.58,1.95,-1.28,0.0,-12.15,-14.55,-80.40,31.24,91.667,
01/01/2000,00:00:01.44,20.02,952.64,-239.75,-1.22,1.34,2.80,-13.05,-15.15,-80.55,31.05,90.909,
01/01/2000,00:00:01.45,39.55,940.43,-221.19,2.26,-0.98,4.39,-13.05,-15.15,-80.55,31.14,91.549,
01/01/2000,00:00:01.46,31.74,946.29,-226.56,-2.26,2.13,0.37,-13.05,-15.15,-80.55,31.14,91.503,
01/01/2000,00:00:01.47,41.99,953.61,-218.75,0.79,3.35,0.18,-12.45,-15.75,-81.15,31.14,92.025,
01/01/2000,00:00:01.48,42.48,944.34,-230.47,1.83,0.85,-2.20,-12.30,-15.15,-81.0,31.14,91.954,
01/01/2000,00:00:01.49,37.60,937.99,-245.61,0.73,1.28,-2.26,-12.45,-15.75,-81.15,30.95,91.892,
01/01/2000,00:00:01.51,22.46,946.78,-239.26,0.06,-1.46,-1.16,-13.20,-15.75,-80.40,30.95,91.837,
01/01/2000,00:00:01.51,18.07,954.59,-231.93,0.73,2.56,-1.52,-14.10,-15.15,-79.80,31.14,92.233,
01/01/2000,00:00:01.53,14.16,936.04,-241.70,1.04,2.93,0.12,-11.25,-14.85,-80.85,31.14,92.166,
01/01/2000,00:00:01.54,23.44,954.10,-225.59,1.59,5.0,1.46,-13.95,-15.30,-80.40,31.24,92.511,
01/01/2000,00:00:01.55,27.83,960.94,-213.87,2.93,6.89,-4.57,-13.95,-15.30,-80.40,31.00,92.050,
01/01/2000,00:00:01.56,50.78,944.34,-224.61,1.65,8.78,0.18,-12.60,-15.45,-80.55,31.19,92.369,
01/01/2000,00:00:01.57,71.29,960.94,-213.87,3.96,10.18,-2.62,-11.55,-14.70,-81.0,31.14,92.308,
01/01/2000,00:00:01.58,62.50,930.18,-257.32,0.85,8.41,-1.22,-10.95,-15.30,-81.60,31.24,92.593,
01/01/2000,00:00:01.59,63.96,903.32,-315.92,0.49,11.22,-1.10,-12.90,-13.65,-81.15,31.05,92.527,
01/01/2000,00:00:01.60,71.29,924.32,-345.70,-2.07,15.67,-6.28,-11.85,-15.45,-80.55,31.14,92.784,
01/01/2000,00:00:01.61,82.52,914.55,-293.46,-9.27,22.38,-9.33,-13.35,-15.45,-79.80,31.05,92.409,
01/01/2000,00:00:01.63,84.96,1002.93,-178.71,-8.54,25.12,-6.95,-15.45,-15.30,-78.15,31.24,92.652,
01/01/2000,00:00:01.64,88.87,1055.18,-153.32,-8.78,17.32,-3.90,-15.45,-15.30,-78.15,31.14,92.593,
01/01/2000,00:00:01.65,99.12,1026.37,-176.27,-8.78,4.57,2.13,-12.60,-15.15,-78.15,31.14,92.537,
01/01/2000,00:00:01.66,175.29,961.91,-193.85,-13.48,0.79,3.05,-13.05,-14.70,-80.25,31.00,92.486,
01/01/2000,00:00:01.67,249.51,924.32,-140.63,-18.41,-11.16,7.74,-11.85,-14.25,-80.25,31.14,92.437,
01/01/2000,00:00:01.68,294.92,936.52,-238.28,-25.49,-34.27,2.07,-12.90,-14.85,-82.35,30.86,92.391,
01/01/2000,00:00:01.69,331.54,1005.37,-212.89,-29.82,-54.33,9.57,-13.95,-15.75,-80.40,31.05,92.348,
01/01/2000,00:00:01.70,327.64,1000.98,-229.00,-25.67,-83.35,8.54,-12.90,-14.10,-80.40,31.19,92.308,
01/01/2000,00:00:01.71,240.23,929.20,-164.06,-28.48,-102.99,12.07,-13.20,-14.55,-79.65,31.24,92.269,
01/01/2000,00:00:01.72,98.14,891.60,-85.94,-33.90,-117.07,12.80,-13.20,-14.55,-79.65,31.19,92.010,
01/01/2000,00:00:01.73,-6.35,889.65,11.23,-41.59,-126.22,10.98,-11.10,-13.05,-79.50,31.24,91.981,
01/01/2000,00:00:01.74,-44.43,894.04,-36.62,-53.66,-126.83,6.22,-12.15,-14.55,-81.60,31.24,91.954,
01/01/2000,00:00:01.76,-8.79,942.87,-4.88,-58.78,-127.74,4.70,-10.05,-13.95,-78.0,31.34,91.928,
01/01/2000,00:00:01.76,-8.79,992.68,-8.79,-59.94,-133.41,7.20,-10.35,-14.25,-80.55,31.00,92.105,
01/01/2000,00:00:01.78,-57.62,976.07,-28.81,-67.20,-134.63,12.38,-9.60,-14.25,-79.80,31.19,91.880,
01/01/2000,00:00:01.79,-107.42,972.17,-33.20,-67.32,-121.83,21.22,-9.75,-12.60,-77.85,30.86,91.858,
01/01/2000,00:00:01.80,-176.76,972.66,-83.50,-72.74,-102.87,21.83,-8.70,-12.60,-78.90,31.00,91.837,
01/01/2000,00:00:01.81,-201.17,998.54,-101.07,-74.09,-75.43,27.13,-8.70,-12.60,-78.90,31.14,91.816,
01/01/2000,00:00:01.82,-200.20,1018.55,-55.66,-73.78,-44.45,26.10,-8.70,-11.70,-77.85,31.34,91.797,
01/01/2000,00:00:01.84,-174.32,955.08,-78.61,-77.44,-2.07,23.11,-9.0,-10.50,-77.85,31.19,90.909,
01/01/2000,00:00:01.85,-104.49,953.13,27.34,-77.62,25.49,20.85,-8.40,-10.80,-76.50,31.24,90.573,
01/01/2000,00:00:01.86,-39.55,947.75,57.62,-76.77,41.71,18.90,-8.25,-12.60,-77.10,31.00,90.580,
01/01/2000,00:00:01.87,25.88,937.50,61.04,-77.38,49.63,20.30,-8.40,-12.30,-75.45,31.38,90.747,
01/01/2000,00:00:01.88,41.50,958.98,86.91,-75.18,53.29,18.84,-9.45,-9.75,-76.35,31.58,90.750,
01/01/2000,00:00:01.90,16.11,968.26,123.54,-73.90,55.0,10.61,-9.45,-9.75,-76.35,30.95,90.753,
01/01/2000,00:00:01.91,-27.83,941.41,35.16,-68.60,45.73,10.98,-9.45,-9.75,-76.35,31.00,90.756,
01/01/2000,00:00:01.91,-100.59,937.50,2.93,-63.66,52.38,8.05,-9.75,-10.50,-72.90,31.34,90.909,
01/01/2000,00:00:01.92,-71.78,972.17,61.52,-59.27,61.59,6.89,-10.35,-8.85,-72.0,31.24,90.909,
01/01/2000,00:00:01.94,-35.16,958.01,0.98,-54.21,66.59,2.87,-10.20,-9.75,-70.80,31.24,91.054,
01/01/2000,00:00:01.94,75.20,982.42,33.20,-46.83,68.54,1.71,-10.95,-9.75,-71.85,31.38,91.052,
01/01/2000,00:00:01.96,179.69,976.56,34.67,-39.94,50.73,2.26,-10.95,-9.45,-71.85,31.05,91.049,
01/01/2000,00:00:01.97,222.66,971.19,43.46,-33.35,29.02,-3.60,-11.25,-9.0,-70.80,31.34,91.185,
01/01/2000,00:00:01.98,223.14,972.66,60.55,-23.05,1.40,-4.33,-11.25,-9.0,-70.80,31.24,91.181,
01/01/2000,00:00:01.99,212.40,999.02,41.50,-12.74,-21.89,-4.82,-11.25,-9.0,-70.80,31.34,91.311,
01/01/2000,00:00:02.00,168.46,1022.46,0.49,-3.54,-40.73,-2.74,-9.45,-9.0,-68.85,31.05,91.304,
01/01/2000,00:00:02.00,148.93,1042.97,-34.67,7.38,-54.21,-10.06,-11.25,-9.0,-70.05,31.19,91.298,
01/01/2000,00:00:02.01,181.64,1061.52,-28.81,22.44,-69.57,-10.85,-11.55,-6.75,-69.75,31.38,91.292,
01/01/2000,00:00:02.02,140.63,955.08,-20.02,33.11,-83.60,-10.49,-11.25,-9.0,-70.05,31.14,91.286,
01/01/2000,00:00:02.03,-10.74,874.02,43.95,24.45,-83.90,-11.71,-10.05,-8.40,-70.50,31.34,91.281,
01/01/2000,00:00:02.04,-193.85,862.79,118.65,6.16,-68.78,-13.17,-10.80,-8.85,-70.95,31.48,91.398,
01/01/2000,00:00:02.06,-274.41,1039.06,43.95,-1.89,-33.48,-2.26,-8.85,-8.40,-70.95,31.24,91.270,
01/01/2000,00:00:02.07,-189.45,1195.31,-50.78,9.21,6.77,-9.70,-8.85,-8.40,-70.95,31.19,91.265,
01/01/2000,00:00:02.08,-64.45,1146.48,-37.11,20.98,44.27,-13.48,-8.85,-8.40,-70.95,31.19,91.377,
01/01/2000,00:00:02.09,55.18,924.32,-15.63,31.95,61.22,-12.74,-9.0,-8.25,-71.10,31.38,91.371,
01/01/2000,00:00:02.10,158.20,763.67,23.44,26.77,64.27,-12.93,-8.70,-9.45,-71.55,31.38,91.479,
01/01/2000,00:00:02.11,202.64,868.65,80.57,13.48,54.94,-6.40,-10.20,-9.45,-71.85,31.19,91.471,
01/01/2000,00:00:02.12,233.40,1071.29,35.16,4.70,36.83,-7.62,-8.25,-8.25,-70.35,31.38,91.463,
01/01/2000,00:00:02.13,254.88,1129.88,27.34,11.71,19.57,-0.67,-10.50,-10.95,-70.35,31.38,91.456,
01/01/2000,00:00:02.14,166.99,1037.11,84.47,16.40,1.40,-0.79,-9.60,-8.40,-70.95,31.05,91.558,
01/01/2000,00:00:02.15,42.48,943.85,64.45,16.65,-12.50,-4.02,-9.75,-7.05,-71.55,31.05,91.549,
01/01/2000,00:00:02.16,-58.11,940.92,46.88,10.73,-14.21,-9.94,-9.75,-7.05,-71.55,31.19,91.647,
01/01/2000,00:00:02.17,-78.61,996.58,48.83,9.88,-22.38,-12.74,-10.35,-8.40,-72.75,31.05,91.533,
01/01/2000,00:00:02.18,-59.08,1044.92,22.46,9.51,-20.67,-17.80,-10.05,-8.40,-71.70,31.38,91.629,
01/01/2000,00:00:02.19,-64.94,1031.74,54.69,10.18,-18.35,-19.57,-8.70,-9.45,-72.60,31.48,91.620,
01/01/2000,00:00:02.21,16.60,1019.53,81.54,10.61,-24.21,-16.83,-9.60,-10.80,-71.70,31.19,91.611,
01/01/2000,00:00:02.22,57.62,995.12,45.90,13.66,-28.11,-13.66,-9.30,-9.90,-73.50,31.24,91.703,
01/01/2000,00:00:02.23,40.53,980.47,48.83,12.68,-32.68,-10.43,-9.60,-8.40,-72.45,31.38,91.595,
01/01/2000,00:00:02.24,-22.46,946.78,10.25,15.24,-31.22,-6.77,-10.05,-10.80,-70.95,31.38,91.684,
01/01/2000,00:00:02.25,-109.38,953.61,-9.77,13.29,-17.38,-7.62,-10.05,-10.80,-70.95,31.19,91.675,
01/01/2000,00:00:02.26,-193.36,943.36,-30.27,13.41,-0.37,-2.26,-10.05,-10.80,-70.95,31.19,91.667,
01/01/2000,00:00:02.27,-261.23,930.18,-49.80,16.65,28.17,-7.26,-8.25,-9.0,-72.90,31.19,91.658,
01/01/2000,00:00:02.28,-239.75,948.24,-11.23,16.34,50.55,-8.78,-6.45,-9.45,-72.90,31.19,91.743,
01/01/2000,00:00:02.29,-144.04,938.96,34.67,19.21,58.96,-9.15,-8.10,-8.40,-72.45,31.38,91.641,
01/01/2000,00:00:02.30,-17.58,922.85,102.54,19.76,50.85,-11.83,-10.05,-9.90,-74.70,31.24,91.725,
01/01/2000,00:00:02.31,67.87,925.78,32.71,16.83,28.41,-9.82,-9.45,-9.0,-72.60,31.34,91.716,
01/01/2000,00:00:02.33,125.49,1146.97,-91.80,9.76,-9.45,-7.01,-8.85,-10.35,-73.20,31.38,91.085,
01/01/2000,00:00:02.34,68.85,1162.60,-134.77,13.23,-23.84,-2.56,-8.85,-10.35,-73.20,31.14,90.996,
01/01/2000,00:00:02.36,-32.23,1038.09,-165.04,13.60,-18.48,2.87,-9.45,-9.75,-72.90,31.38,90.909,
01/01/2000,00:00:02.37,-132.81,920.90,-184.08,12.01,-1.16,0.73,-9.45,-10.20,-72.60,31.19,90.909,
01/01/2000,00:00:02.38,-184.57,864.75,-193.85,8.23,18.23,-5.55,-7.20,-10.20,-74.85,31.19,90.993,
01/01/2000,00:00:02.39,-159.18,855.96,-148.44,5.43,42.68,-7.93,-8.70,-10.20,-73.65,31.34,90.993,
01/01/2000,00:00:02.40,-32.71,906.74,-100.59,0.67,45.0,-7.32,-8.85,-8.40,-73.95,31.34,90.992,
01/01/2000,00:00:02.41,123.54,995.61,-40.53,-2.68,35.12,-6.71,-7.50,-11.40,-72.90,31.05,90.991,
01/01/2000,00:00:02.42,189.94,1026.86,-27.34,-4.09,10.0,-3.35,-7.50,-11.40,-72.90,31.38,90.990,
01/01/2000,00:00:02.43,119.14,969.73,-33.69,-0.91,-11.95,0.30,-7.50,-11.40,-72.90,31.19,91.070,
01/01/2000,00:00:02.44,-48.83,937.99,-32.71,-2.62,-23.60,3.78,-7.95,-9.45,-75.15,31.53,91.068,
01/01/2000,00:00:02.45,-170.41,937.50,-77.64,-7.38,-14.09,-3.48,-9.75,-9.75,-72.90,31.19,91.146,
01/01/2000,00:00:02.47,-167.48,966.80,-79.10,-5.61,0.67,-3.96,-9.30,-9.90,-73.50,31.34,91.065,
01/01/2000,00:00:02.48,-104.00,980.47,-82.52,-7.26,13.84,-1.04,-8.40,-10.35,-73.95,31.38,91.064,
01/01/2000,00:00:02.49,-40.53,984.86,-60.06,-5.91,13.90,-0.06,-8.25,-9.75,-72.90,31.24,91.139,
01/01/2000,00:00:02.50,-32.23,995.61,-63.96,-6.65,9.63,1.10,-8.10,-10.80,-72.75,31.05,91.137,
01/01/2000,00:00:02.51,-19.04,1000.0,-53.22,-5.55,3.78,0.18,-8.10,-10.80,-72.75,31.38,91.211,
01/01/2000,00:00:02.52,-36.13,1002.93,-32.23,-7.80,4.94,1.46,-8.10,-10.80,-72.75,31.19,91.208,
01/01/2000,00:00:02.53,-29.30,988.77,-17.09,-6.10,7.32,2.62,-9.0,-8.55,-72.60,31.34,91.205,
01/01/2000,00:00:02.54,-24.90,1000.0,-25.88,-7.07,8.29,3.35,-8.40,-9.90,-71.70,31.24,91.276,
01/01/2000,00:00:02.55,-35.16,973.14,-12.21,-7.93,9.82,0.61,-7.50,-9.0,-72.15,31.53,91.273,
01/01/2000,00:00:02.56,-41.02,942.38,-13.18,-6.59,11.52,4.27,-9.30,-9.15,-73.20,31.24,91.342,
01/01/2000,00:00:02.57,15.63,954.10,-10.25,-11.40,13.05,0.0,-8.25,-9.75,-72.90,31.14,91.411,
01/01/2000,00:00:02.58,37.11,980.96,-12.21,-8.54,9.33,-0.06,-8.10,-10.80,-72.0,31.34,91.335,
01/01/2000,00:00:02.59,32.71,986.33,-31.25,-10.43,2.80,3.35,-9.30,-9.60,-72.0,31.34,91.402,
01/01/2000,00:00:02.60,-39.06,984.86,-14.16,-12.07,-0.06,3.05,-9.30,-9.60,-72.0,31.24,91.468,
