rtcDate,rtcTime,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,imu_degC,output_Hz,
01/01/2000,00:00:01.45,-146.48,919.43,-538.09,-27.20,-9.02,-5.49,-8.70,15.15,-69.60,32.25,333.33,
01/01/2000,00:00:01.50,-49.80,836.91,-452.64,-26.52,-12.20,2.99,-8.40,15.90,-67.35,32.25,37.74,
01/01/2000,00:00:01.51,-73.24,845.70,-417.97,-33.96,-10.00,3.60,-9.60,15.75,-68.25,32.10,45.45,
01/01/2000,00:00:01.52,-80.08,875.49,-399.41,-37.80,-4.27,3.90,-8.70,17.40,-68.85,32.25,52.63,
01/01/2000,00:00:01.53,-55.18,915.53,-390.14,-37.99,-3.72,4.09,-9.00,16.95,-67.05,32.39,58.82,
01/01/2000,00:00:01.55,-35.64,961.91,-397.46,-39.45,1.71,7.50,-9.00,16.95,-67.05,32.39,60.61,
01/01/2000,00:00:01.55,-28.32,985.84,-394.53,-36.71,1.59,8.78,-9.30,16.50,-66.90,32.10,64.22,
01/01/2000,00:00:01.57,1.46,1022.95,-392.58,-35.91,1.71,12.32,-8.40,17.40,-66.30,32.39,67.80,
01/01/2000,00:00:01.57,21.97,1031.74,-391.11,-33.72,-3.84,11.04,-10.05,17.25,-67.20,32.39,70.31,
01/01/2000,00:00:01.59,45.90,999.02,-393.55,-30.61,-4.63,11.10,-9.45,18.90,-66.00,32.39,72.99,
01/01/2000,00:00:01.60,53.22,933.11,-399.41,-27.38,-10.37,8.54,-9.45,18.90,-66.00,32.29,72.85,
01/01/2000,00:00:01.61,21.48,908.69,-397.46,-29.27,-11.83,1.28,-10.50,19.35,-65.55,32.25,74.53,
01/01/2000,00:00:01.62,-21.48,899.41,-407.71,-29.33,-20.61,0.18,-9.30,19.50,-66.90,32.25,76.47,
01/01/2000,00:00:01.63,-102.05,869.63,-408.20,-28.23,-23.72,-3.05,-8.85,18.75,-65.85,32.20,77.78,
01/01/2000,00:00:01.64,-137.21,813.48,-399.90,-28.11,-26.22,-5.85,-8.10,18.00,-65.85,32.10,79.37,
01/01/2000,00:00:01.65,-152.34,775.88,-378.91,-31.83,-24.70,-7.44,-8.10,18.00,-65.85,32.53,80.81,
01/01/2000,00:00:01.66,-163.57,784.18,-323.73,-35.61,-29.63,-12.38,-8.55,19.50,-65.10,32.01,80.19,
