rtcDate,rtcTime,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,imu_degC,output_Hz,
01/01/2000,00:00:01.31,68.36,985.84,-85.45,-1.04,0.98,-0.37,-13.80,-11.10,-76.20,31.34,500.0,
01/01/2000,00:00:01.33,49.80,970.21,-59.08,-0.49,5.24,-0.85,-14.55,-10.35,-74.25,31.34,100.0,
01/01/2000,00:00:01.34,78.13,975.10,-74.71,-0.61,4.02,-1.59,-15.90,-9.75,-75.15,31.24,93.750,
01/01/2000,00:00:01.35,83.98,967.77,-80.57,-1.46,2.07,-0.85,-16.05,-11.55,-74.70,31.19,93.023,
01/01/2000,00:00:01.36,77.64,980.96,-71.29,0.67,-0.55,-1.22,-14.70,-9.75,-74.85,31.34,94.340,
01/01/2000,00:00:01.38,68.36,976.56,-81.54,0.30,-1.52,3.35,-14.70,-9.75,-74.85,31.14,92.308,
01/01/2000,00:00:01.38,52.25,979.49,-72.75,-0.24,-5.0,1.89,-14.10,-10.35,-75.0,31.48,93.333,
01/01/2000,00:00:01.40,30.76,968.75,-92.29,-0.79,-4.51,-1.52,-13.35,-9.60,-73.95,31.24,94.118,
01/01/2000,00:00:01.41,27.34,981.93,-84.96,-2.26,-2.38,-0.67,-12.15,-10.20,-75.15,31.24,93.750,
01/01/2000,00:00:01.41,55.18,972.66,-102.05,-2.20,-2.38,0.43,-15.45,-10.95,-75.60,31.38,94.340,
01/01/2000,00:00:01.42,56.64,981.45,-78.13,-1.52,-2.62,-0.30,-14.40,-10.50,-76.35,31.48,94.017,
01/01/2000,00:00:01.44,49.80,971.19,-86.91,-2.07,-2.44,0.55,-14.85,-9.60,-74.25,31.38,93.023,
01/01/2000,00:00:01.45,53.22,980.47,-83.01,0.12,-4.39,-0.06,-15.90,-10.50,-74.10,31.53,93.525,
01/01/2000,00:00:01.46,71.29,965.33,-80.08,-1.16,-0.61,0.30,-13.20,-10.50,-74.85,31.38,93.333,
01/01/2000,00:00:01.47,74.71,964.36,-86.91,-0.06,-2.99,-1.28,-13.20,-10.50,-74.85,31.38,93.750,
01/01/2000,00:00:01.48,59.57,959.96,-83.98,-2.13,-4.27,-1.59,-12.30,-10.35,-74.70,31.48,93.567,
01/01/2000,00:00:01.49,51.76,965.82,-96.19,-1.65,-6.04,-2.07,-14.10,-10.80,-75.75,31.38,93.407,
01/01/2000,00:00:01.50,64.94,976.07,-92.77,-2.26,-3.29,-0.79,-14.55,-10.80,-74.70,31.58,93.264,
01/01/2000,00:00:01.51,65.92,973.14,-90.82,-0.55,-2.13,-1.16,-16.05,-9.90,-76.50,31.34,93.596,
01/01/2000,00:00:01.52,57.62,965.82,-102.54,-0.43,-6.46,1.89,-13.05,-10.80,-74.70,31.48,93.458,
01/01/2000,00:00:01.53,28.32,968.75,-101.56,-1.16,-6.52,1.22,-13.65,-9.75,-75.60,31.58,93.333,
01/01/2000,00:00:01.54,37.11,959.47,-118.16,-2.13,-4.88,-1.22,-14.55,-11.10,-75.45,31.48,93.220,
01/01/2000,00:00:01.55,37.11,974.61,-123.05,-1.52,-1.65,-4.57,-14.55,-11.10,-75.45,31.48,93.117,
01/01/2000,00:00:01.57,54.20,960.94,-104.00,-3.72,1.46,-6.46,-13.95,-10.50,-74.40,31.67,93.385,
01/01/2000,00:00:01.57,41.99,969.24,-106.93,-1.59,0.49,-5.24,-13.35,-10.35,-74.70,31.14,93.284,
01/01/2000,00:00:01.59,41.02,983.40,-93.26,-1.52,2.50,-0.24,-13.20,-10.95,-74.85,31.53,93.190,
01/01/2000,00:00:01.60,55.66,965.82,-91.80,-2.56,0.67,-3.54,-14.55,-10.35,-75.0,31.48,93.103,
01/01/2000,00:00:01.61,53.71,957.52,-96.19,-4.63,0.79,-3.48,-15.45,-9.45,-75.15,31.24,93.023,
01/01/2000,00:00:01.62,51.76,962.40,-95.70,-4.76,-2.07,-3.78,-12.60,-9.60,-75.45,31.19,93.248,
01/01/2000,00:00:01.63,43.46,975.10,-111.82,-2.87,-2.01,-1.22,-14.70,-9.45,-75.90,31.53,93.458,
01/01/2000,00:00:01.64,32.71,978.03,-98.63,-4.02,-2.07,-2.80,-14.70,-9.45,-75.90,31.48,93.373,
01/01/2000,00:00:01.65,39.06,984.86,-98.63,-4.57,-1.04,-0.98,-13.80,-9.90,-75.45,31.67,93.294,
01/01/2000,00:00:01.66,35.16,957.03,-81.54,-5.98,4.09,-3.96,-12.90,-9.45,-75.15,31.48,93.220,
01/01/2000,00:00:01.67,51.27,958.01,-65.92,-6.28,5.0,-1.95,-14.10,-10.35,-73.95,31.53,93.407,
01/01/2000,00:00:01.68,45.90,965.82,-83.50,-5.18,4.45,-2.87,-13.65,-11.40,-74.40,31.53,93.333,
01/01/2000,00:00:01.69,56.64,974.61,-77.64,-6.04,-0.18,-2.50,-14.10,-9.15,-75.45,31.58,93.506,
01/01/2000,00:00:01.70,47.36,964.36,-102.54,-5.49,5.12,-2.38,-13.80,-9.60,-75.75,31.53,93.434,
01/01/2000,00:00:01.71,43.46,956.54,-89.84,-4.70,4.15,-6.40,-13.80,-9.60,-75.75,31.58,93.366,
01/01/2000,00:00:01.72,39.55,960.94,-81.54,-7.32,5.91,-5.49,-13.80,-9.60,-75.75,31.48,93.301,
01/01/2000,00:00:01.73,45.90,967.77,-98.14,-5.0,6.22,-3.60,-13.65,-10.50,-74.40,31.53,93.458,
01/01/2000,00:00:01.74,23.93,970.70,-94.73,-5.91,8.96,-4.15,-13.65,-9.45,-75.15,31.53,93.394,
