rtcDate,rtcTime,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,imu_degC,output_Hz,
01/01/2000,00:00:01.41,67.38,975.59,-168.46,-1.71,2.38,-0.49,-11.40,23.25,-59.70,32.58,333.33,
01/01/2000,00:00:01.46,84.96,983.40,-183.59,-4.57,1.34,-1.89,-11.85,23.25,-58.95,32.44,37.74,
01/01/2000,00:00:01.47,79.59,975.59,-174.80,-1.40,-2.62,-0.24,-11.85,22.95,-58.65,32.77,45.45,
01/01/2000,00:00:01.48,69.34,957.52,-177.73,-2.07,0.85,-1.28,-10.65,23.25,-58.65,32.58,52.63,
01/01/2000,00:00:01.49,68.36,954.59,-178.71,-6.95,-1.16,-1.04,-12.75,23.40,-60.15,32.44,58.14,
01/01/2000,00:00:01.51,73.24,961.91,-176.76,-6.52,-3.29,-4.63,-11.85,24.00,-59.70,32.58,60.61,
01/01/2000,00:00:01.52,60.06,965.33,-180.66,-5.79,-2.93,-4.57,-11.85,24.00,-59.70,32.58,64.22,
01/01/2000,00:00:01.53,57.62,982.42,-178.22,-3.96,-6.04,-2.38,-12.15,25.20,-59.70,32.63,67.23,
01/01/2000,00:00:01.54,51.27,987.79,-181.15,-4.70,0.37,-2.50,-10.65,24.45,-59.70,32.44,70.31,
01/01/2000,00:00:01.55,52.73,983.40,-179.20,-1.95,-1.65,-2.32,-11.25,23.40,-60.15,32.73,72.99,
01/01/2000,00:00:01.55,36.13,990.23,-183.59,-2.50,-1.46,-0.37,-10.50,24.60,-59.55,32.58,74.83,
01/01/2000,00:00:01.57,53.71,954.59,-175.29,-1.59,-1.28,-2.32,-10.50,24.60,-59.55,32.39,74.53,
01/01/2000,00:00:01.58,53.22,951.66,-173.83,-1.83,-2.32,-0.37,-12.15,24.75,-59.25,32.58,76.47,
01/01/2000,00:00:01.59,56.64,955.57,-182.62,-2.50,-3.66,-1.40,-10.95,25.35,-59.55,32.29,77.78,
01/01/2000,00:00:01.60,62.99,964.36,-151.86,-2.50,-3.54,-1.83,-10.65,24.45,-58.65,32.25,79.37,
01/01/2000,00:00:01.61,70.31,960.94,-155.27,-4.51,-0.37,-2.62,-11.40,24.00,-60.00,32.58,80.40,
01/01/2000,00:00:01.63,54.20,967.29,-156.74,-5.06,-2.20,-2.93,-10.95,23.40,-57.75,32.44,79.81,
01/01/2000,00:00:01.63,49.32,963.87,-164.55,-4.57,-2.50,-2.93,-9.75,23.85,-60.15,32.29,81.08,
01/01/2000,00:00:01.65,42.97,964.84,-170.41,-3.11,-2.38,-3.90,-10.95,25.05,-59.55,32.73,81.90,
01/01/2000,00:00:01.65,35.16,959.47,-169.92,-3.72,1.22,-2.44,-11.40,24.00,-58.20,32.39,82.99,
01/01/2000,00:00:01.66,37.11,959.96,-166.99,-2.87,0.79,-0.91,-11.40,24.00,-58.20,32.44,83.67,
01/01/2000,00:00:01.68,50.29,975.59,-150.88,-3.11,-0.06,-0.61,-10.95,23.85,-59.85,32.29,83.02,
