rtcDate,rtcTime,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,imu_degC,output_Hz,
01/01/2000,00:00:01.33,-289.06,743.65,-534.18,2.32,5.0,5.79,19.65,-32.55,-80.10,31.14,500.0,
01/01/2000,00:00:01.35,-290.04,748.54,-537.11,0.18,1.52,2.01,19.65,-31.80,-78.90,31.38,90.909,
01/01/2000,00:00:01.36,-313.48,752.93,-538.09,0.61,2.74,1.28,21.0,-32.40,-80.55,31.38,88.235,
01/01/2000,00:00:01.37,-308.59,744.14,-541.50,3.05,4.88,5.0,21.60,-30.60,-81.15,31.38,88.889,
01/01/2000,00:00:01.38,-310.55,728.03,-546.88,1.89,4.88,2.87,20.55,-30.90,-80.25,31.34,90.909,
01/01/2000,00:00:01.39,-289.06,752.44,-556.15,2.07,5.67,0.67,22.50,-29.25,-80.55,31.34,89.552,
01/01/2000,00:00:01.40,-285.64,726.56,-547.36,0.73,6.40,-2.56,19.35,-33.0,-77.85,31.53,90.909,
01/01/2000,00:00:01.41,-267.09,724.61,-561.52,2.87,2.99,-1.52,21.90,-31.05,-81.15,31.53,90.909,
01/01/2000,00:00:01.42,-279.30,732.42,-568.85,1.04,-0.06,1.59,20.55,-31.20,-81.0,31.24,91.837,
01/01/2000,00:00:01.43,-297.36,725.10,-558.59,-2.32,-0.61,0.30,20.55,-31.20,-81.0,31.38,91.743,
01/01/2000,00:00:01.44,-319.34,735.35,-560.06,-0.30,-0.85,-0.30,20.55,-31.20,-81.0,31.48,91.667,
01/01/2000,00:00:01.46,-307.62,740.23,-561.04,-0.85,-2.01,-1.16,20.55,-30.90,-82.05,31.14,91.603,
01/01/2000,00:00:01.47,-309.57,731.45,-550.29,1.40,-3.29,2.68,19.65,-30.60,-81.90,31.34,91.549,
01/01/2000,00:00:01.47,-309.08,734.38,-551.27,-0.98,-0.43,1.77,22.95,-30.90,-80.25,31.19,91.503,
01/01/2000,00:00:01.49,-305.66,735.35,-544.92,-1.40,0.79,-0.85,20.55,-30.90,-79.50,31.00,92.025,
01/01/2000,00:00:01.50,-302.25,729.98,-541.50,-3.11,-1.65,0.37,21.90,-31.05,-79.65,31.14,91.954,
01/01/2000,00:00:01.51,-315.43,725.59,-546.88,-1.89,0.61,-2.20,20.40,-31.05,-80.40,31.58,91.398,
01/01/2000,00:00:01.52,-317.38,738.28,-544.43,-2.38,-1.83,2.99,20.40,-31.05,-80.40,31.34,91.837,
01/01/2000,00:00:01.53,-324.22,763.18,-551.27,-4.63,2.44,-1.04,20.40,-31.05,-80.40,31.38,91.787,
01/01/2000,00:00:01.54,-311.52,748.54,-556.15,-1.28,0.67,-1.40,21.75,-31.20,-80.10,31.48,91.743,
01/01/2000,00:00:01.55,-296.39,750.49,-545.90,-0.55,-0.12,3.66,21.90,-31.05,-80.85,31.38,92.105,
01/01/2000,00:00:01.57,-312.01,729.49,-542.97,0.73,-0.12,-0.91,21.45,-30.90,-80.25,31.34,91.667,
01/01/2000,00:00:01.57,-302.73,732.91,-534.67,-2.87,-0.12,-2.26,21.0,-30.90,-81.75,31.34,91.633,
01/01/2000,00:00:01.59,-311.04,744.14,-527.34,-3.96,-0.73,1.40,21.0,-31.95,-80.55,31.38,91.954,
01/01/2000,00:00:01.60,-310.06,758.79,-541.02,-3.11,-0.06,0.18,21.15,-32.55,-80.85,31.24,91.912,
01/01/2000,00:00:01.61,-311.04,753.91,-542.97,-0.67,-1.04,7.07,20.40,-31.50,-79.65,31.53,91.873,
01/01/2000,00:00:01.62,-302.25,747.07,-541.02,-3.35,-1.40,2.44,20.40,-31.50,-79.65,31.53,91.837,
01/01/2000,00:00:01.63,-300.78,738.28,-535.16,-2.13,-1.22,0.98,20.40,-31.50,-79.65,31.14,91.803,
01/01/2000,00:00:01.64,-308.59,751.95,-531.74,-3.17,-0.06,-2.99,19.80,-31.95,-79.50,31.53,91.772,
01/01/2000,00:00:01.65,-314.45,743.16,-539.06,-2.01,0.79,-0.18,19.80,-31.20,-80.25,31.24,91.743,
01/01/2000,00:00:01.66,-304.69,744.14,-532.71,-1.10,-2.07,1.10,20.25,-31.20,-81.0,31.58,91.988,
01/01/2000,00:00:01.67,-312.01,741.21,-537.11,-1.52,-0.12,-0.18,20.40,-30.60,-81.15,31.38,91.691,
01/01/2000,00:00:01.68,-322.75,753.42,-542.97,-1.77,-0.49,-0.67,19.80,-30.90,-82.50,31.38,91.667,
01/01/2000,00:00:01.69,-315.92,745.12,-538.09,-0.55,-1.95,2.62,21.15,-31.80,-81.60,31.14,91.892,
01/01/2000,00:00:01.71,-324.22,768.55,-531.25,-2.74,-2.26,0.12,21.15,-31.80,-81.60,31.24,91.864,
01/01/2000,00:00:01.71,-327.15,763.67,-535.16,-1.34,-3.84,0.49,21.15,-31.80,-81.60,31.48,91.837,
01/01/2000,00:00:01.72,-333.98,747.07,-535.16,-1.10,-5.49,4.09,22.95,-31.65,-79.05,31.38,92.040,
01/01/2000,00:00:01.74,-346.19,755.86,-539.55,-1.95,-0.12,3.90,20.55,-31.65,-80.25,31.58,91.787,
01/01/2000,00:00:01.75,-339.36,741.21,-544.92,-2.50,1.22,2.07,23.70,-30.90,-80.55,31.14,91.765,
01/01/2000,00:00:01.76,-320.80,755.37,-541.50,0.06,1.34,1.34,21.60,-31.50,-81.15,31.53,91.954,
01/01/2000,00:00:01.77,-313.96,745.12,-530.27,-1.22,2.01,1.71,21.60,-31.50,-80.40,31.48,91.928,
01/01/2000,00:00:01.78,-318.85,741.21,-513.67,-1.40,0.49,2.26,19.65,-31.05,-80.10,31.48,91.904,
01/01/2000,00:00:01.79,-302.73,746.58,-521.97,0.12,0.06,3.84,19.65,-31.05,-80.10,31.53,91.880,
01/01/2000,00:00:01.80,-321.29,747.56,-513.18,-1.83,1.65,-1.16,19.65,-31.05,-80.10,31.38,91.858,
01/01/2000,00:00:01.81,-316.41,746.58,-531.25,0.79,2.50,-0.37,22.35,-30.60,-80.40,31.48,92.025,
01/01/2000,00:00:01.82,-320.80,727.54,-535.64,-0.85,2.26,1.52,20.85,-31.05,-79.35,31.48,92.0,
01/01/2000,00:00:01.84,-302.25,724.12,-535.64,0.98,2.07,5.37,20.25,-30.90,-80.55,31.38,92.157,
01/01/2000,00:00:01.85,-285.64,739.26,-533.69,-0.67,-0.12,0.55,21.90,-30.60,-81.15,31.53,91.082,
01/01/2000,00:00:01.86,-286.62,737.30,-535.64,-0.67,0.73,-0.37,19.35,-31.80,-81.15,31.38,90.909,
01/01/2000,00:00:01.88,-293.46,729.00,-532.71,0.55,-2.62,3.11,21.15,-31.50,-80.85,31.48,90.909,
01/01/2000,00:00:01.88,-308.11,731.45,-559.57,-1.34,0.98,-0.43,21.15,-31.50,-80.85,31.38,90.909,
01/01/2000,00:00:01.90,-291.50,748.05,-556.64,-0.18,-1.71,-0.61,21.75,-30.90,-79.80,31.38,91.068,
01/01/2000,00:00:01.91,-304.20,755.86,-553.71,-4.02,1.59,-1.95,22.35,-31.50,-79.65,31.24,90.909,
01/01/2000,00:00:01.92,-295.90,750.49,-558.59,-0.73,0.91,0.43,22.50,-30.45,-80.55,31.48,90.909,
01/01/2000,00:00:01.92,-310.55,740.72,-566.41,-3.54,-1.65,-0.30,21.90,-30.30,-81.60,31.72,91.060,
01/01/2000,00:00:01.94,-311.52,746.09,-553.71,-1.65,-2.44,0.67,21.0,-30.45,-79.80,31.38,91.057,
01/01/2000,00:00:01.95,-313.48,747.56,-534.18,-1.46,-1.34,0.18,21.45,-31.20,-79.50,31.48,91.054,
01/01/2000,00:00:01.96,-320.31,748.05,-520.02,-2.87,-0.91,1.77,21.15,-31.05,-80.10,31.48,91.195,
01/01/2000,00:00:01.97,-333.98,765.63,-518.55,-0.61,-1.83,1.59,21.15,-31.05,-80.10,31.67,91.049,
01/01/2000,00:00:01.98,-342.77,770.02,-519.53,-1.46,-1.28,0.67,21.60,-30.30,-80.85,31.67,91.047,
01/01/2000,00:00:01.99,-323.24,765.63,-511.72,-1.40,0.49,1.46,21.15,-29.40,-80.10,31.53,91.181,
01/01/2000,00:00:02.00,-324.71,758.30,-515.63,1.04,0.67,2.13,21.45,-30.0,-81.0,31.48,91.176,
01/01/2000,00:00:02.00,-296.88,752.44,-505.37,1.40,0.37,4.09,21.15,-29.40,-80.85,31.58,91.304,
01/01/2000,00:00:02.01,-293.95,748.54,-530.27,1.65,-0.55,1.59,20.85,-31.50,-81.15,31.53,91.168,
01/01/2000,00:00:02.02,-288.09,737.79,-531.25,1.89,-0.85,3.78,19.65,-30.30,-80.40,31.48,91.292,
01/01/2000,00:00:02.03,-288.57,735.35,-523.93,-0.61,0.37,0.91,21.75,-31.65,-79.80,31.72,91.286,
01/01/2000,00:00:02.04,-298.34,750.49,-532.71,-0.24,-2.74,-0.67,21.75,-31.65,-79.80,31.48,91.281,
01/01/2000,00:00:02.05,-293.46,761.72,-548.34,-0.79,-0.85,-0.24,21.75,-31.65,-79.80,31.53,91.398,
01/01/2000,00:00:02.06,-310.55,760.25,-551.27,0.61,-1.22,0.49,20.10,-31.50,-81.15,31.38,91.270,
