rtcDate,rtcTime,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,imu_degC,output_Hz,
01/01/2000,00:00:01.51,-237.79,858.89,-408.20,-0.79,-4.21,-2.13,13.95,6.15,-70.80,32.10,333.33,
01/01/2000,00:00:01.56,-261.72,857.42,-416.99,0.73,0.37,-0.37,14.25,6.45,-70.35,31.91,37.74,
01/01/2000,00:00:01.57,-245.61,853.52,-421.88,-2.93,2.68,1.40,14.55,7.50,-70.35,32.29,44.78,
01/01/2000,00:00:01.59,-258.30,858.89,-418.95,0.55,1.46,0.12,14.70,7.65,-72.60,32.10,52.63,
01/01/2000,00:00:01.59,-240.72,870.12,-402.83,-0.98,2.74,0.55,14.70,7.35,-71.55,32.39,58.14,
01/01/2000,00:00:01.61,-241.21,861.33,-396.00,-0.73,1.95,0.85,14.70,7.35,-71.55,32.25,60.61,
01/01/2000,00:00:01.62,-237.30,866.21,-404.79,-1.28,2.50,0.30,13.20,7.65,-70.20,32.01,64.22,
01/01/2000,00:00:01.63,-242.19,870.12,-403.32,0.30,1.83,3.05,15.30,6.75,-72.45,32.25,67.23,
01/01/2000,00:00:01.64,-234.86,860.35,-406.25,0.67,0.49,0.49,15.15,7.65,-69.75,32.10,70.31,
01/01/2000,00:00:01.65,-247.56,856.45,-415.53,-0.49,-0.91,1.16,15.45,7.35,-71.55,31.91,72.46,
01/01/2000,00:00:01.66,-242.68,849.12,-413.57,0.49,-0.24,-1.89,15.45,7.35,-71.55,32.20,74.83,
01/01/2000,00:00:01.67,-238.28,863.77,-407.23,-0.55,-1.83,-2.68,12.60,9.30,-69.75,32.01,74.53,
01/01/2000,00:00:01.68,-241.70,861.33,-402.83,0.49,-3.96,2.32,15.45,6.90,-70.80,32.29,76.02,
01/01/2000,00:00:01.69,-235.35,862.30,-395.02,-2.38,-2.93,0.24,14.85,7.95,-71.10,32.10,77.78,
01/01/2000,00:00:01.70,-235.84,862.30,-401.37,0.79,-2.20,-0.49,14.85,7.95,-71.10,31.77,78.95,
01/01/2000,00:00:01.71,-251.46,853.52,-411.62,0.73,-0.43,1.83,13.80,7.50,-71.70,32.20,80.40,
01/01/2000,00:00:01.72,-251.95,848.63,-414.06,-0.49,-3.35,1.71,14.55,5.25,-69.30,32.10,79.81,
01/01/2000,00:00:01.74,-248.05,855.47,-409.18,0.18,-0.79,1.83,14.70,7.35,-71.55,32.25,80.72,
01/01/2000,00:00:01.74,-238.77,863.28,-411.62,0.43,-0.73,0.61,14.70,8.10,-72.30,32.06,81.90,
01/01/2000,00:00:01.76,-246.09,871.09,-407.23,0.30,-2.01,0.67,14.70,8.10,-72.30,31.91,82.99,
01/01/2000,00:00:01.76,-242.19,872.56,-409.18,-0.91,-1.89,0.91,15.30,7.95,-70.65,32.20,83.67,
01/01/2000,00:00:01.78,-242.68,870.61,-417.48,-2.50,-2.93,1.10,13.65,7.65,-70.50,32.10,84.62,
01/01/2000,00:00:01.79,-244.14,865.23,-411.13,0.61,-2.32,2.68,16.05,7.95,-72.45,32.29,83.94,
01/01/2000,00:00:01.80,-240.72,843.75,-405.27,0.00,0.18,0.91,14.70,7.65,-70.80,32.25,84.51,
01/01/2000,00:00:01.81,-255.86,834.96,-395.51,2.01,0.49,1.59,14.70,7.65,-70.80,32.20,85.32,
01/01/2000,00:00:01.82,-249.02,840.33,-407.71,-0.85,-1.22,2.74,15.15,6.15,-71.55,32.25,85.81,
01/01/2000,00:00:01.83,-247.56,860.84,-414.06,0.30,-2.80,0.98,14.40,8.10,-72.60,32.25,86.54,
01/01/2000,00:00:01.84,-245.12,857.91,-403.32,-1.34,-1.34,-1.22,14.55,8.70,-71.10,32.25,85.89,
01/01/2000,00:00:01.85,-257.81,854.98,-413.57,0.06,-1.65,-3.60,14.55,8.70,-71.10,32.01,86.31,
01/01/2000,00:00:01.86,-268.55,880.37,-423.34,0.00,-1.89,0.49,14.55,8.70,-71.10,32.10,86.96,
01/01/2000,00:00:01.87,-278.32,867.68,-427.73,-0.73,-3.17,1.04,15.15,7.65,-70.80,32.10,87.32,
01/01/2000,00:00:01.88,-262.21,875.98,-420.90,1.40,-2.50,-0.06,15.60,7.50,-71.70,32.25,87.91,
01/01/2000,00:00:01.90,-252.93,847.17,-415.53,1.34,0.55,1.40,14.40,7.65,-70.80,32.29,87.30,
01/01/2000,00:00:01.91,-255.86,849.61,-399.41,1.59,4.15,1.46,14.40,7.65,-70.80,32.01,87.63,
