rtcDate,rtcTime,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,imu_degC,output_Hz,
01/01/2000,00:00:01.63,-480.96,820.31,-269.53,1.95,-3.90,0.24,3.75,17.55,-66.90,32.39,250.00,
01/01/2000,00:00:01.69,-523.44,807.13,-260.25,1.40,-3.66,0.98,5.55,18.00,-66.15,32.63,36.36,
01/01/2000,00:00:01.70,-506.84,809.08,-246.58,0.55,-0.85,-0.30,5.40,17.40,-67.35,32.73,43.48,
01/01/2000,00:00:01.71,-506.84,813.96,-245.61,0.43,-0.06,-0.49,6.45,17.70,-66.30,32.44,51.28,
01/01/2000,00:00:01.72,-501.95,799.80,-235.35,1.04,-0.98,0.18,6.45,17.70,-66.30,32.58,56.82,
01/01/2000,00:00:01.73,-490.23,809.57,-248.05,-0.06,1.52,-2.56,3.75,18.00,-66.45,32.58,58.25,
01/01/2000,00:00:01.74,-499.02,797.36,-262.70,2.07,-1.59,2.87,5.40,19.65,-69.30,32.73,62.50,
01/01/2000,00:00:01.75,-500.49,805.18,-260.25,0.00,-2.44,-0.73,4.80,19.05,-67.95,32.63,65.57,
01/01/2000,00:00:01.76,-492.19,809.57,-270.02,1.46,-2.13,1.28,4.80,19.05,-67.95,32.58,68.70,
01/01/2000,00:00:01.77,-504.39,806.15,-258.30,0.98,-3.29,1.77,4.80,19.05,-67.95,32.63,70.92,
01/01/2000,00:00:01.78,-502.44,806.64,-253.42,1.34,-5.79,-1.34,4.50,19.05,-67.95,32.39,73.33,
01/01/2000,00:00:01.80,-501.46,799.32,-262.21,1.34,-4.94,1.77,5.25,18.75,-68.25,32.73,73.17,
01/01/2000,00:00:01.81,-512.21,804.69,-253.91,1.46,-4.39,-2.20,5.10,17.40,-67.80,32.44,74.71,
01/01/2000,00:00:01.82,-509.77,795.90,-266.60,1.16,-6.28,1.28,5.10,17.40,-67.80,32.73,76.50,
01/01/2000,00:00:01.83,-527.83,799.80,-251.95,1.34,-4.45,1.04,6.15,19.35,-68.85,32.39,77.72,
01/01/2000,00:00:01.84,-523.44,794.92,-253.42,1.46,-2.01,2.74,5.25,18.30,-67.65,32.73,79.21,
01/01/2000,00:00:01.85,-516.11,796.39,-244.63,1.28,-3.35,0.67,6.45,16.95,-68.10,32.73,78.70,
01/01/2000,00:00:01.86,-521.97,800.29,-260.25,-0.55,-2.44,1.46,5.55,19.05,-67.65,32.58,79.65,
01/01/2000,00:00:01.87,-511.72,789.06,-250.49,-0.12,-1.04,0.30,5.55,19.05,-67.65,32.58,80.85,
01/01/2000,00:00:01.88,-510.25,809.08,-247.07,-0.37,-1.77,-0.98,6.00,17.25,-68.25,32.58,81.63,
01/01/2000,00:00:01.89,-498.54,801.27,-243.65,-0.61,0.43,-0.67,5.55,17.55,-68.25,32.82,82.68,
01/01/2000,00:00:01.91,-496.09,806.15,-245.61,0.55,-2.38,1.22,6.75,18.00,-68.70,32.53,82.09,
01/01/2000,00:00:01.91,-513.18,806.64,-250.00,0.55,-2.32,-1.71,6.75,18.00,-68.70,32.77,83.03,
01/01/2000,00:00:01.92,-508.30,810.06,-254.39,-0.30,-2.56,0.55,4.50,18.75,-68.70,32.82,83.62,
01/01/2000,00:00:01.93,-501.46,796.39,-262.21,0.30,-3.05,0.91,4.35,18.15,-67.05,32.73,84.46,
01/01/2000,00:00:01.94,-523.93,805.66,-258.79,0.91,-1.89,0.55,4.65,18.60,-68.55,32.73,84.97,
01/01/2000,00:00:01.95,-519.53,809.08,-273.44,0.73,-0.91,1.46,5.40,18.15,-68.10,32.44,85.71,
01/01/2000,00:00:01.97,-523.44,803.22,-272.95,-0.12,-1.65,0.06,5.85,18.90,-67.35,32.58,85.11,
01/01/2000,00:00:01.98,-527.83,806.15,-275.88,-0.61,-0.91,0.67,5.25,19.05,-67.95,32.73,85.55,
01/01/2000,00:00:01.99,-508.79,802.25,-268.07,0.24,-0.06,1.04,6.00,18.00,-67.65,32.58,86.21,
01/01/2000,00:00:02.00,-520.51,797.36,-262.70,-2.32,1.16,-0.98,4.35,18.90,-68.85,32.73,86.59,
01/01/2000,00:00:02.00,-537.60,796.88,-283.20,0.18,-0.37,-0.55,4.35,18.90,-68.85,32.77,87.19,
01/01/2000,00:00:02.01,-517.58,803.71,-281.25,1.16,3.48,-0.98,5.40,18.15,-67.35,32.73,86.61,
01/01/2000,00:00:02.02,-500.00,791.50,-272.95,-0.12,0.67,0.73,6.30,18.30,-67.95,32.44,86.96,
01/01/2000,00:00:02.03,-476.07,813.96,-277.83,0.73,3.54,0.24,5.85,18.15,-66.75,32.97,87.50,
01/01/2000,00:00:02.04,-470.21,803.71,-263.18,1.52,2.32,-0.18,5.25,18.30,-69.45,32.82,87.80,
01/01/2000,00:00:02.05,-470.70,804.69,-253.42,1.71,0.61,0.85,5.25,18.30,-69.45,32.92,88.31,
01/01/2000,00:00:02.06,-477.05,781.25,-241.70,1.71,-3.66,-0.24,6.30,18.30,-67.95,32.53,88.79,
01/01/2000,00:00:02.07,-507.81,798.34,-233.40,2.13,-5.06,0.30,6.00,18.30,-67.95,32.82,88.24,
01/01/2000,00:00:02.08,-521.48,796.88,-244.63,2.93,-5.79,0.18,4.65,18.60,-66.75,32.63,88.50,
01/01/2000,00:00:02.09,-537.11,797.85,-251.95,0.98,-3.23,-0.98,4.20,19.05,-67.20,32.92,88.94,
01/01/2000,00:00:02.10,-517.58,807.62,-255.37,0.00,-2.38,0.98,4.20,19.05,-67.20,32.73,89.17,
01/01/2000,00:00:02.11,-521.97,814.45,-254.88,0.73,1.16,0.55,5.25,17.25,-67.20,32.58,89.58,
01/01/2000,00:00:02.12,-503.42,795.41,-269.04,-0.43,0.00,3.78,6.00,17.25,-68.25,32.77,89.07,
01/01/2000,00:00:02.13,-488.77,794.92,-255.86,0.06,2.62,2.44,5.25,20.25,-68.70,32.58,89.29,
01/01/2000,00:00:02.14,-473.14,772.95,-256.84,-1.77,-2.01,0.98,5.25,20.25,-68.70,32.92,89.67,
01/01/2000,00:00:02.18,-481.45,809.57,-267.58,-1.04,-4.94,1.65,4.80,18.75,-66.15,32.82,86.24,
01/01/2000,00:00:02.19,-504.88,813.48,-251.46,0.73,-5.00,5.37,4.80,18.75,-66.15,32.73,86.02,
01/01/2000,00:00:02.20,-490.72,799.32,-263.18,-2.68,-3.17,2.99,5.25,19.80,-67.95,32.92,86.42,
01/01/2000,00:00:02.21,-489.75,821.29,-258.79,-1.22,-1.16,2.80,6.15,17.40,-67.80,32.63,86.06,
01/01/2000,00:00:02.22,-503.42,801.27,-264.16,1.22,-4.27,3.84,4.35,17.40,-67.05,32.82,86.29,
01/01/2000,00:00:02.23,-486.33,798.34,-253.91,-1.71,-3.60,5.18,5.10,16.65,-68.10,32.73,86.67,
01/01/2000,00:00:02.24,-459.47,809.08,-243.65,0.98,-2.99,3.29,5.10,16.65,-68.10,32.58,86.89,
01/01/2000,00:00:02.25,-483.89,804.20,-257.32,-1.83,-4.09,7.44,5.25,17.55,-67.95,32.82,87.24,
01/01/2000,00:00:02.26,-460.45,787.11,-240.23,1.04,-6.10,8.96,5.25,18.75,-68.25,32.73,86.89,
01/01/2000,00:00:02.27,-464.36,803.71,-257.81,-0.73,-7.26,6.83,5.85,18.90,-68.85,32.92,87.09,
01/01/2000,00:00:02.28,-488.77,803.22,-250.98,1.83,-8.84,10.49,5.85,18.90,-68.85,32.97,87.42,
01/01/2000,00:00:02.29,-485.35,808.59,-252.44,2.32,-7.80,9.51,6.15,18.90,-66.75,32.58,87.61,
01/01/2000,00:00:02.30,-472.66,798.83,-248.54,2.99,-8.96,10.67,5.10,17.40,-66.75,32.92,87.93,
01/01/2000,00:00:02.32,-479.49,810.06,-254.88,0.73,-7.87,10.98,4.35,19.65,-67.35,32.63,87.59,
01/01/2000,00:00:02.33,-460.45,801.76,-246.09,1.77,-8.54,11.59,4.65,19.35,-67.80,32.73,87.77,
01/01/2000,00:00:02.34,-471.19,803.22,-243.65,2.38,-6.46,14.94,4.65,19.35,-67.80,32.92,88.07,
01/01/2000,00:00:02.35,-444.82,813.48,-256.35,-0.06,-9.63,13.60,5.25,18.00,-67.95,32.63,88.24,
01/01/2000,00:00:02.35,-424.80,817.38,-238.77,1.52,-8.72,14.82,5.40,18.90,-68.55,32.82,88.52,
01/01/2000,00:00:02.36,-431.64,820.80,-245.12,2.50,-13.17,20.12,5.10,18.60,-67.05,32.92,88.68,
01/01/2000,00:00:02.38,-428.71,818.85,-245.61,2.13,-17.32,21.71,4.80,18.75,-67.95,32.73,88.35,
01/01/2000,00:00:02.39,-428.22,843.26,-244.63,2.99,-18.48,24.27,4.80,18.75,-67.95,32.77,88.62,
01/01/2000,00:00:02.40,-429.20,827.15,-250.00,2.07,-17.62,25.00,5.40,18.60,-68.10,32.82,88.77,
01/01/2000,00:00:02.41,-421.88,846.68,-219.73,0.55,-21.04,26.34,4.80,19.50,-67.95,32.92,89.03,
01/01/2000,00:00:02.42,-424.80,839.36,-220.21,1.10,-23.11,31.89,4.80,18.30,-68.25,32.97,89.17,
