rtcDate,rtcTime,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,imu_degC,output_Hz,
01/01/2000,00:00:01.33,-641.60,656.74,-481.45,7.07,11.52,-4.02,5.10,-21.45,-86.25,31.38,500.0,
01/01/2000,00:00:01.35,-600.59,633.30,-471.19,7.56,16.10,-2.20,3.90,-22.95,-86.55,31.38,100.0,
01/01/2000,00:00:01.36,-563.48,653.81,-479.49,8.66,12.74,-0.43,4.80,-21.15,-88.95,31.38,90.909,
01/01/2000,00:00:01.37,-543.95,643.55,-483.40,5.55,11.34,-2.56,6.0,-22.05,-86.70,31.14,93.023,
01/01/2000,00:00:01.38,-521.48,636.72,-472.17,7.93,4.63,-1.10,5.25,-19.65,-86.70,31.14,92.593,
01/01/2000,00:00:01.39,-563.48,644.53,-467.77,8.05,1.22,2.50,5.55,-18.90,-87.45,31.14,92.308,
01/01/2000,00:00:01.40,-610.84,645.02,-461.43,10.12,1.83,0.0,5.55,-18.90,-87.45,31.14,92.105,
01/01/2000,00:00:01.41,-622.07,636.72,-467.29,8.96,4.21,0.06,5.55,-18.90,-87.45,31.48,93.023,
01/01/2000,00:00:01.42,-601.07,614.75,-456.05,10.24,6.95,-0.67,5.25,-22.05,-86.70,31.38,92.784,
01/01/2000,00:00:01.43,-543.46,630.86,-448.24,10.06,9.21,-1.65,6.0,-19.95,-87.45,31.38,93.458,
01/01/2000,00:00:01.44,-504.39,637.21,-440.43,7.26,6.46,1.04,5.40,-22.20,-88.50,31.34,93.220,
01/01/2000,00:00:01.45,-509.28,644.53,-441.89,5.55,-1.83,-1.10,5.85,-20.55,-87.75,31.05,93.023,
01/01/2000,00:00:01.46,-519.53,625.98,-445.31,5.85,-6.95,0.73,4.65,-20.55,-89.25,31.34,92.857,
01/01/2000,00:00:01.47,-498.54,637.21,-435.55,4.33,-9.57,0.98,4.65,-21.0,-88.05,31.48,93.333,
01/01/2000,00:00:01.49,-504.39,643.55,-424.32,5.24,-19.39,5.37,4.65,-21.0,-88.05,31.38,93.168,
01/01/2000,00:00:01.49,-562.50,646.00,-424.80,5.30,-19.82,5.37,4.65,-21.0,-88.05,31.53,93.567,
01/01/2000,00:00:01.51,-603.03,634.77,-434.57,4.27,-16.71,2.62,6.60,-21.45,-88.50,31.38,92.896,
01/01/2000,00:00:01.52,-639.65,625.49,-452.15,3.84,-7.50,3.72,4.35,-22.50,-86.25,31.53,93.264,
01/01/2000,00:00:01.53,-620.12,625.49,-462.89,5.24,-2.99,4.09,5.85,-23.40,-88.05,31.38,93.137,
01/01/2000,00:00:01.54,-589.36,628.91,-462.40,2.99,3.35,3.23,6.75,-22.35,-87.45,31.00,93.458,
01/01/2000,00:00:01.55,-546.39,639.65,-467.77,2.74,7.44,-1.40,6.0,-21.15,-86.70,31.24,93.333,
01/01/2000,00:00:01.56,-525.39,629.88,-487.30,1.10,2.56,1.71,5.40,-21.45,-87.30,31.38,93.220,
01/01/2000,00:00:01.57,-532.71,645.51,-468.75,-5.37,2.20,0.61,5.40,-21.45,-87.30,31.24,93.496,
01/01/2000,00:00:01.58,-542.97,637.70,-459.47,-3.17,0.18,-1.71,5.40,-21.45,-87.30,31.48,93.385,
01/01/2000,00:00:01.59,-556.64,646.48,-461.91,-2.87,2.26,-1.22,6.60,-21.45,-88.05,31.34,93.284,
01/01/2000,00:00:01.61,-553.71,657.23,-444.34,-1.16,1.52,-1.10,5.25,-21.15,-88.65,31.38,93.525,
01/01/2000,00:00:01.61,-553.71,643.07,-441.41,-2.68,-0.43,-0.12,6.15,-22.95,-87.75,31.19,93.426,
01/01/2000,00:00:01.63,-535.64,633.79,-441.89,-1.34,-1.40,2.26,5.10,-19.80,-88.50,31.14,93.333,
01/01/2000,00:00:01.64,-553.22,631.35,-442.38,-4.21,-3.05,-1.34,4.35,-23.40,-87.75,31.38,93.248,
01/01/2000,00:00:01.65,-580.08,636.23,-450.68,-4.09,-5.49,-0.37,5.85,-21.75,-88.05,31.38,93.168,
01/01/2000,00:00:01.66,-593.26,639.65,-451.66,-3.11,-2.32,3.23,6.45,-20.85,-86.40,31.53,93.373,
01/01/2000,00:00:01.67,-620.61,630.37,-459.96,1.65,-1.71,4.45,6.45,-20.85,-86.40,31.38,93.294,
01/01/2000,00:00:01.68,-600.10,664.55,-460.45,-2.74,2.07,0.43,6.0,-22.35,-87.90,31.48,92.958,
01/01/2000,00:00:01.69,-545.41,630.86,-466.80,-2.13,3.05,-1.34,5.25,-20.85,-88.20,31.58,93.151,
01/01/2000,00:00:01.70,-519.53,625.98,-462.40,-0.12,-3.60,3.17,6.60,-21.45,-89.55,31.38,93.085,
01/01/2000,00:00:01.71,-541.50,642.09,-479.98,-1.34,-6.52,4.45,6.0,-21.15,-88.20,31.67,93.264,
01/01/2000,00:00:01.72,-584.47,661.13,-479.49,0.37,-7.01,1.77,6.0,-20.85,-87.90,31.38,93.199,
01/01/2000,00:00:01.73,-615.72,649.41,-469.73,-2.13,-1.65,0.79,4.50,-22.35,-88.20,31.38,93.137,
01/01/2000,00:00:01.74,-625.98,640.14,-493.65,0.0,4.27,2.87,6.75,-22.35,-87.15,31.38,93.079,
01/01/2000,00:00:01.75,-586.91,643.07,-483.40,2.07,8.11,-0.43,6.75,-22.35,-87.15,31.38,93.240,
01/01/2000,00:00:01.76,-558.11,636.23,-468.26,0.91,6.34,0.55,6.75,-22.35,-87.15,31.14,93.394,
01/01/2000,00:00:01.77,-532.71,635.74,-451.17,-0.24,2.01,2.44,4.65,-21.45,-88.80,31.14,93.333,
01/01/2000,00:00:01.78,-534.18,638.18,-460.45,-1.28,-0.79,0.73,6.45,-21.15,-87.90,31.48,93.275,
01/01/2000,00:00:01.80,-573.73,621.58,-452.64,-1.22,-2.68,2.68,5.55,-20.40,-86.70,31.53,93.220,
01/01/2000,00:00:01.81,-574.71,654.79,-476.07,1.28,-4.57,2.99,4.35,-22.50,-88.80,31.58,93.168,
01/01/2000,00:00:01.82,-602.54,650.88,-468.26,0.79,-2.20,3.66,5.25,-21.60,-87.45,31.53,93.306,
01/01/2000,00:00:01.83,-594.24,648.44,-465.82,1.16,3.60,3.41,5.10,-20.55,-88.05,31.24,93.254,
01/01/2000,00:00:01.84,-584.96,640.14,-465.82,2.38,4.45,5.43,5.10,-20.55,-88.05,31.19,92.664,
01/01/2000,00:00:01.86,-563.96,626.46,-459.47,-1.83,2.20,1.95,5.85,-21.0,-87.75,31.38,92.279,
01/01/2000,00:00:01.87,-564.94,636.23,-462.89,0.43,0.37,3.60,4.35,-21.45,-89.85,31.38,92.251,
01/01/2000,00:00:01.88,-543.46,614.75,-467.77,0.12,1.04,3.60,4.35,-21.45,-87.75,31.53,92.391,
01/01/2000,00:00:01.89,-552.25,636.72,-472.17,-2.68,-4.70,1.40,6.45,-20.40,-86.70,31.58,92.527,
01/01/2000,00:00:01.90,-561.52,640.14,-460.94,-0.91,-1.95,2.13,5.40,-21.0,-87.30,31.34,92.496,
01/01/2000,00:00:01.91,-562.01,654.30,-470.21,-3.84,-0.43,-0.24,6.75,-22.05,-88.65,31.58,92.466,
01/01/2000,00:00:01.92,-583.01,637.70,-480.96,-1.89,-2.74,-0.06,5.85,-21.75,-87.75,31.53,92.437,
01/01/2000,00:00:01.93,-560.06,638.67,-482.91,-2.74,-0.37,-3.23,4.35,-19.80,-87.0,31.53,92.409,
01/01/2000,00:00:01.94,-562.01,637.21,-476.56,-2.62,0.0,0.43,4.35,-19.80,-87.0,31.14,92.532,
01/01/2000,00:00:01.95,-570.80,654.79,-490.23,-1.83,0.55,3.23,6.45,-22.05,-88.20,31.48,92.504,
01/01/2000,00:00:01.96,-595.21,646.48,-492.19,-0.91,1.59,-1.71,5.40,-20.55,-88.50,31.38,92.476,
01/01/2000,00:00:01.97,-576.17,651.37,-482.91,-1.89,3.17,-1.28,5.10,-22.50,-88.50,31.34,92.450,
01/01/2000,00:00:01.98,-572.75,649.41,-472.17,-4.45,4.09,-3.72,3.90,-21.45,-86.55,31.58,92.564,
01/01/2000,00:00:01.99,-570.31,650.39,-479.00,-1.10,3.66,-1.04,6.60,-21.75,-87.30,31.38,92.537,
01/01/2000,00:00:02.00,-581.05,644.04,-471.68,-1.89,5.30,-3.78,5.40,-21.0,-87.30,31.38,92.511,
01/01/2000,00:00:02.00,-583.01,656.74,-478.52,1.28,3.84,0.79,5.85,-22.50,-85.80,31.48,92.619,
01/01/2000,00:00:02.01,-586.91,655.27,-472.66,-1.65,4.33,-1.83,5.85,-22.50,-85.80,31.48,92.461,
01/01/2000,00:00:02.02,-571.29,651.37,-467.29,0.73,5.55,-0.61,5.10,-22.50,-85.80,31.34,92.567,
01/01/2000,00:00:02.03,-567.38,652.34,-465.33,0.67,3.48,-0.06,5.40,-21.75,-88.05,31.38,92.541,
01/01/2000,00:00:02.04,-564.94,636.23,-447.27,3.35,2.87,-1.40,6.0,-21.15,-87.15,31.48,92.643,
01/01/2000,00:00:02.05,-551.76,628.42,-458.01,3.23,-0.12,2.13,3.60,-20.55,-87.0,31.38,92.617,
01/01/2000,00:00:02.06,-561.04,643.55,-458.01,2.32,-0.67,-1.40,5.40,-19.80,-88.05,31.48,92.593,
01/01/2000,00:00:02.07,-559.57,644.53,-461.43,2.50,-2.93,-0.91,5.40,-21.75,-88.05,31.53,92.568,
01/01/2000,00:00:02.08,-564.94,652.34,-478.52,1.77,-3.11,-1.95,4.80,-21.15,-87.90,31.67,92.664,
01/01/2000,00:00:02.10,-579.59,634.28,-474.61,2.32,-0.43,0.43,4.80,-21.15,-87.90,31.58,92.640,
01/01/2000,00:00:02.11,-573.73,628.91,-470.21,3.78,-0.98,2.26,4.80,-21.15,-87.90,31.58,92.732,
01/01/2000,00:00:02.12,-544.43,647.46,-471.68,2.07,-1.40,1.40,5.25,-19.95,-86.40,31.38,92.593,
01/01/2000,00:00:02.13,-550.78,644.04,-469.24,1.46,0.06,0.43,4.50,-21.60,-87.45,31.38,92.683,
01/01/2000,00:00:02.14,-556.15,636.23,-457.52,-0.30,1.52,0.30,4.80,-20.85,-86.70,31.34,92.659,
01/01/2000,00:00:02.15,-544.92,646.97,-462.89,-1.34,-0.24,0.0,4.80,-20.85,-88.65,31.53,92.747,
01/01/2000,00:00:02.16,-559.57,647.46,-471.68,0.24,0.61,-2.01,6.60,-21.0,-87.30,31.67,92.723,
01/01/2000,00:00:02.17,-557.62,653.81,-468.26,-0.61,1.28,-5.0,5.40,-21.75,-88.80,31.38,92.807,
01/01/2000,00:00:02.18,-560.55,644.04,-469.24,-0.12,1.71,-0.12,5.40,-21.75,-88.80,31.24,92.677,
01/01/2000,00:00:02.19,-546.39,638.67,-471.68,-1.40,-0.37,2.99,5.40,-21.75,-88.80,31.72,92.760,
01/01/2000,00:00:02.20,-560.55,639.16,-465.82,-1.59,2.20,-2.01,6.0,-19.65,-88.95,31.53,92.737,
01/01/2000,00:00:02.21,-550.78,637.70,-463.87,-0.98,-1.10,-0.30,5.25,-22.05,-88.65,31.48,92.818,
01/01/2000,00:00:02.22,-564.45,649.41,-458.50,0.12,0.24,2.56,5.25,-20.85,-86.40,31.53,92.795,
01/01/2000,00:00:02.24,-555.18,633.79,-458.01,-4.02,2.26,-4.33,5.10,-21.45,-87.0,31.53,92.772,
01/01/2000,00:00:02.25,-559.08,639.65,-464.84,-3.05,0.06,-0.49,5.85,-21.0,-88.05,31.34,92.751,
01/01/2000,00:00:02.26,-558.59,654.30,-463.38,-0.73,1.28,2.13,6.0,-21.15,-88.20,31.38,92.827,
01/01/2000,00:00:02.27,-571.29,648.93,-474.12,-1.46,1.65,-0.37,6.0,-21.15,-88.20,31.38,92.805,
01/01/2000,00:00:02.28,-566.89,647.95,-464.84,-2.07,2.62,-0.30,6.0,-21.15,-88.20,31.53,92.879,
01/01/2000,00:00:02.29,-551.76,636.23,-477.54,-0.24,-0.30,0.91,5.55,-20.40,-86.70,31.34,92.762,
01/01/2000,00:00:02.30,-559.57,634.77,-476.07,-3.05,0.85,-0.06,4.65,-21.75,-87.0,31.53,92.836,
01/01/2000,00:00:02.31,-562.99,638.67,-473.14,-0.55,-0.98,0.67,6.0,-22.35,-86.70,31.38,92.814,
01/01/2000,00:00:02.32,-565.92,642.09,-471.19,0.06,3.05,1.04,5.55,-22.35,-88.20,31.53,92.885,
01/01/2000,00:00:02.34,-564.94,639.65,-473.63,1.65,1.22,0.24,3.90,-23.40,-87.0,31.53,92.502,
01/01/2000,00:00:02.35,-561.04,650.88,-472.17,-1.34,1.16,-0.55,5.10,-20.55,-86.25,31.48,92.397,
01/01/2000,00:00:02.36,-573.73,649.90,-484.86,-1.83,2.50,1.34,5.10,-20.55,-86.25,31.77,92.293,
01/01/2000,00:00:02.37,-575.20,636.23,-481.45,0.12,4.57,0.61,5.10,-20.55,-86.25,31.67,92.366,
01/01/2000,00:00:02.38,-584.47,638.67,-490.23,-3.05,6.40,1.89,6.15,-22.50,-88.50,31.34,92.351,
01/01/2000,00:00:02.39,-596.19,620.61,-483.40,-2.50,7.20,-2.26,5.55,-22.05,-86.70,31.38,92.421,
01/01/2000,00:00:02.40,-596.68,632.81,-489.26,-0.98,7.50,-1.83,5.40,-21.45,-87.30,31.48,92.406,
01/01/2000,00:00:02.41,-562.99,642.09,-489.75,0.55,6.65,-3.60,5.55,-21.60,-87.15,31.58,92.391,
01/01/2000,00:00:02.42,-565.43,661.13,-475.59,0.98,9.57,-2.99,4.50,-20.40,-88.20,31.77,92.377,
01/01/2000,00:00:02.44,-561.04,658.69,-479.49,2.80,7.01,-0.24,4.65,-20.25,-88.50,31.58,92.444,
