rtcDate,rtcTime,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,imu_degC,output_Hz,
01/01/2000,00:00:01.54,-671.88,424.32,-394.04,30.91,21.40,-43.84,9.45,12.15,-71.70,32.10,250.00,
01/01/2000,00:00:01.59,-722.66,354.98,-454.10,25.49,6.65,-47.74,12.60,9.60,-72.60,32.20,37.74,
01/01/2000,00:00:01.60,-722.17,332.03,-466.31,25.18,8.17,-45.43,12.75,9.00,-73.50,32.10,44.78,
01/01/2000,00:00:01.61,-746.58,347.66,-476.56,22.74,8.72,-44.82,14.40,10.35,-75.15,32.29,52.63,
01/01/2000,00:00:01.62,-781.74,320.80,-483.89,20.30,11.52,-43.90,13.80,8.70,-74.70,32.25,58.14,
01/01/2000,00:00:01.68,-632.32,323.24,-447.75,1.52,23.72,-35.61,13.65,8.40,-72.00,32.06,41.67,
01/01/2000,00:00:01.69,-604.49,334.47,-454.59,3.41,11.83,-30.30,14.40,8.85,-75.90,32.25,45.45,
01/01/2000,00:00:01.70,-608.40,343.26,-465.33,2.56,3.11,-31.83,13.50,6.75,-75.30,32.10,49.08,
01/01/2000,00:00:01.71,-645.02,364.26,-483.40,2.13,-6.95,-32.01,13.65,7.35,-74.85,32.10,52.02,
01/01/2000,00:00:01.72,-704.10,364.75,-512.70,5.79,-12.44,-28.11,13.20,7.65,-75.15,31.91,54.95,
01/01/2000,00:00:01.73,-717.77,350.59,-510.25,5.79,-14.51,-26.52,13.20,7.65,-75.15,31.86,56.12,
01/01/2000,00:00:01.74,-741.21,332.03,-492.19,6.95,-16.65,-26.34,14.40,7.65,-74.40,32.10,58.25,
01/01/2000,00:00:01.75,-731.45,334.96,-505.37,7.38,-15.24,-23.96,15.15,7.65,-74.40,32.29,60.47,
01/01/2000,00:00:01.76,-706.54,354.98,-501.46,5.91,-15.00,-21.77,16.20,6.60,-74.10,32.01,62.22,
01/01/2000,00:00:01.77,-748.05,341.80,-515.62,4.70,-17.26,-19.51,15.15,6.15,-75.60,32.06,64.10,
01/01/2000,00:00:01.78,-761.23,330.08,-515.62,5.12,-13.11,-20.85,15.15,6.15,-75.60,32.10,65.57,
01/01/2000,00:00:01.80,-770.02,334.47,-526.86,4.76,-6.16,-14.63,15.45,5.40,-73.35,32.29,65.89,
