rtcDate,rtcTime,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,imu_degC,output_Hz,
01/01/2000,00:00:01.59,-416.99,871.58,-196.78,0.91,2.38,-3.35,1.35,20.85,-64.95,32.39,250.00,
01/01/2000,00:00:01.67,-418.95,866.70,-208.50,-1.65,1.16,0.18,-0.45,21.45,-62.85,32.39,25.97,
01/01/2000,00:00:01.68,-402.34,868.65,-204.59,-3.35,-0.30,-1.34,1.05,23.10,-65.55,32.10,33.33,
01/01/2000,00:00:01.69,-416.99,863.28,-210.45,-1.40,1.10,1.46,1.05,23.10,-65.55,32.53,40.00,
01/01/2000,00:00:01.70,-404.30,864.26,-202.64,-1.59,2.80,-1.59,-0.15,21.75,-65.40,32.44,45.87,
01/01/2000,00:00:01.71,-414.55,875.00,-201.66,-2.01,0.06,0.43,0.45,21.45,-64.65,32.25,48.78,
01/01/2000,00:00:01.72,-425.29,878.91,-207.03,-0.91,1.71,-3.41,-0.30,21.90,-64.95,32.01,52.63,
01/01/2000,00:00:01.73,-415.04,876.46,-189.94,-3.05,3.84,-1.52,-0.30,21.90,-64.95,32.39,55.94,
01/01/2000,00:00:01.74,-394.04,865.72,-208.01,-2.13,1.77,0.79,1.20,20.55,-65.10,32.25,59.21,
01/01/2000,00:00:01.75,-407.71,849.61,-209.47,-0.73,0.79,1.10,1.80,21.60,-66.00,32.39,62.11,
01/01/2000,00:00:01.76,-396.48,863.28,-199.71,-1.71,1.28,-1.28,0.15,19.80,-64.35,32.29,64.33,
01/01/2000,00:00:01.78,-390.14,853.52,-201.66,-1.65,-1.10,-0.37,-0.30,20.85,-65.25,32.39,64.86,
01/01/2000,00:00:01.79,-399.90,868.65,-210.94,-2.56,0.00,-2.01,-0.30,20.85,-65.25,32.39,67.01,
01/01/2000,00:00:01.80,-413.57,869.14,-199.71,-1.04,-2.13,-2.44,-0.15,21.75,-65.10,32.44,68.63,
01/01/2000,00:00:01.81,-418.95,854.98,-209.96,-0.06,-0.73,-2.32,-0.30,21.60,-64.95,32.29,70.42,
01/01/2000,00:00:01.82,-421.88,860.84,-209.47,-0.43,-1.95,-1.10,2.10,22.35,-64.50,32.39,71.75,
01/01/2000,00:00:01.83,-417.97,868.65,-201.17,0.43,-2.13,-1.77,-0.30,23.10,-64.50,32.53,71.73,
01/01/2000,00:00:01.84,-414.06,874.51,-210.94,0.91,2.44,-1.65,-0.30,23.10,-64.50,32.53,72.87,
01/01/2000,00:00:01.85,-411.13,873.05,-206.05,-1.04,2.13,-3.29,-0.45,21.75,-65.10,32.25,74.22,
01/01/2000,00:00:01.86,-438.48,868.16,-199.22,-2.87,0.67,-0.12,1.35,20.40,-65.55,32.29,75.47,
01/01/2000,00:00:01.87,-413.57,874.51,-200.20,-0.61,0.24,2.20,1.05,20.85,-64.95,32.58,76.36,
01/01/2000,00:00:01.89,-410.16,876.46,-209.96,-2.62,2.01,-2.68,1.20,21.75,-65.10,32.44,76.12,
01/01/2000,00:00:01.90,-401.86,875.98,-209.96,-0.91,-2.07,-0.06,0.00,21.60,-64.50,32.58,77.18,
01/01/2000,00:00:01.91,-416.99,873.05,-188.48,-1.83,-1.34,-0.79,-0.45,21.75,-65.10,32.39,77.92,
01/01/2000,00:00:01.91,-422.85,872.56,-200.68,-1.16,0.55,-2.13,0.00,21.60,-65.55,32.39,78.86,
01/01/2000,00:00:01.92,-405.76,876.95,-199.22,-0.49,-1.28,-1.16,0.00,21.60,-65.55,32.44,79.51,
01/01/2000,00:00:01.93,-411.13,873.54,-204.59,1.40,-3.05,-1.77,0.00,21.60,-65.55,32.58,80.36,
01/01/2000,00:00:01.95,-417.48,887.70,-200.68,1.59,-1.04,-2.56,1.50,21.00,-65.40,32.39,80.00,
01/01/2000,00:00:01.96,-406.74,878.91,-203.61,2.07,-1.34,-2.26,0.90,21.75,-65.10,32.29,80.56,
01/01/2000,00:00:01.97,-402.83,878.42,-196.78,1.22,-0.73,0.18,-0.45,22.50,-64.05,32.44,81.30,
01/01/2000,00:00:01.98,-406.25,863.77,-202.64,1.04,-3.17,-0.61,-0.45,22.50,-64.05,32.63,81.79,
01/01/2000,00:00:01.99,-419.92,871.58,-214.36,-0.49,-1.40,-1.71,2.25,21.45,-64.05,32.39,82.47,
01/01/2000,00:00:02.00,-433.59,865.72,-215.33,-1.40,-2.44,-3.84,1.05,20.10,-63.45,32.58,82.09,
01/01/2000,00:00:02.00,-417.97,868.16,-195.80,1.16,-1.34,-2.13,-0.15,22.20,-63.30,32.25,82.52,
01/01/2000,00:00:02.01,-414.06,866.21,-197.27,1.52,-1.22,-1.46,1.95,21.00,-65.40,32.63,83.14,
01/01/2000,00:00:02.02,-416.99,858.89,-207.03,3.90,-0.55,-1.77,1.95,21.00,-65.40,32.29,83.53,
01/01/2000,00:00:02.03,-413.57,865.72,-203.61,2.99,-1.28,-2.13,-0.45,21.45,-66.45,32.25,84.09,
01/01/2000,00:00:02.04,-410.64,869.14,-211.91,1.40,-0.91,-2.68,2.10,21.60,-63.15,32.58,83.70,
01/01/2000,00:00:02.05,-417.97,869.63,-207.52,2.93,-2.07,-0.67,0.15,21.45,-65.10,32.39,84.05,
01/01/2000,00:00:02.06,-409.18,876.95,-195.80,2.74,-1.65,-0.49,0.15,21.45,-65.10,32.39,84.57,
01/01/2000,00:00:02.07,-435.06,869.63,-198.24,3.48,-0.12,-1.46,0.15,21.45,-65.10,32.29,84.89,
01/01/2000,00:00:02.08,-432.13,867.19,-211.43,1.16,-1.77,-2.07,1.35,20.40,-64.50,32.58,85.37,
01/01/2000,00:00:02.09,-426.27,878.42,-207.03,-0.06,-0.73,0.30,2.85,21.90,-64.20,32.44,85.66,
01/01/2000,00:00:02.13,-410.16,868.65,-199.71,0.43,1.71,-2.93,0.60,21.15,-63.45,32.58,80.59,
01/01/2000,00:00:02.15,-424.80,870.61,-195.80,-0.06,-0.61,-3.05,1.05,21.15,-63.45,32.39,80.50,
01/01/2000,00:00:02.16,-412.11,863.28,-200.20,0.12,-0.30,-0.91,1.80,20.10,-64.95,32.58,80.99,
01/01/2000,00:00:02.17,-411.62,865.23,-192.87,1.10,-2.01,-0.98,1.80,20.10,-64.95,32.25,81.31,
01/01/2000,00:00:02.18,-420.41,858.89,-204.59,1.28,-2.93,-1.10,0.60,21.90,-65.55,32.58,81.77,
01/01/2000,00:00:02.19,-419.92,864.26,-205.57,0.79,1.04,-4.02,0.60,21.60,-64.50,32.39,81.53,
01/01/2000,00:00:02.20,-411.62,856.93,-197.75,2.87,-3.05,-2.56,1.20,21.00,-65.40,32.44,81.83,
01/01/2000,00:00:02.21,-422.85,855.96,-206.54,2.62,-2.20,-3.48,1.20,21.00,-65.40,32.53,82.26,
01/01/2000,00:00:02.22,-427.25,865.72,-199.22,0.00,-1.95,-5.79,1.20,21.00,-65.40,32.53,82.54,
01/01/2000,00:00:02.23,-423.34,866.21,-211.43,1.10,-0.37,-1.95,0.45,20.25,-65.10,32.44,82.94,
01/01/2000,00:00:02.24,-429.20,857.91,-196.29,1.95,-2.01,0.98,-1.05,22.65,-65.25,32.73,83.20,
01/01/2000,00:00:02.25,-442.38,861.33,-208.01,3.48,-2.56,-0.12,1.05,21.60,-64.50,32.53,83.08,
01/01/2000,00:00:02.26,-431.15,855.96,-195.80,0.12,-1.65,-2.26,1.05,21.90,-65.25,32.53,83.33,
01/01/2000,00:00:02.27,-423.34,851.07,-200.20,0.18,0.61,-1.16,1.05,20.40,-65.25,32.58,83.58,
01/01/2000,00:00:02.28,-423.83,862.30,-210.45,1.52,-3.48,-0.55,0.45,21.45,-65.10,32.25,83.94,
01/01/2000,00:00:02.29,-423.83,867.19,-216.31,0.98,-2.32,0.67,0.15,22.95,-65.40,32.63,84.17,
01/01/2000,00:00:02.30,-430.18,852.05,-206.54,0.91,-1.46,0.55,0.15,22.95,-65.40,32.58,84.03,
01/01/2000,00:00:02.31,-432.62,847.66,-201.17,-0.49,0.24,-2.01,0.60,21.15,-66.75,32.58,84.25,
01/01/2000,00:00:02.32,-427.25,851.07,-204.10,1.95,-0.85,-1.95,0.90,22.95,-65.10,32.73,84.58,
01/01/2000,00:00:02.33,-422.85,862.30,-203.61,0.73,-0.30,-1.04,1.35,21.90,-66.00,32.77,84.79,
01/01/2000,00:00:02.34,-420.90,861.33,-197.75,2.07,-0.55,-2.44,0.45,21.75,-64.65,32.39,85.11,
01/01/2000,00:00:02.36,-418.95,872.56,-212.40,-0.85,0.98,-0.12,0.45,21.75,-64.65,32.77,84.86,
01/01/2000,00:00:02.37,-413.09,869.63,-199.22,-0.61,-1.28,-0.98,-0.30,19.35,-64.20,32.63,85.05,
01/01/2000,00:00:02.37,-413.09,844.24,-200.20,-0.91,-0.67,0.61,0.90,22.95,-63.60,32.58,85.35,
01/01/2000,00:00:02.38,-429.20,850.59,-212.89,-0.24,-1.34,0.30,2.10,21.15,-65.55,32.63,85.53,
01/01/2000,00:00:02.39,-416.50,854.49,-211.43,-1.95,-1.59,0.18,1.50,21.75,-66.15,32.29,85.82,
01/01/2000,00:00:02.40,-412.60,868.16,-203.61,-2.13,-0.67,-3.48,1.50,21.75,-66.15,32.58,86.00,
01/01/2000,00:00:02.42,-429.20,859.38,-197.75,-0.43,0.30,2.01,1.20,22.50,-64.65,32.53,85.85,
01/01/2000,00:00:02.43,-421.39,859.38,-208.50,-0.43,-0.24,-1.10,1.80,21.90,-64.20,32.73,86.02,
01/01/2000,00:00:02.44,-421.39,862.79,-193.36,-0.91,-0.91,0.67,0.60,20.40,-66.30,32.58,86.19,
01/01/2000,00:00:02.45,-413.09,866.70,-198.73,-1.16,0.37,2.07,0.60,20.40,-66.30,32.39,86.45,
01/01/2000,00:00:02.46,-423.83,854.00,-215.33,0.30,-1.16,1.28,1.50,21.00,-66.15,32.73,86.61,
01/01/2000,00:00:02.47,-424.80,865.72,-210.45,-2.93,-2.56,1.34,1.80,21.90,-64.20,32.58,86.46,
01/01/2000,00:00:02.48,-419.92,857.91,-208.50,-0.06,-0.98,0.55,1.35,21.15,-65.25,32.44,86.61,
01/01/2000,00:00:02.49,-408.20,856.45,-201.66,-0.06,-0.85,2.38,0.45,21.75,-65.10,32.73,86.76,
01/01/2000,00:00:02.50,-422.36,850.59,-203.61,-0.12,-0.49,1.83,0.45,21.75,-65.10,32.39,87.00,
01/01/2000,00:00:02.51,-436.04,863.28,-211.91,-1.83,0.12,0.79,1.05,22.35,-64.20,32.82,87.24,
01/01/2000,00:00:02.52,-418.95,860.84,-206.54,-2.74,0.00,-1.10,0.90,22.95,-65.10,32.39,87.38,
01/01/2000,00:00:02.58,-412.11,858.89,-208.01,-3.78,-0.30,1.04,-0.45,21.00,-63.30,32.58,83.25,
01/01/2000,00:00:02.59,-403.81,863.77,-203.61,-2.26,-1.16,0.00,-0.45,21.00,-63.30,32.58,83.42,
01/01/2000,00:00:02.59,-407.23,852.54,-199.22,-4.45,-2.87,2.38,0.90,22.95,-65.10,32.82,83.67,
01/01/2000,00:00:02.60,-402.83,864.75,-192.38,-5.18,-0.43,2.74,0.60,22.65,-64.95,32.63,83.83,
01/01/2000,00:00:02.61,-397.95,865.23,-195.31,-5.12,-3.90,2.07,0.00,20.10,-65.25,32.58,84.07,
01/01/2000,00:00:02.66,-429.20,860.84,-199.22,-5.91,-2.87,4.94,0.15,21.45,-64.35,32.82,81.77,
01/01/2000,00:00:02.67,-407.23,868.16,-198.24,-6.40,-2.93,2.68,1.80,21.60,-64.95,32.73,81.71,
01/01/2000,00:00:02.68,-405.27,869.14,-187.01,-5.30,-0.91,4.63,0.90,21.45,-64.65,32.92,81.88,
01/01/2000,00:00:02.69,-420.41,849.12,-200.20,-5.61,-3.29,4.33,0.90,21.45,-64.65,32.58,82.12,
01/01/2000,00:00:02.70,-407.71,876.95,-196.78,-6.52,-0.06,4.09,1.35,20.85,-63.75,32.92,82.35,
01/01/2000,00:00:02.71,-412.60,861.82,-180.18,-5.24,-2.20,4.76,1.20,20.55,-66.15,32.39,82.22,
01/01/2000,00:00:02.72,-400.39,873.54,-179.69,-8.41,0.43,6.83,0.15,21.45,-64.35,32.92,82.37,
01/01/2000,00:00:02.73,-408.69,867.19,-173.34,-7.62,-0.61,7.26,0.00,21.60,-64.95,32.73,82.60,
01/01/2000,00:00:02.74,-408.69,858.89,-170.90,-7.32,-2.87,9.57,0.00,21.60,-64.95,32.44,82.75,
01/01/2000,00:00:02.75,-394.04,872.07,-164.06,-7.56,-6.22,11.16,-0.15,21.75,-64.35,32.58,82.97,
