rtcDate,rtcTime,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,imu_degC,output_Hz,
01/01/2000,00:00:01.33,257.81,908.20,-227.54,-3.90,-1.95,0.43,-23.10,-19.65,-79.35,31.05,500.0,
01/01/2000,00:00:01.38,238.77,918.46,-234.86,-0.85,-0.98,-5.18,-25.95,-21.45,-77.25,30.81,39.216,
01/01/2000,00:00:01.39,245.12,911.62,-241.70,0.0,1.04,1.52,-23.25,-19.35,-79.05,30.95,46.875,
01/01/2000,00:00:01.40,266.60,897.46,-229.00,-0.30,2.26,0.73,-23.70,-19.80,-78.30,31.14,53.333,
01/01/2000,00:00:01.41,261.23,916.02,-241.21,0.06,-1.52,-0.67,-24.30,-19.65,-77.85,31.24,58.824,
01/01/2000,00:00:01.42,257.81,903.81,-227.54,0.18,-1.34,0.43,-24.30,-19.65,-77.85,30.95,61.856,
01/01/2000,00:00:01.43,243.65,918.46,-231.93,-1.65,-0.12,3.41,-24.30,-19.65,-77.85,31.05,64.815,
01/01/2000,00:00:01.44,242.19,903.32,-229.00,-4.33,-1.34,1.65,-24.0,-18.60,-79.80,31.14,67.797,
01/01/2000,00:00:01.45,254.39,903.32,-220.70,-2.26,3.66,1.89,-23.70,-19.80,-79.50,30.81,69.767,
01/01/2000,00:00:01.46,249.02,910.64,-230.96,-3.78,1.46,-1.04,-23.70,-20.55,-78.0,31.00,71.942,
01/01/2000,00:00:01.47,261.23,928.22,-225.10,-3.05,1.28,1.34,-24.30,-20.40,-80.40,31.34,72.848,
01/01/2000,00:00:01.49,268.07,932.62,-217.29,-4.82,1.04,1.22,-21.90,-19.65,-78.90,30.86,74.074,
01/01/2000,00:00:01.49,261.72,926.27,-224.12,-1.10,-3.35,-1.71,-22.20,-21.0,-79.80,30.95,75.581,
01/01/2000,00:00:01.51,257.32,916.99,-217.29,-2.87,1.28,-3.05,-22.20,-21.0,-79.80,30.95,76.503,
01/01/2000,00:00:01.52,254.88,922.36,-223.14,-2.26,-1.34,0.67,-22.20,-21.0,-79.80,30.86,77.720,
01/01/2000,00:00:01.53,255.37,932.62,-212.89,-1.34,-0.12,3.41,-23.10,-19.95,-78.90,31.05,78.431,
01/01/2000,00:00:01.54,268.07,920.41,-215.33,-0.06,0.37,-0.85,-23.10,-19.65,-79.65,31.00,78.704,
01/01/2000,00:00:01.55,257.32,918.95,-215.82,-2.80,2.99,0.37,-23.10,-19.20,-77.85,31.05,79.646,
01/01/2000,00:00:01.56,244.63,916.50,-232.42,-3.29,2.13,1.52,-21.75,-19.35,-79.05,31.00,80.169,
01/01/2000,00:00:01.57,240.23,917.48,-217.77,0.06,0.49,0.98,-23.10,-19.65,-77.40,31.05,80.645,
01/01/2000,00:00:01.58,243.16,924.32,-222.17,-0.79,0.12,-0.06,-21.90,-19.65,-78.60,31.14,81.395,
01/01/2000,00:00:01.59,253.91,923.34,-231.93,2.01,-1.77,-1.40,-23.10,-19.65,-78.15,31.05,81.481,
01/01/2000,00:00:01.61,259.28,910.64,-218.26,-0.91,1.52,-1.77,-23.10,-19.65,-78.15,30.86,82.143,
01/01/2000,00:00:01.62,259.28,894.53,-226.56,0.24,0.0,-2.07,-22.50,-19.80,-79.05,31.14,82.474,
01/01/2000,00:00:01.63,269.04,893.55,-238.77,1.77,-1.46,2.38,-23.40,-19.95,-78.60,31.00,82.781,
01/01/2000,00:00:01.64,249.51,922.36,-243.16,-0.67,-2.26,0.06,-23.25,-18.60,-79.05,31.14,83.333,
01/01/2000,00:00:01.65,257.81,908.20,-229.49,-2.13,-0.61,0.06,-23.25,-19.80,-79.50,30.95,83.333,
01/01/2000,00:00:01.66,242.68,901.86,-237.79,-0.30,1.16,0.06,-24.45,-19.05,-77.55,31.14,83.582,
01/01/2000,00:00:01.67,249.02,916.50,-230.47,1.46,1.52,0.06,-22.65,-19.65,-79.35,31.14,84.058,
01/01/2000,00:00:01.68,250.49,900.88,-222.66,-2.07,2.01,-0.43,-23.40,-18.90,-78.60,31.34,84.270,
01/01/2000,00:00:01.69,261.23,903.32,-226.56,-1.83,1.65,0.30,-23.40,-18.90,-78.60,31.00,84.699,
01/01/2000,00:00:01.70,239.26,918.46,-227.05,-1.40,-1.28,-1.77,-23.40,-17.70,-79.65,31.14,84.656,
01/01/2000,00:00:01.71,261.72,909.67,-230.47,1.40,2.87,-0.67,-25.05,-19.65,-79.35,30.86,84.833,
01/01/2000,00:00:01.72,246.09,911.13,-220.70,-2.56,-0.49,-1.46,-23.10,-18.0,-79.65,31.14,85.213,
01/01/2000,00:00:01.73,252.93,925.29,-225.59,0.43,-1.28,0.85,-22.35,-19.95,-78.60,31.14,85.366,
01/01/2000,00:00:01.74,261.72,896.48,-225.10,0.67,-1.52,-3.35,-22.65,-19.65,-77.40,31.05,85.511,
01/01/2000,00:00:01.76,274.90,922.36,-218.75,-1.10,-1.28,-0.79,-23.70,-19.35,-79.50,31.14,85.847,
01/01/2000,00:00:01.76,261.23,913.57,-214.84,1.22,-1.40,1.83,-22.50,-20.25,-77.55,31.14,85.779,
01/01/2000,00:00:01.78,262.70,928.71,-213.87,-1.16,-0.85,-2.93,-24.60,-18.90,-77.85,31.05,85.903,
01/01/2000,00:00:01.79,250.98,922.36,-220.70,-1.40,0.0,-1.10,-24.60,-18.90,-77.85,31.14,86.207,
01/01/2000,00:00:01.80,249.51,920.90,-230.47,-2.20,0.18,-4.02,-22.35,-19.20,-79.65,30.95,86.316,
01/01/2000,00:00:01.81,259.77,917.48,-230.47,-1.28,2.93,0.73,-22.95,-17.85,-79.50,31.14,86.420,
01/01/2000,00:00:01.82,255.37,904.79,-235.35,-2.07,-0.67,-0.18,-22.65,-20.85,-78.90,31.14,86.519,
01/01/2000,00:00:01.83,251.46,915.04,-211.91,-0.55,0.18,1.10,-24.60,-18.45,-79.65,31.14,86.614,
01/01/2000,00:00:01.85,250.0,910.16,-210.94,-2.93,2.50,0.91,-23.40,-21.15,-78.60,31.14,86.042,
01/01/2000,00:00:01.86,259.28,911.62,-229.49,0.37,-0.18,1.59,-22.65,-19.20,-78.90,31.19,85.981,
01/01/2000,00:00:01.87,247.56,907.23,-217.77,-3.48,1.16,-0.49,-22.65,-19.20,-78.90,31.19,86.081,
01/01/2000,00:00:01.88,246.58,927.25,-207.52,-0.73,0.43,2.32,-22.65,-19.20,-78.90,31.24,86.176,
01/01/2000,00:00:01.89,249.02,911.13,-214.36,-1.95,0.37,-0.49,-24.75,-18.30,-79.05,31.14,86.268,
01/01/2000,00:00:01.90,259.77,911.13,-211.91,-0.06,-0.30,0.79,-23.25,-19.35,-79.05,31.34,86.356,
01/01/2000,00:00:01.91,248.05,921.88,-204.59,-4.09,2.74,1.10,-22.95,-19.05,-79.80,31.05,86.587,
01/01/2000,00:00:01.92,260.74,909.18,-203.13,-1.22,-0.85,4.70,-24.60,-19.20,-78.90,31.14,86.667,
01/01/2000,00:00:01.94,252.44,916.02,-214.36,-0.67,-1.04,0.18,-24.60,-18.90,-78.60,31.14,86.601,
01/01/2000,00:00:01.94,247.56,919.43,-219.73,-2.93,-1.83,-0.06,-24.0,-19.35,-78.30,31.14,86.817,
01/01/2000,00:00:01.96,259.28,917.48,-214.84,-1.04,0.18,3.54,-24.0,-19.35,-78.30,31.24,86.888,
01/01/2000,00:00:01.97,238.77,906.25,-214.84,0.43,-0.37,-1.65,-24.0,-19.35,-78.30,31.19,86.957,
01/01/2000,00:00:01.97,257.81,930.66,-219.24,-1.40,1.65,-0.37,-23.25,-17.40,-79.50,30.86,87.156,
01/01/2000,00:00:01.99,271.48,928.71,-212.89,0.73,-0.49,0.06,-23.25,-18.30,-79.05,31.38,87.218,
01/01/2000,00:00:02.00,267.09,919.92,-221.19,-2.62,0.30,-0.37,-23.40,-19.65,-78.15,31.19,87.278,
01/01/2000,00:00:02.00,251.95,921.39,-211.43,0.06,-2.38,1.71,-25.05,-19.95,-77.40,31.14,87.336,
01/01/2000,00:00:02.01,249.02,929.20,-226.07,-3.84,-0.98,0.61,-23.25,-18.60,-78.75,31.14,87.393,
01/01/2000,00:00:02.02,238.28,920.90,-217.29,1.71,-0.55,0.67,-21.45,-19.80,-79.50,31.05,87.571,
01/01/2000,00:00:02.03,240.23,915.53,-220.70,-0.79,0.55,-1.59,-21.45,-19.80,-79.50,31.14,87.622,
01/01/2000,00:00:02.04,264.65,917.48,-231.93,-2.13,0.61,0.37,-21.45,-19.80,-79.50,31.00,87.551,
01/01/2000,00:00:02.05,260.74,906.25,-235.84,-2.87,0.0,-2.80,-23.40,-19.20,-79.65,31.00,87.719,
01/01/2000,00:00:02.06,259.28,897.95,-208.01,-0.30,-1.40,2.26,-23.85,-19.65,-79.35,31.24,87.766,
01/01/2000,00:00:02.07,261.72,921.39,-226.56,-1.34,-0.06,7.80,-23.10,-19.20,-79.65,31.05,87.927,
01/01/2000,00:00:02.08,241.70,916.99,-221.19,-3.78,-0.91,3.11,-24.0,-20.25,-79.50,31.19,87.969,
01/01/2000,00:00:02.09,246.58,916.99,-221.68,0.24,-0.30,3.72,-22.50,-18.60,-79.50,31.05,87.898,
01/01/2000,00:00:02.10,261.23,908.69,-217.29,-4.15,2.20,0.61,-23.85,-20.40,-78.90,31.14,88.050,
01/01/2000,00:00:02.11,270.02,906.74,-211.43,-1.89,-0.24,0.91,-23.25,-17.85,-78.75,30.95,88.089,
01/01/2000,00:00:02.12,276.86,917.97,-222.66,1.71,-1.22,2.80,-23.25,-17.85,-78.75,31.38,88.127,
01/01/2000,00:00:02.14,253.42,927.73,-220.21,-3.41,0.06,1.71,-22.35,-18.90,-78.15,31.00,88.271,
01/01/2000,00:00:02.15,249.51,916.99,-209.47,-0.73,0.30,0.06,-22.35,-19.95,-77.85,31.24,88.200,
01/01/2000,00:00:02.16,276.37,915.53,-202.15,-2.62,1.40,-1.34,-23.85,-19.20,-78.90,31.38,88.339,
01/01/2000,00:00:02.17,267.09,928.71,-204.59,1.34,-0.98,3.05,-23.70,-19.05,-79.05,31.34,88.372,
01/01/2000,00:00:02.18,272.95,916.02,-210.45,1.10,0.0,1.83,-23.85,-19.95,-77.85,31.19,88.404,
01/01/2000,00:00:02.19,260.74,919.92,-213.87,-0.61,-1.40,-1.52,-23.70,-21.45,-79.80,31.19,88.536,
01/01/2000,00:00:02.20,257.32,914.55,-204.10,-0.18,-1.10,1.28,-22.65,-19.20,-79.35,30.95,88.565,
01/01/2000,00:00:02.21,247.07,926.76,-202.64,-2.56,0.91,1.10,-22.65,-19.20,-79.35,31.38,88.496,
01/01/2000,00:00:02.22,262.70,935.06,-213.38,-0.61,-3.23,1.22,-23.40,-20.40,-77.40,30.95,88.621,
01/01/2000,00:00:02.23,252.93,932.13,-226.07,-3.90,-0.91,-1.34,-23.25,-20.25,-78.30,31.19,88.649,
01/01/2000,00:00:02.24,229.49,941.41,-223.14,-2.01,1.10,-0.37,-23.40,-19.20,-80.10,31.05,88.675,
01/01/2000,00:00:02.25,233.40,937.01,-219.24,-1.71,0.91,1.59,-24.0,-19.80,-78.0,31.34,88.795,
01/01/2000,00:00:02.27,262.70,937.99,-203.13,-3.11,1.28,2.07,-23.85,-19.20,-79.35,31.24,88.727,
01/01/2000,00:00:02.28,252.44,945.80,-208.50,-4.27,3.17,3.41,-22.95,-20.25,-77.55,31.38,88.843,
01/01/2000,00:00:02.29,237.30,925.78,-201.17,-8.54,1.59,4.15,-24.0,-18.60,-78.30,31.24,88.866,
01/01/2000,00:00:02.30,238.28,921.39,-208.50,-5.61,2.38,5.91,-23.40,-20.40,-78.90,31.05,88.979,
01/01/2000,00:00:02.31,240.23,911.13,-192.38,-6.52,3.96,7.26,-23.40,-20.40,-78.90,31.24,89.0,
01/01/2000,00:00:02.32,266.60,898.44,-186.04,-5.0,3.96,9.94,-23.40,-20.40,-78.90,31.19,89.021,
01/01/2000,00:00:02.33,278.81,891.60,-187.50,-8.11,2.68,6.65,-23.25,-20.55,-78.75,31.05,88.694,
01/01/2000,00:00:02.35,277.83,876.46,-182.13,-8.84,3.11,9.33,-23.25,-20.25,-78.30,31.14,88.547,
01/01/2000,00:00:02.36,279.30,876.95,-183.11,-9.15,3.35,5.12,-24.30,-21.15,-78.60,31.24,88.656,
01/01/2000,00:00:02.37,278.81,874.02,-182.13,-11.71,4.76,11.16,-23.70,-18.60,-78.75,31.19,88.679,
01/01/2000,00:00:02.38,290.53,880.37,-176.76,-8.72,3.96,7.87,-23.10,-19.20,-77.85,31.14,88.702,
01/01/2000,00:00:02.39,300.29,888.18,-181.15,-12.80,2.80,8.48,-23.10,-19.20,-77.85,31.24,88.725,
01/01/2000,00:00:02.40,312.50,883.30,-185.06,-7.20,5.06,12.13,-23.10,-19.20,-77.85,31.14,88.747,
01/01/2000,00:00:02.41,319.34,891.60,-169.92,-7.93,2.56,7.99,-23.85,-19.20,-78.90,31.34,88.768,
01/01/2000,00:00:02.42,315.92,880.86,-182.13,-10.79,-1.04,11.46,-23.70,-19.05,-78.30,31.19,88.869,
01/01/2000,00:00:02.43,289.06,904.30,-172.36,-9.82,4.15,5.43,-24.30,-19.65,-77.85,31.24,88.889,
01/01/2000,00:00:02.45,274.41,922.36,-187.01,-11.16,0.55,5.37,-23.85,-19.20,-77.85,31.19,88.830,
01/01/2000,00:00:02.46,288.09,932.13,-190.92,-7.99,3.48,5.79,-24.45,-20.55,-78.75,31.34,88.928,
01/01/2000,00:00:02.47,322.27,925.29,-172.36,-6.59,3.23,7.13,-24.75,-19.80,-77.55,31.05,88.946,
01/01/2000,00:00:02.48,299.80,922.85,-172.85,-8.11,1.95,9.76,-24.75,-19.80,-77.55,31.14,88.965,
01/01/2000,00:00:02.49,292.97,942.87,-188.48,-6.46,-1.22,8.60,-24.75,-19.80,-77.55,30.95,89.059,
01/01/2000,00:00:02.50,283.20,937.99,-184.57,-10.18,0.24,5.98,-23.70,-18.60,-78.0,31.24,89.001,
01/01/2000,00:00:02.51,275.39,937.99,-187.99,-8.11,1.04,7.56,-24.75,-19.35,-78.0,31.19,89.092,
01/01/2000,00:00:02.52,279.30,933.11,-177.73,-7.44,0.85,6.40,-25.05,-18.45,-75.90,31.00,89.109,
01/01/2000,00:00:02.53,295.90,929.20,-180.66,-7.44,1.52,5.24,-24.0,-19.35,-77.55,30.95,89.198,
01/01/2000,00:00:02.54,292.48,940.43,-169.43,-7.20,1.40,5.37,-23.70,-20.55,-76.20,31.24,89.213,
01/01/2000,00:00:02.55,291.02,919.92,-173.34,-6.04,-1.46,8.05,-24.30,-19.95,-77.40,31.19,89.157,
