rtcDate,rtcTime,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,imu_degC,output_Hz,
01/01/2000,00:00:01.55,-653.81,213.87,-708.50,-0.91,0.43,-0.61,7.95,6.45,-78.90,31.67,333.33,
01/01/2000,00:00:01.61,-646.00,223.14,-711.91,-2.13,-0.18,-0.12,7.05,6.90,-77.40,31.72,37.04,
01/01/2000,00:00:01.62,-663.57,223.14,-711.91,-2.20,-1.16,1.04,8.55,6.60,-76.65,31.77,44.78,
01/01/2000,00:00:01.63,-659.18,205.08,-711.43,-1.59,-1.40,1.16,10.05,7.65,-78.45,31.58,51.95,
01/01/2000,00:00:01.64,-650.88,215.33,-712.40,-2.26,0.37,1.71,10.20,6.45,-78.60,31.67,57.47,
01/01/2000,00:00:01.65,-655.27,218.26,-726.07,-1.46,-0.98,0.24,10.20,6.45,-78.60,31.58,60.00,
01/01/2000,00:00:01.66,-660.16,230.47,-715.33,-2.07,0.24,-0.55,10.05,7.35,-77.70,31.67,63.64,
01/01/2000,00:00:01.67,-663.09,212.89,-720.70,-1.65,0.55,3.29,10.95,7.50,-79.65,31.86,67.23,
01/01/2000,00:00:01.68,-652.34,233.40,-716.31,0.55,-0.73,1.34,10.35,8.10,-78.00,31.72,69.77,
01/01/2000,00:00:01.69,-654.30,224.61,-717.77,-1.77,-0.85,3.48,9.30,6.90,-78.75,31.72,72.46,
01/01/2000,00:00:01.70,-655.76,241.21,-707.52,-1.83,-1.22,-0.55,9.30,6.90,-78.75,31.91,74.32,
01/01/2000,00:00:01.71,-652.83,231.45,-709.47,-0.55,1.95,1.28,9.45,5.55,-77.85,31.67,74.07,
01/01/2000,00:00:01.72,-653.32,237.30,-715.33,-0.12,2.38,0.73,8.70,6.45,-78.60,31.67,76.02,
01/01/2000,00:00:01.73,-647.95,225.10,-710.94,-0.49,0.85,3.11,9.45,8.25,-78.30,31.91,77.35,
01/01/2000,00:00:01.74,-639.65,233.89,-712.89,0.67,-2.01,0.43,9.45,8.25,-78.30,31.53,78.95,
01/01/2000,00:00:01.75,-649.41,219.24,-719.24,-0.24,-0.79,1.22,8.85,6.90,-78.45,31.48,80.00,
01/01/2000,00:00:01.77,-643.55,211.91,-711.43,0.85,-1.52,-1.34,9.75,7.20,-77.55,31.72,79.81,
01/01/2000,00:00:01.78,-666.99,219.73,-702.64,-0.79,-0.37,-1.04,10.05,6.60,-78.75,31.53,80.72,
01/01/2000,00:00:01.78,-647.95,225.10,-708.01,-2.20,-0.67,0.55,10.95,7.20,-78.30,31.72,81.55,
01/01/2000,00:00:01.80,-657.71,216.80,-712.89,1.40,0.00,-0.49,10.95,7.20,-78.30,31.77,82.64,
01/01/2000,00:00:01.80,-640.14,235.35,-719.73,1.65,0.67,1.16,10.05,5.10,-79.20,31.72,83.67,
01/01/2000,00:00:01.82,-649.41,213.38,-715.82,0.18,-1.65,-2.07,8.70,7.50,-78.60,31.48,84.29,
01/01/2000,00:00:01.83,-654.79,218.26,-719.73,1.95,0.18,0.61,9.75,6.45,-78.60,31.91,83.64,
01/01/2000,00:00:01.84,-655.27,206.54,-710.94,-0.30,-0.85,-1.28,9.75,6.45,-78.60,31.58,84.51,
01/01/2000,00:00:01.85,-657.71,221.19,-707.52,0.18,-3.78,0.06,9.75,6.45,-78.60,31.72,85.03,
01/01/2000,00:00:01.86,-641.60,213.87,-723.14,0.85,-1.22,0.18,8.70,6.75,-77.55,31.72,85.81,
01/01/2000,00:00:01.87,-656.25,227.54,-714.36,0.61,-0.73,0.61,10.05,6.60,-78.75,31.53,86.26,
01/01/2000,00:00:01.88,-654.79,209.96,-713.38,-0.12,0.67,-0.49,8.70,6.45,-77.55,31.86,85.89,
01/01/2000,00:00:01.90,-654.79,209.96,-709.96,-1.71,-0.24,-0.91,8.70,6.45,-77.55,31.67,86.31,
01/01/2000,00:00:01.90,-652.34,226.07,-699.22,-0.91,-0.91,-1.16,8.70,6.45,-77.55,31.58,86.71,
01/01/2000,00:00:01.91,-660.64,221.19,-701.17,-2.26,-1.46,0.61,9.00,7.20,-80.10,31.91,87.32,
01/01/2000,00:00:01.92,-663.57,217.77,-697.75,0.43,-2.07,-0.85,10.35,8.10,-78.75,31.72,87.91,
01/01/2000,00:00:01.94,-662.60,218.75,-708.01,-1.10,-1.22,-0.55,9.30,7.35,-77.70,31.91,87.30,
01/01/2000,00:00:01.94,-655.27,214.84,-708.01,0.18,0.18,-0.12,9.30,7.35,-77.70,31.86,87.63,
01/01/2000,00:00:01.96,-665.04,219.24,-719.24,2.74,-2.68,1.83,10.05,6.90,-78.00,31.67,88.16,
01/01/2000,00:00:01.96,-651.86,205.57,-703.12,0.98,-0.06,1.59,10.50,6.75,-79.35,31.72,88.45,
