rtcDate,rtcTime,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,imu_degC,output_Hz,
01/01/2000,00:00:01.33,194.82,909.18,-135.25,-11.52,-1.59,5.98,-25.05,-13.65,-71.55,31.05,500.0,
01/01/2000,00:00:01.38,235.35,938.48,-127.44,-10.18,6.83,1.65,-26.85,-15.30,-70.80,31.00,37.736,
01/01/2000,00:00:01.39,213.38,937.50,-153.81,-11.16,6.83,-4.27,-24.30,-13.65,-72.90,31.05,46.154,
01/01/2000,00:00:01.40,204.10,915.53,-154.30,-12.62,3.84,-3.54,-25.20,-13.95,-70.50,31.34,52.632,
01/01/2000,00:00:01.41,185.06,919.43,-160.64,-12.56,9.27,-5.43,-23.25,-14.25,-72.45,31.24,57.471,
01/01/2000,00:00:01.42,186.04,925.78,-177.25,-16.10,11.28,-5.12,-23.40,-14.85,-71.85,31.19,60.606,
01/01/2000,00:00:01.43,191.89,907.23,-179.69,-13.78,14.88,-2.87,-23.40,-14.85,-71.85,31.24,64.220,
01/01/2000,00:00:01.44,204.59,934.57,-170.90,-14.45,17.56,-8.84,-23.40,-14.85,-71.85,31.05,66.667,
01/01/2000,00:00:01.46,247.56,924.32,-164.06,-15.43,20.43,-11.65,-22.95,-13.05,-70.50,31.14,68.702,
01/01/2000,00:00:01.47,278.32,900.88,-159.67,-14.21,17.07,-10.91,-22.20,-12.30,-72.0,31.00,70.423,
01/01/2000,00:00:01.48,273.44,913.09,-145.02,-16.28,17.38,-14.27,-22.95,-12.75,-70.50,31.14,71.429,
01/01/2000,00:00:01.49,274.90,901.37,-155.76,-21.04,19.88,-19.15,-24.45,-13.95,-69.75,31.14,72.727,
01/01/2000,00:00:01.50,292.48,886.72,-143.55,-17.56,22.26,-21.28,-22.50,-13.50,-70.50,31.14,73.864,
01/01/2000,00:00:01.51,296.39,885.25,-121.58,-17.32,22.38,-24.21,-23.40,-12.15,-69.60,31.19,74.866,
01/01/2000,00:00:01.52,258.79,900.39,-60.55,-17.87,24.51,-24.39,-22.65,-12.60,-69.30,31.14,75.758,
01/01/2000,00:00:01.53,163.09,953.61,-11.23,-15.98,23.78,-26.71,-22.65,-12.60,-69.30,31.05,76.190,
01/01/2000,00:00:01.55,78.13,1004.39,35.16,-14.70,26.04,-24.82,-22.65,-13.65,-69.60,31.14,76.923,
01/01/2000,00:00:01.55,5.86,1063.96,64.94,-14.57,26.89,-22.13,-22.35,-12.90,-68.85,31.00,77.922,
01/01/2000,00:00:01.57,-87.89,1125.0,73.73,-11.52,17.26,-20.79,-22.35,-12.60,-68.10,31.19,78.512,
01/01/2000,00:00:01.58,-179.20,1099.12,21.97,-13.54,12.01,-18.17,-20.85,-12.90,-68.85,31.14,79.051,
01/01/2000,00:00:01.59,-240.72,1077.15,15.63,-14.02,10.43,-10.55,-22.35,-12.60,-68.10,31.34,79.245,
01/01/2000,00:00:01.60,-282.71,1070.80,-5.37,-14.63,13.05,-9.57,-21.45,-11.55,-68.25,30.86,79.710,
01/01/2000,00:00:01.61,-192.87,1072.27,-4.39,-10.43,19.88,0.12,-23.25,-11.55,-69.0,31.14,80.139,
01/01/2000,00:00:01.62,-54.69,1055.66,35.64,-6.89,21.34,3.90,-23.25,-11.55,-69.0,31.14,80.808,
01/01/2000,00:00:01.63,51.76,1039.55,58.11,-8.84,26.59,2.32,-23.25,-11.55,-69.0,31.14,81.169,
01/01/2000,00:00:01.64,140.14,1033.20,100.10,-7.01,22.20,5.18,-21.75,-11.55,-67.50,31.19,81.761,
