rtcDate,rtcTime,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,imu_degC,output_Hz,
01/01/2000,00:00:01.33,-155.76,891.11,-379.88,-1.59,1.71,2.26,16.05,-20.25,-76.95,32.10,333.333,
01/01/2000,00:00:01.36,-140.63,887.70,-401.37,-1.10,4.57,-1.22,13.65,-22.80,-74.40,32.10,52.632,
01/01/2000,00:00:01.38,-150.39,893.55,-390.63,0.67,-1.46,3.84,14.70,-19.65,-76.35,32.10,60.0,
01/01/2000,00:00:01.39,-155.27,876.95,-394.04,-2.50,-0.30,1.95,16.20,-20.85,-75.90,31.91,65.574,
01/01/2000,00:00:01.40,-187.99,876.46,-368.65,-1.46,2.07,4.39,16.50,-19.80,-77.55,31.91,70.423,
01/01/2000,00:00:01.41,-174.80,881.84,-374.02,-0.67,0.06,0.37,16.50,-19.80,-77.55,31.91,72.289,
01/01/2000,00:00:01.42,-156.25,875.0,-375.0,1.34,1.77,1.71,16.50,-19.80,-77.55,32.25,75.269,
01/01/2000,00:00:01.43,-151.86,875.0,-363.28,0.12,0.49,4.21,17.25,-21.45,-75.75,32.20,76.923,
01/01/2000,00:00:01.44,-128.91,879.88,-374.02,-2.44,0.0,-2.74,16.65,-19.95,-77.85,32.01,78.947,
01/01/2000,00:00:01.45,-141.60,877.44,-374.51,-5.24,3.78,-2.38,16.65,-21.15,-76.65,32.29,80.0,
01/01/2000,00:00:01.46,-159.18,888.18,-376.46,-1.28,-0.91,1.65,16.95,-22.05,-77.10,32.10,80.882,
01/01/2000,00:00:01.47,-163.09,888.67,-378.42,-2.13,0.06,-1.28,15.75,-21.45,-76.20,32.25,81.633,
01/01/2000,00:00:01.48,-184.08,891.11,-391.11,-0.06,-1.59,-0.91,17.55,-19.05,-77.55,32.06,82.278,
01/01/2000,00:00:01.49,-199.71,884.28,-389.65,-0.49,1.22,-1.71,16.50,-22.50,-77.25,32.10,83.333,
01/01/2000,00:00:01.51,-176.27,880.86,-387.21,-1.10,4.33,-2.50,16.50,-22.50,-77.25,32.01,83.799,
01/01/2000,00:00:01.51,-156.74,883.79,-385.74,0.30,3.96,-0.91,16.20,-22.05,-77.10,32.25,84.211,
01/01/2000,00:00:01.53,-153.32,888.18,-375.0,0.43,2.38,-0.85,16.50,-21.0,-76.50,32.25,84.577,
01/01/2000,00:00:01.54,-133.30,886.72,-382.32,-0.85,-0.18,0.24,17.55,-20.55,-75.45,32.10,84.906,
01/01/2000,00:00:01.55,-137.70,886.23,-367.68,-0.61,-4.45,-0.91,17.70,-20.85,-77.85,32.10,85.586,
01/01/2000,00:00:01.56,-169.92,882.32,-371.09,1.22,-4.88,-0.73,16.20,-19.20,-77.40,32.20,85.837,
01/01/2000,00:00:01.57,-185.06,883.30,-375.0,-2.87,-2.32,-1.52,16.50,-20.55,-76.95,32.01,86.066,
01/01/2000,00:00:01.58,-188.48,878.91,-375.0,-0.06,0.24,-3.23,17.40,-19.95,-75.90,32.20,85.938,
01/01/2000,00:00:01.59,-200.20,874.51,-377.93,-0.85,5.0,-1.71,17.40,-19.95,-75.90,32.29,86.466,
01/01/2000,00:00:01.60,-173.83,873.54,-373.05,-1.89,4.45,-1.65,16.65,-20.85,-75.90,32.25,86.643,
01/01/2000,00:00:01.61,-138.18,875.49,-363.28,-0.85,4.33,1.34,16.95,-19.95,-75.60,32.29,87.108,
01/01/2000,00:00:01.63,-141.11,874.51,-389.65,0.79,1.89,1.16,16.20,-20.85,-76.65,31.77,87.248,
01/01/2000,00:00:01.64,-154.30,874.51,-373.54,-0.85,1.59,3.17,17.40,-19.65,-77.10,32.10,87.097,
01/01/2000,00:00:01.65,-156.74,875.49,-373.54,0.24,-1.28,-0.18,15.75,-21.45,-77.55,32.39,87.500,
01/01/2000,00:00:01.66,-175.29,885.25,-361.33,0.06,-0.30,-1.22,15.75,-22.20,-75.75,32.25,87.613,
01/01/2000,00:00:01.67,-163.09,896.48,-363.28,-1.77,1.52,1.16,15.30,-19.35,-76.95,31.91,87.719,
01/01/2000,00:00:01.68,-158.20,883.30,-365.23,-0.55,0.55,-0.73,15.30,-19.35,-76.95,32.39,88.068,
01/01/2000,00:00:01.69,-166.50,885.74,-367.68,-1.65,4.39,-3.11,15.30,-19.35,-76.95,32.25,87.912,
01/01/2000,00:00:01.70,-168.46,884.77,-385.25,0.12,3.78,-0.30,16.95,-20.85,-76.35,31.91,88.235,
01/01/2000,00:00:01.71,-169.43,869.63,-370.61,3.17,0.18,0.12,17.55,-21.0,-77.25,32.25,88.312,
01/01/2000,00:00:01.72,-166.50,871.09,-374.51,-1.10,4.15,2.20,17.40,-21.60,-77.40,32.06,88.384,
01/01/2000,00:00:01.73,-160.16,869.14,-368.16,0.67,2.50,3.66,16.05,-21.0,-76.20,32.29,88.670,
01/01/2000,00:00:01.74,-141.60,870.61,-388.67,-2.01,3.35,-1.52,15.90,-20.85,-77.10,32.25,88.729,
01/01/2000,00:00:01.75,-158.69,888.18,-382.81,-2.87,5.18,-1.04,17.40,-19.65,-77.10,32.25,88.785,
01/01/2000,00:00:01.76,-154.79,902.34,-392.58,2.38,0.91,-0.73,17.40,-19.65,-77.10,32.10,88.838,
01/01/2000,00:00:01.78,-164.55,895.51,-387.70,0.06,3.35,-2.44,17.40,-19.65,-77.10,32.10,89.087,
01/01/2000,00:00:01.78,-169.92,897.46,-394.04,-1.34,3.66,-2.68,17.55,-20.55,-77.25,32.10,89.130,
01/01/2000,00:00:01.80,-158.69,900.39,-384.28,1.22,1.46,-3.29,17.40,-20.85,-77.10,32.25,89.172,
01/01/2000,00:00:01.81,-151.37,888.18,-390.63,1.46,2.44,0.79,16.50,-19.05,-77.25,32.29,89.212,
01/01/2000,00:00:01.82,-151.86,893.55,-375.98,1.34,0.98,0.98,17.25,-19.80,-77.25,32.20,89.249,
01/01/2000,00:00:01.83,-144.53,886.23,-381.35,0.73,2.20,1.10,17.25,-19.05,-76.50,32.01,89.463,
01/01/2000,00:00:01.84,-152.83,880.86,-382.81,-1.77,1.10,2.44,16.50,-19.80,-77.55,32.10,88.803,
01/01/2000,00:00:01.86,-165.53,874.51,-374.51,-1.46,0.06,-0.24,16.20,-21.15,-77.40,32.06,88.512,
01/01/2000,00:00:01.87,-158.20,890.63,-370.12,-3.60,0.61,1.10,15.90,-19.95,-77.40,32.29,88.561,
