rtcDate,rtcTime,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,imu_degC,output_Hz,
01/01/2000,00:00:01.73,-6.84,955.08,-254.39,-2.74,3.72,3.35,8.40,16.95,-63.15,32.92,333.33,
01/01/2000,00:00:01.78,-2.44,944.34,-253.91,0.55,-2.50,-1.16,10.95,16.65,-60.15,33.06,37.74,
01/01/2000,00:00:01.80,-34.18,941.41,-251.95,-0.85,-0.79,4.09,8.70,16.95,-63.45,32.82,45.45,
01/01/2000,00:00:01.80,-45.41,948.73,-257.32,-0.67,3.84,0.30,11.10,18.75,-62.55,32.73,52.63,
01/01/2000,00:00:01.82,-37.60,927.25,-250.49,-1.10,0.98,0.67,11.10,18.75,-62.55,33.06,58.82,
01/01/2000,00:00:01.83,-22.46,956.05,-246.09,-2.32,2.80,1.52,9.45,16.65,-62.40,33.11,60.61,
01/01/2000,00:00:01.84,-12.21,957.03,-255.37,-0.98,0.73,-0.49,9.30,18.30,-62.85,32.97,64.22,
01/01/2000,00:00:01.85,3.91,949.71,-250.00,-0.55,1.59,1.04,10.50,18.60,-63.15,32.92,67.80,
01/01/2000,00:00:01.86,-17.58,950.20,-248.54,0.18,0.06,1.52,8.55,18.75,-63.30,33.06,70.31,
01/01/2000,00:00:01.87,-17.09,944.34,-255.37,0.55,-0.37,0.00,8.55,18.75,-63.30,33.06,72.99,
01/01/2000,00:00:01.88,-20.02,939.94,-248.05,-1.52,1.89,1.34,11.85,16.80,-64.35,32.77,74.83,
01/01/2000,00:00:01.90,-18.07,935.55,-225.59,-1.83,0.61,1.83,10.35,17.55,-63.30,33.06,74.53,
01/01/2000,00:00:01.90,-9.77,945.31,-240.23,-1.77,0.18,-1.46,8.55,16.80,-62.85,32.63,76.47,
01/01/2000,00:00:01.91,-12.70,956.05,-254.88,-1.83,1.52,0.06,8.55,16.80,-62.85,33.11,77.78,
01/01/2000,00:00:01.92,5.37,955.57,-254.39,-0.61,-0.24,1.40,8.55,16.80,-62.85,33.06,79.37,
01/01/2000,00:00:01.93,15.62,961.43,-267.09,-1.04,0.00,0.73,10.05,16.80,-64.65,33.06,80.40,
01/01/2000,00:00:01.95,-9.28,938.48,-254.88,1.16,0.55,1.59,9.45,16.65,-64.50,33.06,80.19,
01/01/2000,00:00:01.96,-10.25,949.22,-250.00,0.79,-0.98,0.37,9.45,16.65,-64.50,32.92,81.08,
01/01/2000,00:00:01.96,-30.27,959.96,-253.42,0.12,-0.12,0.98,10.20,18.60,-63.75,33.11,81.90,
01/01/2000,00:00:01.97,-24.41,956.05,-240.23,0.24,2.32,1.16,10.95,18.60,-63.15,33.06,82.99,
01/01/2000,00:00:01.98,-36.13,967.29,-257.81,-2.01,4.94,1.52,8.85,18.30,-63.30,33.11,84.00,
01/01/2000,00:00:01.99,-8.30,966.80,-255.86,-2.50,4.51,-2.01,10.95,18.15,-63.15,32.92,84.62,
01/01/2000,00:00:02.00,-2.44,954.10,-253.91,-1.40,3.29,2.38,10.95,18.15,-63.15,33.16,83.94,
01/01/2000,00:00:02.01,5.37,943.36,-255.37,-1.22,1.52,-1.89,10.05,19.05,-63.30,33.06,84.81,
01/01/2000,00:00:02.02,20.02,950.68,-254.39,-1.34,-0.06,2.44,8.85,18.30,-64.35,32.97,85.32,
01/01/2000,00:00:02.03,10.74,946.78,-253.91,-0.67,-2.56,2.38,10.20,18.60,-63.75,33.30,86.09,
01/01/2000,00:00:02.04,3.91,947.27,-257.32,-0.06,-3.84,1.28,10.35,19.05,-64.35,33.06,86.54,
01/01/2000,00:00:02.05,-21.48,945.31,-270.02,-0.73,-1.10,-0.06,10.35,19.05,-64.35,33.06,85.89,
01/01/2000,00:00:02.06,-27.83,941.89,-265.14,1.16,-1.71,-0.67,9.30,17.25,-62.55,33.11,86.57,
01/01/2000,00:00:02.07,-26.37,931.15,-254.39,0.55,1.89,0.61,9.45,18.15,-62.70,33.11,86.96,
01/01/2000,00:00:02.08,-22.95,940.92,-251.46,0.61,3.72,-0.67,10.05,16.80,-62.55,33.11,87.57,
01/01/2000,00:00:02.09,-26.37,941.41,-250.00,-0.67,3.23,-0.85,9.45,17.40,-63.75,33.06,87.91,
01/01/2000,00:00:02.10,-20.51,957.52,-253.91,-0.79,3.35,0.55,9.45,17.40,-63.75,33.11,88.47,
01/01/2000,00:00:02.11,-2.93,943.85,-257.32,0.18,4.33,-0.55,8.85,18.30,-62.55,32.97,87.86,
01/01/2000,00:00:02.12,9.77,951.17,-258.30,-2.20,1.95,-0.12,10.35,19.05,-65.10,33.11,88.16,
01/01/2000,00:00:02.13,23.44,932.62,-239.26,-3.11,1.40,0.85,9.00,18.90,-63.15,32.77,88.67,
01/01/2000,00:00:02.14,18.55,929.69,-254.39,-2.26,-1.22,0.43,9.00,18.90,-63.15,33.16,88.94,
01/01/2000,00:00:02.15,21.00,938.96,-235.84,-1.10,-1.10,0.55,10.35,18.30,-63.60,33.16,89.41,
01/01/2000,00:00:02.17,-9.28,940.43,-250.49,1.04,-2.87,2.44,9.30,16.80,-62.55,33.35,88.84,
01/01/2000,00:00:02.18,-35.16,947.27,-260.25,-1.59,-0.67,0.18,9.45,17.40,-63.15,33.06,89.09,
01/01/2000,00:00:02.19,-16.60,943.85,-266.11,-0.12,-0.98,1.34,9.45,17.40,-63.15,32.77,89.52,
01/01/2000,00:00:02.20,-21.00,942.87,-250.00,-0.98,-0.24,-0.79,10.65,16.80,-63.60,33.11,89.74,
01/01/2000,00:00:02.20,-12.21,956.54,-250.49,-1.52,3.23,-1.40,10.20,18.15,-62.40,33.06,90.15,
01/01/2000,00:00:02.21,0.98,934.57,-249.51,-1.04,2.26,1.22,10.50,19.35,-63.45,33.35,90.35,
01/01/2000,00:00:02.23,5.37,928.22,-251.95,-0.18,1.77,3.17,10.05,17.25,-62.25,33.25,90.00,
01/01/2000,00:00:02.24,1.95,946.78,-255.86,-0.49,-1.16,4.21,10.05,17.25,-62.25,32.82,90.20,
01/01/2000,00:00:02.27,-38.57,928.71,-253.91,2.80,0.06,0.67,9.00,17.70,-62.40,33.11,86.24,
01/01/2000,00:00:02.29,-14.16,932.13,-239.75,-2.13,3.41,-0.49,9.00,17.70,-62.40,33.11,86.02,
01/01/2000,00:00:02.30,0.98,944.34,-244.14,-1.83,2.13,-0.06,10.20,18.60,-64.50,33.06,86.27,
01/01/2000,00:00:02.31,4.39,956.05,-244.14,-1.46,-0.79,-0.24,9.00,17.40,-62.70,33.06,86.06,
01/01/2000,00:00:02.32,5.86,966.31,-242.19,-2.56,1.46,-0.73,9.75,17.40,-63.15,32.77,86.29,
01/01/2000,00:00:02.33,17.09,956.05,-251.46,-0.24,-0.37,0.85,9.75,19.35,-65.55,33.25,86.67,
01/01/2000,00:00:02.34,9.28,950.20,-244.63,-0.91,0.18,0.61,9.75,19.35,-65.55,33.11,86.89,
01/01/2000,00:00:02.35,16.11,950.68,-252.44,-0.30,0.37,-2.44,10.20,18.15,-62.70,32.92,87.24,
01/01/2000,00:00:02.36,-6.84,949.71,-249.51,-0.85,1.59,-1.71,10.05,18.30,-62.55,33.11,87.44,
01/01/2000,00:00:02.37,1.95,964.84,-259.77,-1.16,-2.20,2.07,8.40,18.15,-62.70,33.11,87.09,
01/01/2000,00:00:02.38,-6.84,948.73,-253.42,-1.10,0.24,2.26,8.40,18.15,-62.70,33.06,87.42,
01/01/2000,00:00:02.39,-8.79,955.08,-245.61,-1.10,0.55,1.16,8.70,18.15,-62.70,33.25,87.61,
01/01/2000,00:00:02.40,15.62,951.17,-242.68,-2.32,2.01,-1.22,7.80,17.25,-64.05,32.97,87.93,
01/01/2000,00:00:02.41,13.18,959.96,-229.49,-0.55,1.89,-2.13,9.60,17.25,-64.35,33.11,88.11,
01/01/2000,00:00:02.42,5.37,965.33,-222.66,-1.22,2.50,-1.77,9.60,17.25,-64.35,33.25,87.90,
01/01/2000,00:00:02.43,2.44,961.91,-244.63,0.73,0.24,-0.43,8.85,18.00,-62.55,32.92,88.07,
01/01/2000,00:00:02.44,19.53,943.85,-244.63,0.98,1.65,0.98,9.00,18.15,-63.45,33.30,88.24,
01/01/2000,00:00:02.45,2.93,961.91,-262.70,0.24,1.59,0.06,9.60,17.55,-63.30,33.11,88.52,
01/01/2000,00:00:02.46,8.79,946.78,-252.93,-0.18,-1.77,0.12,8.10,17.55,-64.05,33.35,88.80,
01/01/2000,00:00:02.47,-6.84,950.68,-239.75,-0.79,0.91,-0.18,8.10,17.55,-64.05,32.77,88.95,
01/01/2000,00:00:02.48,17.09,940.92,-235.35,-0.24,0.12,-2.87,8.40,16.65,-63.45,33.25,88.62,
01/01/2000,00:00:02.49,13.67,935.55,-233.89,1.04,1.83,1.10,9.30,17.55,-63.30,32.97,88.89,
01/01/2000,00:00:02.50,6.35,948.24,-248.05,1.46,1.59,0.61,8.55,18.30,-63.60,33.25,89.03,
01/01/2000,00:00:02.51,24.41,947.75,-247.07,-0.18,0.18,-1.52,11.25,18.90,-63.45,33.25,89.29,
01/01/2000,00:00:02.52,21.97,939.94,-240.72,-1.22,0.61,-1.95,11.25,18.90,-63.45,33.16,89.42,
01/01/2000,00:00:02.54,31.74,948.73,-251.95,-0.91,-0.30,-1.95,8.40,17.40,-62.70,33.11,89.22,
01/01/2000,00:00:02.55,7.32,943.36,-271.00,2.56,-1.59,0.43,10.65,18.00,-63.60,33.11,89.35,
01/01/2000,00:00:02.56,-7.32,952.64,-265.14,-2.50,-2.38,-0.18,10.35,16.50,-63.60,33.11,89.48,
01/01/2000,00:00:02.57,-26.86,943.36,-259.77,0.12,-2.07,1.22,10.35,16.50,-63.60,33.11,89.71,
01/01/2000,00:00:02.58,-32.71,956.54,-268.07,0.85,-0.18,-0.61,10.35,16.50,-63.60,33.30,89.83,
01/01/2000,00:00:02.58,-35.64,950.20,-264.16,1.59,2.68,1.10,7.95,16.20,-63.75,33.06,90.06,
01/01/2000,00:00:02.60,-13.67,956.05,-266.11,1.10,1.52,3.35,8.70,16.65,-63.75,33.11,89.76,
01/01/2000,00:00:02.61,-13.67,942.38,-258.79,-0.67,5.85,3.48,9.00,17.40,-63.45,32.97,89.98,
01/01/2000,00:00:02.62,-3.42,927.73,-243.65,-0.73,7.07,-0.12,9.00,17.40,-63.45,33.11,90.09,
01/01/2000,00:00:02.63,15.62,918.95,-231.93,-0.98,2.01,2.13,10.05,18.75,-64.35,33.25,90.30,
01/01/2000,00:00:02.64,19.04,937.50,-214.36,-1.10,5.00,3.23,8.55,17.55,-63.30,33.30,90.41,
01/01/2000,00:00:02.65,31.74,965.33,-228.03,0.61,1.04,3.72,8.70,17.70,-61.65,33.35,90.12,
01/01/2000,00:00:02.66,28.32,963.38,-241.70,-0.12,3.48,2.07,8.70,17.70,-61.65,33.25,90.32,
01/01/2000,00:00:02.67,21.48,957.03,-238.28,0.18,1.40,1.89,9.75,17.70,-64.20,33.11,90.43,
01/01/2000,00:00:02.68,-3.42,951.66,-242.19,1.89,-0.30,3.29,9.75,19.35,-64.20,33.25,90.62,
01/01/2000,00:00:02.69,-7.81,932.62,-241.70,0.79,0.61,1.71,9.00,18.15,-63.75,33.25,90.72,
01/01/2000,00:00:02.70,-10.74,929.20,-245.61,-0.73,1.46,3.72,10.20,17.40,-63.75,33.06,90.91,
01/01/2000,00:00:02.71,4.39,958.50,-251.95,-0.06,2.07,0.79,10.20,17.40,-63.75,33.11,90.63,
01/01/2000,00:00:02.72,18.07,939.94,-241.21,-2.74,1.46,3.29,8.40,18.15,-63.15,33.35,90.82,
01/01/2000,00:00:02.73,13.18,971.68,-245.61,0.37,2.56,-0.55,9.75,16.95,-64.95,32.97,90.91,
01/01/2000,00:00:02.74,23.93,961.43,-248.05,0.06,-0.18,0.73,8.70,18.60,-63.15,33.11,91.09,
01/01/2000,00:00:02.77,-2.93,959.47,-267.09,0.85,-0.18,-0.18,8.40,16.95,-63.15,33.06,89.25,
01/01/2000,00:00:02.79,-8.79,958.98,-269.04,-0.30,-0.98,-2.07,8.40,18.15,-63.45,33.16,89.10,
01/01/2000,00:00:02.80,10.25,954.59,-266.60,0.55,-0.98,-3.35,8.85,18.00,-62.85,33.35,88.87,
01/01/2000,00:00:02.81,19.53,967.29,-258.79,0.79,0.24,-3.05,8.85,18.00,-62.85,33.16,89.05,
01/01/2000,00:00:02.82,11.72,955.57,-250.00,2.87,-0.37,-2.50,9.00,19.35,-64.95,32.97,89.15,
01/01/2000,00:00:02.83,-0.98,946.78,-251.46,-1.04,0.49,-0.61,8.85,19.05,-63.60,33.44,89.33,
01/01/2000,00:00:02.84,-8.79,945.31,-252.93,-1.34,-2.20,-0.85,10.95,17.70,-63.75,33.30,89.43,
01/01/2000,00:00:02.85,8.79,938.48,-249.51,-0.55,-0.67,-4.33,7.95,17.40,-64.95,33.30,89.29,
01/01/2000,00:00:02.86,30.76,944.34,-252.44,-0.18,1.77,-1.46,7.95,17.40,-64.95,33.30,89.38,
01/01/2000,00:00:02.87,16.60,938.96,-250.98,0.24,-0.67,-4.02,9.60,18.00,-62.55,33.16,89.47,
01/01/2000,00:00:02.88,22.95,935.55,-244.14,0.43,-2.44,-0.43,10.35,18.00,-63.30,33.25,89.64,
01/01/2000,00:00:02.89,19.53,945.31,-242.19,-0.30,-1.34,-0.67,9.60,17.55,-62.55,33.11,89.73,
01/01/2000,00:00:02.90,21.97,943.85,-267.09,0.55,-3.66,-1.46,7.95,18.15,-62.70,33.11,89.59,
01/01/2000,00:00:02.91,19.53,950.20,-262.21,1.04,-2.80,-0.06,9.30,18.30,-64.05,33.11,89.68,
01/01/2000,00:00:02.92,-10.74,930.66,-269.04,0.24,-4.57,-0.85,10.50,17.40,-64.50,33.06,89.77,
01/01/2000,00:00:02.93,-3.91,922.36,-255.37,1.65,-1.65,-2.62,9.60,18.30,-64.05,33.25,89.93,
01/01/2000,00:00:02.94,-16.60,930.66,-255.86,0.55,-0.30,-2.68,9.60,18.30,-64.05,33.16,90.08,
01/01/2000,00:00:02.95,3.91,937.50,-254.39,-0.98,2.20,0.43,10.50,18.60,-63.75,33.30,90.16,
01/01/2000,00:00:02.97,10.25,925.29,-251.46,-1.52,2.62,-0.85,8.40,16.95,-62.40,33.16,89.95,
01/01/2000,00:00:02.98,9.77,948.73,-237.79,-3.35,0.79,-1.95,9.60,19.05,-63.60,33.25,90.10,
01/01/2000,00:00:02.98,35.64,959.47,-246.58,-1.71,-0.18,-0.85,9.30,18.00,-64.35,33.30,90.18,
01/01/2000,00:00:02.99,34.67,938.48,-245.12,-0.49,-1.95,1.04,9.30,18.00,-64.35,33.25,90.33,
01/01/2000,00:00:03.00,23.44,950.20,-245.61,-0.43,-3.60,-0.49,9.60,16.80,-62.85,33.35,90.41,
01/01/2000,00:00:03.02,24.90,956.54,-249.51,-1.34,-4.09,0.49,10.35,17.25,-63.30,33.11,90.20,
01/01/2000,00:00:03.03,2.93,955.08,-262.21,0.00,-5.79,-1.52,7.20,17.40,-63.15,33.11,90.35,
01/01/2000,00:00:03.04,-8.30,928.71,-265.62,1.46,-5.67,1.52,10.35,18.00,-64.35,33.16,90.42,
01/01/2000,00:00:03.05,-3.91,948.24,-256.84,-1.40,-4.57,-0.91,10.35,18.00,-64.35,33.25,90.56,
01/01/2000,00:00:03.06,-1.95,952.15,-247.07,-1.46,-3.90,-2.26,10.95,18.15,-63.45,33.11,90.63,
01/01/2000,00:00:03.07,-14.65,947.27,-242.19,-2.56,-1.40,-2.13,10.95,17.40,-63.45,32.97,90.77,
01/01/2000,00:00:03.08,-1.95,962.40,-262.70,-2.07,-0.85,-2.26,9.45,17.40,-62.70,33.06,90.57,
01/01/2000,00:00:03.09,-14.16,979.98,-249.02,-0.24,-1.46,-0.43,9.45,17.40,-62.70,33.35,90.64,
01/01/2000,00:00:03.10,-6.35,960.45,-255.86,-2.87,0.85,-3.05,8.55,17.25,-63.30,33.35,90.78,
01/01/2000,00:00:03.11,5.37,959.47,-260.74,-2.26,-1.40,-0.43,9.60,18.30,-65.10,33.11,90.84,
01/01/2000,00:00:03.12,-20.51,959.47,-256.84,0.67,-1.28,0.12,7.80,18.30,-64.35,33.16,90.97,
01/01/2000,00:00:03.13,-21.00,941.89,-264.65,0.98,-1.77,-1.34,7.80,18.30,-64.35,33.11,90.78,
