rtcDate,rtcTime,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,imu_degC,output_Hz,
01/01/2000,00:00:01.59,-176.27,946.78,-258.30,6.77,-7.13,-1.16,-11.40,20.55,-65.10,32.73,333.33,
01/01/2000,00:00:01.64,-131.84,931.64,-268.07,3.11,-4.63,5.37,-12.90,18.75,-65.85,33.11,37.74,
01/01/2000,00:00:01.66,-137.70,932.62,-276.37,1.95,-4.15,1.04,-12.15,19.80,-65.40,32.92,45.45,
01/01/2000,00:00:01.66,-152.83,923.34,-268.55,1.89,-4.27,2.13,-12.00,19.65,-65.55,32.82,52.63,
01/01/2000,00:00:01.67,-148.93,921.39,-280.76,2.87,-6.16,0.79,-12.00,19.65,-65.55,32.92,58.14,
01/01/2000,00:00:01.69,-138.67,924.80,-284.18,4.63,-2.56,1.40,-12.60,18.75,-66.15,32.92,60.00,
01/01/2000,00:00:01.70,-146.48,928.71,-274.41,2.50,-4.94,1.52,-13.20,19.50,-66.45,32.58,64.22,
01/01/2000,00:00:01.71,-121.09,911.13,-259.77,3.23,-2.93,2.68,-13.20,19.05,-68.25,33.11,67.23,
01/01/2000,00:00:01.72,-121.58,922.85,-257.32,4.76,-3.29,-0.67,-10.95,19.65,-67.05,32.77,70.31,
01/01/2000,00:00:01.72,-133.30,915.04,-258.30,3.17,-3.35,1.10,-10.95,19.65,-67.05,32.92,72.46,
01/01/2000,00:00:01.74,-130.86,926.76,-282.71,0.98,-3.11,2.93,-12.90,19.05,-65.10,33.11,72.37,
01/01/2000,00:00:01.75,-138.67,937.99,-274.41,2.26,-5.12,0.49,-12.15,19.50,-67.20,33.06,74.53,
01/01/2000,00:00:01.76,-143.55,946.29,-283.20,3.23,-6.04,4.88,-12.15,19.50,-67.20,32.92,76.02,
01/01/2000,00:00:01.77,-141.60,944.82,-277.34,3.60,-6.65,4.33,-12.15,19.50,-67.20,32.73,77.78,
01/01/2000,00:00:01.78,-145.51,950.20,-302.25,4.09,-7.80,2.74,-10.95,20.10,-66.75,32.82,78.95,
01/01/2000,00:00:01.79,-145.51,942.38,-296.39,2.32,-9.94,3.72,-12.00,19.35,-66.75,33.06,80.40,
01/01/2000,00:00:01.81,-144.53,929.20,-299.32,5.24,-10.12,3.11,-11.40,18.30,-66.45,32.92,78.34,
01/01/2000,00:00:01.82,-175.78,920.41,-287.11,7.50,-8.41,-2.01,-11.40,18.30,-66.45,32.73,79.65,
01/01/2000,00:00:01.83,-184.08,916.99,-288.09,6.10,-5.73,-0.85,-11.25,19.35,-66.75,32.97,80.51,
01/01/2000,00:00:01.84,-179.20,923.83,-285.16,6.59,-2.50,0.12,-11.70,18.60,-67.80,32.97,81.63,
01/01/2000,00:00:01.85,-172.85,898.93,-259.28,4.51,0.24,-2.80,-12.75,18.90,-65.55,32.97,82.35,
01/01/2000,00:00:01.86,-162.60,926.27,-267.58,2.13,0.91,1.89,-11.25,18.90,-67.05,32.82,82.09,
01/01/2000,00:00:01.88,-132.32,944.34,-273.44,2.68,2.38,1.28,-11.25,18.90,-67.05,32.82,82.73,
01/01/2000,00:00:01.88,-125.98,930.18,-266.11,0.06,3.66,1.16,-12.15,21.45,-66.90,32.97,83.33,
01/01/2000,00:00:01.90,-109.38,898.93,-277.34,1.95,1.34,2.01,-11.85,19.80,-65.40,33.06,84.18,
01/01/2000,00:00:01.90,-118.16,907.71,-288.09,2.38,-2.74,4.63,-13.20,18.75,-67.65,33.11,84.97,
01/01/2000,00:00:01.92,-135.25,924.32,-279.79,0.43,-4.27,1.22,-12.15,19.50,-68.25,33.06,84.38,
01/01/2000,00:00:01.92,-129.39,923.34,-271.48,0.24,-1.40,1.77,-11.40,19.50,-66.45,33.06,84.85,
01/01/2000,00:00:01.94,-141.11,897.95,-262.21,2.01,-2.87,2.74,-12.15,19.05,-67.95,33.06,85.55,
01/01/2000,00:00:01.94,-127.44,907.23,-264.16,2.50,-1.89,2.87,-11.70,20.10,-67.05,33.06,85.96,
01/01/2000,00:00:01.96,-121.09,911.62,-263.67,-0.85,-1.77,2.01,-12.00,19.35,-67.05,33.06,86.59,
01/01/2000,00:00:01.96,-114.26,930.66,-288.57,0.24,-0.24,7.32,-12.00,19.35,-67.05,32.77,86.96,
01/01/2000,00:00:01.98,-101.56,918.95,-293.95,-0.12,-1.71,0.61,-12.30,18.60,-67.80,33.06,86.39,
01/01/2000,00:00:01.99,-127.44,920.90,-291.02,-0.49,-2.68,1.46,-11.25,18.90,-67.05,32.97,86.96,
01/01/2000,00:00:02.00,-136.23,937.99,-298.83,0.61,-3.66,1.04,-12.00,18.90,-66.75,32.92,87.28,
01/01/2000,00:00:02.00,-143.07,937.99,-298.34,0.49,-4.21,2.32,-12.00,18.90,-66.75,33.06,87.80,
01/01/2000,00:00:02.01,-136.23,930.18,-295.90,1.52,-7.80,0.00,-11.25,20.40,-66.75,32.63,88.10,
01/01/2000,00:00:02.03,-134.28,937.01,-281.74,3.29,-5.98,2.68,-10.35,19.50,-67.65,33.11,87.76,
01/01/2000,00:00:02.04,-137.70,937.01,-290.53,0.37,-3.11,0.67,-12.00,18.90,-65.55,32.92,88.04,
01/01/2000,00:00:02.04,-145.02,919.43,-287.60,0.24,-2.74,0.79,-11.70,18.15,-67.80,32.97,88.30,
01/01/2000,00:00:02.05,-151.37,920.90,-271.00,2.13,-1.77,3.41,-11.70,18.15,-67.80,32.92,88.74,
01/01/2000,00:00:02.06,-143.07,905.27,-283.20,2.26,-0.49,4.27,-11.70,18.90,-68.85,33.06,89.17,
01/01/2000,00:00:02.08,-154.30,899.90,-274.41,-2.01,-1.04,-3.05,-12.15,17.25,-67.20,32.97,88.66,
01/01/2000,00:00:02.09,-156.25,921.88,-286.13,-0.79,-1.89,0.24,-12.60,18.75,-67.20,32.97,88.89,
01/01/2000,00:00:02.10,-151.37,924.32,-275.88,-1.52,-0.30,0.73,-12.60,18.75,-67.20,33.25,89.11,
01/01/2000,00:00:02.13,-123.05,940.43,-284.67,-1.22,0.67,-0.67,-13.05,19.35,-65.25,33.06,85.82,
01/01/2000,00:00:02.14,-118.16,927.73,-268.07,-3.66,1.22,3.84,-10.65,18.30,-66.90,33.16,85.61,
01/01/2000,00:00:02.15,-115.72,934.08,-278.32,-4.09,3.78,1.16,-10.65,18.30,-66.90,33.06,85.87,
01/01/2000,00:00:02.17,-116.70,949.71,-279.79,-2.56,-0.91,2.62,-13.05,17.70,-67.05,33.11,85.51,
01/01/2000,00:00:02.18,-115.23,938.48,-261.72,-5.06,-1.16,-2.26,-12.60,18.30,-67.95,33.11,85.91,
01/01/2000,00:00:02.18,-118.65,947.75,-273.93,-4.15,-0.79,0.49,-12.00,20.10,-66.30,33.06,86.15,
01/01/2000,00:00:02.19,-123.54,925.29,-266.60,-2.32,-2.93,-2.20,-12.00,20.10,-66.30,33.06,86.52,
01/01/2000,00:00:02.20,-131.84,933.11,-292.48,-3.96,-5.06,0.24,-12.00,20.10,-66.30,33.11,86.74,
01/01/2000,00:00:02.22,-135.25,930.18,-294.43,-3.05,-0.30,2.44,-12.30,17.70,-68.10,33.11,86.40,
01/01/2000,00:00:02.23,-150.88,918.95,-301.76,-4.39,-0.18,0.67,-11.25,19.65,-67.80,32.82,86.75,
01/01/2000,00:00:02.24,-171.88,926.76,-303.71,-1.28,-0.18,-0.24,-11.25,19.65,-67.80,32.82,86.96,
01/01/2000,00:00:02.25,-154.30,940.43,-307.13,-1.16,1.46,-1.77,-12.00,18.90,-66.75,33.11,87.29,
01/01/2000,00:00:02.26,-150.88,944.34,-297.85,-0.67,2.68,-0.67,-10.95,18.15,-67.05,33.16,87.48,
01/01/2000,00:00:02.27,-135.74,927.73,-289.55,1.77,3.96,-4.21,-13.50,18.15,-66.30,33.16,87.15,
01/01/2000,00:00:02.28,-132.32,944.82,-292.97,0.55,1.65,1.34,-12.60,18.75,-66.90,33.06,87.46,
01/01/2000,00:00:02.29,-133.79,932.62,-276.86,-0.67,1.83,0.67,-12.60,18.75,-66.90,33.11,87.64,
01/01/2000,00:00:02.30,-126.46,943.36,-274.41,-1.52,3.35,-2.50,-11.70,18.60,-67.35,33.06,87.94,
01/01/2000,00:00:02.31,-111.33,953.12,-278.32,0.24,0.24,-0.30,-10.65,18.75,-67.95,33.06,88.11,
01/01/2000,00:00:02.32,-107.91,936.04,-271.97,1.16,1.04,-0.49,-11.70,19.35,-66.75,33.06,88.40,
01/01/2000,00:00:02.33,-109.86,924.80,-275.39,-1.83,1.46,0.18,-10.35,20.25,-66.15,32.92,88.08,
01/01/2000,00:00:02.34,-110.84,937.50,-282.71,-1.65,0.61,-0.12,-10.35,20.25,-66.15,33.25,88.24,
01/01/2000,00:00:02.35,-105.96,930.18,-288.57,-1.52,-2.07,1.10,-11.70,18.15,-67.35,32.97,88.51,
01/01/2000,00:00:02.36,-123.05,936.04,-282.71,-0.24,-0.61,-1.83,-12.75,18.90,-66.75,32.92,88.66,
01/01/2000,00:00:02.37,-137.21,940.43,-279.30,-0.85,0.85,-1.52,-11.70,18.90,-68.10,33.06,88.92,
01/01/2000,00:00:02.38,-116.70,928.71,-273.93,-0.37,3.54,1.46,-11.40,20.25,-67.20,33.06,88.61,
01/01/2000,00:00:02.39,-111.82,939.94,-271.00,-0.79,2.20,2.56,-11.25,18.90,-68.10,33.06,88.75,
01/01/2000,00:00:02.40,-101.07,943.85,-269.04,0.06,-1.71,3.41,-10.65,19.50,-66.45,33.16,89.00,
01/01/2000,00:00:02.41,-99.61,929.69,-269.53,-1.34,0.06,2.26,-12.00,19.35,-68.55,33.16,89.13,
01/01/2000,00:00:02.42,-106.45,922.85,-273.93,-2.68,0.12,0.67,-13.50,18.60,-67.35,33.25,89.37,
01/01/2000,00:00:02.44,-104.98,926.76,-282.23,-1.59,-3.72,0.98,-13.50,18.60,-67.35,33.30,89.07,
