rtcDate,rtcTime,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,imu_degC,output_Hz,
01/01/2000,00:00:01.33,-235.35,897.95,-299.32,1.40,-5.91,1.04,-10.20,-11.40,-77.10,31.53,500.0,
01/01/2000,00:00:01.34,-251.46,885.74,-296.39,0.91,-4.02,0.06,-8.70,-11.40,-76.65,31.67,100.0,
01/01/2000,00:00:01.36,-249.02,874.51,-297.85,-0.49,-1.52,-0.61,-8.70,-11.40,-76.65,32.06,90.909,
01/01/2000,00:00:01.37,-250.49,887.21,-296.39,2.26,-0.18,1.04,-9.30,-13.05,-76.50,31.77,90.909,
01/01/2000,00:00:01.38,-249.51,887.21,-305.66,2.50,0.49,0.73,-7.95,-12.15,-77.40,32.01,92.593,
01/01/2000,00:00:01.39,-253.42,874.51,-304.69,1.52,1.65,2.44,-8.85,-12.0,-76.20,31.72,90.909,
01/01/2000,00:00:01.40,-263.67,879.88,-317.87,-1.22,3.17,-2.50,-9.60,-11.55,-78.75,31.77,92.105,
01/01/2000,00:00:01.41,-258.30,883.30,-321.29,-1.46,4.82,0.12,-8.85,-10.80,-76.95,31.72,91.954,
01/01/2000,00:00:01.42,-271.97,887.21,-301.27,1.46,5.30,1.40,-7.65,-13.50,-76.20,32.10,92.784,
01/01/2000,00:00:01.43,-244.14,880.86,-312.01,1.59,3.66,5.24,-7.95,-11.40,-77.40,31.67,92.593,
01/01/2000,00:00:01.44,-256.35,894.04,-325.20,-1.77,7.13,4.27,-7.95,-11.40,-77.40,32.01,92.437,
01/01/2000,00:00:01.45,-275.88,898.93,-327.64,-2.68,8.41,0.91,-7.95,-11.40,-77.40,31.72,92.308,
01/01/2000,00:00:01.46,-251.95,902.83,-323.24,-3.54,9.39,2.38,-8.10,-11.10,-77.25,31.77,92.199,
01/01/2000,00:00:01.47,-240.23,916.99,-322.75,-3.17,6.83,4.51,-9.30,-11.55,-76.95,31.91,92.715,
01/01/2000,00:00:01.48,-231.45,900.88,-302.25,-0.49,7.13,2.07,-8.25,-12.15,-76.35,31.53,92.593,
01/01/2000,00:00:01.49,-232.42,887.70,-283.20,-2.13,5.67,1.89,-9.30,-11.10,-76.95,31.72,93.023,
01/01/2000,00:00:01.51,-225.10,900.88,-283.20,-3.05,0.85,2.68,-8.25,-10.95,-76.65,32.01,92.391,
01/01/2000,00:00:01.52,-244.14,887.70,-298.34,-2.93,0.91,-0.85,-8.70,-12.15,-78.15,31.86,92.784,
01/01/2000,00:00:01.53,-251.95,871.09,-291.99,-2.74,1.40,4.45,-8.70,-12.15,-78.15,31.91,92.683,
01/01/2000,00:00:01.54,-252.93,880.37,-298.83,-3.29,0.85,2.80,-8.70,-12.15,-78.15,31.77,92.593,
01/01/2000,00:00:01.55,-241.21,885.25,-308.59,-2.38,3.60,-2.93,-8.70,-10.95,-76.35,31.67,92.920,
01/01/2000,00:00:01.56,-246.09,882.32,-302.25,-2.20,7.93,0.37,-9.30,-12.30,-77.25,31.58,92.437,
01/01/2000,00:00:01.57,-239.26,890.63,-310.06,-1.77,3.05,1.28,-8.70,-12.15,-77.10,32.06,92.369,
01/01/2000,00:00:01.58,-234.86,903.81,-296.88,-4.51,4.02,2.20,-10.95,-12.60,-77.85,31.91,92.664,
01/01/2000,00:00:01.59,-242.19,903.81,-292.48,-0.61,4.63,2.80,-9.60,-12.0,-77.25,31.77,92.593,
01/01/2000,00:00:01.61,-243.16,906.25,-294.43,-5.18,2.32,0.30,-10.50,-11.70,-76.65,31.72,92.857,
01/01/2000,00:00:01.62,-244.14,907.23,-304.69,-4.45,2.68,0.85,-10.50,-11.70,-76.65,31.91,92.466,
01/01/2000,00:00:01.63,-225.59,907.71,-304.69,-1.89,1.83,-0.55,-10.50,-11.70,-76.65,31.91,92.409,
01/01/2000,00:00:01.64,-238.77,899.41,-310.06,-2.80,-2.74,-3.60,-7.50,-10.50,-76.65,31.86,92.357,
01/01/2000,00:00:01.65,-239.26,900.39,-317.38,-2.99,-2.50,0.85,-8.10,-11.55,-77.25,32.01,92.593,
01/01/2000,00:00:01.66,-249.51,876.46,-306.15,-2.32,-2.80,0.85,-8.40,-13.50,-77.25,31.91,92.537,
01/01/2000,00:00:01.67,-275.88,875.49,-316.89,-1.65,-3.11,1.34,-10.05,-11.55,-76.95,31.72,92.219,
01/01/2000,00:00:01.68,-268.07,876.46,-302.73,-0.67,0.85,4.15,-8.85,-11.10,-77.55,31.77,92.437,
01/01/2000,00:00:01.69,-245.61,892.09,-303.71,-2.01,2.62,-3.35,-9.45,-11.70,-76.35,31.91,92.391,
01/01/2000,00:00:01.70,-251.46,888.67,-301.76,-2.74,3.60,1.83,-9.45,-11.70,-76.35,32.01,92.348,
01/01/2000,00:00:01.71,-243.65,901.37,-295.41,-3.17,4.51,0.30,-9.45,-11.70,-76.35,31.67,92.545,
01/01/2000,00:00:01.72,-223.14,907.71,-311.04,-0.67,6.40,-1.83,-10.50,-11.40,-75.90,31.91,92.500,
01/01/2000,00:00:01.73,-226.56,901.86,-306.64,-1.46,0.49,0.30,-8.85,-11.55,-76.20,31.77,92.233,
01/01/2000,00:00:01.74,-237.30,886.23,-313.48,-0.85,-0.06,-2.07,-8.70,-12.90,-75.90,32.01,92.417,
01/01/2000,00:00:01.76,-245.12,894.04,-299.80,-1.34,3.78,-4.33,-8.70,-11.40,-76.65,32.01,92.379,
01/01/2000,00:00:01.76,-254.39,885.25,-300.78,-1.28,1.59,2.07,-8.70,-10.20,-77.85,31.86,92.342,
01/01/2000,00:00:01.78,-260.74,896.97,-301.76,-1.40,4.70,-0.98,-9.0,-10.95,-77.40,31.91,92.511,
01/01/2000,00:00:01.79,-237.79,909.67,-307.13,0.43,5.73,-1.77,-9.0,-10.95,-77.40,31.72,92.275,
01/01/2000,00:00:01.80,-228.03,892.58,-301.76,-0.91,5.55,-2.32,-9.0,-10.95,-77.40,31.67,92.437,
01/01/2000,00:00:01.81,-224.12,894.04,-291.02,-0.79,3.17,1.52,-9.60,-9.90,-75.45,32.10,92.402,
01/01/2000,00:00:01.82,-218.75,900.88,-311.52,-1.71,4.02,0.30,-9.30,-11.55,-74.70,31.72,92.369,
01/01/2000,00:00:01.83,-227.54,976.56,-296.39,-1.22,0.55,-0.06,-8.85,-11.10,-76.95,32.01,92.520,
01/01/2000,00:00:01.85,-221.68,826.66,-290.53,-1.52,0.18,-0.37,-10.20,-10.20,-75.90,31.86,91.429,
01/01/2000,00:00:01.86,-263.18,932.62,-292.48,-2.74,0.12,-1.95,-8.25,-12.90,-77.40,32.01,91.078,
01/01/2000,00:00:01.87,-279.30,901.37,-314.94,2.44,1.16,5.18,-9.60,-11.55,-75.0,32.10,91.241,
01/01/2000,00:00:01.88,-277.83,868.65,-302.73,-0.49,5.67,0.06,-9.60,-11.55,-75.0,31.91,91.234,
01/01/2000,00:00:01.89,-223.14,865.23,-296.39,-1.22,8.84,-2.93,-9.45,-12.90,-75.90,31.77,91.388,
01/01/2000,00:00:01.90,-205.57,903.81,-301.27,-0.37,3.17,-0.06,-9.45,-12.15,-76.35,31.67,91.222,
01/01/2000,00:00:01.91,-212.40,892.09,-298.83,-0.24,-0.43,2.93,-10.20,-11.70,-77.10,31.91,91.216,
01/01/2000,00:00:01.92,-246.58,894.04,-292.48,0.49,0.98,2.74,-9.45,-12.15,-77.10,31.72,91.362,
01/01/2000,00:00:01.93,-249.02,896.00,-302.25,-0.73,-0.67,2.01,-10.20,-11.40,-73.65,31.86,91.354,
01/01/2000,00:00:01.94,-254.88,890.63,-298.83,0.61,0.85,2.20,-9.60,-12.30,-76.95,32.01,91.346,
