rtcDate,rtcTime,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,imu_degC,output_Hz,
01/01/2000,00:00:01.57,-265.14,909.18,-271.48,0.18,1.46,1.04,-6.90,21.60,-67.80,32.25,333.33,
01/01/2000,00:00:01.63,-263.67,904.30,-279.79,-0.06,0.55,-1.83,-6.15,18.90,-66.30,32.58,37.74,
01/01/2000,00:00:01.64,-276.86,892.09,-284.67,-0.73,0.61,0.67,-5.85,19.65,-67.35,32.58,45.45,
01/01/2000,00:00:01.65,-288.09,895.51,-284.18,-0.85,3.17,0.30,-5.85,19.35,-68.55,32.58,52.63,
01/01/2000,00:00:01.66,-268.55,899.90,-268.07,-2.26,3.78,-2.26,-5.85,19.35,-68.55,32.44,58.82,
01/01/2000,00:00:01.67,-261.23,916.50,-275.39,-1.16,4.45,-0.98,-6.15,18.15,-67.35,32.58,60.61,
01/01/2000,00:00:01.68,-263.67,896.97,-278.32,-1.52,2.99,0.12,-6.15,20.10,-66.75,32.63,64.22,
01/01/2000,00:00:01.69,-253.91,903.32,-269.53,0.98,0.67,-0.73,-6.00,19.80,-67.20,32.44,67.23,
01/01/2000,00:00:01.70,-244.14,891.60,-286.13,-1.10,0.91,-0.06,-7.80,21.00,-67.20,32.58,70.31,
01/01/2000,00:00:01.71,-271.00,896.97,-288.09,0.61,2.38,-0.73,-7.80,21.00,-67.20,32.73,72.99,
01/01/2000,00:00:01.72,-283.20,907.71,-280.76,-0.12,0.85,-1.40,-7.20,19.65,-69.30,32.73,74.83,
01/01/2000,00:00:01.74,-284.67,894.53,-282.23,-0.12,2.26,-1.77,-7.35,19.50,-67.65,32.63,74.53,
01/01/2000,00:00:01.74,-278.32,894.53,-271.97,2.26,0.98,-1.10,-5.55,19.80,-67.20,32.53,76.47,
01/01/2000,00:00:01.76,-296.39,906.74,-274.41,2.50,4.09,1.65,-5.55,19.80,-67.20,32.63,77.78,
01/01/2000,00:00:01.76,-274.90,888.67,-271.97,-0.43,3.78,-3.90,-5.55,19.80,-67.20,32.77,79.37,
01/01/2000,00:00:01.78,-256.84,898.93,-279.79,0.49,5.98,-2.93,-6.75,19.05,-67.20,32.63,80.40,
01/01/2000,00:00:01.79,-266.11,898.44,-289.55,-0.67,6.04,-1.77,-5.55,19.80,-67.20,32.73,79.81,
01/01/2000,00:00:01.80,-260.74,913.57,-287.11,-1.59,4.21,1.46,-6.45,19.65,-68.55,32.77,81.08,
01/01/2000,00:00:01.81,-270.51,910.64,-284.18,-0.61,2.93,-1.04,-6.45,19.65,-68.55,32.63,81.90,
01/01/2000,00:00:01.82,-270.51,899.41,-294.43,-1.71,2.74,-2.13,-6.45,19.35,-69.90,32.82,82.99,
01/01/2000,00:00:01.83,-271.00,910.64,-290.53,-1.95,6.28,-3.78,-6.15,19.65,-68.85,32.44,83.67,
01/01/2000,00:00:01.84,-278.32,901.86,-283.69,-2.32,5.91,-3.84,-6.75,18.30,-68.70,32.53,83.02,
01/01/2000,00:00:01.86,-286.62,904.30,-278.32,-2.68,5.24,-1.77,-6.75,18.30,-68.70,32.92,83.64,
01/01/2000,00:00:01.86,-274.90,902.34,-276.86,-1.40,8.41,-1.95,-6.75,19.50,-68.70,32.44,84.51,
01/01/2000,00:00:01.88,-269.53,894.53,-281.25,-3.41,9.21,-3.90,-6.15,20.40,-68.10,32.44,85.32,
01/01/2000,00:00:01.88,-265.62,908.69,-284.18,-5.24,8.29,-3.11,-6.45,20.85,-68.55,32.77,85.81,
01/01/2000,00:00:01.90,-264.16,888.67,-297.85,-2.20,8.23,-1.71,-6.90,20.10,-68.85,32.73,86.54,
01/01/2000,00:00:01.91,-292.48,895.51,-291.99,-2.26,9.02,-0.73,-7.35,19.50,-65.85,32.58,84.85,
01/01/2000,00:00:01.92,-311.04,883.30,-289.55,-4.02,13.72,0.12,-5.55,18.30,-67.20,32.63,85.55,
01/01/2000,00:00:01.93,-302.25,889.65,-279.79,-4.88,16.52,-3.17,-6.45,18.90,-68.10,32.77,85.96,
01/01/2000,00:00:01.94,-287.60,883.30,-278.81,-5.37,18.78,-1.59,-5.55,19.50,-67.95,32.73,86.59,
01/01/2000,00:00:01.95,-267.09,878.42,-272.46,-4.39,18.41,-2.99,-5.55,19.50,-67.95,32.77,86.96,
01/01/2000,00:00:01.96,-231.93,905.27,-269.53,-6.22,16.04,-2.38,-5.85,20.85,-66.75,32.92,86.39,
01/01/2000,00:00:01.97,-222.17,906.25,-251.95,-3.23,11.59,-0.43,-7.80,19.50,-67.95,32.73,86.96,
01/01/2000,00:00:01.98,-211.43,910.64,-257.32,-4.94,9.76,-3.48,-6.15,19.65,-66.30,32.73,87.28,
01/01/2000,00:00:01.99,-210.45,917.97,-267.09,-2.74,6.71,-2.01,-6.45,20.10,-68.10,32.73,87.80,
01/01/2000,00:00:02.00,-228.52,912.11,-259.77,-1.16,2.62,-3.54,-6.45,20.10,-68.10,32.82,88.10,
01/01/2000,00:00:02.01,-249.02,898.93,-277.34,-1.04,-1.83,-4.15,-6.90,18.90,-67.80,33.06,87.76,
01/01/2000,00:00:02.02,-263.18,905.27,-273.93,-1.65,-2.80,-1.65,-7.80,19.80,-67.20,32.92,88.04,
01/01/2000,00:00:02.03,-269.53,894.04,-289.06,-2.07,-0.18,-3.23,-6.30,19.80,-68.25,32.77,88.30,
01/01/2000,00:00:02.04,-271.48,898.93,-294.92,-3.48,-0.24,0.91,-5.25,18.75,-67.65,32.92,88.74,
01/01/2000,00:00:02.05,-278.81,891.60,-292.97,-1.89,3.17,-1.71,-5.25,18.75,-67.65,32.82,89.17,
01/01/2000,00:00:02.06,-270.51,910.16,-289.06,-1.46,3.90,-0.98,-5.25,18.30,-67.20,32.58,89.40,
01/01/2000,00:00:02.07,-243.16,898.44,-280.76,-4.15,3.35,-2.32,-7.80,21.00,-66.45,32.77,88.89,
01/01/2000,00:00:02.08,-247.07,909.67,-278.81,-1.22,3.90,-2.93,-7.80,21.00,-66.45,32.63,89.29,
01/01/2000,00:00:02.11,-250.98,906.25,-263.18,-2.20,-0.12,-3.66,-7.80,18.75,-67.20,32.82,85.82,
01/01/2000,00:00:02.13,-254.39,895.51,-267.58,-0.98,-6.59,-2.87,-7.05,18.00,-65.85,32.77,85.61,
