rtcDate,rtcTime,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,imu_degC,output_Hz,
01/01/2000,00:00:01.33,-244.14,932.62,-103.52,-2.56,-2.80,-3.23,-6.60,-11.10,-72.0,32.29,333.333,
01/01/2000,00:00:01.38,-270.02,947.75,-104.98,-1.22,-3.11,1.83,-11.10,-12.75,-72.0,31.72,37.037,
01/01/2000,00:00:01.40,-272.95,938.96,-95.70,-1.59,-0.49,-0.30,-5.40,-9.60,-73.50,32.01,44.776,
01/01/2000,00:00:01.40,-271.48,937.01,-104.49,-0.06,2.20,-0.79,-5.40,-9.60,-73.50,32.10,51.282,
01/01/2000,00:00:01.41,-255.86,943.36,-106.45,-0.06,0.79,1.10,-4.50,-11.40,-74.10,32.25,56.818,
01/01/2000,00:00:01.42,-248.54,935.06,-103.03,-3.66,3.41,1.22,-5.25,-10.50,-75.15,31.91,60.0,
01/01/2000,00:00:01.44,-247.07,921.39,-115.23,-0.61,1.89,0.06,-6.45,-9.75,-73.35,32.20,63.636,
01/01/2000,00:00:01.44,-224.12,924.32,-101.07,-2.07,1.52,1.34,-5.55,-10.50,-73.35,32.10,66.116,
01/01/2000,00:00:01.46,-226.56,928.71,-94.73,-2.20,1.28,3.11,-4.65,-10.80,-73.95,32.06,68.702,
01/01/2000,00:00:01.47,-251.46,931.15,-101.56,-2.13,-0.37,-1.77,-5.25,-11.40,-74.85,32.29,70.423,
01/01/2000,00:00:01.48,-239.26,936.52,-100.10,-2.62,-0.73,-4.63,-5.25,-11.40,-74.85,32.44,71.429,
01/01/2000,00:00:01.49,-251.46,929.69,-95.70,-4.15,1.65,-0.67,-5.25,-11.40,-74.85,32.25,73.171,
01/01/2000,00:00:01.50,-240.72,946.78,-90.82,-2.93,-2.07,-2.68,-4.65,-9.60,-73.50,32.29,74.286,
01/01/2000,00:00:01.51,-228.52,936.04,-85.45,-4.70,-2.13,-2.01,-4.65,-10.80,-72.75,32.06,75.676,
01/01/2000,00:00:01.52,-234.86,924.80,-78.61,-3.41,-1.46,-2.20,-5.40,-9.90,-73.95,32.25,76.531,
01/01/2000,00:00:01.53,-232.42,930.18,-80.08,-4.45,-2.32,-0.24,-4.05,-10.95,-75.15,32.29,77.295,
01/01/2000,00:00:01.54,-229.00,933.11,-85.45,-1.65,-5.85,-0.12,-5.40,-9.90,-73.95,32.25,77.982,
01/01/2000,00:00:01.55,-257.32,944.34,-77.64,-3.05,-5.49,0.85,-9.45,-12.60,-70.35,32.10,78.603,
01/01/2000,00:00:01.57,-261.23,948.24,-72.75,-3.17,-5.67,1.52,-9.45,-12.60,-70.35,32.29,79.167,
01/01/2000,00:00:01.57,-279.79,959.47,-91.31,-5.24,-5.24,3.05,-9.45,-12.60,-70.35,32.25,80.0,
01/01/2000,00:00:01.59,-291.99,939.94,-80.08,-0.85,-6.40,2.38,-9.30,-13.05,-70.20,32.06,80.460,
