rtcDate,rtcTime,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,imu_degC,output_Hz,
01/01/2000,00:00:01.68,-184.08,952.15,-50.29,8.48,3.84,-2.44,-6.00,23.25,-57.45,32.92,333.33,
01/01/2000,00:00:01.75,-167.97,956.54,-13.18,-1.46,4.09,-3.54,-6.75,22.95,-60.00,32.97,26.67,
01/01/2000,00:00:01.76,-179.69,957.52,-17.09,-1.83,-2.44,-2.44,-6.75,22.95,-60.00,32.97,34.09,
01/01/2000,00:00:01.78,-175.29,962.40,-22.46,-1.46,-1.83,-1.40,-6.90,23.40,-60.60,33.06,40.82,
01/01/2000,00:00:01.78,-188.48,945.31,-30.27,-2.62,-4.02,-2.80,-4.80,22.50,-60.00,32.92,46.73,
01/01/2000,00:00:01.80,-194.34,979.49,-53.22,-3.60,-0.79,-2.01,-7.20,21.15,-60.15,33.06,48.78,
01/01/2000,00:00:01.81,-183.11,970.70,-59.08,-1.52,1.40,-2.68,-7.20,21.15,-60.15,32.82,52.63,
01/01/2000,00:00:01.82,-185.06,967.29,-41.02,-1.71,0.18,-3.48,-5.85,23.85,-60.60,32.97,55.94,
01/01/2000,00:00:01.83,-185.06,975.10,-45.41,0.00,2.26,-2.56,-5.85,23.85,-61.35,33.06,59.21,
01/01/2000,00:00:01.84,-181.15,983.89,-39.06,-2.20,2.13,-0.85,-6.30,22.95,-60.45,32.92,62.11,
01/01/2000,00:00:01.85,-177.73,973.14,-39.55,0.24,1.89,-1.52,-6.15,23.10,-59.85,33.11,64.33,
01/01/2000,00:00:01.87,-181.64,973.14,-32.71,-0.91,1.65,0.06,-6.15,23.10,-59.85,32.97,64.86,
01/01/2000,00:00:01.88,-176.76,977.05,-31.74,-0.24,2.68,-1.95,-6.00,24.00,-60.45,33.16,66.67,
01/01/2000,00:00:01.89,-167.48,976.07,-22.46,-0.67,1.46,0.61,-6.30,23.25,-60.75,33.11,68.63,
01/01/2000,00:00:01.90,-175.78,966.80,-28.81,-0.61,1.10,1.28,-5.55,22.50,-60.00,32.97,70.42,
01/01/2000,00:00:01.91,-184.08,964.36,-37.60,2.26,-0.91,2.74,-5.55,22.50,-60.00,33.35,71.75,
01/01/2000,00:00:01.92,-170.90,945.80,-19.53,-1.65,1.95,0.24,-6.45,21.90,-59.85,33.11,71.73,
01/01/2000,00:00:01.93,-168.46,960.94,-33.69,1.28,-0.61,0.24,-7.80,23.25,-59.25,32.97,73.17,
01/01/2000,00:00:01.94,-165.53,952.15,-22.95,0.73,1.28,0.73,-6.45,23.40,-61.35,32.97,74.22,
01/01/2000,00:00:01.95,-179.69,951.17,-25.39,-1.71,0.00,0.67,-5.85,23.10,-60.15,33.06,75.47,
01/01/2000,00:00:01.96,-171.39,963.87,-16.11,-1.52,-0.67,0.55,-5.85,23.10,-60.15,33.06,76.36,
01/01/2000,00:00:01.97,-183.11,968.75,-18.55,-2.80,1.77,-2.32,-6.00,23.70,-59.70,33.44,76.12,
01/01/2000,00:00:01.98,-166.02,980.47,-22.46,0.12,-1.46,-0.67,-6.00,22.95,-60.45,33.11,77.18,
01/01/2000,00:00:01.99,-179.20,984.86,-12.70,-0.85,-1.46,1.28,-6.15,23.10,-60.60,32.82,77.92,
01/01/2000,00:00:02.00,-179.69,976.07,-38.57,-1.46,0.12,-1.71,-6.15,23.10,-60.60,32.97,78.86,
01/01/2000,00:00:02.00,-172.85,961.43,-32.71,-2.13,-1.71,-0.61,-6.15,23.10,-60.60,33.06,79.51,
01/01/2000,00:00:02.01,-193.36,967.29,-34.18,-1.59,-1.10,0.55,-6.75,20.55,-59.70,33.06,80.36,
01/01/2000,00:00:02.03,-207.03,962.40,-47.85,-1.04,0.61,-0.24,-7.65,21.15,-60.90,33.30,79.10,
01/01/2000,00:00:02.04,-205.57,963.38,-32.23,-0.43,3.48,0.85,-7.20,23.10,-58.80,33.16,79.89,
01/01/2000,00:00:02.04,-197.75,962.89,-33.20,-0.12,1.34,0.24,-7.20,23.10,-58.80,33.11,80.43,
01/01/2000,00:00:02.05,-188.96,968.26,-19.04,0.98,3.41,-0.43,-6.45,22.35,-60.60,33.25,81.15,
01/01/2000,00:00:02.06,-177.25,980.96,-17.09,1.04,0.67,2.56,-7.80,24.00,-60.75,33.11,81.63,
01/01/2000,00:00:02.08,-168.46,963.38,-7.32,-0.98,2.01,-1.22,-6.90,22.35,-59.55,33.25,81.48,
01/01/2000,00:00:02.09,-181.64,962.89,-13.18,1.34,1.22,1.65,-6.90,22.35,-59.55,32.97,81.93,
01/01/2000,00:00:02.10,-185.55,973.14,-19.53,-0.61,1.16,-0.12,-5.85,23.40,-60.15,33.25,82.55,
01/01/2000,00:00:02.11,-179.69,975.59,-28.32,0.98,-0.30,0.79,-6.90,22.65,-60.60,33.11,82.95,
01/01/2000,00:00:02.12,-177.25,971.19,-27.83,1.28,-0.30,0.79,-6.45,23.85,-60.15,33.11,83.52,
01/01/2000,00:00:02.13,-176.27,958.50,-19.04,0.67,-1.83,2.32,-6.15,22.35,-60.60,33.11,83.89,
01/01/2000,00:00:02.14,-167.97,946.78,-32.71,-1.65,-1.22,2.20,-7.65,22.65,-59.55,33.25,83.51,
01/01/2000,00:00:02.15,-172.36,943.85,-26.86,-0.06,1.95,-1.71,-6.30,22.50,-61.05,33.25,84.03,
01/01/2000,00:00:02.16,-170.90,951.66,-29.30,-3.35,1.16,-2.38,-7.05,24.75,-61.50,33.25,84.36,
01/01/2000,00:00:02.17,-156.74,951.66,-27.83,-2.26,1.04,-0.24,-6.90,23.40,-61.65,33.16,84.85,
01/01/2000,00:00:02.18,-161.62,958.98,-19.53,-1.83,-1.83,-3.48,-6.90,23.40,-61.65,32.92,85.15,
01/01/2000,00:00:02.22,-152.34,967.29,-35.16,-4.57,2.38,-0.73,-5.55,23.25,-58.20,33.16,80.73,
01/01/2000,00:00:02.23,-148.93,968.26,-32.23,-0.24,-1.83,-2.62,-5.55,23.25,-58.20,33.16,80.65,
01/01/2000,00:00:02.24,-154.30,960.94,-26.37,-3.23,-1.95,-5.73,-6.15,23.40,-60.90,33.16,80.99,
01/01/2000,00:00:02.25,-154.79,963.87,-38.09,-3.78,-3.78,-2.93,-6.15,25.05,-59.10,33.16,81.31,
01/01/2000,00:00:02.26,-157.71,960.94,-35.64,-3.17,-4.70,-0.43,-6.45,21.60,-59.85,33.16,81.77,
01/01/2000,00:00:02.27,-173.83,976.07,-30.27,-0.12,-6.89,-0.79,-6.45,22.35,-60.15,33.25,81.53,
01/01/2000,00:00:02.28,-168.46,973.14,-37.11,-1.16,-6.34,-1.59,-6.45,22.35,-60.15,33.11,81.83,
01/01/2000,00:00:02.29,-194.82,968.26,-20.51,-1.16,-6.40,-3.35,-6.90,23.85,-60.60,33.11,82.26,
01/01/2000,00:00:02.30,-177.25,970.21,-30.27,1.10,-7.32,-2.07,-6.90,22.65,-59.55,32.97,82.67,
01/01/2000,00:00:02.31,-190.92,953.12,-21.97,-1.22,-5.67,-3.72,-4.80,22.95,-61.05,33.11,82.94,
