rtcDate,rtcTime,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,imu_degC,output_Hz,
01/01/2000,00:00:01.67,-153.81,965.33,-46.88,-2.62,2.07,-2.56,-9.60,22.95,-58.20,32.92,333.33,
01/01/2000,00:00:01.72,-149.41,971.19,-46.88,-1.83,2.93,-0.91,-8.70,23.85,-58.05,32.97,37.74,
01/01/2000,00:00:01.74,-162.60,977.54,-56.15,-4.09,2.32,-4.02,-9.30,22.50,-59.25,32.73,45.45,
01/01/2000,00:00:01.75,-164.06,964.36,-48.34,-1.83,0.73,-1.89,-7.65,23.10,-59.85,32.82,52.63,
01/01/2000,00:00:01.76,-169.43,965.33,-51.76,-2.32,1.22,-0.43,-7.65,23.10,-59.85,32.53,58.82,
01/01/2000,00:00:01.77,-161.13,958.98,-59.57,-3.35,0.73,-2.32,-8.85,22.95,-59.25,32.77,60.61,
01/01/2000,00:00:01.78,-179.69,974.12,-50.29,-1.28,1.46,-0.85,-7.35,24.00,-57.90,32.97,64.22,
01/01/2000,00:00:01.79,-179.20,959.47,-48.83,-2.74,2.32,1.71,-7.35,23.70,-57.90,32.77,67.80,
01/01/2000,00:00:01.80,-179.20,965.33,-53.71,-3.11,5.00,-2.13,-7.80,22.95,-59.70,33.11,70.31,
01/01/2000,00:00:01.81,-184.57,960.45,-51.27,-2.07,5.85,-2.38,-7.80,22.95,-59.70,32.77,72.99,
01/01/2000,00:00:01.82,-175.29,966.31,-42.97,-3.90,6.40,-0.61,-8.85,23.70,-58.95,32.97,75.34,
01/01/2000,00:00:01.84,-180.66,959.96,-45.41,-1.89,6.89,-0.37,-7.95,23.10,-59.10,33.06,75.00,
01/01/2000,00:00:01.85,-196.29,962.40,-61.04,-2.50,8.11,1.10,-9.45,23.85,-58.05,32.97,76.47,
01/01/2000,00:00:01.86,-191.41,963.87,-51.27,-3.78,10.73,-0.91,-9.45,23.85,-58.05,33.06,78.21,
01/01/2000,00:00:01.87,-179.20,946.29,-42.97,-4.15,8.17,-1.77,-9.45,23.85,-58.05,33.06,79.37,
01/01/2000,00:00:01.88,-175.78,963.87,-41.02,-1.40,6.71,0.61,-6.30,23.70,-59.25,32.97,80.81,
