rtcDate,rtcTime,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,imu_degC,output_Hz,
01/01/2000,00:00:01.74,-629.88,206.54,-739.75,-0.91,-0.73,-0.18,5.85,3.75,-81.15,32.73,333.33,
01/01/2000,00:00:01.79,-629.39,213.87,-735.84,-2.07,-0.61,1.10,6.00,3.15,-80.55,32.77,37.74,
01/01/2000,00:00:01.80,-632.81,207.52,-736.82,-1.40,-2.32,2.20,4.20,3.60,-81.75,32.97,45.45,
01/01/2000,00:00:01.81,-633.30,217.77,-744.14,-3.41,-3.29,-1.71,5.85,3.75,-82.65,32.58,52.63,
01/01/2000,00:00:01.82,-624.51,214.36,-733.89,-3.11,-4.09,0.67,5.85,3.75,-82.65,32.77,58.82,
01/01/2000,00:00:01.84,-632.32,212.40,-730.96,-1.52,-2.56,-0.30,6.15,1.80,-80.40,32.77,60.61,
01/01/2000,00:00:01.85,-636.23,209.96,-727.54,-1.77,-2.26,-0.79,5.40,2.55,-81.45,32.77,64.22,
01/01/2000,00:00:01.86,-638.18,218.75,-736.82,-2.74,-2.93,0.00,5.25,3.15,-80.25,32.73,67.80,
01/01/2000,00:00:01.87,-628.91,231.93,-731.45,-1.52,-3.66,1.46,6.30,3.90,-82.05,32.82,70.87,
01/01/2000,00:00:01.88,-633.79,229.49,-735.84,-1.10,-5.18,0.79,6.30,3.90,-82.05,32.77,72.99,
01/01/2000,00:00:01.89,-637.70,219.24,-729.00,-0.18,-4.09,0.30,5.85,3.75,-82.20,32.92,75.34,
01/01/2000,00:00:01.90,-626.95,222.17,-722.66,-1.71,-2.87,0.00,5.55,3.60,-78.75,32.58,75.00,
01/01/2000,00:00:01.91,-638.67,228.52,-734.86,-0.79,-4.39,-1.10,6.45,2.55,-81.45,33.11,76.47,
01/01/2000,00:00:01.92,-636.23,228.52,-721.68,-1.10,-4.63,-1.10,6.45,2.55,-81.45,32.92,78.21,
01/01/2000,00:00:01.93,-630.86,232.42,-710.45,0.12,-5.79,1.65,6.45,2.55,-81.45,32.73,79.37,
01/01/2000,00:00:01.94,-644.53,223.14,-730.47,0.49,-3.29,3.29,6.30,3.90,-81.75,32.77,80.81,
01/01/2000,00:00:01.95,-644.53,227.54,-719.24,3.23,-1.40,1.28,4.20,3.60,-80.55,32.73,80.19,
01/01/2000,00:00:01.96,-664.55,240.23,-722.17,-0.55,1.34,1.16,4.20,3.60,-80.55,32.82,81.08,
01/01/2000,00:00:01.97,-656.25,230.96,-727.05,1.77,-0.43,1.28,6.15,4.50,-82.65,32.82,82.25,
01/01/2000,00:00:01.98,-628.91,230.96,-722.66,2.07,-1.34,-0.73,7.35,4.35,-81.00,32.82,83.33,
01/01/2000,00:00:01.99,-635.25,218.26,-721.19,-0.24,1.40,0.06,7.35,3.60,-82.05,32.73,84.00,
01/01/2000,00:00:02.00,-636.72,229.98,-735.84,2.13,-0.98,-1.95,6.15,2.55,-80.40,32.77,84.94,
01/01/2000,00:00:02.01,-634.77,207.52,-725.10,2.44,0.30,-2.93,6.15,2.55,-80.40,32.73,84.25,
01/01/2000,00:00:02.02,-643.55,205.57,-717.29,0.49,-1.28,-0.06,6.30,4.35,-81.00,32.73,84.81,
01/01/2000,00:00:02.03,-646.48,215.82,-728.52,0.85,0.67,-0.43,6.90,3.30,-81.15,32.92,85.62,
01/01/2000,00:00:02.04,-643.07,215.33,-724.61,-0.91,0.30,-0.18,6.30,3.60,-81.75,32.58,86.09,
01/01/2000,00:00:02.05,-634.28,223.14,-723.63,-1.28,0.24,-1.46,6.90,3.30,-81.15,32.82,86.82,
01/01/2000,00:00:02.06,-657.71,213.38,-729.00,-0.12,0.67,-0.30,6.90,3.30,-81.15,32.77,86.15,
01/01/2000,00:00:02.07,-665.04,219.73,-727.05,0.55,0.30,0.37,5.40,3.30,-79.65,32.92,86.57,
01/01/2000,00:00:02.08,-654.30,214.36,-734.86,0.12,1.10,-0.67,6.15,3.75,-81.45,32.77,87.21,
01/01/2000,00:00:02.09,-643.55,209.47,-714.84,0.79,2.07,-2.50,6.75,1.95,-80.25,32.92,87.57,
01/01/2000,00:00:02.10,-639.16,220.21,-718.26,-1.52,2.56,-3.11,5.85,3.75,-81.15,32.82,88.15,
01/01/2000,00:00:02.11,-632.32,219.24,-715.82,0.73,2.07,0.30,5.85,3.75,-81.15,32.92,88.47,
01/01/2000,00:00:02.12,-636.72,217.29,-722.66,-1.10,0.43,-0.43,5.25,1.65,-80.55,32.58,88.08,
01/01/2000,00:00:02.13,-636.23,212.89,-725.10,0.37,0.55,-1.83,6.15,3.75,-80.85,32.63,88.38,
01/01/2000,00:00:02.14,-638.18,225.10,-721.68,2.38,-0.79,0.67,7.35,5.85,-82.05,33.11,88.89,
01/01/2000,00:00:02.15,-635.25,216.80,-735.84,0.73,-1.10,1.10,7.35,5.85,-82.05,32.77,89.16,
01/01/2000,00:00:02.16,-628.42,213.87,-729.49,0.12,0.67,1.34,7.35,5.85,-82.05,32.82,89.62,
01/01/2000,00:00:02.18,-639.65,213.38,-731.45,0.98,1.46,-0.49,5.85,4.05,-81.90,33.06,89.04,
01/01/2000,00:00:02.19,-629.88,222.17,-727.54,-1.34,1.71,-0.37,7.80,3.15,-81.30,32.92,89.29,
01/01/2000,00:00:02.20,-635.25,223.14,-740.23,0.49,-1.83,-0.43,7.80,3.15,-81.30,32.82,89.72,
01/01/2000,00:00:02.20,-633.30,206.05,-728.52,0.00,-1.89,-0.49,7.05,3.90,-80.55,32.97,89.94,
01/01/2000,00:00:02.21,-639.16,219.73,-730.96,-0.79,-1.65,1.16,6.90,4.05,-82.65,32.82,90.34,
01/01/2000,00:00:02.22,-628.91,215.33,-729.98,-0.98,-2.62,1.22,7.05,1.65,-80.55,33.06,90.53,
01/01/2000,00:00:02.24,-626.46,223.63,-737.30,-1.52,-0.55,-3.54,6.15,2.55,-80.85,32.73,90.18,
01/01/2000,00:00:02.25,-618.16,211.43,-738.77,0.49,-1.52,-0.67,6.15,2.55,-80.85,32.82,90.37,
01/01/2000,00:00:02.28,-624.51,223.14,-719.24,-0.12,-0.06,-1.83,6.30,3.60,-80.25,32.97,87.04,
01/01/2000,00:00:02.29,-628.91,219.73,-736.33,-0.43,-2.80,1.71,4.65,3.30,-80.10,33.06,86.64,
01/01/2000,00:00:02.30,-635.25,221.19,-727.54,-0.06,-1.89,-0.06,7.05,3.15,-81.30,32.92,87.03,
01/01/2000,00:00:02.32,-631.35,219.24,-727.54,-2.01,-1.04,0.73,4.35,4.50,-80.40,33.06,86.66,
01/01/2000,00:00:02.33,-646.97,220.21,-721.68,-0.67,-2.93,-0.12,6.15,3.75,-82.20,32.77,86.88,
01/01/2000,00:00:02.33,-634.28,212.40,-731.45,-1.52,-4.09,-0.24,5.25,2.40,-81.75,32.73,87.25,
01/01/2000,00:00:02.34,-645.02,225.10,-727.54,-0.61,-1.71,0.85,5.25,2.40,-81.75,32.92,87.46,
01/01/2000,00:00:02.35,-632.81,229.98,-712.89,-0.49,-1.89,-0.49,5.40,3.00,-81.45,32.97,87.80,
01/01/2000,00:00:02.37,-644.53,220.21,-720.21,-1.34,-0.85,1.34,7.65,3.30,-80.40,33.06,87.44,
01/01/2000,00:00:02.38,-645.02,217.29,-721.68,-2.07,-2.62,1.34,6.75,2.70,-80.55,33.06,87.64,
01/01/2000,00:00:02.39,-651.86,223.14,-715.82,-0.73,-4.27,-0.06,6.75,3.15,-81.30,32.92,87.96,
01/01/2000,00:00:02.40,-636.72,231.45,-714.84,0.91,-4.15,0.79,6.75,3.15,-81.30,33.06,88.15,
01/01/2000,00:00:02.41,-645.51,218.26,-715.33,-0.55,-2.01,-2.01,6.30,3.60,-82.35,33.06,88.46,
01/01/2000,00:00:02.42,-652.34,212.40,-717.77,-0.91,-0.73,-0.30,6.45,3.30,-80.85,33.06,88.63,
01/01/2000,00:00:02.43,-654.79,215.33,-718.26,0.55,-0.06,1.34,5.40,2.55,-79.65,32.92,88.28,
01/01/2000,00:00:02.44,-644.53,224.61,-719.73,-3.35,-0.79,-1.22,5.40,2.55,-79.65,32.82,88.57,
01/01/2000,00:00:02.45,-660.64,201.66,-711.91,-2.07,-0.24,0.18,7.80,2.70,-81.00,32.97,88.73,
01/01/2000,00:00:02.46,-639.16,225.59,-713.38,0.73,-0.49,0.00,5.25,3.15,-82.05,33.16,89.01,
01/01/2000,00:00:02.47,-658.20,209.96,-719.24,0.43,-1.46,1.95,6.30,3.15,-80.25,32.73,89.16,
01/01/2000,00:00:02.48,-650.88,228.03,-726.56,0.55,-2.74,0.12,6.30,3.15,-80.25,33.06,88.95,
01/01/2000,00:00:02.49,-641.60,210.94,-712.89,-0.91,-0.91,-0.30,6.45,3.75,-81.90,33.11,89.10,
01/01/2000,00:00:02.50,-640.14,216.80,-706.54,-0.49,-0.91,-0.06,7.20,3.00,-81.45,33.06,89.24,
01/01/2000,00:00:02.51,-639.16,212.89,-727.54,-0.37,-0.06,-1.10,6.00,4.65,-80.55,32.92,89.49,
01/01/2000,00:00:02.52,-651.86,218.26,-723.14,-1.71,2.38,-0.18,5.85,4.05,-82.95,32.73,89.63,
