rtcDate,rtcTime,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,imu_degC,output_Hz,
01/01/2000,00:00:01.68,-205.57,958.98,-102.54,0.43,-0.30,0.61,17.85,20.10,-41.85,33.11,250.00,
01/01/2000,00:00:01.76,-166.02,965.82,-107.42,-2.56,0.91,-0.18,18.60,18.60,-40.35,33.11,25.64,
01/01/2000,00:00:01.77,-172.36,960.45,-104.00,-2.26,-0.43,1.28,18.60,18.60,-40.35,33.06,32.97,
01/01/2000,00:00:01.78,-177.25,967.29,-118.16,-1.34,-0.73,-1.28,17.70,19.50,-40.95,32.97,39.60,
01/01/2000,00:00:01.79,-185.55,969.24,-109.86,-1.34,-1.04,0.24,18.90,20.85,-41.10,33.16,45.45,
01/01/2000,00:00:01.81,-193.85,968.26,-118.65,-3.54,-0.18,0.37,17.70,18.30,-40.95,33.06,48.39,
01/01/2000,00:00:01.82,-190.43,957.03,-115.72,-0.18,-1.89,-0.61,17.70,18.30,-40.95,33.11,52.24,
01/01/2000,00:00:01.83,-193.85,965.33,-121.09,-0.85,-0.98,-2.32,17.55,19.65,-41.10,32.97,55.56,
01/01/2000,00:00:01.84,-189.45,952.15,-124.51,-0.24,-0.55,-2.07,17.10,17.70,-39.60,32.82,58.82,
01/01/2000,00:00:01.85,-184.57,950.68,-105.47,-1.04,0.12,-3.41,17.55,20.10,-43.65,33.06,61.35,
01/01/2000,00:00:01.86,-178.71,953.61,-111.33,1.77,1.10,0.67,17.55,20.10,-43.65,33.30,62.50,
01/01/2000,00:00:01.87,-170.90,952.15,-101.07,-1.28,0.24,0.43,17.85,20.85,-40.65,32.82,64.52,
01/01/2000,00:00:01.88,-185.06,971.68,-106.93,0.06,-0.98,-0.49,17.85,20.85,-40.65,33.30,66.33,
01/01/2000,00:00:01.89,-193.85,954.59,-94.24,-0.79,-0.37,-1.89,17.85,20.40,-41.40,33.11,68.29,
