rtcDate,rtcTime,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,imu_degC,output_Hz,
01/01/2000,00:00:01.33,-218.75,-981.93,145.51,0.98,-0.30,1.71,15.75,-90.30,-64.65,32.25,333.333,
01/01/2000,00:00:01.37,-222.66,-990.72,146.48,0.61,-0.30,1.40,13.05,-91.05,-64.20,32.25,51.282,
01/01/2000,00:00:01.38,-230.47,-999.02,144.53,-1.34,-1.40,0.0,13.05,-91.05,-64.20,32.25,57.692,
01/01/2000,00:00:01.39,-214.36,-993.65,144.53,2.13,1.28,-3.66,17.40,-90.15,-65.85,32.06,64.516,
01/01/2000,00:00:01.40,-233.40,-985.84,148.44,0.43,0.0,-1.77,16.65,-90.15,-64.80,31.86,68.493,
01/01/2000,00:00:01.41,-236.33,-996.09,148.44,-0.06,-0.06,-0.85,18.90,-90.15,-65.55,31.86,71.429,
01/01/2000,00:00:01.42,-230.96,-983.40,146.48,3.72,0.67,2.68,17.25,-90.75,-66.45,31.91,73.684,
01/01/2000,00:00:01.43,-218.26,-981.45,146.97,1.22,2.68,0.30,16.50,-89.85,-66.75,32.01,75.472,
01/01/2000,00:00:01.44,-226.56,-992.68,152.83,-0.37,0.12,-0.79,18.0,-89.55,-65.70,32.10,77.586,
01/01/2000,00:00:01.45,-227.05,-985.84,142.09,2.32,-1.28,2.07,17.55,-90.30,-67.20,32.29,78.740,
01/01/2000,00:00:01.46,-228.52,-992.19,143.55,-1.52,0.43,-3.48,17.55,-90.30,-67.20,32.25,79.710,
01/01/2000,00:00:01.47,-235.35,-989.26,151.37,1.04,0.24,0.18,17.40,-88.95,-65.85,31.91,80.537,
01/01/2000,00:00:01.49,-227.05,-998.05,151.37,2.93,0.67,0.30,17.25,-89.85,-66.0,32.01,81.250,
01/01/2000,00:00:01.49,-230.96,-985.84,150.88,-1.52,0.85,0.12,17.40,-89.70,-65.55,32.10,82.353,
01/01/2000,00:00:01.51,-215.82,-1009.77,153.81,0.61,-2.32,1.10,18.30,-91.05,-64.20,31.86,82.873,
01/01/2000,00:00:01.52,-234.86,-977.54,141.11,1.04,0.30,-1.40,17.55,-89.55,-65.70,32.20,83.770,
01/01/2000,00:00:01.53,-218.26,-981.93,150.39,1.71,0.18,-0.12,18.90,-91.35,-66.60,32.06,83.744,
01/01/2000,00:00:01.54,-218.26,-997.07,148.93,-0.85,-2.50,2.26,18.90,-91.35,-66.60,32.10,84.507,
01/01/2000,00:00:01.55,-221.68,-993.65,146.00,1.04,-1.04,-0.43,18.90,-91.35,-66.60,32.53,84.821,
01/01/2000,00:00:01.56,-222.17,-988.28,140.14,-1.34,1.16,-1.46,17.40,-90.15,-64.35,32.20,85.106,
01/01/2000,00:00:01.57,-222.66,-999.02,153.32,1.16,0.18,0.18,16.05,-91.05,-64.95,32.25,85.714,
01/01/2000,00:00:01.58,-214.84,-989.75,154.79,-0.73,0.30,-0.37,16.50,-89.85,-65.70,32.25,85.603,
01/01/2000,00:00:01.59,-208.50,-990.72,158.69,-1.65,0.55,-2.13,16.50,-89.10,-64.20,32.29,85.821,
01/01/2000,00:00:01.61,-228.03,-988.28,149.90,-0.79,0.37,-1.59,18.15,-90.15,-64.80,32.01,86.331,
01/01/2000,00:00:01.62,-228.52,-985.35,142.58,-0.18,2.56,-0.06,16.80,-89.55,-65.70,32.10,86.505,
01/01/2000,00:00:01.63,-229.98,-982.42,149.41,1.65,1.52,0.85,16.80,-89.55,-65.70,32.06,86.667,
01/01/2000,00:00:01.64,-218.75,-988.28,145.51,-0.37,3.35,-1.16,16.80,-89.55,-65.70,32.20,86.817,
01/01/2000,00:00:01.65,-212.40,-994.63,146.48,-0.24,-1.34,-0.55,15.45,-90.45,-63.60,32.10,86.957,
01/01/2000,00:00:01.66,-198.73,-1011.72,136.23,0.43,0.98,0.0,17.40,-89.70,-66.30,32.01,87.087,
01/01/2000,00:00:01.67,-194.34,-1003.42,145.02,0.91,-2.74,2.44,15.90,-89.70,-64.35,32.01,87.464,
01/01/2000,00:00:01.68,-214.36,-988.28,145.51,-3.72,0.18,-0.73,17.70,-89.25,-65.10,32.29,87.571,
01/01/2000,00:00:01.69,-239.75,-987.30,150.39,-0.18,-0.98,0.0,15.75,-89.10,-66.75,32.01,87.432,
01/01/2000,00:00:01.70,-227.05,-990.23,144.53,0.79,-1.40,1.40,16.65,-90.90,-66.30,32.29,87.766,
01/01/2000,00:00:01.71,-236.33,-1000.98,147.95,0.91,-0.91,-0.91,16.65,-90.90,-66.30,32.25,87.855,
01/01/2000,00:00:01.72,-244.14,-998.54,154.79,0.67,1.04,0.06,16.65,-90.90,-66.30,32.06,87.940,
01/01/2000,00:00:01.73,-227.54,-989.75,145.51,1.77,-0.43,-0.24,18.30,-89.85,-64.95,32.25,88.235,
01/01/2000,00:00:01.74,-217.29,-998.54,136.72,1.46,1.83,0.61,16.20,-88.50,-65.55,32.39,88.305,
01/01/2000,00:00:01.76,-223.63,-1004.39,151.37,1.52,0.49,0.06,17.40,-90.15,-65.10,32.20,88.372,
01/01/2000,00:00:01.76,-215.82,-1012.70,156.74,0.73,-0.49,-0.43,16.05,-91.05,-65.40,32.39,88.435,
01/01/2000,00:00:01.78,-214.36,-1004.88,141.11,0.49,0.06,-2.26,15.75,-90.30,-65.40,32.01,88.496,
01/01/2000,00:00:01.79,-199.71,-994.14,135.25,-2.56,0.98,-0.67,18.0,-89.10,-64.95,32.29,88.745,
01/01/2000,00:00:01.80,-221.19,-998.54,151.37,4.39,-1.65,2.01,18.0,-89.10,-64.95,32.10,88.795,
01/01/2000,00:00:01.81,-217.77,-999.02,145.51,0.55,-0.67,1.52,18.0,-89.10,-64.95,32.10,88.843,
01/01/2000,00:00:01.82,-212.40,-976.07,151.86,0.43,-2.68,-0.91,16.05,-91.50,-65.40,32.25,88.889,
01/01/2000,00:00:01.83,-237.79,-974.61,145.02,0.24,0.43,-1.52,18.90,-90.15,-65.55,32.25,88.933,
01/01/2000,00:00:01.85,-214.36,-985.35,149.90,-0.67,0.73,-0.18,15.75,-91.50,-62.40,32.25,88.462,
01/01/2000,00:00:01.86,-221.19,-1003.91,155.76,-1.83,-1.77,-0.06,17.40,-88.95,-65.85,32.10,88.180,
01/01/2000,00:00:01.87,-226.56,-996.58,146.97,-0.24,-2.01,-2.62,17.40,-89.70,-66.30,32.39,88.073,
01/01/2000,00:00:01.88,-225.10,-988.28,151.86,0.67,-0.49,0.0,17.40,-89.70,-66.30,31.91,88.129,
01/01/2000,00:00:01.89,-223.63,-997.56,154.30,1.34,2.13,-1.59,17.40,-89.70,-66.30,32.29,88.339,
01/01/2000,00:00:01.90,-230.47,-1001.95,147.95,1.04,-1.71,4.45,14.85,-90.75,-64.95,32.25,88.388,
01/01/2000,00:00:01.91,-220.21,-1000.49,143.55,-0.79,0.24,-0.55,15.90,-88.50,-65.10,31.86,88.435,
01/01/2000,00:00:01.92,-224.61,-979.98,134.77,0.12,0.06,-1.28,16.20,-90.90,-64.80,32.25,88.481,
01/01/2000,00:00:01.93,-217.77,-1000.49,145.02,0.12,0.43,-4.27,16.80,-90.30,-65.40,32.25,88.525,
01/01/2000,00:00:01.94,-222.17,-989.75,141.60,1.71,-1.77,0.85,16.80,-91.80,-64.95,32.10,88.567,
01/01/2000,00:00:01.96,-229.98,-990.72,151.86,-0.37,0.61,0.49,17.55,-88.35,-64.95,32.39,88.748,
01/01/2000,00:00:01.96,-227.05,-986.82,150.88,-1.59,-2.50,-1.04,17.55,-88.35,-64.95,32.25,88.785,
01/01/2000,00:00:01.97,-222.66,-984.38,160.64,-2.93,-0.30,-5.18,17.55,-88.35,-64.95,32.25,88.821,
01/01/2000,00:00:01.99,-215.33,-989.75,161.13,-0.37,0.0,3.23,17.55,-90.75,-66.0,32.29,88.855,
01/01/2000,00:00:02.00,-225.59,-984.86,164.55,-1.77,1.40,-2.62,15.75,-91.50,-62.70,32.25,88.889,
01/01/2000,00:00:02.00,-226.07,-992.68,163.09,1.71,0.61,0.67,16.95,-90.45,-65.85,32.10,89.051,
01/01/2000,00:00:02.01,-230.47,-989.26,158.20,-2.26,-0.18,1.89,16.65,-90.15,-65.55,32.44,89.080,
01/01/2000,00:00:02.02,-252.44,-995.61,155.27,-1.16,3.11,-0.55,17.25,-89.10,-64.20,32.39,89.109,
01/01/2000,00:00:02.04,-247.07,-988.28,149.41,-3.11,0.37,-1.04,17.25,-91.50,-66.0,32.25,89.136,
01/01/2000,00:00:02.05,-247.56,-999.51,146.97,-2.93,0.91,-1.89,17.25,-91.50,-66.0,32.44,89.163,
01/01/2000,00:00:02.06,-246.09,-988.28,137.70,1.22,2.99,1.16,17.25,-91.50,-66.0,32.10,89.310,
01/01/2000,00:00:02.07,-246.09,-992.19,151.86,-2.20,-0.18,-1.65,17.70,-90.15,-66.30,32.20,89.333,
01/01/2000,00:00:02.08,-261.23,-1002.44,139.65,-4.02,3.17,-1.89,17.70,-90.15,-67.05,32.01,89.356,
01/01/2000,00:00:02.09,-260.25,-981.45,144.53,0.12,-0.43,-3.96,16.80,-89.85,-66.0,32.39,89.378,
01/01/2000,00:00:02.10,-247.56,-982.91,141.60,-1.16,2.93,-1.95,16.20,-92.10,-65.10,32.20,89.400,
01/01/2000,00:00:02.11,-236.82,-971.68,142.58,-1.04,1.59,-3.60,17.40,-90.15,-66.30,32.29,89.421,
01/01/2000,00:00:02.12,-213.87,-998.05,146.48,-2.50,1.95,-1.59,16.80,-89.85,-65.40,32.10,89.552,
01/01/2000,00:00:02.13,-185.55,-985.84,136.23,-2.20,2.99,-2.80,16.80,-89.85,-65.40,32.25,89.571,
01/01/2000,00:00:02.15,-190.92,-1004.39,136.23,-2.74,3.78,-3.84,16.80,-89.85,-65.40,32.44,89.480,
01/01/2000,00:00:02.16,-187.50,-1005.86,141.11,-3.05,1.22,-6.52,16.20,-90.90,-64.80,32.20,89.606,
01/01/2000,00:00:02.17,-173.83,-1010.74,132.32,-3.23,0.91,-4.45,17.25,-90.75,-65.40,32.25,89.623,
01/01/2000,00:00:02.18,-194.82,-1000.0,142.58,-2.50,0.06,-1.89,16.95,-89.25,-67.35,32.29,89.639,
