rtcDate,rtcTime,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,imu_degC,output_Hz,
01/01/2000,00:00:01.64,-45.41,976.56,-28.32,-1.46,-1.83,-0.67,-18.00,22.50,-50.70,32.97,333.33,
01/01/2000,00:00:01.69,-36.13,992.19,-20.02,0.12,-0.18,-0.30,-18.45,24.00,-50.70,32.73,37.74,
01/01/2000,00:00:01.71,-14.16,974.12,-21.48,-1.46,-0.37,-3.23,-17.55,23.40,-51.15,33.11,44.78,
01/01/2000,00:00:01.71,-36.13,985.35,-21.48,-0.98,0.98,0.18,-17.85,21.90,-52.20,33.06,52.63,
01/01/2000,00:00:01.72,-35.64,980.47,-30.27,-0.18,0.24,0.12,-17.85,21.90,-52.20,32.92,58.14,
01/01/2000,00:00:01.74,-28.32,980.47,-30.27,0.73,-2.13,-0.43,-18.60,23.40,-50.85,33.11,60.00,
01/01/2000,00:00:01.75,-32.71,986.82,-19.53,0.12,1.28,-0.06,-18.90,22.65,-51.90,32.97,64.22,
01/01/2000,00:00:01.76,-30.76,989.75,-38.57,-1.40,-2.38,1.04,-17.55,24.30,-51.60,33.30,67.23,
01/01/2000,00:00:01.77,-38.09,979.49,-30.76,-0.43,-0.91,1.04,-16.95,23.70,-51.75,32.82,70.31,
01/01/2000,00:00:01.78,-40.04,994.14,-34.67,-2.32,0.91,-1.16,-16.95,23.70,-51.75,33.11,72.46,
01/01/2000,00:00:01.79,-51.27,973.63,-28.81,-3.41,0.79,0.00,-19.05,23.70,-52.80,33.25,74.83,
01/01/2000,00:00:01.80,-61.52,982.42,-30.27,0.73,0.18,-1.16,-18.45,22.20,-51.75,33.06,74.53,
01/01/2000,00:00:01.81,-51.27,981.93,-27.83,-1.59,-0.55,-0.79,-18.45,22.20,-51.75,33.06,76.02,
01/01/2000,00:00:01.82,-24.41,978.52,-35.16,-0.18,0.67,-1.22,-18.45,22.20,-51.75,33.06,77.78,
01/01/2000,00:00:01.83,-44.92,991.21,-28.81,1.71,-1.71,0.61,-17.85,23.40,-52.20,32.92,78.95,
01/01/2000,00:00:01.84,-36.62,981.45,-31.25,1.46,-0.61,0.55,-18.00,22.50,-51.75,33.11,80.40,
01/01/2000,00:00:01.86,-30.76,982.91,-24.41,-1.89,0.00,0.85,-17.85,23.85,-50.85,33.11,79.81,
01/01/2000,00:00:01.87,-36.13,979.49,-22.46,0.43,-0.91,0.00,-17.85,23.85,-50.85,33.11,80.72,
01/01/2000,00:00:01.88,-41.02,988.77,-24.41,-0.67,-2.13,0.12,-18.00,22.20,-51.30,32.97,81.90,
01/01/2000,00:00:01.89,-32.23,981.45,-31.25,-1.83,0.18,0.37,-18.00,23.70,-51.75,33.11,82.64,
01/01/2000,00:00:01.90,-34.67,984.86,-30.27,-0.55,1.65,-0.24,-17.55,22.35,-50.85,33.16,83.67,
01/01/2000,00:00:01.91,-33.20,981.45,-28.81,0.98,0.24,2.01,-18.60,24.30,-50.40,33.25,83.02,
01/01/2000,00:00:01.92,-24.90,995.61,-33.20,-0.67,-1.40,0.06,-18.60,24.30,-50.40,33.11,83.64,
01/01/2000,00:00:01.93,-36.62,987.30,-21.97,0.61,-2.32,0.73,-17.85,23.40,-51.60,32.97,84.51,
01/01/2000,00:00:01.94,-32.71,989.75,-23.44,-0.91,-0.73,1.71,-17.85,23.40,-51.60,33.25,85.03,
01/01/2000,00:00:01.95,-37.11,987.30,-27.34,-1.52,-0.67,-0.12,-18.15,22.35,-52.65,33.35,85.81,
01/01/2000,00:00:01.96,-40.04,983.89,-21.97,0.30,0.49,-3.23,-18.00,22.95,-53.10,33.11,86.26,
01/01/2000,00:00:01.97,-35.64,981.45,-19.04,-1.34,-2.20,-0.06,-18.00,22.95,-53.10,33.06,85.89,
01/01/2000,00:00:01.98,-40.53,980.47,-28.32,1.65,0.00,0.73,-18.90,23.10,-50.10,33.11,86.31,
01/01/2000,00:00:01.99,-54.69,965.82,-26.86,-0.73,-1.46,0.61,-16.80,22.65,-50.85,32.97,86.71,
01/01/2000,00:00:02.00,-36.62,967.77,-19.53,0.61,0.06,-1.22,-18.90,23.10,-52.65,33.11,87.32,
01/01/2000,00:00:02.00,-39.55,981.93,-25.39,-1.28,-0.73,-2.13,-18.45,21.75,-50.70,32.82,87.67,
01/01/2000,00:00:02.02,-33.20,987.79,-27.34,-0.24,-1.34,-3.17,-18.60,22.35,-50.85,32.92,87.30,
01/01/2000,00:00:02.03,-50.78,996.09,-22.46,0.30,-2.07,1.65,-18.75,22.20,-52.50,32.97,87.63,
01/01/2000,00:00:02.04,-33.69,972.66,-27.34,0.18,0.24,-1.40,-18.90,22.65,-52.20,33.16,87.94,
01/01/2000,00:00:02.05,-47.36,993.65,-22.95,-1.59,-0.55,-1.59,-18.90,22.65,-52.20,33.06,88.45,
01/01/2000,00:00:02.06,-36.62,975.59,-34.18,-0.98,2.68,1.04,-17.70,22.50,-51.75,33.25,88.73,
01/01/2000,00:00:02.07,-37.60,986.82,-25.39,-1.04,0.43,0.98,-17.85,23.40,-50.85,33.25,89.20,
01/01/2000,00:00:02.08,-38.57,990.23,-22.95,-0.55,1.04,-2.50,-18.60,22.65,-51.15,33.11,88.04,
01/01/2000,00:00:02.09,-43.95,992.19,-31.74,-1.52,0.18,-1.83,-18.90,22.65,-50.10,32.92,88.30,
01/01/2000,00:00:02.10,-41.99,986.82,-27.34,-1.52,0.61,-0.98,-18.90,22.65,-50.10,33.16,88.74,
01/01/2000,00:00:02.11,-41.02,989.26,-24.41,-1.40,1.65,-0.73,-17.25,21.75,-52.05,33.25,88.98,
01/01/2000,00:00:02.12,-43.46,972.17,-22.46,-0.61,-0.61,-0.12,-18.45,24.00,-50.25,33.16,89.40,
01/01/2000,00:00:02.14,-34.67,995.61,-27.83,1.46,0.43,-0.49,-17.85,23.10,-50.40,33.35,88.89,
01/01/2000,00:00:02.15,-26.37,989.26,-21.48,-0.43,-0.85,-1.28,-17.85,23.10,-50.40,33.35,89.11,
01/01/2000,00:00:02.18,-32.23,975.10,-22.46,-1.89,1.10,-0.37,-18.15,25.05,-52.20,33.25,85.82,
01/01/2000,00:00:02.19,-35.16,993.65,-19.04,0.24,-0.55,-0.91,-17.85,22.35,-50.40,33.25,85.61,
01/01/2000,00:00:02.20,-36.13,971.19,-21.48,0.79,-0.24,-0.79,-17.85,22.35,-50.40,33.25,85.87,
01/01/2000,00:00:02.21,-48.83,986.82,-23.44,-0.24,-2.87,2.13,-18.75,23.25,-51.75,33.16,85.51,
01/01/2000,00:00:02.22,-52.73,972.66,-22.95,-0.18,0.43,0.61,-16.50,22.95,-51.75,32.92,85.91,
01/01/2000,00:00:02.23,-37.11,972.17,-14.65,0.30,0.73,2.62,-17.70,23.70,-52.50,33.16,86.15,
01/01/2000,00:00:02.24,-28.81,984.38,-22.95,1.10,0.30,1.77,-17.70,23.70,-52.50,33.11,86.52,
01/01/2000,00:00:02.25,-29.30,987.79,-23.44,0.43,-0.37,1.40,-17.70,23.70,-52.50,33.11,86.74,
01/01/2000,00:00:02.26,-28.32,980.96,-17.58,0.37,0.79,1.22,-17.70,22.95,-52.05,32.92,87.10,
01/01/2000,00:00:02.28,-34.18,979.49,-26.86,-0.30,0.49,0.30,-19.35,23.10,-50.40,33.06,86.75,
01/01/2000,00:00:02.28,-46.39,988.77,-27.83,0.85,-2.99,1.89,-19.35,23.10,-50.40,33.11,86.96,
01/01/2000,00:00:02.29,-31.25,978.03,-25.88,-0.73,-0.18,0.06,-18.45,21.75,-52.50,33.35,87.29,
01/01/2000,00:00:02.30,-39.06,975.10,-25.39,-1.46,-0.37,0.00,-18.45,23.70,-52.05,33.25,87.48,
01/01/2000,00:00:02.31,-41.02,981.93,-28.32,-1.22,-0.98,-0.43,-17.70,23.25,-51.30,33.16,87.80,
01/01/2000,00:00:02.33,-32.71,979.98,-33.69,-0.61,-1.34,-2.26,-18.15,22.65,-51.90,33.30,87.46,
01/01/2000,00:00:02.34,-32.71,979.00,-30.27,-0.91,-1.34,-0.24,-18.15,22.65,-51.90,32.92,87.64,
01/01/2000,00:00:02.35,-39.55,974.12,-30.76,0.00,0.55,-0.91,-18.45,24.75,-52.05,33.35,87.94,
01/01/2000,00:00:02.36,-23.93,966.31,-20.02,-2.26,-0.30,-0.98,-17.85,23.85,-51.60,33.35,88.24,
01/01/2000,00:00:02.37,-30.27,987.30,-32.23,0.79,-1.52,0.06,-17.55,23.85,-50.85,33.11,88.40,
01/01/2000,00:00:02.38,-29.30,978.52,-29.30,0.49,-0.91,-0.49,-18.00,22.95,-50.25,33.35,88.68,
01/01/2000,00:00:02.39,-17.58,973.14,-26.37,0.37,-3.96,1.40,-18.00,22.95,-50.25,33.16,88.35,
01/01/2000,00:00:02.40,-52.73,984.86,-20.02,-0.85,-0.73,-0.61,-19.05,22.50,-49.20,33.35,88.51,
01/01/2000,00:00:02.41,-50.29,970.70,-21.97,-1.34,-1.59,1.52,-18.15,21.90,-50.40,33.25,88.77,
01/01/2000,00:00:02.42,-55.66,970.70,-43.95,1.16,0.43,-0.98,-18.00,22.20,-52.05,33.16,88.92,
01/01/2000,00:00:02.43,-53.71,972.17,-29.79,-3.05,1.34,0.30,-18.00,24.45,-52.50,33.06,89.17,
01/01/2000,00:00:02.44,-41.99,990.23,-33.20,-1.71,0.91,-1.95,-19.35,23.40,-52.20,33.25,88.86,
01/01/2000,00:00:02.45,-48.83,978.03,-28.32,-0.18,1.34,-2.01,-18.00,23.70,-51.30,33.11,89.00,
01/01/2000,00:00:02.46,-33.20,989.75,-24.90,-0.24,-1.04,1.77,-18.00,24.45,-52.80,33.11,89.24,
01/01/2000,00:00:02.47,-28.32,985.84,-26.86,-0.24,1.34,-1.89,-18.00,24.45,-52.80,33.16,89.37,
01/01/2000,00:00:02.48,-46.88,974.12,-18.07,0.00,2.50,-0.30,-20.25,24.45,-52.80,33.25,89.61,
01/01/2000,00:00:02.49,-41.50,978.52,-30.76,0.55,-0.55,0.73,-20.25,23.70,-51.75,33.25,89.83,
01/01/2000,00:00:02.50,-37.60,987.79,-34.18,-1.71,0.00,-0.06,-18.00,24.00,-51.00,33.49,89.53,
01/01/2000,00:00:02.51,-36.62,993.65,-37.11,0.24,-1.71,-0.18,-18.60,23.10,-50.85,33.30,89.66,
01/01/2000,00:00:02.52,-50.29,994.14,-32.71,1.46,-2.80,-0.37,-18.60,23.10,-50.85,33.35,89.87,
01/01/2000,00:00:02.53,-51.27,975.59,-40.04,0.55,-2.50,-1.22,-17.55,23.40,-52.95,33.25,89.99,
01/01/2000,00:00:02.54,-39.06,981.45,-20.02,-0.55,-0.37,-1.71,-19.80,24.45,-51.75,32.77,90.20,
01/01/2000,00:00:02.56,-36.13,979.49,-31.25,-0.79,1.83,-1.77,-16.95,22.95,-51.75,33.25,89.91,
01/01/2000,00:00:02.57,-40.53,977.05,-38.57,1.28,-0.12,-0.49,-17.85,24.60,-50.85,33.35,90.02,
01/01/2000,00:00:02.57,-45.90,992.19,-29.79,-2.68,1.89,-1.16,-17.85,24.60,-50.85,33.35,90.23,
