rtcDate,rtcTime,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,imu_degC,output_Hz,
01/01/2000,00:00:01.32,-654.30,-645.02,448.73,-0.43,-1.28,2.74,30.45,-63.90,-38.10,31.86,500.0,
01/01/2000,00:00:01.34,-658.20,-659.18,447.75,-0.98,-0.49,2.80,31.05,-63.30,-40.50,31.91,86.957,
01/01/2000,00:00:01.36,-656.25,-658.69,450.20,-0.91,-1.71,2.20,31.05,-63.30,-40.50,31.86,83.333,
01/01/2000,00:00:01.37,-650.39,-672.36,454.59,-2.68,-2.13,2.13,32.25,-63.30,-39.45,31.86,86.957,
01/01/2000,00:00:01.38,-652.83,-648.93,439.94,-2.20,-1.83,1.52,32.40,-61.20,-41.10,32.01,87.719,
01/01/2000,00:00:01.39,-652.34,-665.04,450.20,1.16,-1.34,0.49,31.50,-63.75,-39.45,32.10,86.957,
01/01/2000,00:00:01.40,-647.95,-642.09,451.17,0.0,-3.78,2.38,32.40,-63.15,-40.35,32.01,88.608,
01/01/2000,00:00:01.41,-655.76,-659.18,470.21,0.06,-2.68,3.17,32.40,-62.70,-38.85,32.25,88.889,
01/01/2000,00:00:01.42,-657.23,-659.67,459.96,-2.13,-2.93,1.22,31.65,-64.35,-38.55,32.25,89.109,
01/01/2000,00:00:01.43,-651.37,-672.85,464.84,-1.52,-0.55,-2.44,31.65,-64.35,-38.55,32.10,90.090,
01/01/2000,00:00:01.44,-656.74,-653.32,468.75,-0.79,-0.61,-0.85,31.65,-64.35,-38.55,32.01,89.431,
01/01/2000,00:00:01.45,-665.53,-656.25,444.82,2.68,-1.04,2.26,31.65,-63.15,-38.85,32.10,89.552,
01/01/2000,00:00:01.46,-666.02,-662.11,468.26,-1.83,-2.20,-0.12,33.30,-63.75,-39.75,32.25,90.278,
01/01/2000,00:00:01.47,-664.06,-655.76,472.66,-3.35,1.52,-1.10,31.95,-63.15,-39.30,31.86,90.323,
01/01/2000,00:00:01.49,-658.20,-664.55,462.40,-2.68,-1.77,0.73,31.65,-63.15,-40.35,32.25,90.361,
01/01/2000,00:00:01.49,-660.64,-658.20,461.91,-2.07,-0.12,0.61,31.65,-62.70,-39.30,32.20,90.395,
01/01/2000,00:00:01.51,-663.09,-657.23,474.12,-2.20,-1.34,3.17,33.30,-63.30,-38.70,32.25,90.426,
01/01/2000,00:00:01.52,-654.30,-646.00,454.10,-4.09,-0.06,-0.91,33.30,-63.30,-38.70,32.10,90.452,
01/01/2000,00:00:01.53,-670.90,-647.95,460.45,-1.71,0.79,-0.06,33.30,-63.30,-38.70,32.06,90.476,
01/01/2000,00:00:01.54,-651.86,-649.41,467.29,-5.18,0.73,2.26,31.65,-63.15,-40.05,32.20,90.909,
01/01/2000,00:00:01.55,-651.86,-647.95,472.17,-4.39,1.83,0.37,32.40,-64.35,-40.05,32.01,90.909,
01/01/2000,00:00:01.56,-661.62,-651.86,460.94,-1.22,0.49,3.11,32.25,-64.50,-38.25,31.86,90.535,
01/01/2000,00:00:01.57,-652.34,-649.90,467.77,-0.85,1.10,-3.23,31.20,-63.15,-38.85,32.06,90.909,
01/01/2000,00:00:01.59,-654.79,-646.97,465.33,-1.83,0.18,-0.49,32.70,-63.90,-38.85,32.29,90.909,
