rtcDate,rtcTime,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,imu_degC,output_Hz,
01/01/2000,00:00:01.41,-677.73,726.07,88.38,-0.61,4.57,-6.16,19.05,18.00,-56.40,33.30,333.33,
01/01/2000,00:00:01.46,-658.20,734.86,87.89,1.59,2.20,-5.98,19.35,16.20,-55.20,33.06,37.74,
01/01/2000,00:00:01.47,-668.95,722.17,89.36,1.22,2.20,-4.33,19.65,17.40,-55.80,32.97,45.45,
01/01/2000,00:00:01.48,-639.16,717.29,94.73,0.18,1.52,-3.41,19.35,17.70,-57.00,33.11,53.33,
01/01/2000,00:00:01.49,-636.23,727.54,89.36,0.43,-0.37,-3.96,19.35,17.70,-57.00,33.06,58.82,
01/01/2000,00:00:01.51,-648.93,729.49,96.68,1.59,-1.77,-3.84,19.35,18.15,-56.55,33.35,60.61,
01/01/2000,00:00:01.52,-650.88,725.59,97.66,3.41,-2.13,-2.93,18.75,19.05,-56.10,33.11,64.81,
01/01/2000,00:00:01.53,-657.71,716.80,103.52,2.74,-2.26,-2.01,20.25,17.55,-56.70,33.25,67.80,
01/01/2000,00:00:01.54,-657.23,721.19,102.54,1.46,-2.87,-3.78,18.75,19.50,-56.40,33.16,70.87,
01/01/2000,00:00:01.55,-674.32,723.14,102.05,4.51,-5.00,-3.84,18.75,19.50,-56.40,33.06,72.99,
01/01/2000,00:00:01.56,-654.30,695.80,90.82,2.01,-4.02,0.24,19.35,19.35,-58.35,33.11,75.34,
01/01/2000,00:00:01.57,-672.36,719.24,90.33,2.13,-1.83,-2.01,18.00,18.75,-56.10,33.59,75.00,
01/01/2000,00:00:01.58,-663.09,709.47,107.91,3.17,-3.66,-0.79,17.55,17.70,-56.25,33.16,76.47,
01/01/2000,00:00:01.59,-666.02,723.14,104.49,0.55,-2.99,-0.24,19.65,18.90,-57.00,33.35,78.21,
01/01/2000,00:00:01.60,-655.27,711.91,99.12,2.74,-1.89,1.16,19.65,18.90,-57.00,33.16,79.37,
01/01/2000,00:00:01.61,-653.81,717.77,94.73,0.06,-1.83,0.43,19.50,17.55,-58.20,33.11,80.81,
01/01/2000,00:00:01.63,-644.04,719.24,103.52,1.77,-2.80,1.22,20.40,16.95,-56.25,33.35,80.19,
01/01/2000,00:00:01.63,-659.67,712.40,94.73,-0.49,-6.16,0.12,20.70,17.40,-57.75,33.11,81.45,
01/01/2000,00:00:01.65,-654.30,711.43,93.75,0.98,-4.57,2.68,20.70,17.40,-57.75,33.25,82.25,
