rtcDate,rtcTime,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,imu_degC,output_Hz,
01/01/2000,00:00:01.32,158.69,960.45,55.66,-3.96,14.21,0.55,-25.95,-19.80,-47.40,31.86,333.333,
01/01/2000,00:00:01.34,177.25,971.19,72.75,-4.39,13.66,3.72,-22.35,-19.95,-49.05,31.91,95.238,
01/01/2000,00:00:01.39,152.83,959.47,74.71,-5.79,12.87,0.0,-27.90,-21.0,-45.60,31.77,44.776,
01/01/2000,00:00:01.40,163.57,946.78,71.29,-5.06,11.46,3.66,-26.10,-22.05,-47.25,31.72,51.282,
01/01/2000,00:00:01.41,171.39,977.54,62.50,-7.13,10.61,1.04,-24.0,-19.05,-48.15,31.67,56.818,
01/01/2000,00:00:01.42,159.67,970.21,61.04,-6.52,8.78,1.89,-23.85,-18.45,-46.20,31.72,60.0,
01/01/2000,00:00:01.43,165.04,965.82,59.57,-8.41,10.43,1.46,-23.85,-18.45,-46.20,31.72,63.636,
01/01/2000,00:00:01.44,171.88,959.96,60.06,-6.28,7.56,4.76,-23.85,-18.45,-46.20,31.86,66.667,
01/01/2000,00:00:01.45,152.83,966.80,57.13,-9.88,6.83,0.12,-23.10,-19.20,-46.95,31.86,68.702,
01/01/2000,00:00:01.46,160.16,955.57,52.73,-9.57,9.57,4.33,-22.65,-19.95,-47.25,31.72,70.922,
01/01/2000,00:00:01.47,154.30,948.24,56.64,-9.82,7.26,1.46,-24.75,-19.35,-46.35,31.77,72.368,
01/01/2000,00:00:01.48,164.55,958.50,57.13,-9.70,7.74,3.11,-22.65,-19.65,-45.75,31.77,73.620,
01/01/2000,00:00:01.49,149.90,967.29,64.45,-11.22,6.83,1.34,-24.0,-18.60,-47.40,31.58,74.713,
01/01/2000,00:00:01.50,133.30,963.38,57.13,-9.94,5.12,5.0,-23.85,-20.40,-47.25,31.72,76.087,
01/01/2000,00:00:01.51,124.02,959.47,80.57,-10.79,8.05,3.11,-22.50,-19.05,-46.65,31.72,77.320,
01/01/2000,00:00:01.53,117.19,959.96,67.38,-12.80,6.28,4.27,-22.50,-19.05,-46.65,31.58,78.049,
01/01/2000,00:00:01.54,142.58,966.80,91.80,-11.16,6.52,4.94,-22.50,-19.05,-46.65,31.77,78.704,
01/01/2000,00:00:01.55,144.04,961.91,94.24,-14.09,5.0,4.63,-23.25,-19.35,-47.10,31.67,79.295,
01/01/2000,00:00:01.56,125.49,945.31,104.98,-14.21,6.04,4.02,-24.45,-19.35,-47.40,31.72,80.169,
01/01/2000,00:00:01.57,81.05,934.08,132.81,-12.80,7.99,8.29,-24.0,-19.35,-45.90,31.67,80.645,
01/01/2000,00:00:01.58,71.29,974.12,123.05,-12.07,11.59,7.20,-24.60,-20.40,-46.95,32.01,81.395,
01/01/2000,00:00:01.59,88.87,1030.27,139.16,-9.63,21.16,6.10,-22.95,-20.25,-45.90,31.77,81.481,
01/01/2000,00:00:01.60,131.35,1029.79,139.65,-10.30,27.26,7.01,-24.45,-19.35,-46.35,31.72,82.143,
01/01/2000,00:00:01.61,239.26,963.38,157.71,-9.39,25.67,5.43,-24.45,-19.35,-46.35,31.58,82.474,
01/01/2000,00:00:01.62,274.41,902.83,163.57,-11.28,19.33,5.43,-24.45,-19.35,-46.35,31.72,82.781,
01/01/2000,00:00:01.63,238.28,873.05,139.65,-12.38,6.40,6.77,-22.65,-20.85,-45.0,31.72,83.333,
01/01/2000,00:00:01.65,140.63,894.53,128.91,-12.56,-2.01,7.80,-22.35,-19.20,-44.70,31.86,83.591,
01/01/2000,00:00:01.66,61.04,990.72,117.19,-13.54,2.56,8.90,-22.35,-19.65,-45.75,31.91,83.582,
01/01/2000,00:00:01.66,66.89,1055.66,123.54,-12.26,12.38,6.16,-23.10,-21.60,-45.0,32.01,84.058,
01/01/2000,00:00:01.67,141.11,1066.41,145.51,-12.32,18.23,7.01,-21.90,-20.40,-46.50,31.86,84.270,
01/01/2000,00:00:01.69,181.64,976.56,156.74,-9.45,19.02,6.83,-22.50,-18.60,-46.35,31.91,84.469,
01/01/2000,00:00:01.70,183.59,864.26,161.13,-12.13,16.65,3.96,-22.50,-18.60,-46.35,31.72,84.881,
01/01/2000,00:00:01.71,171.88,857.42,156.25,-12.50,15.30,8.90,-22.50,-18.60,-46.35,31.58,84.833,
01/01/2000,00:00:01.72,146.48,926.76,150.88,-12.26,15.43,8.11,-23.40,-20.85,-43.20,31.91,85.213,
01/01/2000,00:00:01.73,131.35,986.82,147.95,-11.28,21.22,6.89,-22.95,-19.80,-44.10,31.91,85.366,
01/01/2000,00:00:01.74,151.86,1030.76,161.13,-11.46,20.24,9.51,-23.70,-21.75,-44.85,31.91,85.511,
01/01/2000,00:00:01.75,177.25,993.65,150.88,-10.61,19.39,5.12,-23.70,-19.35,-44.10,31.48,85.648,
01/01/2000,00:00:01.76,179.20,926.27,120.61,-12.07,14.76,8.84,-22.65,-22.05,-42.75,31.86,85.779,
01/01/2000,00:00:01.77,179.69,893.55,110.35,-11.52,12.44,9.70,-23.10,-20.40,-44.25,31.77,85.903,
