rtcDate,rtcTime,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,imu_degC,output_Hz,
01/01/2000,00:00:01.42,224.12,-987.79,-188.96,1.89,-2.38,1.71,5.10,-55.80,-46.80,32.82,333.33,
01/01/2000,00:00:01.47,208.98,-979.98,-192.38,-0.91,-3.05,-1.04,5.55,-54.00,-45.90,32.63,37.74,
01/01/2000,00:00:01.48,208.50,-982.42,-197.75,0.12,-3.35,-0.43,5.55,-54.00,-45.90,32.77,45.45,
01/01/2000,00:00:01.49,208.98,-978.52,-194.34,-0.49,-2.68,-0.98,4.50,-55.20,-47.70,32.73,52.63,
01/01/2000,00:00:01.50,203.61,-965.82,-196.29,0.30,-2.80,-0.67,3.75,-54.75,-48.90,32.73,58.82,
01/01/2000,00:00:01.51,200.68,-977.05,-204.10,-1.65,-1.16,-2.01,3.90,-54.15,-45.75,32.73,60.61,
01/01/2000,00:00:01.53,197.27,-985.35,-204.10,0.30,-2.80,0.67,3.90,-54.15,-45.75,32.58,64.22,
01/01/2000,00:00:01.53,200.20,-980.96,-191.89,0.73,-2.07,-1.28,4.20,-54.00,-48.45,32.73,67.80,
01/01/2000,00:00:01.55,202.15,-982.91,-197.75,0.73,-1.71,-1.83,5.25,-55.50,-47.10,32.82,70.31,
01/01/2000,00:00:01.55,199.22,-978.03,-203.12,-0.73,-1.10,-3.29,5.25,-55.50,-47.10,32.73,72.99,
01/01/2000,00:00:01.57,205.08,-960.45,-207.52,0.91,0.06,2.01,5.10,-55.35,-46.20,32.97,72.85,
01/01/2000,00:00:01.58,227.05,-970.70,-195.80,0.24,-2.68,-2.32,5.10,-55.35,-46.20,32.77,74.53,
01/01/2000,00:00:01.59,220.70,-978.52,-200.20,1.22,0.24,-1.52,6.30,-54.45,-47.40,32.77,76.47,
01/01/2000,00:00:01.60,215.82,-979.98,-191.89,2.26,-1.52,0.24,3.60,-55.80,-46.20,32.92,77.78,
01/01/2000,00:00:01.61,219.73,-972.66,-201.17,-0.67,0.37,-0.73,6.30,-54.00,-49.20,32.92,79.37,
01/01/2000,00:00:01.62,218.26,-980.47,-198.24,-1.40,-0.12,-3.35,5.25,-54.45,-47.40,32.77,80.40,
01/01/2000,00:00:01.63,210.94,-974.61,-190.43,-0.24,-2.13,0.79,5.25,-54.45,-47.40,32.73,79.81,
01/01/2000,00:00:01.64,207.52,-974.12,-188.48,-0.55,-1.52,-0.55,5.55,-53.70,-47.40,32.97,81.08,
01/01/2000,00:00:01.65,201.17,-981.93,-187.01,0.67,-2.07,1.52,6.75,-55.20,-48.45,32.92,81.90,
01/01/2000,00:00:01.66,199.22,-974.12,-190.43,2.26,-0.73,0.67,4.65,-54.15,-47.25,32.58,82.99,
01/01/2000,00:00:01.67,200.68,-974.61,-197.75,-1.46,0.55,-1.28,4.65,-54.15,-47.25,32.97,83.67,
01/01/2000,00:00:01.69,197.75,-972.66,-193.85,1.10,-0.85,1.89,6.45,-55.05,-46.80,32.58,83.02,
01/01/2000,00:00:01.69,205.08,-978.52,-190.43,0.61,0.79,0.61,4.20,-56.25,-45.15,33.06,83.94,
01/01/2000,00:00:01.71,197.27,-971.19,-191.89,-1.77,0.85,0.30,5.55,-53.70,-48.45,32.92,84.51,
01/01/2000,00:00:01.71,202.15,-984.38,-197.27,1.22,-0.55,2.07,5.55,-55.95,-47.40,32.77,85.32,
01/01/2000,00:00:01.72,213.38,-990.23,-204.59,1.77,0.18,1.16,5.55,-55.95,-47.40,32.73,85.81,
01/01/2000,00:00:01.73,208.01,-982.91,-194.82,-1.40,-2.56,1.34,5.25,-54.00,-47.40,32.92,86.54,
