rtcDate,rtcTime,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,imu_degC,output_Hz,
01/01/2000,00:00:01.38,-199.71,949.71,-174.32,-0.61,0.67,0.79,-5.85,20.85,-63.75,33.06,250.00,
01/01/2000,00:00:01.43,-219.73,952.15,-161.13,-0.49,-1.65,1.22,-7.35,20.25,-62.85,33.25,37.74,
01/01/2000,00:00:01.44,-212.40,951.66,-171.88,-0.37,-2.01,-0.91,-8.40,21.90,-62.70,33.06,44.78,
01/01/2000,00:00:01.45,-216.80,958.01,-165.04,-1.52,-0.30,-0.73,-7.35,22.20,-64.35,33.11,52.63,
01/01/2000,00:00:01.46,-204.10,942.38,-163.57,-1.22,-0.91,0.79,-7.35,22.20,-64.35,32.92,58.14,
01/01/2000,00:00:01.47,-213.38,936.04,-163.57,-0.49,-0.06,0.91,-8.10,21.45,-62.55,33.11,60.00,
01/01/2000,00:00:01.49,-213.87,943.85,-160.64,-0.85,1.40,2.44,-7.05,22.20,-64.05,33.11,64.22,
01/01/2000,00:00:01.49,-208.50,959.47,-171.39,1.28,-1.71,0.85,-7.20,22.35,-64.50,33.30,67.23,
01/01/2000,00:00:01.51,-203.12,961.91,-172.85,-0.12,0.18,1.34,-6.75,22.50,-65.10,33.11,70.31,
01/01/2000,00:00:01.51,-218.75,954.10,-169.43,-0.37,0.00,1.46,-6.75,22.50,-65.10,32.77,72.46,
01/01/2000,00:00:01.53,-196.78,960.94,-167.48,-0.85,-0.73,0.37,-7.35,21.45,-64.05,33.11,74.83,
01/01/2000,00:00:01.54,-211.43,955.08,-163.09,-1.77,-0.79,0.06,-6.30,21.00,-64.65,33.16,74.53,
01/01/2000,00:00:01.55,-202.64,926.27,-163.57,0.00,-0.61,-1.89,-6.15,21.60,-63.15,33.06,76.02,
01/01/2000,00:00:01.56,-213.87,946.29,-154.30,-1.22,-2.93,0.55,-6.90,21.15,-64.20,33.16,77.78,
01/01/2000,00:00:01.57,-223.14,944.34,-173.34,1.22,-0.98,1.22,-6.90,21.15,-64.20,32.92,78.95,
01/01/2000,00:00:01.58,-224.61,932.62,-166.50,1.04,-2.20,1.65,-6.90,21.60,-64.20,33.25,80.40,
01/01/2000,00:00:01.59,-208.98,944.34,-159.18,0.37,1.04,1.77,-6.90,21.60,-62.40,33.25,79.81,
01/01/2000,00:00:01.61,-213.87,927.25,-153.81,-0.73,-0.98,2.99,-6.90,21.60,-62.40,33.16,81.08,
01/01/2000,00:00:01.61,-215.82,937.50,-164.06,1.52,2.50,1.71,-6.90,21.60,-62.40,33.44,81.90,
01/01/2000,00:00:01.63,-201.66,954.10,-153.32,-0.12,3.84,0.55,-6.90,20.10,-65.55,33.16,82.99,
01/01/2000,00:00:01.63,-199.22,949.22,-160.16,-1.22,3.54,-0.73,-8.10,21.45,-64.05,33.35,83.67,
01/01/2000,00:00:01.65,-189.94,950.68,-147.46,-1.16,2.07,0.06,-6.90,21.15,-63.45,33.25,83.02,
01/01/2000,00:00:01.66,-192.38,955.08,-169.92,-1.28,-1.22,0.55,-6.90,21.15,-63.45,33.16,83.94,
01/01/2000,00:00:01.67,-188.48,942.87,-152.34,-0.61,-1.04,-1.10,-7.05,22.50,-63.60,33.44,84.51,
01/01/2000,00:00:01.68,-197.75,948.24,-170.41,-0.85,0.18,-0.30,-6.30,21.45,-65.10,33.16,85.32,
01/01/2000,00:00:01.69,-187.99,951.17,-165.53,-0.24,-1.34,0.91,-6.45,22.65,-64.50,33.25,85.81,
01/01/2000,00:00:01.70,-196.29,934.57,-168.95,0.30,-5.37,0.00,-7.05,21.00,-65.10,33.25,86.54,
01/01/2000,00:00:01.71,-203.61,930.18,-174.80,0.37,-4.57,-0.49,-7.05,21.00,-65.10,32.97,85.89,
01/01/2000,00:00:01.72,-208.98,938.96,-180.18,-0.30,-3.23,0.61,-6.75,22.50,-65.10,33.25,86.31,
01/01/2000,00:00:01.73,-206.05,938.96,-173.83,-1.34,-2.50,0.85,-7.35,21.00,-64.35,33.16,86.96,
01/01/2000,00:00:01.74,-212.89,945.31,-169.43,0.55,-4.21,-1.28,-6.15,21.15,-64.50,33.16,87.32,
01/01/2000,00:00:01.75,-215.82,932.62,-169.92,-0.12,-2.99,-0.98,-7.35,22.20,-65.40,33.30,87.91,
01/01/2000,00:00:01.76,-212.89,941.41,-166.99,0.73,-2.32,-0.30,-7.35,22.20,-65.40,33.30,87.30,
01/01/2000,00:00:01.78,-205.57,931.64,-170.41,-3.17,-1.04,-0.55,-7.65,21.90,-64.20,33.35,87.63,
01/01/2000,00:00:01.78,-211.43,937.01,-164.06,0.18,-2.62,-0.30,-6.75,21.75,-63.60,33.11,88.16,
01/01/2000,00:00:01.80,-210.45,931.64,-160.64,-0.43,-1.40,1.04,-5.10,21.90,-64.50,33.11,88.45,
01/01/2000,00:00:01.80,-208.50,934.08,-166.99,-0.91,-0.67,0.12,-5.10,21.90,-64.50,33.16,88.94,
