rtcDate,rtcTime,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,imu_degC,output_Hz,
01/01/2000,00:00:01.43,141.11,143.55,-987.30,-1.34,0.37,2.13,-20.55,4.65,-77.70,32.73,333.33,
01/01/2000,00:00:01.48,130.37,140.14,-977.05,0.00,-2.32,0.55,-22.35,1.65,-78.45,32.92,37.74,
01/01/2000,00:00:01.49,144.04,145.51,-978.03,0.37,0.43,0.18,-21.15,4.80,-78.30,32.77,45.45,
01/01/2000,00:00:01.51,119.63,160.16,-962.89,0.79,-0.67,-2.93,-21.15,3.00,-76.50,32.92,53.33,
01/01/2000,00:00:01.51,136.23,149.41,-986.82,-1.28,1.34,-2.01,-21.15,3.00,-76.50,32.77,58.82,
01/01/2000,00:00:01.53,140.14,142.09,-985.84,-1.22,-0.67,-0.91,-22.05,3.90,-77.70,32.77,60.61,
01/01/2000,00:00:01.54,133.79,149.41,-986.82,0.98,-0.85,1.40,-20.70,5.55,-78.90,32.58,64.22,
01/01/2000,00:00:01.55,141.11,158.69,-991.70,-0.49,0.18,0.30,-21.15,4.05,-77.55,32.77,67.80,
01/01/2000,00:00:01.56,134.28,164.06,-982.91,-2.44,-0.49,-0.12,-21.15,4.05,-77.55,32.97,70.87,
01/01/2000,00:00:01.57,130.86,150.88,-966.80,0.43,-1.16,-1.52,-21.15,5.25,-77.55,32.82,72.99,
01/01/2000,00:00:01.58,125.98,152.34,-971.19,0.73,-1.22,0.30,-22.20,3.30,-78.30,32.63,75.34,
01/01/2000,00:00:01.59,133.30,148.93,-984.38,-0.43,-1.28,0.79,-21.45,4.50,-78.30,32.73,75.00,
01/01/2000,00:00:01.61,141.11,154.79,-964.36,-1.77,0.18,-1.10,-19.65,4.80,-77.10,32.73,76.47,
01/01/2000,00:00:01.61,125.00,148.44,-971.19,-2.26,-0.43,-3.90,-19.65,4.80,-77.10,33.11,78.21,
01/01/2000,00:00:01.63,125.98,143.07,-967.29,0.24,-1.71,-0.24,-20.25,4.35,-79.20,32.92,79.37,
01/01/2000,00:00:01.63,137.70,152.83,-957.52,-0.43,-1.46,-1.16,-19.65,4.50,-78.60,32.77,80.81,
