rtcDate,rtcTime,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,imu_degC,output_Hz,
01/01/2000,00:00:01.32,153.32,958.50,50.29,-3.17,-0.91,-1.16,-19.50,-12.30,-44.10,31.86,333.333,
01/01/2000,00:00:01.37,149.41,980.96,61.04,1.28,1.22,0.18,-23.10,-13.35,-42.45,32.10,38.462,
01/01/2000,00:00:01.38,168.46,986.33,54.20,-0.43,1.52,0.91,-20.10,-12.15,-42.75,31.91,46.154,
01/01/2000,00:00:01.40,159.67,967.29,63.48,-1.04,1.89,0.98,-20.55,-10.35,-43.35,31.91,53.333,
01/01/2000,00:00:01.40,154.30,959.47,54.69,-1.10,-0.98,1.40,-19.65,-12.15,-42.45,32.01,58.140,
01/01/2000,00:00:01.41,153.32,957.03,45.90,0.55,2.56,1.77,-19.80,-13.05,-44.40,32.06,61.856,
01/01/2000,00:00:01.42,165.53,964.84,63.96,-1.16,0.85,-3.96,-19.80,-13.05,-44.40,32.01,65.421,
01/01/2000,00:00:01.44,151.37,960.45,56.64,-1.95,-0.12,-1.59,-19.80,-13.05,-44.40,31.86,67.797,
01/01/2000,00:00:01.44,153.32,968.75,65.43,-3.90,0.85,1.28,-20.40,-12.60,-41.70,32.06,70.313,
01/01/2000,00:00:01.46,162.60,959.96,67.38,-0.30,-1.22,-0.30,-21.0,-12.0,-42.90,31.91,71.942,
01/01/2000,00:00:01.47,151.37,970.21,64.94,-3.17,-0.55,0.55,-20.25,-13.05,-41.85,32.10,73.826,
01/01/2000,00:00:01.48,156.25,963.87,68.36,-3.05,0.12,-1.16,-19.65,-11.70,-44.25,32.10,74.534,
01/01/2000,00:00:01.49,146.48,961.43,60.55,-0.73,1.16,-1.22,-19.05,-12.75,-42.60,31.86,76.023,
01/01/2000,00:00:01.50,153.32,972.17,49.32,-1.10,-1.52,-1.10,-21.15,-12.60,-42.45,31.91,76.923,
01/01/2000,00:00:01.51,148.93,968.75,54.20,-0.55,-1.28,1.59,-21.15,-12.60,-42.45,32.06,78.125,
01/01/2000,00:00:01.52,158.69,975.59,67.87,-0.49,-1.22,0.0,-21.15,-12.60,-42.45,32.01,78.818,
01/01/2000,00:00:01.53,152.83,965.33,77.64,-0.37,-3.05,1.89,-19.35,-11.40,-42.45,31.72,79.439,
01/01/2000,00:00:01.54,151.86,966.31,66.41,0.73,-1.83,1.52,-21.60,-12.15,-42.75,32.01,80.0,
01/01/2000,00:00:01.55,148.93,958.98,70.31,-0.67,-0.85,1.83,-21.75,-13.05,-42.15,31.72,80.851,
01/01/2000,00:00:01.56,143.55,964.36,71.78,-0.12,-2.62,1.65,-21.15,-11.70,-42.0,32.10,81.301,
01/01/2000,00:00:01.57,149.90,985.35,61.52,-3.11,2.38,-4.94,-19.65,-11.70,-42.0,32.10,82.031,
01/01/2000,00:00:01.59,143.07,971.68,62.99,0.91,1.59,2.68,-20.85,-12.15,-42.0,31.86,82.397,
01/01/2000,00:00:01.59,160.16,963.87,72.27,2.01,-0.49,1.95,-19.35,-11.70,-42.75,32.06,82.734,
01/01/2000,00:00:01.61,164.06,974.12,71.78,0.12,-0.12,-1.71,-19.35,-11.70,-42.75,31.91,83.333,
01/01/2000,00:00:01.62,150.39,960.45,56.15,1.83,-0.30,0.79,-19.65,-12.90,-42.75,32.20,83.893,
01/01/2000,00:00:01.63,162.60,961.43,62.01,1.04,-1.16,-0.12,-20.25,-12.30,-42.90,32.10,84.142,
01/01/2000,00:00:01.64,155.27,976.56,69.82,-0.06,0.67,-1.77,-19.65,-12.60,-42.0,32.06,84.639,
01/01/2000,00:00:01.65,144.53,981.93,70.31,0.06,0.55,-0.37,-20.10,-10.95,-43.50,32.06,84.592,
01/01/2000,00:00:01.66,148.44,973.14,61.52,-0.98,0.61,3.17,-21.45,-12.75,-43.35,31.72,85.044,
01/01/2000,00:00:01.67,146.48,973.14,64.45,1.10,0.49,-0.49,-20.55,-12.0,-43.35,31.91,85.227,
01/01/2000,00:00:01.68,151.86,974.12,72.75,1.59,-0.43,0.30,-20.40,-12.15,-42.0,32.25,85.635,
01/01/2000,00:00:01.69,146.00,965.82,68.36,0.55,0.24,-1.52,-20.40,-12.15,-42.0,32.06,86.022,
01/01/2000,00:00:01.70,157.23,952.15,67.38,-1.10,1.10,-0.12,-20.55,-11.10,-42.15,32.06,85.938,
01/01/2000,00:00:01.71,146.00,969.24,60.06,0.91,1.65,-1.77,-20.85,-12.60,-42.0,31.91,86.294,
01/01/2000,00:00:01.72,149.90,967.29,63.48,0.06,1.04,-0.85,-20.10,-12.60,-43.50,31.91,86.634,
