rtcDate,rtcTime,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,imu_degC,output_Hz,
01/01/2000,00:00:01.31,-364.75,556.15,-777.34,-18.90,0.49,4.51,-6.90,-28.80,-96.30,30.86,500.0,
01/01/2000,00:00:01.33,-360.84,526.37,-764.65,-25.24,3.96,6.59,-7.50,-28.35,-96.45,31.19,100.0,
01/01/2000,00:00:01.34,-350.10,548.34,-773.44,-27.44,4.33,5.55,-8.85,-29.25,-94.35,31.05,93.750,
01/01/2000,00:00:01.35,-309.57,577.64,-757.81,-26.83,2.50,5.30,-6.15,-29.25,-95.10,31.05,93.023,
01/01/2000,00:00:01.36,-311.04,548.34,-756.84,-28.05,-2.87,11.95,-7.35,-28.80,-95.10,31.00,94.340,
01/01/2000,00:00:01.38,-336.43,552.73,-727.54,-31.71,-3.66,9.51,-7.35,-27.75,-95.10,31.00,92.308,
01/01/2000,00:00:01.39,-349.61,584.47,-731.45,-32.62,-2.32,10.30,-6.90,-28.05,-94.80,30.81,92.105,
01/01/2000,00:00:01.40,-354.00,597.66,-710.45,-29.39,3.11,8.17,-6.90,-28.05,-94.80,31.38,91.954,
01/01/2000,00:00:01.41,-343.26,619.63,-687.50,-31.95,8.29,7.87,-6.60,-26.10,-95.55,31.00,91.837,
01/01/2000,00:00:01.42,-306.15,615.23,-668.95,-29.45,12.62,7.87,-6.60,-26.55,-95.10,31.19,92.593,
01/01/2000,00:00:01.43,-304.69,639.65,-654.79,-29.39,11.52,5.98,-6.90,-28.50,-95.10,31.05,91.667,
01/01/2000,00:00:01.44,-293.95,619.63,-644.53,-28.48,10.24,8.78,-6.90,-26.85,-95.10,31.14,91.603,
01/01/2000,00:00:01.45,-282.71,634.77,-635.25,-27.20,11.04,11.28,-7.65,-26.85,-92.85,31.00,91.549,
01/01/2000,00:00:01.46,-267.58,622.07,-630.86,-27.50,6.83,9.39,-7.95,-25.95,-94.20,30.67,92.105,
01/01/2000,00:00:01.47,-291.50,627.93,-645.51,-27.87,2.74,5.55,-7.35,-26.10,-95.10,31.34,92.025,
01/01/2000,00:00:01.48,-301.76,634.77,-645.51,-26.95,2.26,10.43,-7.35,-26.10,-95.10,31.05,91.429,
01/01/2000,00:00:01.49,-307.62,628.42,-632.81,-23.23,0.12,8.35,-7.35,-26.10,-95.10,31.00,91.398,
01/01/2000,00:00:01.51,-311.04,608.89,-616.21,-25.12,-1.10,10.67,-9.45,-25.20,-93.45,31.24,91.837,
