rtcDate,rtcTime,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,imu_degC,output_Hz,
01/01/2000,00:00:01.33,-786.13,488.28,133.30,26.52,-31.28,6.16,18.60,-13.35,-54.30,32.25,500.0,
01/01/2000,00:00:01.35,-803.71,488.28,137.70,26.40,-34.82,7.01,18.75,-16.20,-54.90,32.10,100.0,
01/01/2000,00:00:01.36,-808.59,470.21,124.51,25.37,-39.39,9.21,17.55,-14.25,-55.65,32.10,90.909,
01/01/2000,00:00:01.37,-820.80,490.23,122.07,28.60,-36.46,10.55,17.55,-14.25,-55.65,31.91,90.909,
01/01/2000,00:00:01.38,-791.50,486.82,140.63,32.44,-34.88,17.32,17.55,-14.25,-55.65,31.91,92.593,
01/01/2000,00:00:01.39,-774.41,490.23,125.0,33.54,-34.51,21.59,18.60,-13.65,-56.55,32.25,90.909,
01/01/2000,00:00:01.40,-754.39,483.89,123.05,34.94,-34.94,29.21,18.30,-13.95,-54.45,32.01,90.909,
01/01/2000,00:00:01.41,-750.0,502.44,110.35,34.27,-37.38,34.33,18.90,-12.15,-57.30,32.01,90.909,
01/01/2000,00:00:01.42,-748.05,479.98,113.28,36.52,-41.16,40.73,18.30,-13.05,-55.95,32.10,91.837,
01/01/2000,00:00:01.43,-777.83,507.81,101.07,38.90,-45.61,49.02,17.70,-12.15,-55.05,32.25,91.743,
01/01/2000,00:00:01.44,-806.64,519.53,106.93,39.27,-40.98,51.04,16.65,-10.95,-55.80,32.01,90.909,
01/01/2000,00:00:01.46,-812.99,521.00,100.10,45.61,-40.12,55.79,16.65,-10.95,-55.80,32.01,90.909,
01/01/2000,00:00:01.47,-801.27,523.93,103.03,46.10,-34.70,62.26,16.65,-10.95,-55.80,32.01,91.549,
01/01/2000,00:00:01.48,-802.25,529.79,103.52,48.54,-30.98,66.16,16.05,-12.75,-55.65,31.67,91.503,
01/01/2000,00:00:01.49,-807.62,568.36,95.21,47.99,-30.91,72.13,15.15,-10.20,-55.80,32.25,91.463,
01/01/2000,00:00:01.50,-788.57,578.61,78.61,49.27,-28.54,74.39,13.95,-11.40,-57.30,32.20,90.909,
01/01/2000,00:00:01.51,-808.11,605.96,81.54,44.39,-32.07,77.26,13.35,-11.10,-58.20,32.01,91.398,
01/01/2000,00:00:01.52,-847.17,658.69,107.91,40.79,-31.10,74.09,14.85,-10.80,-56.40,32.20,91.371,
01/01/2000,00:00:01.53,-814.94,677.25,135.25,40.49,-26.46,78.60,13.95,-8.25,-57.0,32.39,91.346,
01/01/2000,00:00:01.54,-755.37,755.37,148.44,38.84,-23.29,74.51,13.95,-8.25,-57.0,32.10,91.743,
01/01/2000,00:00:01.55,-689.94,815.43,152.34,34.45,-23.17,68.05,13.95,-8.25,-57.0,32.20,91.703,
01/01/2000,00:00:01.57,-624.02,887.21,162.11,32.01,-27.74,58.84,11.85,-10.35,-58.65,32.01,91.286,
01/01/2000,00:00:01.58,-638.18,920.90,166.02,27.87,-34.15,42.87,10.95,-9.0,-58.05,32.20,91.633,
01/01/2000,00:00:01.59,-711.43,917.97,129.88,27.07,-33.54,30.37,11.70,-9.45,-57.75,31.86,91.603,
01/01/2000,00:00:01.60,-735.35,880.86,139.16,20.0,-33.84,8.29,10.35,-9.60,-57.90,32.01,91.575,
01/01/2000,00:00:01.61,-732.91,894.04,168.95,17.26,-34.02,0.91,11.10,-9.60,-57.90,32.20,91.873,
01/01/2000,00:00:01.62,-755.37,877.44,208.98,19.09,-37.74,-6.46,11.70,-9.0,-58.05,32.25,91.525,
01/01/2000,00:00:01.63,-785.16,815.43,216.31,18.60,-35.98,-21.04,11.70,-9.0,-58.05,31.86,91.803,
01/01/2000,00:00:01.64,-779.30,745.61,235.35,12.93,-43.35,-22.62,11.25,-9.45,-58.05,32.10,91.772,
01/01/2000,00:00:01.65,-787.11,718.75,257.81,12.56,-44.45,-32.87,11.10,-9.15,-58.20,32.10,91.743,
01/01/2000,00:00:01.66,-788.57,693.36,267.09,12.38,-46.83,-34.70,12.30,-7.95,-58.65,32.10,91.716,
01/01/2000,00:00:01.67,-803.71,651.86,260.74,14.94,-43.90,-35.06,12.15,-9.45,-58.80,32.01,91.691,
01/01/2000,00:00:01.68,-804.20,628.91,267.09,15.30,-44.02,-34.27,13.35,-8.85,-60.15,31.91,91.667,
01/01/2000,00:00:01.69,-808.59,600.10,256.35,17.20,-38.78,-36.28,14.40,-7.80,-58.50,32.25,91.644,
01/01/2000,00:00:01.71,-812.50,581.54,226.56,22.93,-31.95,-31.40,12.90,-9.45,-58.80,31.86,91.623,
01/01/2000,00:00:01.72,-819.82,542.97,235.84,25.24,-26.34,-31.34,12.90,-9.45,-58.80,32.06,91.837,
01/01/2000,00:00:01.73,-805.66,519.04,201.17,29.02,-13.84,-27.07,13.05,-8.40,-58.65,32.10,91.584,
01/01/2000,00:00:01.74,-771.97,534.67,199.22,30.85,-8.90,-26.83,11.10,-11.55,-57.45,32.10,91.566,
01/01/2000,00:00:01.75,-728.03,517.09,178.71,36.52,-9.45,-16.46,13.95,-10.20,-58.05,32.01,91.549,
01/01/2000,00:00:01.76,-709.96,503.91,166.50,36.22,-8.66,-10.61,13.35,-8.85,-58.95,32.25,91.533,
01/01/2000,00:00:01.77,-708.50,497.07,163.57,38.41,-9.21,-7.20,12.90,-10.20,-59.25,32.10,91.723,
01/01/2000,00:00:01.78,-716.80,501.46,165.04,37.93,-10.79,-4.21,14.70,-10.50,-58.50,32.01,91.703,
01/01/2000,00:00:01.79,-712.40,484.38,166.02,40.49,-7.62,0.85,14.70,-10.50,-58.50,32.25,91.489,
01/01/2000,00:00:01.80,-753.91,503.42,164.55,36.77,-2.07,7.07,14.70,-10.50,-58.50,32.39,91.667,
01/01/2000,00:00:01.82,-767.58,534.18,169.92,39.57,6.40,13.54,13.80,-10.80,-59.40,32.10,91.650,
01/01/2000,00:00:01.82,-756.35,550.29,193.85,38.90,11.59,12.87,14.55,-9.60,-61.20,31.91,91.633,
01/01/2000,00:00:01.84,-731.93,571.78,199.22,39.02,16.65,27.99,12.60,-11.10,-60.15,32.25,91.797,
01/01/2000,00:00:01.85,-711.91,613.28,182.13,40.06,21.10,33.90,12.15,-10.95,-60.60,32.10,90.737,
01/01/2000,00:00:01.87,-706.05,657.23,181.64,35.37,20.73,39.70,12.30,-11.10,-61.95,32.20,90.573,
01/01/2000,00:00:01.88,-701.17,700.20,160.64,34.27,23.35,42.56,11.70,-10.20,-61.05,32.20,90.580,
01/01/2000,00:00:01.89,-665.53,709.96,121.58,28.90,23.11,50.0,11.70,-10.20,-61.05,32.10,90.586,
01/01/2000,00:00:01.90,-639.16,767.09,150.39,22.07,27.07,43.84,11.85,-9.60,-64.20,31.91,90.750,
01/01/2000,00:00:01.91,-626.95,786.62,166.02,18.84,29.88,40.85,11.10,-8.85,-63.15,31.91,90.598,
01/01/2000,00:00:01.92,-615.72,827.64,162.11,17.32,34.45,40.06,11.25,-10.20,-62.55,32.10,90.604,
01/01/2000,00:00:01.93,-564.45,878.91,166.50,15.30,34.94,33.41,11.55,-7.65,-64.20,32.39,90.759,
01/01/2000,00:00:01.94,-536.13,937.01,166.99,10.43,32.99,32.20,12.45,-7.80,-62.55,32.20,90.762,
01/01/2000,00:00:01.95,-540.53,958.01,162.60,10.91,20.67,30.98,10.50,-9.0,-62.55,32.39,90.909,
01/01/2000,00:00:01.96,-564.94,970.21,154.79,9.27,10.98,28.96,9.75,-9.0,-63.60,32.25,90.767,
01/01/2000,00:00:01.97,-572.75,986.82,161.62,9.33,3.23,23.23,9.75,-9.0,-63.60,32.25,90.909,
01/01/2000,00:00:01.98,-586.91,971.68,158.69,3.05,-2.20,15.37,9.75,-9.0,-63.60,32.10,91.047,
01/01/2000,00:00:01.99,-593.26,950.68,134.77,0.30,-7.20,16.10,9.30,-7.95,-63.45,32.39,91.045,
01/01/2000,00:00:02.00,-601.07,889.16,111.82,-0.85,-11.40,11.34,9.0,-8.25,-65.10,32.25,91.176,
01/01/2000,00:00:02.00,-612.79,841.80,95.21,-3.84,-5.85,4.39,10.20,-9.0,-64.80,32.20,91.172,
01/01/2000,00:00:02.01,-614.75,794.43,79.59,-5.73,-6.16,4.21,9.75,-9.45,-63.60,32.20,91.168,
01/01/2000,00:00:02.02,-604.98,754.88,72.75,-7.26,-5.18,3.41,9.75,-9.0,-63.30,31.91,91.292,
01/01/2000,00:00:02.03,-596.68,745.12,66.41,-10.30,-4.33,-0.85,10.50,-9.45,-63.60,32.29,91.286,
01/01/2000,00:00:02.04,-606.45,734.38,53.71,-10.43,-3.54,3.29,10.50,-9.45,-63.60,32.25,91.405,
01/01/2000,00:00:02.05,-612.30,716.80,44.92,-9.70,-4.94,5.30,10.50,-9.45,-63.60,32.10,91.398,
01/01/2000,00:00:02.07,-597.66,698.24,41.50,-10.79,-5.37,6.95,9.0,-9.0,-63.60,32.10,91.391,
01/01/2000,00:00:02.08,-634.77,679.69,33.69,-13.17,-7.13,6.83,7.95,-10.50,-61.80,32.29,91.503,
01/01/2000,00:00:02.09,-651.37,654.30,33.20,-11.95,-7.93,9.57,9.0,-8.55,-62.85,32.29,91.495,
01/01/2000,00:00:02.10,-669.43,632.81,31.25,-11.95,-5.37,14.94,10.20,-7.35,-64.35,32.10,91.603,
01/01/2000,00:00:02.11,-682.13,623.05,27.83,-11.83,0.67,15.43,7.65,-7.95,-63.45,32.20,91.593,
01/01/2000,00:00:02.12,-702.15,614.75,11.72,-13.48,4.76,16.40,8.25,-9.75,-62.85,32.25,91.584,
01/01/2000,00:00:02.13,-694.34,621.09,9.28,-12.93,7.87,20.30,8.25,-9.75,-62.85,32.25,91.575,
01/01/2000,00:00:02.14,-691.89,632.81,25.39,-14.09,10.12,23.48,8.25,-9.75,-62.85,32.25,91.677,
01/01/2000,00:00:02.15,-709.96,639.16,27.34,-12.44,9.88,25.79,9.75,-9.0,-64.35,32.01,91.776,
01/01/2000,00:00:02.16,-691.41,654.79,40.53,-10.98,13.90,24.09,8.25,-8.55,-63.30,32.10,91.765,
01/01/2000,00:00:02.17,-714.84,699.22,52.73,-9.15,15.06,27.20,8.40,-8.40,-63.45,32.25,91.860,
01/01/2000,00:00:02.18,-715.33,711.43,50.29,-8.29,17.07,25.67,8.85,-7.95,-62.70,32.39,91.743,
01/01/2000,00:00:02.19,-724.61,738.28,47.85,-3.29,21.65,27.44,7.95,-7.05,-62.10,32.20,91.837,
01/01/2000,00:00:02.20,-704.10,743.65,59.57,-3.90,26.83,25.49,7.50,-8.25,-62.10,32.01,91.825,
01/01/2000,00:00:02.21,-685.06,761.72,79.59,-1.83,32.93,23.05,7.50,-7.80,-63.30,32.10,91.916,
01/01/2000,00:00:02.23,-666.02,801.27,70.31,-1.04,35.18,21.46,7.50,-7.80,-63.30,32.01,92.004,
01/01/2000,00:00:02.24,-624.02,817.87,58.11,-1.10,37.07,18.05,7.65,-7.95,-63.30,32.25,91.892,
01/01/2000,00:00:02.25,-578.13,842.77,50.29,-2.50,33.54,12.50,6.15,-7.20,-62.70,32.10,91.979,
01/01/2000,00:00:02.26,-549.80,867.68,42.48,0.49,29.21,8.60,7.50,-8.25,-63.30,32.20,91.966,
01/01/2000,00:00:02.27,-503.42,868.16,19.04,-3.41,26.10,6.71,6.15,-6.45,-63.15,32.10,92.050,
01/01/2000,00:00:02.28,-444.34,878.42,33.69,0.98,21.46,2.99,6.75,-7.05,-62.55,32.10,92.133,
01/01/2000,00:00:02.29,-414.55,931.15,35.16,7.20,8.72,-5.12,7.65,-7.65,-63.90,32.25,92.213,
01/01/2000,00:00:02.30,-409.67,958.01,65.43,14.09,-2.07,-10.49,6.45,-7.05,-62.85,32.25,92.105,
01/01/2000,00:00:02.31,-446.78,953.61,49.80,24.27,-14.88,-10.73,6.45,-7.05,-62.85,32.25,92.184,
01/01/2000,00:00:02.32,-462.89,940.43,38.57,28.48,-19.21,-14.57,6.45,-7.80,-63.30,32.25,92.170,
01/01/2000,00:00:02.33,-464.84,944.34,33.20,34.63,-28.96,-20.0,7.20,-6.30,-62.85,31.91,92.247,
01/01/2000,00:00:02.35,-495.12,920.41,37.60,37.93,-42.80,-18.66,6.90,-8.85,-64.65,32.39,91.876,
01/01/2000,00:00:02.36,-528.81,902.34,15.14,45.06,-51.34,-17.68,7.95,-8.25,-64.05,32.25,91.691,
01/01/2000,00:00:02.37,-559.57,874.51,8.79,45.85,-59.09,-21.04,6.0,-9.0,-63.30,32.25,91.682,
01/01/2000,00:00:02.38,-590.82,865.72,-3.42,47.13,-60.91,-20.79,7.35,-8.40,-65.70,32.25,91.760,
01/01/2000,00:00:02.39,-591.31,845.70,-37.60,46.16,-58.54,-19.45,7.35,-8.40,-65.70,31.91,91.752,
01/01/2000,00:00:02.40,-613.28,842.29,-61.04,45.0,-61.16,-18.60,7.35,-8.40,-65.70,32.25,91.827,
01/01/2000,00:00:02.41,-621.09,841.31,-86.91,45.30,-61.77,-17.44,9.45,-10.95,-66.60,32.29,91.735,
01/01/2000,00:00:02.42,-629.88,812.01,-121.58,44.76,-61.04,-20.61,9.30,-9.15,-65.70,32.25,91.727,
01/01/2000,00:00:02.43,-626.46,789.06,-134.77,44.39,-62.62,-13.48,9.45,-9.45,-65.55,32.39,91.719,
01/01/2000,00:00:02.45,-659.67,763.67,-168.95,43.17,-67.44,-12.93,10.35,-9.15,-66.45,32.29,91.792,
01/01/2000,00:00:02.46,-675.29,750.0,-213.38,40.55,-69.94,-15.0,9.75,-9.45,-65.85,32.39,91.783,
01/01/2000,00:00:02.47,-692.38,723.63,-214.84,42.74,-72.38,-15.24,8.70,-9.75,-65.85,32.29,91.775,
01/01/2000,00:00:02.48,-689.94,680.18,-216.31,40.18,-72.56,-16.16,8.70,-9.75,-65.85,32.20,91.688,
01/01/2000,00:00:02.49,-729.49,691.41,-201.66,40.37,-73.17,-16.65,8.70,-9.75,-65.85,32.25,91.759,
01/01/2000,00:00:02.50,-746.58,685.06,-188.48,40.12,-67.50,-16.22,10.50,-9.45,-65.10,32.20,91.751,
01/01/2000,00:00:02.51,-743.65,658.69,-160.64,42.68,-60.55,-12.07,10.20,-9.75,-67.05,32.20,91.743,
01/01/2000,00:00:02.52,-719.24,638.67,-90.82,40.55,-54.15,-17.50,11.55,-10.35,-67.50,32.10,91.736,
01/01/2000,00:00:02.53,-731.93,610.35,-59.57,40.61,-53.23,-17.80,11.70,-9.45,-67.35,32.10,91.653,
01/01/2000,00:00:02.55,-741.21,585.94,-53.22,35.43,-50.24,-14.76,11.85,-9.60,-67.50,32.10,91.721,
01/01/2000,00:00:02.56,-771.00,575.20,-27.34,31.46,-42.99,-14.09,11.10,-8.40,-67.50,32.44,91.714,
01/01/2000,00:00:02.57,-756.84,580.08,-6.84,31.83,-39.57,-9.21,11.10,-8.40,-67.50,32.44,91.707,
