rtcDate,rtcTime,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,imu_degC,output_Hz,
01/01/2000,00:00:01.61,-494.14,956.54,-189.45,18.96,-26.46,11.83,-4.20,23.25,-62.85,32.44,333.33,
01/01/2000,00:00:01.66,-302.73,914.06,-131.35,14.09,41.16,6.04,-3.45,22.95,-61.80,32.73,37.74,
01/01/2000,00:00:01.68,-274.41,930.18,-107.91,13.05,48.23,1.04,-4.80,21.45,-62.85,32.44,44.78,
01/01/2000,00:00:01.69,-250.00,925.29,-80.57,9.76,50.12,2.20,-3.60,21.90,-63.45,32.63,52.63,
01/01/2000,00:00:01.70,-227.05,933.59,-59.57,6.83,50.55,0.24,-5.10,22.65,-62.70,32.58,58.14,
01/01/2000,00:00:01.71,-214.36,936.04,-27.83,4.27,50.43,0.91,-5.10,22.65,-62.70,32.73,60.00,
01/01/2000,00:00:01.72,-184.08,938.96,-21.48,5.24,45.85,0.00,-6.00,22.50,-63.30,32.58,64.22,
01/01/2000,00:00:01.73,-153.32,907.23,-24.90,2.38,43.78,-0.06,-4.65,22.35,-63.45,32.63,67.23,
01/01/2000,00:00:01.74,-131.84,936.52,5.37,2.38,39.02,0.55,-5.40,21.90,-63.75,32.63,70.31,
01/01/2000,00:00:01.75,-106.93,934.57,-8.30,0.49,32.20,-2.56,-3.15,22.65,-63.45,32.73,72.46,
01/01/2000,00:00:01.76,-126.95,930.66,-6.84,-0.12,25.43,-2.87,-3.15,22.65,-63.45,32.58,74.83,
01/01/2000,00:00:01.78,-129.39,922.36,-19.53,1.28,14.33,-4.70,-5.85,21.90,-63.45,32.58,74.53,
01/01/2000,00:00:01.78,-125.00,929.20,-34.18,-0.24,7.13,-3.78,-4.80,22.95,-64.65,32.82,76.02,
01/01/2000,00:00:01.80,-147.46,925.29,-36.13,-0.37,4.88,-5.06,-5.85,22.65,-62.40,32.58,77.78,
01/01/2000,00:00:01.80,-148.93,928.71,-51.27,-2.44,1.77,-8.11,-5.85,22.65,-62.40,32.39,78.95,
01/01/2000,00:00:01.81,-146.97,937.99,-63.48,-3.35,0.18,-10.67,-5.55,21.00,-64.05,32.39,80.40,
01/01/2000,00:00:01.83,-148.44,939.45,-77.64,-8.05,-4.09,-8.54,-6.15,21.60,-62.70,32.29,78.34,
01/01/2000,00:00:01.84,-165.04,934.08,-76.66,-6.46,-6.89,-8.78,-6.15,20.85,-62.40,32.58,79.65,
01/01/2000,00:00:01.85,-192.87,935.55,-98.63,-7.80,-9.45,-12.38,-5.40,23.10,-64.50,32.63,80.51,
01/01/2000,00:00:01.86,-181.64,934.08,-103.52,-9.09,-8.60,-11.83,-5.40,23.10,-64.50,32.53,81.63,
01/01/2000,00:00:01.87,-183.11,935.55,-100.10,-8.84,-9.57,-11.52,-6.15,21.60,-63.15,32.58,82.35,
01/01/2000,00:00:01.89,-205.08,935.55,-122.56,-7.01,-11.46,-11.16,-5.85,21.15,-63.15,32.53,81.78,
01/01/2000,00:00:01.90,-217.77,957.03,-123.54,-7.01,-8.84,-10.91,-5.85,21.15,-63.15,32.77,82.73,
01/01/2000,00:00:01.91,-212.89,947.27,-128.42,-8.60,-9.39,-10.06,-5.25,21.45,-64.35,32.73,83.33,
01/01/2000,00:00:01.91,-207.52,950.68,-135.25,-7.74,-7.99,-8.90,-3.75,21.45,-63.30,32.29,84.18,
01/01/2000,00:00:01.92,-214.36,971.19,-147.46,-6.83,-8.54,-6.04,-4.50,22.95,-64.05,32.63,84.69,
01/01/2000,00:00:01.93,-229.98,960.94,-124.51,-8.29,-6.16,-5.79,-3.75,22.95,-63.60,32.77,85.44,
01/01/2000,00:00:01.95,-232.42,967.29,-132.32,-6.16,-5.73,-4.45,-3.75,22.95,-63.60,32.63,84.85,
01/01/2000,00:00:01.96,-233.40,961.91,-123.54,-5.67,-5.91,-6.40,-5.25,22.50,-63.30,32.44,85.29,
